company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Booth: 5B-B09   |   Electronics Components   |   ,Booth: 5B-C14   |   Printed Circuit Board & EMS   |   ,Booth: 5B-D01   |   Printed Circuit Board & EMS   |   ,Booth: 5B-C07   |   Electronics Components   |   ,Booth: 5B-C13   |   Electronics Components   |   ,Booth: 5B-D07   |   Printed Circuit Board & EMS   |   ,Booth: 5B-F05   |   Display Technology   |   ,Booth: 5B-B01   |   Electronics Components   |   ,Booth: 5B-A02   |   Electronics Components   |   
Surface Mount Technology Ltd.,Hong Kong,,Manufacturer,"Electronic Manufacturing Service, Assembly & Subsystem ( include PCB Assembly )",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Surface-Mount-Technology-Ltd/1X00FM15,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006671Q?fairCode=electronicasia&locale=en,,,,,,,,,
Mobicon Holdings Ltd,Hong Kong    |    Factory in:  Hong Kong,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mobicon-Holdings-Ltd/1X04P3N4,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066792?fairCode=electronicasia&locale=en,,,,,,,,,
See-Plus Industrial Limited,Hong Kong    |    Factory in:  Chinese Mainland,"The SEE-PLUS was established in 1980 as we mainly manufacture different kinds of Low-Voltage Switches, Jacks, Sockets and USB connectors. Our head office is based in Hong Kong. Also, we have offices in Dongguan and Shanghai, China .The offices cover 8,000 square meters and 12,000 square meter land for plants included. We employ over 600 employees, including more than 50 skillful technicians from different departments. Nowadays at the quality control, we gained ISO 9001 Certification in 1997, and the GMC certification in 2010 which is identified and certify high-quality manufactures in China. In addition, we achieved TS 16949 and USB-IF certification in 2014, and achieved ISO 14001 certification in 2018 as to meet the ISO quality control standard. Moreover, all products have conformed to RoHS since January 2005, and also conformed to REACH, EN71-3 environmental protection requirements of European Union and CPASI of USA. We adhere to our company motto:""High quality and competitive price, punctual delivery and top priority service"". Our aim is to fully meet our customers ""demand with our tenet of striving the perfection and doing our best to advance""",Manufacturer,"Signal Influencing Components, Electrical Plug, Microcontroller, Assemblies for Measurement Applications, Electronic Product Ceramic Part, UPS / Power Supply, Inductor, Information and Communications Technology, Mains Power Appliance Inlets, Mains Power Appliance Outlets, Signal Influencing Components, Electrical Plug, Microcontroller, Assemblies for Measurement Applications, Electronic Product Ceramic Part, UPS / Power Supply, Inductor, Information and Communications Technology, Mains Power Appliance Inlets, Mains Power Appliance Outlets",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/See-Plus-Ind-l-Ltd/1X0009JQ,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006674H?fairCode=electronicasia&locale=en,,,,,,,,,
Shenzhen HZY Photoelectric Technology Co Ltd,Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-HZY-Photoelectric-Technology-Co-Ltd/1S00O9IWU,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067Y2W?fairCode=electronicasia&locale=en,,,,,,,,,
"Suzhou UIGreen Micro&Nano Technologies Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Suzhou-UIGreen-Micro-Nano-Technologies-Co-Ltd-/1S00PETFY,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZY7?fairCode=electronicasia&locale=en,,,,,,,,,
Chung Yi Enterprise (H.K.) Company Limited,Hong Kong,,Manufacturer,"Electrical Wire & Cable, Computer Cable, Electrical Wire & Cable, Computer Cable","We are an ISO certified manufacturer with approximately 40 years of experience in producing cable assemblies, wire harness assemblies and modular jack products.","OEM, ODM",,www.chungyi.com,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 electronicAsia 2024 electronicAsia 2019 electronicAsia 2018 electronicAsia 2017 electronicAsia electronicAsia 2015 Show More,,,"UL - COMMUNICATIONS AUDIO/VIDEO-, DATA- AND OTHER SIGNALING-CIRCUIT ACCESSORIES Issued By UL Type - Valid Date (N/A) - (N/A) UL - COMPONENT Issued By UL Type - Valid Date (N/A) - (N/A) Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chung-Yi-Enterprise-Hong-Kong-Co-Ltd/1X00J3HA,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006672N?fairCode=electronicasia&locale=en,,,,,,,,,
Fenghua (Hong Kong) Electronics Limited,Hong Kong,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fenghua-Hong-Kong-Electronics-Ltd-/1X00J44K,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00667AZ?fairCode=electronicasia&locale=en,,,,,,,,,
General Circuit International Limited,Hong Kong    |    Factory in:  Chinese Mainland,"Electro-mechanical technology goes hand in hand with our progress in life. Booming dynamically in an electronic era, General Circuit International Limited (GCI), as a keypad solution provider, has shown marked performance in the creation of unique device and our web of market development has gone international. Founded in 1996, we made our debut as a manufacturer of membrane switch. And now, we have extended multiple services in touch screen, flexible PCB and silicone rubber keypad. In addition, we deliver assembly work as well as keypad solutions featuring latest technologies meeting the ever-changing demands of industrial, medical, automotive and marine controls. Running five factories in Mainland China, which house more than 2,000 people, GCI excels with comprehensive services, strong engineering and production force. To ensure modernized management, our factories are certified with ISO 9001, ISO 14001, ISO 13485 and IATF16949. Together with the sophisticated machinery, we assure you will find GCI your professional partner of human machine interface.",Manufacturer,"Keyboard Panel Membrane, Printed Circuit Board (PCB), Manufacturing & Industrial Engineering, Assembly & Subsystem ( include PCB Assembly ), Assemblies for Measurement Applications, Keyboard Panel Membrane, Printed Circuit Board (PCB), Manufacturing & Industrial Engineering, Assembly & Subsystem ( include PCB Assembly ), Assemblies for Measurement Applications",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/General-Circuit-Int-l-Ltd/1X00JO9R,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666Y0?fairCode=electronicasia&locale=en,,,,,,,,,
Golden Resources Metal Industrial Limited,Hong Kong,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Golden-Resources-Metal-Industrial-limited/1X05VOKG,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00684M2?fairCode=electronicasia&locale=en,,,,,,,,,
KARSEN TECH LIMITED,Hong Kong    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/KARSEN-TECH-LIMITED/1S00PBYXB,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066VVK?fairCode=electronicasia&locale=en,,,,,,,,,
Maxtech Circuit HK Limited,Hong Kong,"We are manufacturer and distributor of Capacitive and Resistive Touchscreens, Membrane Switches, Rubber Keypads, FPC, PCB and other integrated switches . We owned patented technology for LGF . We have exclusive technology for specialized membrane and capacitive switches and also licensee of highly reliable industrial grade switches "" Duraswitch"" . We specialized in integration of both Membrane Switches and Touchscreens product and LCM projects. All of our products are customized industrial grading mostly applied to communication , transportation and medical devices . We are more than 20 years old manufacturer and exporter with proven quality and reliability .","Manufacturer, Exporter","Keyboard Panel Membrane, Prototype Making, Liquid Crystal Display (LCD), Electronic Manufacturing Service",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Maxtech-Circuit-HK-Limited/1X07SZ4Z,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00666V9?fairCode=electronicasia&locale=en,,,,,,,,,
Mecca Electronics Co. Limited,Hong Kong    |    Factory in:  Chinese Mainland,"Established in 1993, Mecca was in EMS by setting up SMT and insertion lines at the beginning, then added the metal and plastic parts business.Now Mecca is certified with ISO 9001/ISO 14001, ISO 13485 and IATF 16949, capable for Medical and Automotive parts/products manufacturing. Mecca, as a HK based electronic manufacturing service (EMS) provider since 1993. Beside plastic & metal business, we specialize in PCBA and Electronics Box Build, our product range covers both industrial grade, such as Switching Mode Power Supply, Water leakage detector, Automotive lighting module, Airport/Railway communication/Control systems; and customer grade, such as Smoke detector, Emergency Lighting, Wearable GPS, Medical device. Mecca offers All-Under-One-Roof electronic manufacturing services (EMS), from PCBA to turnkey solutions. With factory in China, our local expertise and resources in key regions can help and provide end-to-end support with design for manufacturing, electromechanical sub-assemblies and so on, to ensure that you as our valuable partner will receive the highest quality products on time and within your budget.",Manufacturer,"Printed Circuit Board (PCB), Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service","ODM/OEM Electronic Manufacturing Services (EMS) & Customized Product Solutions, Box Builds & Electronics PCB Assemblies, Plastic Injection Parts, Metal Stamping Parts","OEM, ODM",,www.mecca.com.hk,"Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 electronica - International Trade Fair for Components and Assemblies in Electronics, Munich, Germany electronicAsia 2024 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 MEDICA, Dusseldorf, Germany electronicAsia 2023 Show More",,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mecca-Electronics-Co-Ltd/1X00CWC0,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006670T?fairCode=electronicasia&locale=en,,,,,,,,,
"Nam Hing Circuit Board Co., Ltd.",Hong Kong    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nam-Hing-Circuit-Board-Co-Ltd/1X006H8D,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066RE3?fairCode=electronicasia&locale=en,,,,,,,,,
SGST (HK) Limited,Hong Kong,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SGST-HK-LTD/1X05A3ZS,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066778?fairCode=electronicasia&locale=en,,,,,,,,,
"ABO Electronics (Shenzhen) Co., Ltd.",Chinese Mainland,"ABO Electronics (Shenzhen) Co.,Ltd(abbreviated as ""ABO"") is an ISO9001/ISO13485 certified professional EMS provider located in SHENZHEN, China, founded in Year 2004. We have manufactured a lot of electronic product with BT/WIFI/GPS/Wireless charging/Lithium Battery Charging/Sensor technologies/Power management/Solar technologies etc about 20 years. Our products across ranges of Medical Device, Health Care, Industry control , Smart Home , Safety and Security, Communications and Consuming etc. We have strong interest to be your OEM/ODM /EMS service partner in China, not only solving your various electronic product component sourcing and manufacturing, but also the injection tooling fabrication and molding service!","Exporter, Manufacturer","Assembly & Subsystem ( include PCB Assembly ), Electronic Manufacturing Service, Printed Circuit Board (PCB)",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ABO-ELECTRONICS-SHENZHEN-CO-LTD/1X064NTA,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZXA?fairCode=electronicasia&locale=en,,,,,,,,,
"Anhui Golden Vision Optoelectronic Technology Co., Ltd.",Chinese Mainland,,Manufacturer,"Liquid Crystal Display (LCD), Liquid Crystal Display (LCD)",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Anhui-Golden-Vision-Optoelectronic-Technology-Co-Ltd/1X09RMTD,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006805L?fairCode=electronicasia&locale=en,,,,,,,,,
Cixi Zhongyi Electronics Factory,Chinese Mainland,,"Buying Cooperative, Manufacturer, Statutory Body, Buying Office","Assemblies for Measurement Applications, Testing Instrument For Electrical / Electronic Product, Assemblies for Measurement Applications, Testing Instrument For Electrical / Electronic Product",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Cixi-Zhongyi-Electronics-Factory/1X0AO4I6,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00680C0?fairCode=electronicasia&locale=en,,,,,,,,,
Dongguan Pinsheng Precision Electronics Co Limited,Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Pinsheng-Precision-Electronics-Co-Limited/1S00OJMDB,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006807F?fairCode=electronicasia&locale=en,,,,,,,,,
"Ningbo New Sanhe Enclosure Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-New-Sanhe-Enclosure-Co-Ltd-/1X08PP3U,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006801X?fairCode=electronicasia&locale=en,,,,,,,,,
"Okystar Technology Co., Ltd.",Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Okystar-Technology-Co-Ltd/1X09TBHM,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0067ZZ4?fairCode=electronicasia&locale=en,,,,,,,,,
"Sanshi Electric Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,"Sanshi Electric Co., Ltd., a professional manufacturer of fuses and fuse switches since 1995. We are a member of the China Fuse Standardization Technical Committee Low Voltage Fuse Sub-Technical Committee. We specialize in: Low-voltage and new energy fuses, Fuse isolation switches, Supporting circuit protection solutions. With annual output of over 20 million units (70% exported), all products meet IEC/GB standards and carry CCC, CB, CE, UL certifications. Our LINDNER brand is widely trusted in power, petrochemical, machinery and EV charger industries.","Statutory Body, Buying Office, Trade/Industrial Organisation, Wholesaler, Retailer, Service Company, Buying Cooperative, Distributor, Chain Store, Professional Association","Manufacturing & Industrial Engineering, Testing Instrument For Electrical / Electronic Product, Manufacturing & Industrial Engineering, Testing Instrument For Electrical / Electronic Product",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SANSHI-ELECTRIC-CO-LTD-/1S00OCH7Y,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00680DX?fairCode=electronicasia&locale=en,,,,,,,,,
Shenzhen Luguang Electronic Technology Co Ltd,Chinese Mainland,,"Exporter, Manufacturer","Transistor, Integrated Circuit ( IC ), Resistor, Inductor, Capacitor, Transistor, Integrated Circuit ( IC ), Resistor, Inductor, Capacitor","Diode,Transistor,Bridge rectifier,Triac,Mosfets,IGBT,SiC Diode,SiC Mosfet,Modules","OBM, ODM, Others, OEM",,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026 electronicAsia 2025 electronicAsia 2024 electronicAsia 2023 electronicAsia 2019 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 electronicAsia 2018 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2018 Show More,,,ISO9001 Issued By - Type ISO_9001 Valid Date (N/A) - (N/A) ISO14001:2004 Issued By - Type ISO_14001 Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Luguang-Electronic-Technology-Co-Ltd/1X07DLNM,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S00680FR?fairCode=electronicasia&locale=en,,,,,,,,,
"TAT Electronics Co., Ltd.",Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/TAT-Electronics-Co-Ltd/1X09SEXX,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0068I1F?fairCode=electronicasia&locale=en,,,,,,,,,
UAC Corporation,Japan    |    Factory in:  Japan,"UAC Corporation: 40+ Years of Excellence in Japanese Electronic Components Establish your supply chain with a veteran Japanese trading firm. Since 1982, UAC Corporation has specialized in the global distribution of high-performance electrical peripherals and ""Made-in-Japan"" components. As an authorized distributor for Fujicon terminal blocks, we bridge the gap between premium Japanese engineering and international industrial needs. We ensure your success through rigorous quality standards and 40+ years of export expertise.","Importer, Exporter","Insulating Element, Capacitor, Transistor","TERMINAL BLOCK, HEAT SINK CLIP, PRINTED BOARD TERMINAL","OEM, ODM, OBM, Others",FUJICON,,Exhibited in HKTDC Event(s) in recent years electronicAsia 2026,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/UAC-CORPORATION/1S00PD587,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S0066QKM?fairCode=electronicasia&locale=en,,,,,,,,,
"Zhejiang Junlin Electric Technology Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Junlin-Electric-Technology-Co-Ltd-/1S00OGNTY,https://www.hktdc.com/event/electronicasia/en/exhibitor/1S006804O?fairCode=electronicasia&locale=en,,,,,,,,,
