Company Name,Location,Booth,url
Microtech Technology Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006675E?fairCode=electronicasia&locale=en
Mecca Electronics Co. Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006670T?fairCode=electronicasia&locale=en
"Nam Hing Circuit Board Co., Ltd.",Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066RE3?fairCode=electronicasia&locale=en
SGST (HK) Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066778?fairCode=electronicasia&locale=en
"ABO Electronics (Shenzhen) Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067ZXA?fairCode=electronicasia&locale=en
"Anhui Golden Vision Optoelectronic Technology Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006805L?fairCode=electronicasia&locale=en
Cixi Zhongyi Electronics Factory,Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00680C0?fairCode=electronicasia&locale=en
Dongguan Pinsheng Precision Electronics Co Limited,Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006807F?fairCode=electronicasia&locale=en
"Ningbo New Sanhe Enclosure Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006801X?fairCode=electronicasia&locale=en
"Okystar Technology Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067ZZ4?fairCode=electronicasia&locale=en
"Sanshi Electric Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00680DX?fairCode=electronicasia&locale=en
Shenzhen Luguang Electronic Technology Co Ltd,Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00680FR?fairCode=electronicasia&locale=en
"TAT Electronics Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0068I1F?fairCode=electronicasia&locale=en
UAC Corporation,Japan,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066QKM?fairCode=electronicasia&locale=en
"Zhejiang Junlin Electric Technology Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006804O?fairCode=electronicasia&locale=en
"China Zhenhua Electronics Group Co., LTD",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067V5Q?fairCode=electronicasia&locale=en
"Fujian CNK Electronics Co., Ltd",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006806I?fairCode=electronicasia&locale=en
Acoustic Dynamics Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006673K?fairCode=electronicasia&locale=en
Fai Wong Star Electronic Co Ltd,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S00667CT?fairCode=electronicasia&locale=en
Hong Kong Lung Wah Company Limited,Hong Kong,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0066785?fairCode=electronicasia&locale=en
Changzhou Cre-sound Electronics Co Ltd,Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006803R?fairCode=electronicasia&locale=en
"Chengdu sinochips technology Co.,Ltd",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0068JXQ?fairCode=electronicasia&locale=en
"Chenzhou Haili Microelectronics Technology Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067ZSP?fairCode=electronicasia&locale=en
"Cixi Kefa Electronics Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067ZVG?fairCode=electronicasia&locale=en
"Focus Sensing and Control Technology Co.,LTD",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067ZUJ?fairCode=electronicasia&locale=en
"Guang Dong Sunran Electronic Technology Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0068I2C?fairCode=electronicasia&locale=en
"Guangzhou Chuangerli Electronics Co., Ltd",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067ZWD?fairCode=electronicasia&locale=en
"GUANGZHOU HAINA IMP.&EXP.CO.,LTD",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0068I0I?fairCode=electronicasia&locale=en
"JS Technology Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S0067ZQV?fairCode=electronicasia&locale=en
"Jiangsu Zhongxinhua Electronic Technology Co., Ltd.",Chinese Mainland,['Booth: 5B-D08   |   Display Technology   |   '],/event/electronicasia/en/exhibitor/1S006802U?fairCode=electronicasia&locale=en
"Jiangxi Hechengda Technology Industrial Co.,Ltd",Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S00680A6?fairCode=electronicasia&locale=en
"Ningbo Helishun Electron Co., Ltd.",Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S0067ZTM?fairCode=electronicasia&locale=en
Ningbo Xucheng Electronics Co Ltd,Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S0067ZPY?fairCode=electronicasia&locale=en
"RH Circuits Technology (Shenzhen) Co., Ltd.",Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S0067ZRS?fairCode=electronicasia&locale=en
"Sanwin (HONGKONG) electronic technology Co.,Ltd",Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S0068099?fairCode=electronicasia&locale=en
"Shenzhen Chengxing Electronic Technology Co., Ltd.",Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S00680B3?fairCode=electronicasia&locale=en
"Shenzhen Socay Electronics Co., Ltd.",Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S00684NZ?fairCode=electronicasia&locale=en
"Shenzhen Yccfan Technology Co., Ltd",Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S0067V6N?fairCode=electronicasia&locale=en
Tailor Pixels Technology CO LTD,Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S006808C?fairCode=electronicasia&locale=en
Wenzhou Stpete Electronic Technology Co Ltd,Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S0068000?fairCode=electronicasia&locale=en
"Xiamen Zettler Electronics Co., Ltd.",Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S0068FPI?fairCode=electronicasia&locale=en
Yangzhou Positioning Tech Co Ltd,Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S00680EU?fairCode=electronicasia&locale=en
HCC International Limited,Chinese Mainland,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S0067PHW?fairCode=electronicasia&locale=en
"Ecolite Energy (Hong Kong) Co., Limited",Hong Kong,['Booth: 5B-D15   |   Printed Circuit Board & EMS   |   '],/event/electronicasia/en/exhibitor/1S00667BW?fairCode=electronicasia&locale=en
