event_title,event_url,event_date,event_format,event_location,event_start_date,event_end_date,last_process_date
Hong Kong Pavilion at SIAL Shanghai 2026,https://home.hktdc.com/en/factsheet/FS-N7v8qubv_HKP_SIAL_SH_2026,18 - 20 May 2026,Hong Kong Pavilion,Chinese Mainland,5/18/26 0:00,5/20/26 0:00,
Hong Kong Shopping Festival 2026,https://home.hktdc.com/tc/factsheet/FS-1Cgmx62I_ShoppingFestival2026,1 - 31 Aug 2026,Others,Chinese Mainland,8/1/26 0:00,8/31/26 0:00,
electronica 2026,https://home.hktdc.com/en/factsheet/FS-3vXsofA7_electronica2026,10 - 13 Nov 2026,Hong Kong Pavilion,Germany,11/10/26 0:00,11/13/26 0:00,
"HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 (AsiaWorld-Expo)",https://www.hktdc.com/event/hkdgp,2 - 6 Mar 2026,Exhibition,Hong Kong,3/2/26 0:00,3/6/26 0:00,2/28/26 0:00
HKTDC Hong Kong International Jewellery Show 2026 (HKCEC),https://www.hktdc.com/event/hkjewellery/en,4 - 8 Mar 2026,Exhibition,Hong Kong,3/4/26 0:00,3/8/26 0:00,2/28/26 0:00
“Harnessing the 3C Electronics Momentum: Surge into Mainland E-commerce Market” Workshop,https://home.hktdc.com/en/factsheet/FS-P6fKnAnx_3CWorkshop,13-Mar-26,Workshop,Hong Kong,3/13/26 0:00,3/13/26 0:00,
GoGBA Coffee & Chat series: 3C certification for electronic products entering the mainland market,https://info.hktdc.com/edm/2026Q1/20260127gbacc/index.html,16-Mar-26,Workshop,Hong Kong,3/16/26 0:00,3/16/26 0:00,
Hong Kong International Film & TV Market (FILMART) 2026,https://hkfilmart.hktdc.com/conference/hkfilmart/en,17 - 20 Mar 2026,Exhibition,Hong Kong,3/17/26 0:00,3/20/26 0:00,
T-box x Microsoft Hong Kong AI Workshop Series  Workshop 2: “AI Leading a New Era of Operational Automation”,https://home.hktdc.com/en/factsheet/FS-o8t0XSIV_SMECtrworkshop260318,18-Mar-26,Seminar,Hong Kong,3/18/26 0:00,3/18/26 0:00,
MarketingPulse & eTailingPulse 2026,https://marketingpulse.hktdc.com,19-Mar-26,Conference,Hong Kong,3/19/26 0:00,3/19/26 0:00,
SME Go Global Masterclass 2026: AI Customer Acquisition • Smart Logistics • Digital Trade Finance,https://home.hktdc.com/en/factsheet/FS-kAncNhqF_DA_Seminar_0326,26-Mar-26,Seminar,Hong Kong,3/26/26 0:00,3/26/26 0:00,
HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 (HKCEC),https://www.hktdc.com/event/hkelectronicsfairse,13 - 16 Apr 2026,Exhibition,Hong Kong,4/13/26 0:00,4/16/26 0:00,2/28/26 0:00
InnoEX 2026 (HKCEC),https://www.hktdc.com/event/innoex,13 - 16 Apr 2026,Exhibition,Hong Kong,4/13/26 0:00,4/16/26 0:00,2/28/26 0:00
HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 (HKCEC),https://www.hktdc.com/event/hklightingfairse,20 - 23 Apr 2026,Exhibition,Hong Kong,4/20/26 0:00,4/23/26 0:00,2/28/26 0:00
HKTDC Smart Lighting Expo 2026 (HKCEC),https://www.hktdc.com/event/smartlightingexpo/en,20 - 23 Apr 2026,Exhibition,Hong Kong,4/20/26 0:00,4/23/26 0:00,3/1/26 0:00
Fashion InStyle 2026 (HKCEC),https://www.hktdc.com/event/fashioninstyle/en,27 - 30 Apr 2026,Exhibition,Hong Kong,4/27/26 0:00,4/30/26 0:00,
HKTDC Hong Kong Gifts & Premium Fair 2026 (HKCEC),https://www.hktdc.com/event/hkgiftspremiumfair,27 - 30 Apr 2026,Exhibition,Hong Kong,4/27/26 0:00,4/30/26 0:00,
DeLuxe PrintPack Hong Kong 2026 (AsiaWorld-Expo),https://www.hktdc.com/event/deluxeprintpackhk,27 - 30 Apr 2026,Exhibition,Hong Kong,4/27/26 0:00,4/30/26 0:00,
Home InStyle 2026 (HKCEC),https://www.hktdc.com/event/homeinstyle/en,27 - 30 Apr 2026,Exhibition,Hong Kong,4/27/26 0:00,4/30/26 0:00,
Hong Kong International Printing & Packaging Fair 2026 (AsiaWorld-Expo),https://www.hktdc.com/event/hkprintpackfair,27 - 30 Apr 2026,Exhibition,Hong Kong,4/27/26 0:00,4/30/26 0:00,
HKTDC Hong Kong International Licensing Show & Asian Licensing Conference 2026 (HKCEC),https://www.hktdc.com/event/hklicensingshow/en,27 - 29 Apr 2026,"Exhibition, Conference",Hong Kong,4/27/26 0:00,4/29/26 0:00,
HKTDC Hong Kong International Medical and Healthcare Fair 2026 (HKCEC),https://www.hktdc.com/event/hkmedicalfair,11 - 13 May 2026,Exhibition,Hong Kong,5/11/26 0:00,5/13/26 0:00,
Asia Summit on Global Health 2026,https://www.asiasummitglobalhealth.com/conference/asgh/en,11 - 12 May 2026,"Conference, Forum",Hong Kong,5/11/26 0:00,5/12/26 0:00,
HKTDC Hong Kong Book Fair 2026 (HKCEC),https://hkbookfair.hktdc.com/en/index.html,15 - 21 Jul 2026,"Exhibition, Public Event",Hong Kong,7/15/26 0:00,7/21/26 0:00,
HKTDC Hong Kong Sports and Leisure Expo 2026 (HKCEC),https://www.hktdc.com/event/hksportsleisureexpo/en,15 - 21 Jul 2026,"Exhibition, Public Event",Hong Kong,7/15/26 0:00,7/21/26 0:00,
HKTDC World of Snacks 2026 (HKCEC),https://www.hktdc.com/event/worldofsnacks/en,15 - 21 Jul 2026,"Exhibition, Public Event",Hong Kong,7/15/26 0:00,7/21/26 0:00,
HKTDC Food Expo PRO 2026 (HKCEC),https://www.hktdc.com/event/foodexpopro/en,13 - 15 Aug 2026,Exhibition,Hong Kong,8/13/26 0:00,8/15/26 0:00,
HKTDC Hong Kong International Tea Fair 2026 (HKCEC),https://www.hktdc.com/event/hkteafair,13 - 15 Aug 2026,"Exhibition, Public Event",Hong Kong,8/13/26 0:00,8/15/26 0:00,
HKTDC Food Expo 2026 (HKCEC),https://www.hktdc.com/event/hkfoodexpo,13 - 17 Aug 2026,"Exhibition, Public Event",Hong Kong,8/13/26 0:00,8/17/26 0:00,
HKTDC Home Delights Expo 2026 (HKCEC),https://www.hktdc.com/event/homedelights/en,13 - 17 Aug 2026,"Exhibition, Public Event",Hong Kong,8/13/26 0:00,8/17/26 0:00,
HKTDC Beauty & Wellness Expo 2026 (HKCEC),https://www.hktdc.com/event/hkbeautyexpo/en,13 - 17 Aug 2026,"Exhibition, Public Event",Hong Kong,8/13/26 0:00,8/17/26 0:00,
Salon de TIME 2026 (HKCEC),https://www.hktdc.com/event/te,1 - 5 Sep 2026,"Exhibition, Public Event",Hong Kong,9/1/26 0:00,9/5/26 0:00,
HKTDC Hong Kong Watch & Clock Fair 2026 (HKCEC),https://www.hktdc.com/event/hkwatchfair,1 - 5 Sep 2026,Exhibition,Hong Kong,9/1/26 0:00,9/5/26 0:00,
CENTRESTAGE 2026 (HKCEC) ,https://centrestage.com.hk/,2 - 5 Sep 2026,"Exhibition, Public Event",Hong Kong,9/2/26 0:00,9/5/26 0:00,
HKTDC Hong Kong Electronics Fair (Autumn Edition) 2026 (HKCEC),https://www.hktdc.com/event/hkelectronicsfairae,13 - 16 Oct 2026,Exhibition,Hong Kong,10/13/26 0:00,10/16/26 0:00,
electronicAsia 2026 (HKCEC),https://www.hktdc.com/event/electronicasia,13 - 16 Oct 2026,Exhibition,Hong Kong,10/13/26 0:00,10/16/26 0:00,
Eco Expo Asia 2026 (AsiaWorld-Expo),https://www.hktdc.com/event/ecoexpoasia,26 - 29 Oct 2026,Exhibition,Hong Kong,10/26/26 0:00,10/29/26 0:00,
HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2026 (HKCEC),https://www.hktdc.com/event/hklightingfairae,27 - 30 Oct 2026,Exhibition,Hong Kong,10/27/26 0:00,10/30/26 0:00,
HKTDC Hong Kong International Optical Fair 2026,https://www.hktdc.com/event/hkopticalfair,4 - 6 Nov 2026,Trade Fair,Hong Kong,11/4/26 0:00,11/6/26 0:00,
HKTDC Hong Kong International Wine and Spirits Fair 2026 (HKCEC),https://www.hktdc.com/event/hkwinefair,5 - 7 Nov 2026,Exhibition,Hong Kong,11/5/26 0:00,11/7/26 0:00,
Hong Kong International Stationery and School Supplies Fair 2027 (HKCEC),https://www.hktdc.com/event/hkstationeryfair,11 - 14 Jan 2027,Exhibition,Hong Kong,1/11/27 0:00,1/14/27 0:00,
HKTDC Hong Kong Toys & Games Fair 2027 (HKCEC),https://www.hktdc.com/event/hktoyfair,11 - 14 Jan 2027,Exhibition,Hong Kong,1/11/27 0:00,1/14/27 0:00,
HKTDC Hong Kong Baby Products Fair 2027,https://www.hktdc.com/event/hkbabyfair,11 - 14 Jan 2027,Exhibition,Hong Kong,1/11/27 0:00,1/14/27 0:00,
