Event Title,Event Date,Event City,Event Country,Event Description,Event More Description,Event URL
Gartex Texprocess Mumbai,09.–11.April2026, Mumbai, IND,,international trade fair Textiles & Textile Technologies,https://www.gartexindia.com
SUED Annual congress 2026,09.–11.April2026, Frankfurt/Main, DEU,,conference,https://congress.seud.org/
Baby & Stroller China,09.–11.April2026, Shenzhen, CHN,"Shenzhen International Stroller, Mother and Baby Product Fair",international trade fair Consumer Goods,https://shenzhen-international-stroller-mother-and-baby-product-fair.hk.messefrankfurt.com/
Alex Warren,10.April2026, Frankfurt/Main, DEU,Little Orphan Alex Live,show,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/alexwarren.html
VELOBerlin,11.–12.April2026, Berlin, DEU,The bike festival,exhibition open to the public Mobility & Logistics,https://veloberlin.com/
ABBAMANIA THE SHOW,12.April2026, Frankfurt/Main, DEU,Dancing Queen - Tour 2026,concert,http://festhalle.messefrankfurt.com/content/messefrankfurt-redaktion/festhalle/frankfurt/de/event-calendar/abba.html
AMR - Auto Maintenance & Repair Expo,13.–15.April2026, Beijing, CHN,"China International Trade Fair For Auto Service, Parts, Maintenance And Repair Technology And Equipment",regional trade fair Mobility & Logistics,http://auto-maintenance.cn.messefrankfurt.com
Johannes Oerding,14.April2026, Frankfurt/Main, DEU,Arena Tour 2026,concert,https://festhalle.messefrankfurt.com/oerding
prostep ivip Symposium 2026,14.–15.April2026, Frankfurt/Main, DEU,,conference,https://www.symposium.de/de/
Kingpins Show Amsterdam Spring,15.–16.April2026, Amsterdam, NLD,,international trade fair Textiles & Textile Technologies,https://kingpinsshow.com
Esri International Infrastructure Management & GIS Conference 2026,15.–17.April2026, Frankfurt/Main, DEU,,conference,https://www.esri.com/en-us/about/events/international-imgis/overview
Felix Lobrecht,16.–18.April2026, Frankfurt/Main, DEU,Sell Out,concert,http://festhalle.messefrankfurt.com/lobrecht
Gods of Ink Tattoo Convention Frankfurt,17.–19.April2026, Frankfurt/Main, DEU,,international trade fair,http://www.godsofinktattooconvention.com
Santiano 2026,19.April2026, Frankfurt/Main, DEU,Die große Arena Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/santiano.html
Michael Patrick Kelly,20.April2026, Frankfurt/Main, DEU,Traces Tour 2026,concert,https://festhalle.messefrankfurt.com/michaelpatrickkelly
Texprocess,21.–24.April2026, Frankfurt/Main, DEU,Leading International Trade Fair for Processing Textile and Flexible Materials,international trade fair Textiles & Textile Technologies,http://texprocess.com
Techtextil,21.–24.April2026, Frankfurt/Main, DEU,Leading International Trade Fair for Technical Textiles and Nonwovens,international trade fair Textiles & Textile Technologies,http://techtextil.com
Motobike Istanbul,22.–25.April2026, Istanbul, TUR,"Türkiye’s Leading International Motorcycle, Bicycle, and Accessories Exhibition",international exhibition Mobility & Logistics,https://motobike-istanbul.tr.messefrankfurt.com/istanbul/en.html
Secutech,22.–24.April2026, Taipei, TWN,"International Exhibition and Conference for Security, Smart building, Mobility, Fire and Safety and disaster recovery","international exhibition and conference Safety, Security & Fire",https://secutech.tw.messefrankfurt.com
Eurobike Istanbul,22.–25.April2026, Istanbul, TUR,,trade fair Mobility & Logistics,https://eurobike-istanbul.tr.messefrankfurt.com/istanbul/en.html
PENTATONIX,22.April2026, Frankfurt/Main, DEU,European Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/pentatonix.html
AERO Friedrichshafen,22.–25.April2026, Friedrichshafen, DEU,The Leading Show for General Aviation,trade fair Mobility & Logistics,https://www.aero-expo.de/
Aymen & Amo,25.April2026, Frankfurt/Main, DEU,AYMO Arena Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/aymen.html
BAI Alternative Investor Conference (AIC) 2026,27.–29.April2026, Frankfurt/Main, DEU,,conference,https://www.ai-conference.com/
Heimtextil Colombia licensed by Messe Frankfurt Exhibition GmbH,28.–30.April2026, Medellin, COL,,international trade fair Textiles & Textile Technologies,https://heimtextilcolombia.com
AI Day 2026,28.April2026, Frankfurt/Main, DEU,,conference,https://ai-days.com/
Smart Home Expo,28.–30.April2026, Mumbai, IND,,international trade fair Building Technologies,https://www.smarthomeexpo.in/
Hobby-X,30.April–03.May2026, Johannesburg, ZAF,,exhibition open to the public Consumer Goods,http://www.hobby-x.co.za
Tame Impala 2026,30.April2026, Frankfurt/Main, DEU,DEADBEAT,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/tameimpala.html
CARDMADNESS 2026,02.–03.May2026, Frankfurt/Main, DEU,,conference,https://cardmadness.eu/
Automechanika Riyadh,04.–06.May2026, Riyadh, SAU,,regional trade fair Mobility & Logistics,https://automechanika-riyadh.ae.messefrankfurt.com/riyadh/en.html
Comtrux Astana licensed to Business Media Central Asia LLP,05.–07.May2026, Astana, KAZ,The Trade Hub for Commercial Vehicles and Road Logistics in Central Asia,trade fair Mobility & Logistics,https://comtrans.kz/en/
Optatec,05.–07.May2026, Frankfurt/Main, DEU,,international trade fair,http://www.optatec-messe.de/
Tech Show Frankfurt,06.–07.May2026, Frankfurt/Main, DEU,,international trade fair,https://www.techshowfrankfurt.de/messefrankfurt
German Testing Day 2026,06.–07.May2026, Frankfurt/Main, DEU,Die unabhängige Konferenz zu Software-Qualität,conference,https://www.germantestingday.info/de
Bundesbank-Symposium – Bankenaufsicht im Dialog,07.May2026, Frankfurt/Main, DEU,,conference,https://www.bundesbank.de/de/service/termine/bundesbank-symposium-629518
Light+LED Expo Mumbai,07.–09.May2026, Mumbai, IND,,international trade fair Building Technologies,http://led-expo-mumbai.in.messefrankfurt.com
Intersec Shanghai,07.–09.May2026, Shanghai, CHN,"International Trade Fair for Security, Safety and Fire Protection","international trade fair Safety, Security & Fire",http://www.intersec-shanghai.com
ShishaMesse,08.–10.May2026, Frankfurt/Main, DEU,The world's biggest Expo for Shisha & Vape Products,international trade fair,https://shishamesse.de/de/frankfurt
Einstieg Frankfurt 2026,08.–09.May2026, Frankfurt/Main, DEU,,exhibition open to the public,https://www.einstieg.com/messen/frankfurt.html
Frei.Wild,10.May2026, Frankfurt/Main, DEU,Immer unter Feuer,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/freiwild.html
Automechanika Kuala Lumpur,14.–16.May2026, Kuala Lumpur, MYS,Malaysia’s leading regional trade fair for the automotive service industry targeting trade visitors from ASEAN,regional trade fair Mobility & Logistics,http://automechanika-kualalumpur.hk.messefrankfurt.com
Dino Merlin,16.May2026, Frankfurt/Main, DEU,,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/dinomerlin.html
Beautyworld Japan Tokyo,18.–20.May2026, Tokyo, JPN,The Largest Trade Fair for Beauty and Spa Industries in Japan,international trade fair Consumer Goods,https://beautyworld-japan.jp.messefrankfurt.com
Beautyworld Riyadh,18.–20.May2026, Riyadh, SAU,"Saudi Arabia’s premier beauty event has come to a powerful close, marking another unforgettable chapter in the Kingdom’s growing beauty and wellness industry.",international trade fair Consumer Goods,https://beautyworld-riyadh.ksa.messefrankfurt.com/ksa/en.html
Automechanika Istanbul,19.–22.May2026, Istanbul, TUR,"Turkey`s leading international trade fair for the automotive service industry targeting trade visitors from Turkey, Eastern Europe, Asia and North Africa",international trade fair Mobility & Logistics,https://automechanika-istanbul.tr.messefrankfurt.com/istanbul/en.html
IMEX,19.–21.May2026, Frankfurt/Main, DEU,,international trade fair,https://frankfurt.imexevents.com/newfront
Intelligent Building Expo Tashkent,20.–22.May2026, Tashkent, UZB,,trade fair Building Technologies,N/A
CAPAS,21.–23.May2026, Chengdu, CHN,Chengdu International Trade Fair for Automotive Parts and Aftermarket Services,international trade fair Mobility & Logistics,http://capas-chengdu.hk.messefrankfurt.com
Flo Rida,21.May2026, Frankfurt/Main, DEU,Club Can't Handle Europe Tour,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/florida.html
SPS Italia,26.–28.May2026, Parma, ITA,Smart Production Solutions,international trade fair and virtual event Electronics & Automation Technologies partner event,https://spsitalia.it.messefrankfurt.com/parma/it.html
SightCity 2026,27.–29.May2026, Frankfurt/Main, DEU,,conference,https://sightcity.net/
Prolight + Sound Guangzhou,28.–31.May2026, Guangzhou, CHN,Guangzhou International Professional Light and Sound Exhibition,international exhibition Event & Entertainment Technologies,https://prolight-sound-guangzhou.hk.messefrankfurt.com
DJ Bobo,31.May2026, Frankfurt/Main, DEU,Arena Tour 2026,concert,http://festhalle.messefrankfurt.com/djbobo
Emitex Simatex Confemaq,02.–04.June2026, Buenos Aires, ARG,International Trade Fair of Suppliers for the Garment Industry,international trade fair Textiles & Textile Technologies,https://emitex.ar.messefrankfurt.com/
The UK Garage & Bodyshop Event,03.–04.June2026, Birmingham, GBR,,regional trade fair Mobility & Logistics,https://uk.messefrankfurt.com/london/en/UKGarageandBodyshopEvent.html
PCIM,09.–11.June2026, Nuremberg, DEU,"International Exhibition and Conference for Power Electronics, Intelligent Motion, Renewable Energy and Energy Management",international exhibition and conference Electronics & Automation Technologies,https://pcim.mesago.com
Calum Scott,09.June2026, Frankfurt/Main, DEU,The Avenoir Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/calumscott.html
Intertextile Shenzhen Apparel Fabrics,09.–11.June2026, Shenzhen, CHN,Greater Bay Area International Trade Fair for Apparel Fabrics and Accessories,international trade fair Textiles & Textile Technologies,https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en.html
Guangzhou International Lighting Exhibition + Guangzhou Electrical Building Technology,09.–12.June2026, Guangzhou, CHN,The most influential and comprehensive lighting and LED event in Asia,international trade fair Building Technologies,http://light.messefrankfurt.com.cn
Automechanika Astana licensed to Business Media Central Asia LLP,10.–12.June2026, Astana, KAZ,Kazakhstan’s leading regional trade fair for the automotive service industry targeting trade visitors from Kazakhstan and Central Asia,regional trade fair Mobility & Logistics,http://automechanika.kz/en/
Interior Lifestyle Tokyo,10.–12.June2026, Tokyo, JPN,,international trade fair Consumer Goods,https://interiorlifestyle-tokyo.jp.messefrankfurt.com
AERO South Africa,10.–12.June2026, Johannesburg, ZAF,,international trade fair Mobility & Logistics,https://aerosouthafrica.com/
E-Waste/Battery Recycling/ Metal Recycling/ITAD & Circular Electronics,17.–18.June2026, Frankfurt/Main, DEU,"The event for electronics, battery, metal recyclers & ITAD companies to come together to discover the latest innovations and solutions to create a circular economy for critical raw materials",international trade fair,https://ewaste-expo.com/
Automechanika Ho Chi Minh City,18.–20.June2026, Ho Chi Minh City, VNM,Vietnam’s Leading Regional Trade Fair for the Automotive Service Industry targeting Trade Visitors from Vietnam,regional trade fair Mobility & Logistics,http://automechanika-hcmc.com
Interpets Osaka,19.–21.June2026, Osaka, JPN,International fair for a better life with pets serving Western Japan,regional trade fair Consumer Goods,https://interpets-osaka.jp.messefrankfurt.com/
Zucchero,20.June2026, Frankfurt/Main, DEU,World Tour 2026,concert,https://festhalle.messefrankfurt.com/zucchero
Interior Lifestyle South America licensed by Messe Frankfurt Exhibition GmbH,22.–25.June2026, Sao Paulo, BRA,,trade fair Consumer Goods,https://interiorlifestyle.com.br/en/
EUROBIKE,24.–27.June2026, Frankfurt/Main, DEU,,international trade fair Mobility & Logistics,https://eurobike.com
AnnenMayKantereit,03.July2026, Frankfurt/Main, DEU,Live 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/annenmaykantereit.html
INA PAACE Automechanika Mexico City,08.–10.July2026, Mexico City, MEX,Mexico´s leading international trade fair for the automotive service industry targeting trade visitors from Latin and Central America,international trade fair Mobility & Logistics,https://paace-automechanika-mexico.us.messefrankfurt.com
Allfashion Sourcing,14.–16.July2026, Cape Town, ZAF,,trade exhibition Textiles & Textile Technologies,https://allfashionsourcing.za.messefrankfurt.com
Tom Jones,16.July2026, Frankfurt/Main, DEU,Come Gather Round,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/tomjones.html
Apparel Sourcing Los Angeles,21.–23.July2026, Los Angeles, USA,,international trade fair Textiles & Textile Technologies,https://texworld-la.us.messefrankfurt.com/los-angeles/en/OurShows/ApparelSourcingLA.html
Texworld Los Angeles / Home Textiles Sourcing Los Angeles,21.–23.July2026, Los Angeles, USA,,international trade fair Textiles & Textile Technologies,https://texworld-la.us.messefrankfurt.com/los-angeles/en.html
Nordstil Sommer,25.–27.July2026, Hamburg, DEU,,trade fair Consumer Goods,https://nordstil.messefrankfurt.com
Apparel Sourcing New York City Summer,29.–31.July2026, New York, USA,,international trade fair Textiles & Textile Technologies,https://texworld-usa.us.messefrankfurt.com/new-york/en/facts-figures/ApparelSourcingNYC.html
Texworld New York City Summer,29.–31.July2026, New York, USA,"The International Trade Fair: Fabrics, Trims, Accessories",international trade fair Textiles & Textile Technologies,http://TexworldUSA.com
Home Textiles Sourcing,29.–31.July2026, New York, USA,,international trade fair Textiles & Textile Technologies,https://home-textiles-sourcing.us.messefrankfurt.com/new-york/en.html
Gifts World Expo Delhi,30.July–01.August2026, New Delhi, IND,,international trade fair Consumer Goods,https://giftsworldexpo.com/del/
Paperworld Delhi,30.July–01.August2026, New Delhi, IND,,trade fair Consumer Goods,https://paperworldnewdelhi.in.messefrankfurt.com/newdelhi/en.html
TREAM Open Air,30.July2026, Frankfurt/Main, DEU,Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/treamopenair.html
Techtextil North America Raleigh,04.–06.August2026, Raleigh, USA,International Trade Fair for Technical Textiles and Nonwovens,international trade fair Textiles & Textile Technologies,https://www.techtextilna.com
Gartex Texprocess New Delhi,06.–08.August2026, New Delhi, IND,,international trade fair Textiles & Textile Technologies,https://www.gartexindia.com
Weltmeisterschaften Rhythmische Sportgymnastik Frankfurt 2026,12.–16.August2026, Frankfurt/Main, DEU,,sporting event,https://www.dtb.de/shows-events/wettkaempfe
Intertextile Shanghai Home Textiles - Autumn Edition,18.–20.August2026, Shanghai, CHN,China International Trade Fair for Home Textiles and Accessories,international trade fair Textiles & Textile Technologies,http://www.intertextilehome.com
AAG - Auto Aftermarket Guangzhou,19.–21.August2026, Guangzhou, CHN,,trade fair Mobility & Logistics,http://www.aag.org.cn/en/
Gifts World Expo Bangaluru,20.–22.August2026, Bengaluru, IND,,regional trade fair Consumer Goods,https://giftsworldexpo.com/blr/
PCIM Asia Shenzhen,26.–28.August2026, Shenzhen, CHN,"International Exhibition and Conference for Power Electronics, Intelligent Motion, Renewable Energy and Energy Management",international exhibition and conference Electronics & Automation Technologies partner event,http://pcimasia-expo.com
Formnext Asia Shenzhen,26.–28.August2026, Shenzhen, CHN,"Shenzhen International Exhibition for 3D Printing, Additive Manufacturing and Advanced Forming Technologies",international exhibition Manufacturing Technologies & Components,http://www.formnext-shenzhen.com
Festival of Motoring Johannesburg,28.–30.August2026, Johannesburg, ZAF,,trade fair open to the public Mobility & Logistics,http://safestivalofmotoring.com
Texworld Paris Autumn,31.August–02.September2026, Paris, FRA,"The International Trade Fair: Fabrics, Trims, Accessories",international trade fair Textiles & Textile Technologies,https://texworld-paris.fr.messefrankfurt.com
Apparel Sourcing Paris Autumn,31.August–02.September2026, Paris, FRA,,international trade fair Textiles & Textile Technologies,https://texworld-paris.fr.messefrankfurt.com
Cinte Techtextil China,01.–03.September2026, Shanghai, CHN,International Trade Fair for Technical Textiles and Nonwovens,international trade fair Textiles & Textile Technologies,http://techtextilchina.com
Hotelga,02.–04.September2026, Buenos Aires, ARG,,international trade fair and trade congress Consumer Goods,https://www.hotelga.com.ar
Neonyt Paris (Sommer) licensed to WSN Développement SAS,05.–07.September2026, Paris, FRA,,international trade fair Textiles & Textile Technologies,https://wsn-events.com/en/impact-x-neonyt-paris
Automechanika Frankfurt,08.–12.September2026, Frankfurt/Main, DEU,The world’s leading trade fair for the automotive service industry,international trade fair Mobility & Logistics,https://automechanika.messefrankfurt.com
Foundry Tech + Expo,09.–11.September2026, Tokyo, JPN,,international trade fair Manufacturing Technologies & Components,http://www.foundrytechexpo.com
Secutech Vietnam,09.–12.September2026, Hanoi, VNM,,"international exhibition and conference Safety, Security & Fire",https://secutechvietnam.tw.messefrankfurt.com/hanoi/en.html
Thermotec,09.–11.September2026, Tokyo, JPN,"International Exhibition on Industrial Furnace, Thermal Technology, Equipment and Material",international exhibition Manufacturing Technologies & Components,http://thermotec-expo.com
Tecno Fidta,15.–18.September2026, Buenos Aires, ARG,"International Food Technology, Additives and Ingredients Exhibition",international trade fair Food Technologies,https://tecnofidta.ar.messefrankfurt.com
CCBEC Shenzhen,16.–18.September2026, Shenzhen, CHN,China (Shenzhen) Cross Border E-Commerce Fair - Autumn Edition,trade fair Consumer Goods,https://ccbec-shenzhen-autumn.hk.messefrankfurt.com/shenzhen/en.html
Media Expo Delhi,17.–19.September2026, New Delhi, IND,International Exhibition on Indoor & Outdoor Advertising and Signage Solutions,international exhibition Event & Entertainment Technologies,http://mediaexpo-delhi.com
Evanescence + Poppy,19.September2026, Frankfurt/Main, DEU,Europe 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/evanescence.html
Haftbefehl,20.September2026, Frankfurt/Main, DEU,Arena Live Shows 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/haftbefehl.html
Jazeek,21.September2026, Frankfurt/Main, DEU,4EVER TOUR 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/jazeek.html
Texcare Asia & China Laundry Expo,21.–23.September2026, Shanghai, CHN,"TXCA & CLE International Trade Fair for Textile Laundry, Leather Care, Cleaning Technology and Equipment","international trade fair Textile Care, Cleaning & Cleanroom Technologies",http://txca-cle.com
AMI Compounding & Recycling Expo,23.–24.September2026, Frankfurt/Main, DEU,,international trade fair,https://events.amiplastics.com/compounding-recycling-expo-eu
ISSE International Smart Space Exhibition,23.–27.September2026, Hangzhou, CHN,,trade fair Building Technologies,https://international-smart-space-exhibition.hk.messefrankfurt.com/hangzhou/en.html
Automechanika Jakarta,24.–27.September2026, Jakarta, IDN,tbc,regional trade fair Mobility & Logistics,http://automechanika-jakarta.hk.messefrankfurt.com
André Rieu,24.September2026, Frankfurt/Main, DEU,Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/andrerieu26.html
Finance26,25.–26.September2026, Frankfurt/Main, DEU,,international trade fair,https://www.wot-messe.de/home/
Apache 207,25.–26.September2026, Frankfurt/Main, DEU,ARENA-TOUR 2026,concert,https://festhalle.messefrankfurt.com/apache
Intersec Saudi Arabia,29.September–01.October2026, Riyadh, SAU,,"international trade fair Safety, Security & Fire",N/A
Prolight + Sound Bangkok,30.September–02.October2026, Bangkok, THA,,trade fair Event & Entertainment Technologies,https://prolight-sound-bangkok.hk.messefrankfurt.com/bangkok/en.html
Beautyworld Dubai,06.–08.October2026, Dubai, ARE,"The Largest International Trade Fair for Beauty Products, Hair, Fragrances and Wellbeing in the Middle East",international trade fair Consumer Goods,http://beautyworldme.com
Transport + Traffic Infratech Expo,07.–08.October2026, New Delhi, IND,,"trade fair Safety, Security & Fire",https://trafficinfratechexpo.com/
Frankfurter Buchmesse 2026,07.–11.October2026, Frankfurt/Main, DEU,,international trade fair,https://www.buchmesse.de/
Interior Lifestyle China,08.–10.October2026, Shanghai, CHN,,trade fair Consumer Goods,http://il-china.com
Apparel Sourcing Tashkent licensed to LLC BMC-LLP,12.–14.October2026, Tashkent, UZB,Touch the world of textiles NOW in Central Asia,trade fair Textiles & Textile Technologies,https://apparel-sourcing.uz/eng
Heimtextil Uzbekistan licensed to LLC BMC-LLP,12.–14.October2026, Tashkent, UZB,Opening the business for interior and contract textiles in Central Asia,trade fair Textiles & Textile Technologies,http://www.heimtextil.uz
Texworld Tashkent licesed to LLC BMC-LLP,12.–14.October2026, Tashkent, UZB,Touch the world of textiles NOW in Central Asia,trade fair Textiles & Textile Technologies,http://www.texworld.uz
Paperworld Middle East,13.–15.October2026, Dubai, ARE,,international trade fair Consumer Goods,http://paperworldme.com
Gifts & Lifestyle Middle East,13.–15.October2026, Dubai, ARE,"A vibrant platform for lifestyle, accents and gifts",international trade fair Consumer Goods,https://gifts-lifestyle-middle-east.ae.messefrankfurt.com/dubai/en.html
DIE NERVIGEN Live 2026,16.October2026, Frankfurt/Main, DEU,,show,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/dienervigen.html
SimRacing Expo,16.–18.October2026, Frankfurt/Main, DEU,,international trade fair,https://simracingexpo.de/
AMON AMARTH,17.October2026, Frankfurt/Main, DEU,The Allfather Awakens 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/amonamarth.html
The World of Hans Zimmer,18.October2026, Frankfurt/Main, DEU,A NEW DIMENSION,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/worldofhanszimmer.html
Beautyworld Osaka,19.–21.October2026, Osaka, JPN,The Key Beauty Trade Fair for Western Japan's Beauty Industry,trade fair Consumer Goods,https://beautyworld-japan-osaka.jp.messefrankfurt.com
Dardan,20.October2026, Frankfurt/Main, DEU,Dilemma Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/dardan.html
EMV Seminare,20.–22.October2026, Leinfelden-Echterdingen, DEU,All-day seminars on Electromagnetic Compatibility (EMC),seminar Electronics & Automation Technologies,https://emv-seminars.mesago.com
Automechanika Tashkent licensed to LLC BMC-LLP,21.–23.October2026, Tashkent, UZB,Uzbekistan´s leading regional trade fair for the automotive service industry targeting trade visitors from Central Asia,trade fair Mobility & Logistics,https://www.automechanika.uz/eng
Comtrux Tashkent licensed to LLC BMC-LLP,21.–23.October2026, Tashkent, UZB,Uzbekistan´s leading regional trade fair for commercial vehicles and services targeting trade visitors from Central Asia,trade fair Mobility & Logistics,N/A
Mainova Frankfurt Marathon und Marathonmall,25.October2026, Frankfurt/Main, DEU,,sporting event,https://www.frankfurt-marathon.com/
Achema Middle East,26.–28.October2026, Riyadh, SAU,"ACHEMA Middle East is the region’s premier platform for process industry, connecting the entire ecosystem, from global tech leaders and solution providers to regional manufacturers and policymakers.",international trade fair Manufacturing Technologies & Components,http://www.achemame.com
Eco Expo Asia,26.–29.October2026, Hong Kong, HKG,International Trade Fair on Environmental Protection,international trade exhibition Environmental Technologies,http://www.ecoexpoasia.com
Automechanika Johannesburg,27.–29.October2026, Johannesburg, ZAF,South Africa’s Leading international trade fair for the automotive service industry targeting trade visitors from the Sub-Saharan Region,international trade fair Mobility & Logistics,http://automechanikasa.co.za
