company name,location,supplier_url,exhibitor_url,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,Company Website,Company Background,Brand Name
China Hong Kong Macao Chiropractic Association Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00650X9?fairCode=hkbeautyexpo&locale=en,,Service Company,"Healthcare Product, Healthcare Product, Healthcare Product, Healthcare Product",脊骨檢查服务,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Crystal of Love Healing (Social Enterprise) Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RKL?fairCode=hkbeautyexpo&locale=en,,"Charity / Welfare Organisation, Retailer, Service Company",,"Our products and services are designed with people at their core. Each crystal bracelet is originally designed by our team, and purified through Reiki energy and charged under moonlight to resonate with the wearer's inner needs.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,https://www.crystaloflove.art/,"We are a Hong Kong-based social enterprise dedicated to providing holistic support for women across mental, emotional, and spiritual dimensions. Our services encompass emotional guidance, entrepreneurial mentoring, and the use of energy crystals and mindfulness tools to help urban dwellers rediscover life's rhythm and direction. We believe that every life journey deserves to be heard with compassion, and that every pause can be the beginning of renewed strength.",
Ekeda FIR Technology Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066OZF?fairCode=hkbeautyexpo&locale=en,,"Manufacturer, Retailer","Healthcare Product,Smart Healthcare Electronics","CH-3805/CH-3806B Far Infrared Panels, CH-2028B Far Infrared Energy Foot Sauna, CH-2030 Knee restorer, CH-2030 Uterus warmer",OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Fortune Creation International Enterprise Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00650Y6?fairCode=hkbeautyexpo&locale=en,,"Charity / Welfare Organisation, Professional Association",,NA,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Healthfit Nutrition Management Ltd,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00653RO?fairCode=hkbeautyexpo&locale=en,,"Retailer, Service Company, Private Individual, Charity / Welfare Organisation, Statutory Body, Shopping Mall","Elderly Care Product, Joint & Bone Support, Chinese Medicated Oil, Anti-Aging Supplement, Elderly Care Product, Joint & Bone Support, Chinese Medicated Oil, Anti-Aging Supplement",宗旨：致力推廣排毒、預防疾病及保障個人健康！ 使命：日常生活習慣不當或工作壓力很大，對身體會做成很多不健康的因素構成了病患的出現。 病患問題，不單會影響其個人及其家人/社區醫療等等都會做成一個連鎖性的壓力令病人面對疾病及經濟上的折磨，HealthFit 使命盡力將健康意識帶給每一個人，使「人健康」減低醫療及社會上的負擔。,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Hong Kong Cell Repair & Health Centre Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00650VF?fairCode=hkbeautyexpo&locale=en,,"Retailer, Distributor, Trade/Industrial Organisation, Chain Store","Healing Products & Experience, Healthcare Product, Health Supplement, Health Food, Personal Care Product, Smart Healthcare Electronics, Healing Products & Experience, Healthcare Product, Health Supplement, Health Food, Personal Care Product, Smart Healthcare Electronics, Healing Products & Experience, Healthcare Product, Health Supplement, Health Food, Personal Care Product, Smart Healthcare Electronics",FMT products will help patients rebuild the intestinal microecology to achieve the treatment of intestinal and extraintestinal diseases.,"OBM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
"Hong Kong Dao Kang Biology Technology Co., Limited",Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DBQ?fairCode=hkbeautyexpo&locale=en,,Manufacturer,"Healthcare Product, Mindfulness & Meditation Tools, Health Supplement, Healing Products & Experience",漢方補腎命之寶 茶療,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Hong Kong Red Cross,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066KKS?fairCode=hkbeautyexpo&locale=en,,Retailer,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,https://training.redcross.org.hk/,本會開辦不同類型急救和健康護理訓練課程，讓市民掌握相關知識和技術，在緊急情況時救人自救。,香港紅十字會培訓中心
Hong Kong Yuansheng Holdings Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DEH?fairCode=hkbeautyexpo&locale=en,,"Consulate and Trade Commission, Retailer, Statutory Body, Importer, Buying Cooperative, Department Store, Buying Office, Professional Association, Distributor, Chain Store, Charity / Welfare Organisation, Wholesaler, Mail Order Co., Private Individual, Manufacturer, Others, Import Agent, Export Agent, Government, Trade/Industrial Organisation, Exporter, Service Company, Shopping Mall, Religious Group","Smart Healthcare Electronics, Healthcare Product",元生赛尔智能检测康复设备 依托前沿美国生物高科技，斩获FDA权威认证+国家二类医疗器械双认证。 融合AI智能算法、生物反馈与无创电刺激技术， 打造智能检测+风险预警+病理分析+AI精准修复+无创康复全生命周期健康闭环。 一键筛查7000+项健康风险，智能匹配500+套个性化调理方案， 全程无痛无创、躺式轻养生，高效改善亚健康，科学守护全民健康。,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Indigo Day Company Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00661SN?fairCode=hkbeautyexpo&locale=en,,Private Individual,"Scented Candle, Personal Care Product, Spiritual & Metaphysical Product, Scented Body Care, Mindfulness & Meditation Tools, Home Fragrance, Aroma Oil & Incense Stick, Scented Candle, Personal Care Product, Spiritual & Metaphysical Product, Scented Body Care, Mindfulness & Meditation Tools, Home Fragrance, Aroma Oil & Incense Stick, Scented Candle, Personal Care Product, Spiritual & Metaphysical Product, Scented Body Care, Mindfulness & Meditation Tools, Home Fragrance, Aroma Oil & Incense Stick","Gadgets (sound heal related) scents, album, etc",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Jade Technology Company Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RR0?fairCode=hkbeautyexpo&locale=en,,"Distributor, Service Company, Wholesaler, Others, Retailer, Export Agent",,"Pet-centric, health-assured.Bridging the gap through technology, our 9.34 Resonance Frequency Chip enhances energy and balance to achieve natural health and long-lasting vitality.Promotes Blood & Microcirculation: Enhances nutrient delivery and the e",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,"Jade Technology Company Limited is a forward-thinking enterprise dedicated to combining innovative technology with pet healthcare. Our brand name, ""Jade,"" embodies our core vision: Joyful experiences, Abundance of health, Dynamic vitality, and Eternity of love.",
Noble Pink Salt,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065R9I?fairCode=hkbeautyexpo&locale=en,,"Religious Group, Government, Statutory Body, Consulate and Trade Commission, Charity / Welfare Organisation, Professional Association, Private Individual","Personal Care Product, Mindfulness & Meditation Tools, Skin Care, Healing Products & Experience, Personal Care Product, Mindfulness & Meditation Tools, Skin Care, Healing Products & Experience, Personal Care Product, Mindfulness & Meditation Tools, Skin Care, Healing Products & Experience",利用粉紅岩鹽，2人心幾年前的喜馬拉雅山岩鹽作為提升個人健康氣場的工具。當中能夠使用心理感覺認知溝通技巧的教育，讓大家亦可以掌控自己的生活和成長過程。,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
SCENTEVER,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064Y02?fairCode=hkbeautyexpo&locale=en,,"Service Company, Retailer",Perfume,"SCENTEVER merges luxury fragrance with innovation, offering high-concentration pheromone parfums alongside cutting-edge scent tattoos and smart AI perfume bars. Crafting bespoke, 12-hour long-lasting aromas tailored to your individual chemistry.","OEM, OBM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026,www.scentever.com,"SCENTEVER stands as Hong Kong’s premier brand dedicated exclusively to high concentration pheromone parfums, crafted to redefine the art of personalized fragrance. Formulated at an elite Parfum concentration of 25%, our scents are meticulously hand-blended by a French-trained perfumer using US MSDS-certified organic botanical essential oils and premium French alcohol. Infused with a patented pheromone technology developed by a US laboratory, each fragrance interacts subtly with your natural body chemistry, transforming the same scent into a unique, signature aroma exclusive to you. Designed with an innovative layering concept, SCENTEVER allows you to seamlessly blend fragrances to create your own olfactory depth, enhancing your innate attraction and confidence. With our bespoke laser-engraving service and a remarkable longevity of 6 to 12 hours, we believe fragrance is a silent language, a powerful expression of individuality that turns every spray into an unforgettable statement of style.",
Soul Alliance Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00663HI?fairCode=hkbeautyexpo&locale=en,,Charity / Welfare Organisation,,"Promote mindfulness, encouraging people to live in the moment and raise self-awareness, as well as facilitating the cultivation of inner strength; Help the public with mind relaxation and stress relief; Help the public with unleash their potential",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,www.salhk.org/,"A non-profit organisation based in Hong Kong, Soul Alliance was registered in 2003 and restructured in 2017, with an aim to promote physical and mental wellbeing of the public, and ultimately achieve inner peace. We strive to: Promote mindfulness, encouraging people to live in the moment and raise self-awareness, as well as facilitating the cultivation of inner strength; Help the public with mind relaxation and stress relief; Help the public with unleash their potential and fulfil life goals; Foster kindness towards lives and the nature, benefitting and contributing to the world with love.",
Starry K workshop,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RE3?fairCode=hkbeautyexpo&locale=en,,"Mail Order Co., Retailer",,"Everyone has been living in a challenging environment, facing career choices and life changes. We hope to use the natural energy of crystals to change everyone's mindset, transform negative emotions into positive energy to face various challenges.",OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
The Hong Kong Ballet Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00657MZ?fairCode=hkbeautyexpo&locale=en,,Others,"Sports Accessories, Organic Beauty Product, Scented Body Care, Health Supplement, Sports Accessories, Organic Beauty Product, Scented Body Care, Health Supplement, Sports Accessories, Organic Beauty Product, Scented Body Care, Health Supplement, Sports Accessories, Organic Beauty Product, Scented Body Care, Health Supplement",Silver Ballet,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Trendy Cosmetic Store Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064WKG?fairCode=hkbeautyexpo&locale=en,,Retailer,"Hair Care, Hair Styling Tools, Hair Accessories",Daily products and services for retail consumers looking for better hair hygiene and growth.,"Others, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
UMI'S CREATION,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064WMA?fairCode=hkbeautyexpo&locale=en,,,"Perfume, Perfume","We used natural essential oils from all around the world in our products, to provide a special experience of smell.",OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
WISDOM EMPEROR STAR CO.,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RNC?fairCode=hkbeautyexpo&locale=en,,,"Spiritual & Metaphysical Product, Spiritual & Metaphysical Product, Spiritual & Metaphysical Product",Fortune telling,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Guangzhou Baiyun District Xuelei Fragrance Museum,Chinese Mainland,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065CMU?fairCode=hkbeautyexpo&locale=en,,"Retailer, Trade/Industrial Organisation","Scented Body Care, Perfume, Aroma Diffuser, Home Fragrance, Scented Candle, Scented Body Care, Perfume, Aroma Diffuser, Home Fragrance, Scented Candle, Scented Body Care, Perfume, Aroma Diffuser, Home Fragrance, Scented Candle","Perfume, Reed diffusers, Scented candles, Scented sachets, Refrigerator magnets, etc.",ODM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
"Hunan Shea Biotechnology Co., Ltd.",Chinese Mainland,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065ZRS?fairCode=hkbeautyexpo&locale=en,,"Department Store, Distributor","Hair Care, Skin Care, Hair Care, Skin Care",面部精油、面膜、面霜、乳液、洗发水、牙膏、洁面皂、护手霜、身体乳,OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,"Founded in 2021 and located in Longping High-Tech Park, Changsha Hunan Free Trade Zone, Hunan Shea Biotechnology Co., Ltd. is a China-based biotech enterprise focusing on African botanical skincare research, brand operation and import & export business. We independently own the natural skincare brand SHEACOCOA, named after two iconic African skin-nourishing ingredients: shea butter and cacao butter. We have established official industry-university-research cooperation with the Embassy of Mali in China and Hunan Agricultural University, building a direct raw material supply chain from West African tropical rainforests. Our core raw materials include organic shea, cacao and marula oil, all sourced from native African plantations, with domestic standardized planting bases for stable production and full traceability testing system. Combining African ancient plant skincare wisdom and modern Chinese cosmetic technology, SHEACOCOA develops mild, repairing botanical skincare products covering facial oil, cream, cleanser and body care. Beyond skincare, our brand breaks stereotypes about Africa by sharing authentic rainforest landscapes and indigenous culture with Chinese consumers. We also run the LIVE FOR LOVE women empowerment program to support local African farmers and craft com",
One Day Dental,Chinese Mainland,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00650UI?fairCode=hkbeautyexpo&locale=en,,Service Company,"Elderly Care Product, Elderly Care Product",Dental Clinic,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,www.onedaydental.cn/,One Day Dental Shenzhen pioneered the OneDay Digital Dentistry treatment philosophy.,
Saishunkan Pharmaceutical Company Limited,Japan,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DGB?fairCode=hkbeautyexpo&locale=en,,"Mail Order Co., Distributor, Department Store, Import Agent, Chain Store, Importer","Elderly Care Product, Home Fragrance, Health Food, Skin Care","Domohorn Wrinkle Premium Japanese skincare and wellness brand. Combining traditional Kampo wisdom with advanced science, we offer collagen-infused formulations that awaken the skin's natural power for timeless beauty and holistic vitality.",OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,www.domohornwrinkle.com/ja?srsltid=AfmBOor-NlZ-f-LYuBBGeuXyFumVuiao-r5u9AYWcVcKiAFCP3FmfWJX,"Established in 1932 in Kumamoto, Japan, Saishunkan Pharmaceutical Co., Ltd. is a pioneer in timeless skincare and wellness, dedicated to helping people embrace beauty and health at every stage of life. Guided by the philosophy of traditional Kampo (herbal medicine) combined with cutting-edge dermatological science, we strive to awaken the skin's natural innate self-recovery capabilities. In 1974, we introduced ""Domohorn Wrinkle,"" Japan's first skincare line to incorporate collagen, which has since become a deeply trusted flagship brand loved by millions for over half a century. We manage our entire process from raw material selection and rigorous scientific research to state-of-the-art manufacturing and direct customer care at our own eco-friendly facility in Kumamoto, ensuring the highest standards of safety and quality. Recognizing the rapidly growing demand for premium, holistic wellness solutions worldwide, Saishunkan is actively expanding its global footprint. At the HKTDC Beauty & Wellness Expo 2026, we are proud to showcase our signature skincare and wellness products to people not only in Hong Kong but also worldwide.",
YuHai International Health & Wellness City,Chinese Mainland,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0066H0J?fairCode=hkbeautyexpo&locale=en,,Service Company,,"Yuhai InternationalHealth & WellnessCommunity boasts prime Zhuhai location with easy access to HongKong and Macau. It offers independent senior living, professional dementia and palliative care, supported by an on-site Class II rehabilitation hospita",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,www.yhccrc.com,,
Zelltical UG,Germany,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00650WC?fairCode=hkbeautyexpo&locale=en,,"Wholesaler, Retailer","Personal Care Product, Health Supplement, Personal Care Product, Health Supplement",保健產品,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
"Hair Rejuvenation Co., Limited",Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064D9W?fairCode=hkbeautyexpo&locale=en,,Service Company,Hair Care,Product HAIR REJUVENATING SHAMPOO HAIR REJUVENATING ESSENCE PURIFYING SCALP FOLLICLE HAIR REVITALISING PREMIERE SERUM HERB NUTRITIONAL HAIR OIL Service HAIRSCALP CHECKING HAIR TREATMENT BOOKING,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Beauty & Wellness Expo 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Beauty & Wellness Expo 2022 HKTDC Beauty & Wellness Expo 2021,hair-rejuvenation.hk,"The philosophy and vision of Hair Rejuvenation (Social Enterprise) is let the public recognize the work ability of the hearing impaired, we believe that they can use their strengths, be independent, become professional, and help others. The founder (AMY) of Hair Rejuvenation (Social Enterprise) is born with a hearing impairment. She has been a volunteer for the ""Hong Kong Deaf Welfare Promotion Association"" for many years. She has a deep understanding of the difficulties in obtaining employment for the hearing impaired. Since 2010, Hair Rejuvenation have begun preparations and have continued to practice and accumulate experience. During the period, they rely on the help of many industry seniors, and the results are gradually being seen. With the help of talented and kind people from all walks of life. Hair Rejuvenation,(Social Enterprise) for the hearing impaired, was established to assist the hearing impaired in employment and to promote the message of the deaf and healthy inclusiveness: the hearing impaired and the hearing impaired can communicate effectively, and the hearing impaired is no different from ordinary people, or even become more focused because you can't hear it.",
M & J Business Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064WP1?fairCode=hkbeautyexpo&locale=en,,"Retailer, Wholesaler, Manufacturer",,負離子遠紅外線用品，靈芝王生命液,OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC Hong Kong Sports and Leisure Expo 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC Hong Kong Sports and Leisure Expo 2024 HKTDC Beauty & Wellness Expo 2023 HKTDC Hong Kong Sports and Leisure Expo 2023 Show More,www.mandjlife.com,,
The Zebra Wellness Group Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00650TL?fairCode=hkbeautyexpo&locale=en,,Service Company,"Hair Care, Hair Styling Tools, Cosmetics, Hair Accessories, Slimming Product, Beauty Salon Equipment, Skin Care, Facial Care Instrument, Online Shopping Platform, Manicure Supplies, Organic Beauty Product, Hair Care, Hair Styling Tools, Cosmetics, Hair Accessories, Slimming Product, Beauty Salon Equipment, Skin Care, Facial Care Instrument, Online Shopping Platform, Manicure Supplies, Organic Beauty Product, Hair Care, Hair Styling Tools, Cosmetics, Hair Accessories, Slimming Product, Beauty Salon Equipment, Skin Care, Facial Care Instrument, Online Shopping Platform, Manicure Supplies, Organic Beauty Product, Hair Care, Hair Styling Tools, Cosmetics, Hair Accessories, Slimming Product, Beauty Salon Equipment, Skin Care, Facial Care Instrument, Online Shopping Platform, Manicure Supplies, Organic Beauty Product, Hair Care, Hair Styling Tools, Cosmetics, Hair Accessories, Slimming Product, Beauty Salon Equipment, Skin Care, Facial Care Instrument, Online Shopping Platform, Manicure Supplies, Organic Beauty Product, Hair Care, Hair Styling Tools, Cosmetics, Hair Accessories, Slimming Product, Beauty Salon Equipment, Skin Care, Facial Care Instrument, Online Shopping Platform, Manicure Supplies, Organic Beauty Product, Hair Care, Hair Styling Tools, Cosmetics, Hair Accessories, Slimming Product, Beauty Salon Equipment, Skin Care, Facial Care Instrument, Online Shopping Platform, Manicure Supplies, Organic Beauty Product, Hair Care, Hair Styling Tools, Cosmetics, Hair Accessories, Slimming Product, Beauty Salon Equipment, Skin Care, Facial Care Instrument, Online Shopping Platform, Manicure Supplies, Organic Beauty Product",斑馬健康主要提供個人醫療、護理和健康相關服務。 我們為客人提供治療管理，令病人獲得更快的診斷和更佳的治療；我們亦提供疾病預防服務及醫療管理服務，避免不必要的醫學程序。,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026,,,
Berlin Spa Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DQH?fairCode=hkbeautyexpo&locale=en,,Private Individual,"Slimming Product, Skin Care",Berlin Spa 成立於2017年，分店坐落於銅鑼灣、尖沙咀及佐敦，提供全方位美容護理服務，致力為客戶提供優質的纖體瘦身、養生保健、按摩等服務。,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025,www.berlinspa.com.hk,,
Pure Massage Group Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064297?fairCode=hkbeautyexpo&locale=en,,Service Company,"Beauty Salon Equipment, Skin Care, Facial Care Instrument","Beauty and health care, pain management, general TCM, acupuncture, acupoint massage",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025,,,
Ocean Spa Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006425J?fairCode=hkbeautyexpo&locale=en,,"Chain Store, Service Company, Private Individual","Joint & Bone Support, Skin Care","Ocean spa branches are set up in Hong Kong, Kowloon and New Territories. Each branch is close to MTR station. Our beauty consultants will follow up the progress of the treatment for the customer and design a suitable treatment course.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025,oceanspahk.com,"Ocean Spa was established in 2012. Its main business is to provide customers with diversified professional beauty, slimming, health care and wellness service.",
Perle Suisse Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006423P?fairCode=hkbeautyexpo&locale=en,,Service Company,"Spa & Massage Treatments, Skin Care, Slimming Product",面部護理、身體護理、纖體護理、眼部護理、按摩療程,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Beauty & Wellness Expo 2025,perle.com.hk,"We provide collagen lifting treatment combining the latest high-energy scientific lifting technology, simultaneously rebuiding the collagen layer and tightening the skin's foundation in one session. By stimulating both the collagen and muscle layers, it successfully reactivates the skin function, with immediately visible results!",
Season Wellness Ltd,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064DRE?fairCode=hkbeautyexpo&locale=en,,Private Individual,Joint & Bone Support,本司為一間新成立的公司，希望借助另一間已成立十年的聯營公司，開拓並轉營擴展其他的業務，業務包括中醫醫療、針灸、活髮、健康管理及零售等服務。,Others,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,,,
Taiwan Chun Bun Rivon (HK) Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006421V?fairCode=hkbeautyexpo&locale=en,,Department Store,"Health Drink, Healthcare Product, Health Food",Herbal Grapefruit Healthy food,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Food Expo 2026 HKTDC World of Snacks 2026 HKTDC Beauty & Wellness Expo 2025 HKTDC World of Snacks 2025 HKTDC Beauty & Wellness Expo 2024 HKTDC World of Snacks 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2024 Show More,515175145@QQ.COM,,
Zenyum (HK) Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S006422S?fairCode=hkbeautyexpo&locale=en,,,"Oral Care, Online Shopping Platform","Zenyum is a leading dental care product provider in HK. We work along with registered dentists in HK to offer invisible braces treatment; We also provide oral care products, including electric toothbrush, toothpaste, and teeth whitening products.",OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,zenyum.hk,,
28 CrystalSan Beauty & Wellness Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RJO?fairCode=hkbeautyexpo&locale=en,,Retailer,,"Natural raw crystals, crystal geodes, crystal clusters, crystal spheres, and crystal pillars Natural crystal accessories including bracelets, necklaces, rings, and earrings Natural jadeite accessories including bracelets, necklaces, rings, and earri","Others, OBM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,28crystalsan.com,"28 CrystalSan Registered Trademark Brand Specializing in retailing natural crystals and natural jadeite jewelry and items Offering in-house designs and customized styles Experienced in brick-and-mortar retail, frequently participating in major mall pop-up markets and exhibitions at the Hong Kong Convention and Exhibition Centre",
A Big Big Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0065RMF?fairCode=hkbeautyexpo&locale=en,,Retailer,"Healing Products & Experience, Healing Products & Experience, Healing Products & Experience","Handmade Soap, Body Wash, Lip Balm, Floral Water, Herbal Water, Laundry Powder, Aura Reading Session, Herkimer Diamond jewerly & Usui Reiki Healing",OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Beauty & Wellness Expo 2025,www.edmondpoon.com/v2/shop,"Big Big Air's philosophy is to harness the power of nature, allowing consumers to experience the gifts of the earth and rediscover a moment of peace and comfort in their busy lives. All our products are thriughfully handcrafted in Hong Kong by our professional insstructors.",
Ainla Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S0064E3D?fairCode=hkbeautyexpo&locale=en,,Manufacturer,"Perfume, Scented Candle, Perfume, Scented Candle, Perfume, Scented Candle","Our fragrances are carefully hand-blended in small, exclusive batches in Hong Kong.",OBM,Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026,https://ainla.co/,"At AINLA, we don't focus on fleeting trends; instead, we offer timeless fragrances that bring a unique vision to life, making every moment a little more special. It takes us more than a year to develop and create one perfume. Every creation is carefully hand-blended in small, exclusive batches in Hong Kong. In 2025, the house opened their first physical shop in Ma Wan - a quiet coastal village that has become the heart of the brand.",
Artisenses Limited,Hong Kong,N/A,https://www.hktdc.com/event/hkbeautyexpo/en/exhibitor/1S00663FO?fairCode=hkbeautyexpo&locale=en,,"Service Company, Others, Professional Association",Perfume,"The Artisenses Scent Bar invites guests to explore the world of fragrance and create a personalized scent on site, while also showcasing Cinquième Sens professional perfumery education services.","ODM, OEM, Others, OBM",Exhibited in HKTDC Event(s) in recent years HKTDC Beauty & Wellness Expo 2026 CENTRESTAGE 2023 CENTRESTAGE 2022,Artisenses / Cinquieme Sens,,
