Company Name,Location,Booth,url
Promised Land Management Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064Q31?fairCode=hkbeautyexpo&locale=en
Bestop Group Holdings Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DFE?fairCode=hkbeautyexpo&locale=en
Carla Healing,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RHU?fairCode=hkbeautyexpo&locale=en
China Hong Kong Macao Chiropractic Association Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S00650X9?fairCode=hkbeautyexpo&locale=en
Crystal of Love Healing (Social Enterprise) Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RKL?fairCode=hkbeautyexpo&locale=en
Ekeda FIR Technology Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0066OZF?fairCode=hkbeautyexpo&locale=en
Fortune Creation International Enterprise Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S00650Y6?fairCode=hkbeautyexpo&locale=en
Healthfit Nutrition Management Ltd,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S00653RO?fairCode=hkbeautyexpo&locale=en
Hong Kong Cell Repair & Health Centre Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S00650VF?fairCode=hkbeautyexpo&locale=en
"Hong Kong Dao Kang Biology Technology Co., Limited",Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DBQ?fairCode=hkbeautyexpo&locale=en
Hong Kong Red Cross,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0066KKS?fairCode=hkbeautyexpo&locale=en
Hong Kong Yuansheng Holdings Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DEH?fairCode=hkbeautyexpo&locale=en
Indigo Day Company Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S00661SN?fairCode=hkbeautyexpo&locale=en
Jade Technology Company Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RR0?fairCode=hkbeautyexpo&locale=en
Noble Pink Salt,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065R9I?fairCode=hkbeautyexpo&locale=en
SCENTEVER,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064Y02?fairCode=hkbeautyexpo&locale=en
Soul Alliance Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S00663HI?fairCode=hkbeautyexpo&locale=en
Starry K workshop,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RE3?fairCode=hkbeautyexpo&locale=en
The Hong Kong Ballet Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S00657MZ?fairCode=hkbeautyexpo&locale=en
Trendy Cosmetic Store Limited,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064WKG?fairCode=hkbeautyexpo&locale=en
UMI'S CREATION,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064WMA?fairCode=hkbeautyexpo&locale=en
WISDOM EMPEROR STAR CO.,Hong Kong,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RNC?fairCode=hkbeautyexpo&locale=en
Guangzhou Baiyun District Xuelei Fragrance Museum,Chinese Mainland,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065CMU?fairCode=hkbeautyexpo&locale=en
"Hunan Shea Biotechnology Co., Ltd.",Chinese Mainland,['Booth: 3E-B02   |   Pain Therapy   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065ZRS?fairCode=hkbeautyexpo&locale=en
One Day Dental,Chinese Mainland,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S00650UI?fairCode=hkbeautyexpo&locale=en
Saishunkan Pharmaceutical Company Limited,Japan,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DGB?fairCode=hkbeautyexpo&locale=en
YuHai International Health & Wellness City,Chinese Mainland,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0066H0J?fairCode=hkbeautyexpo&locale=en
Zelltical UG,Germany,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S00650WC?fairCode=hkbeautyexpo&locale=en
"Hair Rejuvenation Co., Limited",Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064D9W?fairCode=hkbeautyexpo&locale=en
M & J Business Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064WP1?fairCode=hkbeautyexpo&locale=en
The Zebra Wellness Group Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S00650TL?fairCode=hkbeautyexpo&locale=en
Berlin Spa Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DQH?fairCode=hkbeautyexpo&locale=en
Pure Massage Group Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064297?fairCode=hkbeautyexpo&locale=en
Ocean Spa Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S006425J?fairCode=hkbeautyexpo&locale=en
Perle Suisse Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S006423P?fairCode=hkbeautyexpo&locale=en
Season Wellness Ltd,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DRE?fairCode=hkbeautyexpo&locale=en
Taiwan Chun Bun Rivon (HK) Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S006421V?fairCode=hkbeautyexpo&locale=en
Zenyum (HK) Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S006422S?fairCode=hkbeautyexpo&locale=en
28 CrystalSan Beauty & Wellness Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RJO?fairCode=hkbeautyexpo&locale=en
A Big Big Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RMF?fairCode=hkbeautyexpo&locale=en
Ainla Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064E3D?fairCode=hkbeautyexpo&locale=en
Artisenses Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S00663FO?fairCode=hkbeautyexpo&locale=en
Calm Candles Essential Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064E0M?fairCode=hkbeautyexpo&locale=en
Citiscent Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DYT?fairCode=hkbeautyexpo&locale=en
Crystal Wonderland,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065R8L?fairCode=hkbeautyexpo&locale=en
Do Re Mi,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RC9?fairCode=hkbeautyexpo&locale=en
Dr. Hair & Beauty Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064D72?fairCode=hkbeautyexpo&locale=en
EXD Event Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0066P25?fairCode=hkbeautyexpo&locale=en
Evertop Overseas (Asia) Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S006420Y?fairCode=hkbeautyexpo&locale=en
Federation of Beauty Industry,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S00664GK?fairCode=hkbeautyexpo&locale=en
Green Miles Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RAF?fairCode=hkbeautyexpo&locale=en
Hong Kong China Federation of Bodybuilding & Fitness,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0066P18?fairCode=hkbeautyexpo&locale=en
Hosanna Wind Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RO9?fairCode=hkbeautyexpo&locale=en
Ingrid Millet Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065WC4?fairCode=hkbeautyexpo&locale=en
International Beauty & Health General Union Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S00663GL?fairCode=hkbeautyexpo&locale=en
Keep Moving Trading Company Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064WLD?fairCode=hkbeautyexpo&locale=en
La Vie En Rose Workshop Co.,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RD6?fairCode=hkbeautyexpo&locale=en
Live Love Company,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RGX?fairCode=hkbeautyexpo&locale=en
Lush Asia Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064WO4?fairCode=hkbeautyexpo&locale=en
Me Paincare Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DI5?fairCode=hkbeautyexpo&locale=en
Name One HK Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064E2G?fairCode=hkbeautyexpo&locale=en
Night Fever Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RIR?fairCode=hkbeautyexpo&locale=en
Nitrend International Company Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064D8Z?fairCode=hkbeautyexpo&locale=en
"Physical Fitness Association of Hong Kong, China Limited",Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065B2J?fairCode=hkbeautyexpo&locale=en
Pop2make,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RP6?fairCode=hkbeautyexpo&locale=en
Power Sunny Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RQ3?fairCode=hkbeautyexpo&locale=en
Pra Energy Center Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065R7O?fairCode=hkbeautyexpo&locale=en
ProFone (Hong Kong) Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DDK?fairCode=hkbeautyexpo&locale=en
St.James' Settlement,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0064DXW?fairCode=hkbeautyexpo&locale=en
The Cosmetic & Perfumery Association of Hong Kong Ltd,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S00664HH?fairCode=hkbeautyexpo&locale=en
The Scentist Hong Kong Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0066P32?fairCode=hkbeautyexpo&locale=en
YSH Technology Limited,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S006428A?fairCode=hkbeautyexpo&locale=en
Yours,Hong Kong,['Booth: 3E-A10   |   Silver Products   |   '],/event/hkbeautyexpo/en/exhibitor/1S0065RBC?fairCode=hkbeautyexpo&locale=en
