company name,location,Booth: 3-A06   |   DeLuxe PrintPack Hong Kong   |   ,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,,HKTDC Events,Certificates,Verified Certificates,Other Certificates,supplier_url,exhibitor_url,Booth: 3-A05   |   DeLuxe PrintPack Hong Kong   |   ,Brand Name,Company Website,Booth: 3-B02   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-A11   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-B01   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-A02   |   DeLuxe PrintPack Hong Kong   |   ,Booth: 3-C18   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-B29   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-C04   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-A10   |   DeLuxe PrintPack Hong Kong   |   Cantonese Business Go Global,Booth: 3-C05   |   DeLuxe PrintPack Hong Kong   |   
Hyacinth Paper (HK) Co. Limited,Hong Kong    |    Factory in Chinese Mainland,,"Hyacinth Group was established in 2000 in Shenzhen, Guangdong Province, China, which is committed to providing premium art and educational paper products for brands and institutions seeking excellence. Our company operates high-standard art paper and paper product factories and logistics centers, in Dongguan and Jiaxing, China. The mill have a combined annual production and processing capacity of 120,000 tons, with a regular inventory of over 20,000 tons of art paper available for immediate delivery. We can offers customers a selection of over 5,000 different types of art and specialty papers.","Retailer, Exporter, Chain Store, Manufacturer, Wholesaler","Jewelry Packaging & Display, Art Printing, Special Paper and Materials, Packaging Design, Cosmetics Packaging, Presentation Box","FSC mix credit / FSC 100% recycled paper grade. Pure Inspiration / Vivid colorful fancy paper. Vanguard New kevel /image touch paper series for brand and luxury packaging. Brilliant Star/ pearl paper, 38 fashion and classic colors.",Others,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HKTDC Hong Kong International Printing and Packaging Fair 2019 HKTDC Hong Kong International Printing and Packaging Fair 2018 HKTDC Hong Kong International Printing and Packaging Fair 2017 HKTDC Hong Kong International Printing and Packaging Fair 2016 HKTDC Hong Kong International Printing & Packaging Fair 2015 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hyacinth-Paper-HK-Co-Ltd/1X06YE4Q,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISQ2,,"Pure Inspiration,Image,Vivid,Vanguard,Brilliant Star,FSC recycled paper grade",www.chinahys.com,,,,,,,,,
JEF Industrial Limited,Hong Kong    |    Factory in Chinese Mainland,,"Originally established in 1992, under the name of JEF Limited, our company has rebranded as JEF Industrial Limited in 2019, and has been one of the leading and most reputable manufacturers of decorated tin boxes, now supplying clients in over 40 countries, with a particular focus on Europe and the UK. All our tin boxes are made with the highest quality of raw material, inks and lacquers, and comply with the strictest and latest food-packaging regulations. Our factory, based in Shenzhen, China is BSCI, FAMA and BRC accredited. We offer a wide ragne of standard items with over 1,000 sets of tooling available, covering a wide ragne of shapes, styles and sizes.",Manufacturer,"Luxury Packaging, Metal Box & Can, Wine Packaging, Cosmetics Packaging, Watch Packaging","Tin boxes for fine foods, i.e. tea, coffee, chocolate, biscuits or confectionery. Tin boxes are also utilised for many other products, like stationery, wine & spirits, perfume & cosmetics, textile or promotional items.",OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 DeLuxe PrintPack Hong Kong 2024 HKTDC Hong Kong International Tea Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2023 Thematic Hong Kong Product Gallery in RCEP Economies HKTDC Hong Kong Gifts & Premium Fair 2022 Show More,,,BRCGS GLOBAL STANDARD for PACKAGING AND PACKAGING MATERIALS Issued By INTERTEK Type - Valid Date (N/A) - (N/A),https://sourcing.hktdc.com/en/Supplier-Store/Profile/JEF-Industrial-Limited/1X0B3KUI,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISTT,,,www.jef.com.hk,,,,,,,,,
MPP Packaging (Asia) Limited,Hong Kong,,"MPP ASIA IS PROUD TO BE AT THE FOREFRONT OF BOTH INNOVATIVE, RESPONSIBLE, AND ENVIROMENTALLY AWARE-PRODUCT PACKAGING AND DESIGN. WE SPECIALIZE IN MANAFACTURING PRODUCT PACKAGING FOR A VARIETY OF INDUSTRIES INCLUDING FASHION, COSMETIC & FRAGRANCE, JEWELRY & WATCH, WINE & LIQUOR FOR PRESTIGIOUS BRANDS AROUND THE GLOBE. WITH YEAR OF EXPERIENCE IN EXPORTING WORLDWIDE, WE'RE DELIGHTED TO HAVE ESTABLISHED LONG-TERM BUSINESS RELATIONSHIPS WITH HIGH-END BRANDS FOR YEARS. THEIR CONTIUNED SUPPORT AND VARYING NEEDS HELP US TO PRODUCE PACKAGING INNOVATIONS THAT CONTINUE TO CHALLENGE AND CHANGE THE LANDSCAPE OF PACKAGING DESIGN ALLOWING US TO STREAMLINE OUR SERVICES AND pricing. WE ARE HONORED TO PRODUCE BEAUTIFUL ITEMS WITH COMPETITIVE PRICING, QUALITY CONTROL AND UNIQUE AND ECO-FRIENDLY SOLUTIONS IN PACKAGING.","Manufacturer, Exporter","Jewelry Packaging & Display, Perfume Bottle, Label and Tag, Packaging Design, Special Paper and Materials, Watch Packaging, Cosmetics Packaging, Luxury Packaging, Wine Packaging, Wooden Box and Case","Packaging box, shopping bag, puzzle, folding box, notebook, calendar, greeting card, game card, printing box set. Eco-friendly packaging solution","OBM, ODM, OEM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/MPP-PACKAGING-ASIA-LIMITED/1X0AOJHY,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISSW,,,www.mpp-asia.com,,,,,,,,,
Mooly (HK) Limited,Hong Kong,,"a new set-up paper merchant selling high end fancy paper from own paper mill in Shangdong, China.",Distributor,"Paper Decoration, Luxury Packaging, Smart Packaging, Label and Tag, Art Printing, Special Paper and Materials, Handmade Paper, Cosmetics Packaging, Packaging Design","Mainly exhibit fancy paper for graphic printing and packaging, in addition, some luxury materials, such as Cloth and PU for both book and packaging.","ODM, OBM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mooly-HK-Limited/1S00OIZTM,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISYE,,,mooly.com.hk,,,,,,,,,
Roy Mark (Asia) Limited,Hong Kong    |    Factory in Chinese Mainland,,"We have over 30 years' experience in paper products and paper packaging manufacturing with a 1,500sqm computerized pre-production area in Hong Kong and 60,000sqm fully equipped factory in Mainland China. We provide a total solution of creative design and production especially in food packaging gift box, paper bag, chocolate box, calendar & red packets.",Manufacturer,"Wooden Box and Case,Presentation Box,Bag and Pouch,Velvet Boxes/Bags,Packaging Design,Luxury Packaging","We provide a total solution of creative design and production especially in food packaging gift box, paper bag, chocolate box, calendar & red packets.",Others,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 DeLuxe PrintPack Hong Kong 2025 HKTDC Food Expo PRO 2024 HK Int'l Printing & Packaging Fair 2023 Hong Kong International Printing & Packaging Fair 2008,,,FSC Mix / FSC Recycled Issued By Bureau Verltas Certifivation Holding Type FSC Valid Date 03 Oct 2020 - 03 Oct 2025 Quality Management System Certificate Issued By DCI Certification LTD Type ISO_9001 Valid Date 18 Dec 2020 - 28 Dec 2023 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Roy-Mark-Asia-Ltd/1X00OY7Z,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISXH,,,,,,,,,,,,
Siluck (Hong Kong) Limited,Hong Kong,,"SILUCK (HONG KONG) LIMITED which was founded in 1994 and the manufactory Goodview packaging products (ShenZhen) Company Limited was located in Shenzhen, is mainly specialized in the production of high-end watch boxes, jewelry boxes, gift boxes, pen boxes and other packaging boxes. The main boxes types including plastic boxes, cardboard boxes, wooden boxes and so on. Our company have already passed a series of certifications. We have won the trust and cooperation of many famous brands during the past years. We have the professional manufacturing management team and a series of advanced automatic equipment, which effectively improves production efficiency and reduces production costs, can provide a better quality of products and services for our customers. We are looking forward to providing more professional information to you. Welcome to contact us!",Manufacturer,"Presentation Box,Velvet Boxes/Bags,Packaging Design,Luxury Packaging,Jewelry Packaging & Display,Watch Packaging",Watch box jewelry box carton box,"OBM, ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong Watch & Clock Fair 2025 DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong International Jewellery Show 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong International Jewellery Show 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HK Int'l Printing & Packaging Fair 2023 Show More,,,(Forest Stewardship Council Issued By -(Forest Stewardship Council Type - Valid Date (N/A) - (N/A) Social Accountability 8000 Issued By Bureau Veritas，BV Type SA8000 Valid Date 09 Mar 2024 - 09 Mar 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Siluck-HK-Ltd/1X003HZM,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005IY6K,,,,,,,,,,,,
Starry Gift Box Products Limited,Hong Kong    |    Factory in Chinese Mainland,,"At Starry Gift Box, we specialize in creating exquisite gift boxes and packaging solutions tailored to elevate your product's presentation. Our mission is to enhance your sales by offering beautifully designed packaging that not only captivates attention but also reflects the quality of your brand. Whether you're in retail, e-commerce, or any industry that values presentation, we provide customized packaging that meets your unique needs. Let's transform your products into unforgettable experiences for your customers!",Manufacturer,"Velvet Box / Bag, Cosmetics Packaging, Luxury Packaging, Jewelry Packaging & Display, Presentation Box",Providing customized gift box in paper and PU material.,OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Starry-Gift-Box-Products-Limited/1S00OVJF8,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005J2Z1,,,,,,,,,,,,
Well Packaging Company Limited,Hong Kong    |    Factory in Chinese Mainland,,,Manufacturer,"Cosmetics Packaging, Wine Packaging, Wooden Box and Case, Bag and Pouch, Jewelry Packaging & Display, Glasses Packaging, Presentation Box, Watch Packaging, Luxury Packaging","Packaging boxes, pouch, shopping bag, displayer, printing",OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong International Jewellery Show 2025 HK Int'l Printing & Packaging Fair 2024 HKTDC Hong Kong International Jewellery Show 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Jewellery Show 2023 HKTDC International Sourcing Show 2021 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Well-Packaging-Company-Limited/1X07T0U6,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005ISUQ,,,,,,,,,,,,
Wing Wai Packaging & Printing Company Limited,Hong Kong,,"our company is the printing and packaging company for 50 years.We produce different kinds of packaging product like paper bag,gift box,non-woven bag. And we also produce garment accessories.","Others, Manufacturer","Bottle and Can, Smart Packaging, Luxury Packaging, Watch Packaging, Glass Packaging, Label and Tag, Cosmetics Packaging, Bag and Pouch, Wooden Box and Case, Special Paper and Materials","Paper box, paper bag, non-woven bag.....","OEM, Others",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 DeLuxe PrintPack Hong Kong 2025 HK Int'l Printing & Packaging Fair 2024,,,ISO14001 Issued By Bureau Veritas Type ISO_14001 Valid Date 12 Jul 2022 - 10 Aug 2025 ISO 9001 :2015 Issued By Bureau Veritas Type ISO_9001 Valid Date 17 May 2022 - 18 Jul 2025 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wing-Wai-Packaging-Printing-Company-Limited/1X0B91GH,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005IY8E,,,www.wingwaiprinting.com,,,,,,,,,
"Dongguan City Jingli Can Co., Ltd",Chinese Mainland,,,"Exporter, Manufacturer","Presentation Box, Wine Packaging, Metal Box & Can, Luxury Packaging, Packaging Cap and Closure",Fancy Tin Box Package and premium gifts,OEM,,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2026 HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 DeLuxe PrintPack Hong Kong 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023 HKTDC Hong Kong International Printing and Packaging Fair 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-City-Jingli-Can-Co-Ltd/1X06YC8S,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LMLN,,Fancy Tin Box Package and premium gifts,www.tinbox.cn,,,,,,,,,
"Guangzhou Shing E Chang Paper Package Product Co., Ltd.",Chinese Mainland,,,,"Presentation Box,Cosmetics Packaging,Luxury Packaging,Art Printing",Paper package boxes & paper bags,"OBM, OEM, ODM",,Exhibited in HKTDC Event(s) in recent years DeLuxe PrintPack Hong Kong 2025 DeLuxe PrintPack Hong Kong 2024 HK Int'l Printing & Packaging Fair 2023,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Shing-E-Chang-Paper-Package-Product-Co-Ltd-/1S00O9WXD,https://www.hktdc.com/event/deluxeprintpackhk/en/exhibitor/1S005LRAF,,Dr. box,,,,,,,,,,
