[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 15.47s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject439.html      | ✓ | ⏱: 8.96s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject439.html      | ✓ | ⏱: 0.22s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject436.html      | ✓ | ⏱: 0.23s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject436.html      | ✓ | ⏱: 9.37s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject439.html      | ✓ | ⏱: 0.29s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject439.html      | ✓ | ⏱: 9.52s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject445.html      | ✓ | ⏱: 5.62s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject445.html      | ✓ | ⏱: 0.08s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject445.html      | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject445.html      | ✓ | ⏱: 5.82s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject447.html      | ✓ | ⏱: 5.54s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject447.html      | ✓ | ⏱: 0.11s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject447.html      | ✓ | ⏱: 0.08s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject447.html      | ✓ | ⏱: 5.80s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject444.html      | ✓ | ⏱: 7.55s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject444.html      | ✓ | ⏱: 0.15s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject444.html      | ✓ | ⏱: 0.06s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject444.html      | ✓ | ⏱: 7.82s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject446.html      | ✓ | ⏱: 7.20s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject446.html      | ✓ | ⏱: 0.12s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject448.html      | ✓ | ⏱: 6.78s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject448.html      | ✓ | ⏱: 0.21s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject446.html      | ✓ | ⏱: 0.24s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject446.html      | ✓ | ⏱: 7.62s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject448.html      | ✓ | ⏱: 0.11s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject448.html      | ✓ | ⏱: 7.15s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 3.34s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 0.12s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 0.06s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 3.57s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject426.html      | ✓ | ⏱: 5.87s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject426.html      | ✓ | ⏱: 0.15s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject426.html      | ✓ | ⏱: 0.09s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject426.html      | ✓ | ⏱: 6.16s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject430.html      | ✓ | ⏱: 6.26s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject430.html      | ✓ | ⏱: 0.12s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject430.html      | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject430.html      | ✓ | ⏱: 6.49s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject432.html      | ✓ | ⏱: 7.08s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject432.html      | ✓ | ⏱: 0.12s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject432.html      | ✓ | ⏱: 0.06s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject432.html      | ✓ | ⏱: 7.30s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject433.html      | ✓ | ⏱: 7.44s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject433.html      | ✓ | ⏱: 0.15s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject427.html      | ✓ | ⏱: 7.63s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject427.html      | ✓ | ⏱: 0.11s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject433.html      | ✓ | ⏱: 0.17s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject433.html      | ✓ | ⏱: 7.81s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject427.html      | ✓ | ⏱: 0.30s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject427.html      | ✓ | ⏱: 8.08s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject434.html      | ✓ | ⏱: 5.92s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject434.html      | ✓ | ⏱: 0.14s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject434.html      | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject434.html      | ✓ | ⏱: 6.17s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject440.html      | ✓ | ⏱: 5.72s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject440.html      | ✓ | ⏱: 0.10s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject440.html      | ✓ | ⏱: 0.21s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject440.html      | ✓ | ⏱: 6.10s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject435.html      | ✓ | ⏱: 7.06s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject435.html      | ✓ | ⏱: 0.12s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject435.html      | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject435.html      | ✓ | ⏱: 7.30s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject441.html      | ✓ | ⏱: 6.20s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject441.html      | ✓ | ⏱: 0.16s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject442.html      | ✓ | ⏱: 6.02s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject442.html      | ✓ | ⏱: 0.20s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject441.html      | ✓ | ⏱: 0.24s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject441.html      | ✓ | ⏱: 6.65s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject442.html      | ✓ | ⏱: 0.12s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject442.html      | ✓ | ⏱: 6.38s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 3.34s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 0.18s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/index.html                    | ✓ | ⏱: 3.63s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject416.html      | ✓ | ⏱: 5.58s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject416.html      | ✓ | ⏱: 0.11s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject416.html      | ✓ | ⏱: 0.07s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject416.html      | ✓ | ⏱: 5.82s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject422.html      | ✓ | ⏱: 6.70s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject422.html      | ✓ | ⏱: 0.15s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject420.html      | ✓ | ⏱: 6.90s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject420.html      | ✓ | ⏱: 0.18s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject422.html      | ✓ | ⏱: 0.27s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject422.html      | ✓ | ⏱: 7.17s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject420.html      | ✓ | ⏱: 0.19s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject420.html      | ✓ | ⏱: 7.43s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject423.html      | ✓ | ⏱: 7.44s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject423.html      | ✓ | ⏱: 0.23s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject421.html      | ✓ | ⏱: 7.74s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject421.html      | ✓ | ⏱: 0.25s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject423.html      | ✓ | ⏱: 0.32s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject423.html      | ✓ | ⏱: 8.15s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject421.html      | ✓ | ⏱: 0.22s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject421.html      | ✓ | ⏱: 8.28s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject424.html      | ✓ | ⏱: 6.14s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject424.html      | ✓ | ⏱: 0.36s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject424.html      | ✓ | ⏱: 0.10s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject424.html      | ✓ | ⏱: 6.65s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject429.html      | ✓ | ⏱: 7.10s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject429.html      | ✓ | ⏱: 0.14s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject428.html      | ✓ | ⏱: 7.74s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject428.html      | ✓ | ⏱: 0.22s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject429.html      | ✓ | ⏱: 0.25s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject429.html      | ✓ | ⏱: 7.55s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject425.html      | ✓ | ⏱: 8.55s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject425.html      | ✓ | ⏱: 0.20s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject428.html      | ✓ | ⏱: 0.28s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject428.html      | ✓ | ⏱: 8.28s 
[FETCH]... ↓ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject431.html      | ✓ | ⏱: 7.64s 
[SCRAPE].. ◆ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject431.html      | ✓ | ⏱: 0.14s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject425.html      | ✓ | ⏱: 0.40s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject425.html      | ✓ | ⏱: 9.19s 
[EXTRACT]. ■ https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject431.html      | ✓ | ⏱: 0.11s 
[COMPLETE] ● https://www.dsd.gov.hk/EN/Our_Projects/Contracts_Consultancies_Awarded/contractsproject431.html      | ✓ | ⏱: 7.99s 
