[INIT].... → Crawl4AI 0.9.2 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ts/active-wsd-capital-works-contracts/index.html  | ✓ | ⏱: 11.00s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=12  | ✓ | ⏱: 7.70s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=10  | ✓ | ⏱: 7.69s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=10  | ✓ | ⏱: 0.51s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=11  | ✓ | ⏱: 0.59s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=11  | ✓ | ⏱: 8.29s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=10  | ✓ | ⏱: 0.32s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=10  | ✓ | ⏱: 8.57s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=14  | ✓ | ⏱: 6.35s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=14  | ✓ | ⏱: 0.81s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=14  | ✓ | ⏱: 0.22s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=14  | ✓ | ⏱: 7.44s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=16  | ✓ | ⏱: 5.26s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=16  | ✓ | ⏱: 0.20s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=16  | ✓ | ⏱: 0.09s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=16  | ✓ | ⏱: 5.61s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=17  | ✓ | ⏱: 6.37s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=17  | ✓ | ⏱: 0.28s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=17  | ✓ | ⏱: 0.20s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=17  | ✓ | ⏱: 6.90s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=18  | ✓ | ⏱: 6.75s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=18  | ✓ | ⏱: 0.36s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=15  | ✓ | ⏱: 7.61s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=15  | ✓ | ⏱: 0.76s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=18  | ✓ | ⏱: 0.79s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=18  | ✓ | ⏱: 8.05s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=15  | ✓ | ⏱: 0.38s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=15  | ✓ | ⏱: 8.80s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=19  | ✓ | ⏱: 6.81s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=19  | ✓ | ⏱: 0.29s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=2  | ✓ | ⏱: 6.58s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=2  | ✓ | ⏱: 0.42s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=19  | ✓ | ⏱: 0.66s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=19  | ✓ | ⏱: 7.84s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=2  | ✓ | ⏱: 0.20s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=2  | ✓ | ⏱: 7.22s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=20  | ✓ | ⏱: 6.24s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=20  | ✓ | ⏱: 0.20s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=20  | ✓ | ⏱: 0.09s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=20  | ✓ | ⏱: 6.57s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=21  | ✓ | ⏱: 6.24s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=21  | ✓ | ⏱: 0.97s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=22  | ✓ | ⏱: 7.03s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=22  | ✓ | ⏱: 1.07s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=21  | ✓ | ⏱: 1.16s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=21  | ✓ | ⏱: 8.48s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=22  | ✓ | ⏱: 0.38s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=22  | ✓ | ⏱: 8.55s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=23  | ✓ | ⏱: 7.72s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=23  | ✓ | ⏱: 0.34s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=24  | ✓ | ⏱: 7.82s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=24  | ✓ | ⏱: 0.42s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=23  | ✓ | ⏱: 0.43s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=23  | ✓ | ⏱: 8.54s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=25  | ✓ | ⏱: 7.85s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=25  | ✓ | ⏱: 0.42s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=24  | ✓ | ⏱: 0.54s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=24  | ✓ | ⏱: 8.84s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=25  | ✓ | ⏱: 0.23s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=25  | ✓ | ⏱: 8.55s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=26  | ✓ | ⏱: 5.48s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=26  | ✓ | ⏱: 0.50s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=26  | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=26  | ✓ | ⏱: 6.23s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=27  | ✓ | ⏱: 5.86s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=27  | ✓ | ⏱: 0.68s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=27  | ✓ | ⏱: 0.49s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=27  | ✓ | ⏱: 7.19s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=28  | ✓ | ⏱: 6.76s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=28  | ✓ | ⏱: 0.42s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=29  | ✓ | ⏱: 6.73s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=29  | ✓ | ⏱: 0.23s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=28  | ✓ | ⏱: 0.32s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=28  | ✓ | ⏱: 7.55s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=3  | ✓ | ⏱: 6.84s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=3  | ✓ | ⏱: 0.35s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=29  | ✓ | ⏱: 0.60s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=29  | ✓ | ⏱: 7.61s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=3  | ✓ | ⏱: 0.26s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=3  | ✓ | ⏱: 7.54s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=30  | ✓ | ⏱: 6.65s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=30  | ✓ | ⏱: 0.33s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=30  | ✓ | ⏱: 0.35s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=30  | ✓ | ⏱: 7.48s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=31  | ✓ | ⏱: 6.14s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=31  | ✓ | ⏱: 0.52s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=31  | ✓ | ⏱: 0.58s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=31  | ✓ | ⏱: 7.41s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=32  | ✓ | ⏱: 6.32s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=32  | ✓ | ⏱: 0.29s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=32  | ✓ | ⏱: 0.31s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=32  | ✓ | ⏱: 6.97s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=33  | ✓ | ⏱: 6.36s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=33  | ✓ | ⏱: 0.34s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=33  | ✓ | ⏱: 0.10s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=33  | ✓ | ⏱: 6.85s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=34  | ✓ | ⏱: 7.10s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=34  | ✓ | ⏱: 0.27s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=35  | ✓ | ⏱: 6.52s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=35  | ✓ | ⏱: 0.75s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=34  | ✓ | ⏱: 1.01s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=34  | ✓ | ⏱: 8.55s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=35  | ✓ | ⏱: 0.55s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=35  | ✓ | ⏱: 7.94s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=36  | ✓ | ⏱: 7.34s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=36  | ✓ | ⏱: 0.42s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=36  | ✓ | ⏱: 0.13s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=36  | ✓ | ⏱: 7.94s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=38  | ✓ | ⏱: 6.50s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=38  | ✓ | ⏱: 0.22s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=37  | ✓ | ⏱: 7.24s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=37  | ✓ | ⏱: 0.47s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=38  | ✓ | ⏱: 0.47s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=38  | ✓ | ⏱: 7.25s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=37  | ✓ | ⏱: 0.17s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=37  | ✓ | ⏱: 7.93s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=39  | ✓ | ⏱: 5.24s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=39  | ✓ | ⏱: 0.24s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=39  | ✓ | ⏱: 0.11s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=39  | ✓ | ⏱: 5.66s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=40  | ✓ | ⏱: 5.49s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=40  | ✓ | ⏱: 0.56s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=4  | ✓ | ⏱: 7.45s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=4  | ✓ | ⏱: 0.71s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=40  | ✓ | ⏱: 1.50s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=40  | ✓ | ⏱: 7.69s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=4  | ✓ | ⏱: 0.26s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...tive-wsd-capital-works-contracts/index.html?id=4  | ✓ | ⏱: 8.48s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=41  | ✓ | ⏱: 6.32s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=41  | ✓ | ⏱: 0.66s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=41  | ✓ | ⏱: 0.30s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=41  | ✓ | ⏱: 7.41s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=43  | ✓ | ⏱: 6.61s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=43  | ✓ | ⏱: 0.33s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=42  | ✓ | ⏱: 7.40s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=42  | ✓ | ⏱: 0.51s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=43  | ✓ | ⏱: 0.52s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=43  | ✓ | ⏱: 7.50s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=42  | ✓ | ⏱: 0.19s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=42  | ✓ | ⏱: 8.15s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=44  | ✓ | ⏱: 7.52s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=44  | ✓ | ⏱: 0.45s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=45  | ✓ | ⏱: 7.68s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=45  | ✓ | ⏱: 0.30s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=44  | ✓ | ⏱: 0.39s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=44  | ✓ | ⏱: 8.41s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=45  | ✓ | ⏱: 0.16s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=45  | ✓ | ⏱: 8.22s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=46  | ✓ | ⏱: 4.25s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=46  | ✓ | ⏱: 0.27s 
[EXTRACT]. ■ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=46  | ✓ | ⏱: 0.31s 
[COMPLETE] ● https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=46  | ✓ | ⏱: 4.90s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=47  | ✓ | ⏱: 5.71s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=47  | ✓ | ⏱: 0.95s 
[FETCH]... ↓ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=48  | ✓ | ⏱: 6.99s 
[SCRAPE].. ◆ https://www.wsd.gov.hk/en/tenders-contracts-and-...ive-wsd-capital-works-contracts/index.html?id=48  | ✓ | ⏱: 0.71s 
