"group src","heading","web","web 2","list-group-item-text","sector_block","sector_block 2","sector_block 3","sector_block 4","btn href","sector_block 5","sector_block 6","sector_block 7","sector_block 8","sector_block 9","sector_block 10","sector_block_outer","sector_block_outer href"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57320/thumb_XuDzJ32Odr0c-1779268732.png","ABIT Technologies","Stand No- H4.2-B80, 4.2","Romania","We’re an agile team that blends a large pool of senior engineers with today’s most powerful AI models to ship production-ready products.

What we do:
1. Advanced AI Services – ideate, prototype, and operati ...","Artificial Intelligence","Big Data & Analytics","Coding and Development","Business & professional services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/abit-technologies","Cloud Services","Chatbots / Virtual Assistant","Machine Learning","Planning and Optimization","Real time translation","Speech Recognition","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/abit-technologies"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54427/thumb_2054_54427_53346_7778.png","Abkarino","Stand No- H4.2- G28, 4.2","Germany","Abkarino is a domain-specialised, text-only AI foundation model for computational chemistry. It supports day-to-day work in organic, inorganic/
non-organic, and physical chemistry while natively integrating regulatory and co ...","Artificial Intelligence","Regulatory Technology","Cognitive computing","Data Extraction","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/abkarino","Machine Learning","Natural Language Processing (NLP)","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54050/thumb_2054_54050_52971_5968.png","Able Tech SPA","Stand No- H1.2-D50, 1.2","Italy","For over twenty-three years, Able Tech has been the Italian partner of reference for the digitization and optimization of business processes thanks to the power of the ARXivar suite.

We offer services and products for ...","Software Services","Business & professional services","Cloud Services","Business Process Management","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/able-tech-spa","Software as a Service - SaaS","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54029/thumb_cxLujoGpzHle-1779093002.png","ABSOLUT Distribution DACH","Stand No- H1.2-10, 1.2","Germany","ABSOLUT Distribution AG is a Swiss-based value-added distributor with a strong focus on the DACH region (Germany, Austria, Switzerland). The company enables partners and customers to design, deploy, and scale next-generation enter ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/absolut-distribution-dach","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57238/thumb_frpO6jXtZVKY-1778670917.png","Acceleronix","Stand No- H1.2-C50, 1.2","Netherlands","Acceleronix is an IoT solutions and services partner helping OEMs and enterprises accelerate the development, deployment, and scaling of connected products.

We deliver full-stack IoT capabilities spanning hardware des ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/acceleronix","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57209/thumb_D8U4GPtKuogh-1778604749.png","Advalio","Stand No- H2.2-A40, H2.2-A50, 2.2","Morocco","Advalio offers 4 main core activities: Network Engineering Services, Professional Engineering Consulting, QoS/QoE & Data Intelligence Tools and Advalio Academy.
(1) Our expertise in Network Engineering Services dates back to ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/advalio","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57360/thumb_YsRSIN91opUA-1779263409.png","Advanced Quantum","Stand No- H4.2-C15, 4.2","Germany","Advanced Quantum makes magnetic fields visible where conventional sensors reach their limits: inside materials, below surfaces, and in biological systems. The Stuttgart-based company develops NV-diamond quantum sensors for materia ...","HealthTech","Future Mobility & Transportation","Quantum & High Performance Computing","Sensors, Radars & Cameras","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/advanced-quantum","Research & Development","Applications/Services with Quantum Computers","Processors","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55769/thumb_BkvZXUius2Jw-1777286166.png","ADVANTAGE AUSTRIA","Stand No- H4.2-D20 - H4.2-D27, H4.2-C20 - H4.2-C27, 4.2","Austria","ADVANTAGE AUSTRIA operates around 100 offices in over 70 countries and provides a comprehensive range of market intelligence and business development services for Austrian companies and their international partners. With approxima ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/advantage-austria","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55551/thumb_bohEn2yldmu6-1777286471.png","ADVANTAGE AUSTRIA","Stand No- H4.2-C40, 4.2","Austria","ADVANTAGE AUSTRIA operates around 100 offices in over 70 countries and provides a comprehensive range of market intelligence and business development services for Austrian companies and their international partners. With approxima ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/advantage-austria","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56611/thumb_7zwitkUGpuHN-1776966725.png","ADVICEGROUP GLOBAL","Stand No- H2.2-C10, 2.2","El Salvador","ADVICEGROUP GLOBAL is an organization specializing in technology services and cybersecurity, with a presence across Latin America and the United States. 

We grew from ADVICEGROUP LATAM with a clear vision: helping bus ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/advicegroup-global","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57142/thumb_tYmhgV4ECGae-1778225291.png","Agentflo","Stand No- H4.2-D57, 4.2","Malaysia","Agentflo is an industry-agnostic Agentic AI platform designed to automate modern commercial teams with Agentic Commerce.

The platform utilizes autonomous AI agents to manage the end-to-end retail journey, from master  ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/agentflo","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55570/thumb_mBUOnzJjFovp-1777387168.png","Agentyne","Stand No- H4.2-D26, H4.2-D27, 4.2","India","Agentyne Inc builds the Autonomous Sales Operations Cloud (ASOC)—an AI-powered platform that runs the entire sales lifecycle end-to-end. From GTM strategy and prospect discovery to enrichment, multichannel outreach (email, voice ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/agentyne","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54047/thumb_3rIoDWHylBYu-1777364828.png","Agilos IT d.o.o","Stand No- H1.2-22.1, 1.2","Croatia","Agilos IT is a data engineering and analytics company specialised in modern data warehouse platforms, BI solutions and migration from legacy licensed stacks to scalable open architectures.

We support organisations in  ...","Artificial Intelligence","Software Services","Big Data & Analytics","Cloud Services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/agilos-it-d-o-o","Sustainability & Green Climate - Tech","Machine Learning","Planning and Optimization","Analytics as a service","Business Intelligence","Cloud Solutions","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/agilos-it-d-o-o"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56927/thumb_iutROJaWAXxb-1777919032.png","AHV CONSULTANCY SERVICES PVT LTD","Stand No- H4.2-C130, 4.2","India","AHVCS is a reliable implementation partner for ERPNext, offering comprehensive services across the entire ERP lifecycle:
Implementation & Deployment
Tailored ERPNext setups aligned with specific industry workflows (man ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/ahv-consultancy-services-pvt-ltd","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57064/thumb_0aNY6RmZklOh-1779287590.png","ai.berlin","Stand No- H4.2-B10, 4.2","Germany","ai.berlin is the central platform for the AI ecosystem in Berlin, operated by Berlin Partner for Business and Technology. We connect startups, companies, research institutions and public stakeholders to strengthen collaboration an ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/ai-berlin","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57380/thumb_rITM2uxOfwoq-1779262026.png","AI2CONNECT GmbH","Stand No- H4.2-C60, 4.2","Germany","AI2Connect GmbH – Fabrik für KI-Agenten – is a German AI startup automating intralogistics with intelligent multi-agent systems. Our flagship product AI2RampOptimizer optimizes truck dock scheduling, reduces empty runs, and c ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/ai2connect-gmbh","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57086/thumb_QF7nd8o6Heih-1778094790.png","AI4IV S.R.L","Stand No- H4.2-B60, 4.2","Italy","AI4IV is a European deep-tech company developing a new class of vision sensors designed for artificial intelligence operating in the physical world. As AI moves from the cloud into real-world environments such as robotics, autonom ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/ai4iv-s-r-l","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57429/thumb_CYLZiEWDU5GA-1779955858.png","AIPLATFORM CO.,LTD","Stand No- H1.2-A20, 1.2","Republic Of Korea","AIPLATFORM is an AI and blockchain-based digital healthcare company from Korea. We develop smart telemedicine kiosk services that improve healthcare accessibility for elderly users and digitally vulnerable groups. Our solution sup ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/aiplatform-co-ltd","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54428/MnlzIe6dpfvC-1779777589.png","AiResolve by NextGen Immuno Therapeutics","Stand No- H4.2-G26, 4.2","Austria","NextGen Immuno is a Vienna-based HealthTech startup building AiResolve, an AI-powered precision immunology platform for early disease prediction and treatment guidance. Starting with GVHD in transplant patients, AiResolve combines ...","HealthTech","Incubator/Accelerator/Investment","Artificial Intelligence","Clinical Decision Support Systems","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/airesolve-by-nextgen-immuno-therapeutics","Diagnostic Software and Medical Imaging","Genomics and Personalized Medicine Technologies","Genomics and Precision Medicine","Healthcare Analytics","Healthcare Information Systems, Software (HIS)","Research & Development","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/airesolve-by-nextgen-immuno-therapeutics"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54689/thumb_2054_54689_53604_8405.png","Aithea GmbH","Stand No- H4.2-E24, H4.2-E25, 4.2","Germany","AITHEA is a digital compliance-service company with a clear mission: to lead compliance into tomorrow. We operate at the intersection of regulation, operations and emerging technology in financial crime compliance, supporting orga ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/aithea-gmbh","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57065/thumb_7vlf3VC1nQhI-1778576352.png","AKI.IO","Stand No- H4.2-B10, 4.2","Germany","AKI.IO provides a European AI API for SMEs, public-sector organizations, and startups that want to build AI applications without moving sensitive workloads to U.S. hyperscalers.

The self-service platform offers token- ...","Artificial Intelligence","Coding and Development","Chatbots / Virtual Assistant","Natural Language Generation (NLG)","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/aki-io","Natural Language Processing (NLP)","Artificial Intelligence","Cloud Computing","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","ALIAS ROBOTICS S.L","Stand No- H4.2-B70, 4.2","Spain","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/alias-robotics-s-l","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54429/thumb_gOTKNZQyX5n3-1779290280.png","All About Accuracy GmbH","Stand No- H4.2-G11, H4.2-G12, 4.2","Germany","All About Accuracy GmbH is a European deep tech startup focused on providing a cutting-edge positioning system. 
Our chips combine quantum mechanics approach and AI-driven algorithms for maximum accuracy, even in dynamic env ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/all-about-accuracy-gmbh","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56723/thumb_d2OGCpbsmQ3z-1777374593.png","ALLOIA - AI Commerce Infrastructure","Stand No- H4.2-E21, 4.2","Canada","Your acquisition chain is breaking and you may not see it yet. Buyers increasingly rely on AI to discover, compare and choose products. If your catalog is not readable by AI, your products don't exist in this new channel. You are  ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/alloia-ai-commerce-infrastructure","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56086/18K4UDhcWw7O-1779261576.png","Alpha Minoris GmbH","Stand No- H4.2-G78, 4.2","Germany","Alpha Minoris is building the buyer-side AI copilot for German real estate, starting with first-time investors who want to buy and operate their first rental property with confidence.

Buying property in Germany is a f ...","PropTech","3D/ AR / VR","AI & IoT","Data & Analytics","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/alpha-minoris-gmbh","PMS","Process Mapping & Modeling","Tenant Experience","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56349/8pEMcyeDA9xN-1778492324.png","AlphaEdge","Stand No- H4.2-G03, H4.2-G04, 4.2","France","AlphaEdge has the ambition to become the European standard for Efficient AI through its family of foundation models, ELM (Efficient Language Model). Engineered on the principle of parametric efficiency, we deploy specialized, sove ...","Artificial Intelligence","Software Product","Big Data & Analytics","Business & professional services","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/alphaedge","AI-optimized Hardware","Autonomous Mobile Robots (AMRs)","Chatbots / Virtual Assistant","Data Extraction","Machine Learning","Natural Language Processing (NLP)","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/alphaedge"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54053/thumb_2054_54053_52974_6733.png","Alteryx","Stand No- H1.2-A50, 1.2","United States of America","Alteryx is a leading AI and data analytics company that helps organizations turn data into actionable insights. With the Alteryx One platform, businesses can prepare, analyze, and automate analytics workflows to drive faster and m ...","Artificial Intelligence","Big Data & Analytics","Cloud Services","Digital Finance","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/alteryx","Billing / Invoicing Software","Banking Solutions","Auditing Solutions","Asset Management / Personal Finance / Wealth Management","Artificial Intelligence","Governance & Compliance","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/alteryx"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57169/thumb_JteajYPNSobc-1778569982.png","Altosens GmbH","Stand No- H4.2-E12, 4.2","Germany","Altosens is a Fraunhofer spin-off based in Osnabrück, Germany, developing intelligent sensor washers for the digital monitoring of safety-critical bolted joints. The solution enables continuous condition monitoring and predictive ...","HealthTech","Internet of Things (IOT)","Future Mobility & Transportation","Big Data & Analytics","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/altosens-gmbh","Cloud Services","Supervisory Control and Data Acquisition (SCADA)","Industrial IoT (IIoT) & Connectivity","Cloud Services","Real time Analytics","Product Intelligence","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/altosens-gmbh"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56511/thumb_2054_56511_55415_5892.png","Amazon Web Services EMEA SARL, Niederlassung Deutschland","Stand No- H1.2-D60, 1.2","United States of America","Since launching in 2006, Amazon Web Services has been providing industry-leading cloud capabilities and expertise that have helped customers transform industries, communities, and lives for the better.

As part of Amaz ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/amazon-web-services-emea-sarl-niederlassung-deutschland","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/55052/thumb_da70XJ4inPCZ-1776947265.png","AMD","Stand No- H1.2-C30, 1.2","United States of America","AMD is the high performance and adaptive computing leader, powering the products and services that help solve the world’s most important challenges. Our technologies advance the future of the data center, embedded, gaming and PC ...","Media, Marketing & Advertising Tech","Artificial Intelligence","Quantum & High Performance Computing","Data Centres","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/amd","AI-optimized Hardware","Servers & Hardware","Artificial Intelligence","Equipment / Hardware","Cloud - Hardware","Heterogeneous Computing-Hardware","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/amd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56629/thumb_d5qb3fZONJkm-1779022558.png","Amira AI - almost human","Stand No- H1.2-D31, 1.2","Germany","The almost human AI that runs your customer service, sales & HR end-to-end.
Four modules. One closed loop.
Amira.agentic automates customer engagement across voice, WhatsApp, email and chat – in 120 languages, 24/7.  ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/amira-ai-almost-human","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57373/thumb_SOxvdg8Xh4pT-1779277759.png","AMS Consultants Limited","Stand No- TBC, 4.2","Malta","AMS Consultants Ltd provides comprehensive product compliance and certification engineering for global tech innovators entering the European, UK, and international markets. We manage the entire conformity journey, ensuring your ha ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/ams-consultants-limited","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57239/oUmWkBDpxcrP-1779275977.png","AngryLynx","Stand No- H1.2-C50, 1.2","Serbia","AngryLynx DOO is a Serbia-based software engineering company founded in 2020 by an active
mathematical researcher and hardware engineer.
We take full responsibility for modernizing legacy systems and executing complex  ...","Artificial Intelligence","Software Services","Big Data & Analytics","Coding and Development","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/angrylynx","Cloud Services","Chatbots / Virtual Assistant","Machine Learning","Natural Language Processing (NLP)","Planning and Optimization","Predictive APIs","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/angrylynx"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56842/thumb_5evT0SAfMlz7-1778692251.png","Appspace","Stand No- H1.2-C85, 1.2","United States of America","Appspace gives companies a whole new way to manage the workplace experience. With one platform for everything from employee comms to space reservation and digital signage, you can finally keep everyone in the know – no matter wh ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/appspace","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/56997/thumb_zil5pVfk8P6n-1779181232.png","aratall GmbH","Stand No- H4.2-E01, 4.2","Germany","aratall is a German deep-tech software company headquartered in Osnabrück. We build AR/VR collaboration platforms and AI-powered digital twins that turn LiDAR scans, drone imagery and BIM data into interactive 3D environments — ...","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/aratall-gmbh","","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/57372/L2JCkTwByM7R-1779264959.png","Arbit Technology Limited","Stand No- TBC, 4.2","Malta","Arbit Technology is a Malta-based infrastructure company providing the regulated technical layer for real-world asset tokenization across the European market. Built on a compliance-first architecture and MiCA-notified by the MFSA  ...","Big Data & Analytics","Blockchain","Coding and Development","Digital Finance","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/arbit-technology-limited","Ecommerce","Business Intelligence","Data Governance, Compliance & Security","Data Infrastructure","Digital Transformation","Big Data / Digitisation / Analytics","Read More","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/arbit-technology-limited"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2054/54071/thumb_2054_54071_52992_5256.png","Arctic Wolf Networks Germany GmbH","Stand No- H2.2-B80, 2.2","United States of America","Arctic Wolf is the cybersecurity and AI company that ends cyber risk by transforming it into business resilience. Powered by the Aurora® Superintelligence Platform, Arctic Wolf delivers modern security operations built on proprie ...","Cyber security","Ransomware","Phishing","Endpoint Protection & Mobile Security","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/arctic-wolf-networks-germany-gmbh","Digital Forensics & Incident Response","","","","","","",""
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2054/07__GITEX_EUROPE_2026_NEW_LOGO_COLOR.png","Ari Teknokent Proje Gelistirme Planlama A.S. - TR","Stand No- H2.2-A70, 2.2","Türkiye","","","","","","https://exhibitors.gitexeurope.com/gitex-europe-2026/Exhibitor/ExbDetails/ari-teknokent-proje-gelistirme-planlama-a-s-tr","","","","","","","",""
