PWP No.,Contract No.,Contract Title,District,Contractor,Contract Sum* (HK$ M),Awarded Date,Responsible Division,url,award_date
9100WX,19/WSD/21,Improvement Works for HV Transformers at Pak Kong Water Treatment Works,"Sai Kung, Sha Tin, Islands",Bestwise Envirotech Limited,14.69,03/05/2023,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=24,2023-05-03
9201WC,21/WSD/21,"Relocation of Diamond Hill Fresh Water and Salt Water
Service Reservoirs to Caverns",Wong Tai Sin,Chun Wo – Sinohydro JV,2105.2,28/11/2022,Project Management Division,https://www.wsd.gov.hk/index.html?id=25,2022-11-28
9056WS,14/WSD/21,Supply and Installation of Mechanical and Electrical Equipment at Tsuen Wan Salt Water Pumping Station,Tsuen Wan,Torishima (Hong Kong) Limited,22.89,06/09/2022,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=26,2022-09-06
9100WX,1/WSD/22,"Preventive Maintenance Works, Upgrading Works and Associated Ground Investigations for Water Supplies Department Slopes in Hong Kong & Islands and New Territories East, 2022 – 2025 Programme","Central & Western, Eastern, Islands, Kowloon City, Kwai Tsing, Kwun Tong, North, Sai Kung, Sha Tin, Sham Shui Po, Southern, Tai Po, Tsuen Wan, Tuen Mun, Wan Chai, Wong Tai Sin, Yau Tsim Mong, Yuen Long",Ming Hing Waterworks Engineering Company Limited,238.77,27/07/2022,Slope Safety Section,https://www.wsd.gov.hk/index.html?id=27,2022-07-27
9100WX,2/WSD/22,"Preventive Maintenance Works, Upgrading Works and Associated Ground Investigations for Water Supplies Department Slopes in Kowloon and New Territories West, 2022 – 2025 Programme","Central & Western, Eastern, Islands, Kowloon City, Kwai Tsing, Kwun Tong, North, Sai Kung, Sha Tin, Sham Shui Po, Southern, Tai Po, Tsuen Wan, Tuen Mun, Wan Chai, Wong Tai Sin, Yau Tsim Mong, Yuen Long",Fraser Construction Company Limited,240.37,27/07/2022,Slope Safety Section,https://www.wsd.gov.hk/index.html?id=28,2022-07-27
9373WF,18/WSD/21,Uprating of Pui O Raw Water Pumping Station and Pui O No. 2 Raw Water Pumping Station and Laying of Raw Water Mains along South Lantau Road,Islands,Vasteam Construction Limited,529.42,25/05/2022,Consultants Management Division,https://www.wsd.gov.hk/index.html?id=29,2022-05-25
9100WX,20/WSD/21,Replacement of Filtered Water and Backwash Water Valves and Pipework for Stage I Filters of Sheung Shui Water Treatment Works,Sheung Shui,Hsin Chong Aster Building Services Limited,13.8,01/04/2022,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=30,2022-04-01
9373WF,7/WSD/21,Construction of Siu Ho Wan Water Treatment Works Extension and Siu Ho Wan Raw Water Booster Pumping Station,Islands,China Road and Bridge Corporation,2065.73,15/03/2022,Consultants Management Division,https://www.wsd.gov.hk/index.html?id=31,2022-03-15
9100WX,14/WSD/20,Enhancement of Salt Water Piping Systems at Cha Kow Ling and Tai Wan Salt Water Pumping Stations,"Kwun Tong, Kowloon City",ATAL Engineering Limited,24.59,09/03/2022,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=32,2022-03-09
9181WF,6/WSD/21,In-situ Reprovisioning of Sha Tin Water Treatment Works (South Works) – Administration Building,Sha Tin,"CW - FWS JV
(formed by (i) (i) Chun Wo Building Construction Limited; and (ii) (ii) Fong Wing Shing Construction Company Limited)",698.01,10/11/2021,Project Management Division,https://www.wsd.gov.hk/index.html?id=33,2021-11-10
9100WX,2/WSD/21,Term Contract for Risk-Based Improvement of Water Mains - Hong Kong and Islands,"Central & Western, Southern, Wan Chai, Eastern, Islands",Kwan On - U-Tech Joint Venture,546.997,10/09/2021,Design Division,https://www.wsd.gov.hk/index.html?id=34,2021-09-10
9100WX,3/WSD/21,Term Contract for Risk-Based Improvement of Water Mains - New Territories West,"Yuen Long, Tuen Mun, Kwai Tsing, Tsuen Wan",AMAIN-CW YEE HOP JV,534.94,01/11/2021,Design Division,https://www.wsd.gov.hk/index.html?id=35,2021-11-01
9100WX,4/WSD/21,Term Contract for Risk-Based Improvement of small Water Mains - Kowloon,"Kowloon City, Kwun Tong, Sham Shui Po, Yau Tsim Mong, Wong Tai Sin","Wo Hing - Hing Cheong
Joint Venture",647.552,20/09/2021,Design Division,https://www.wsd.gov.hk/index.html?id=36,2021-09-20
9100WX,5/WSD/21,Term Contract for Risk-Based Improvement of small Water Mains - New Territories East,"North, Sha Tin, Sai Kung, Tai Po",Ming Hing Waterworks Engineering Company Limited,609.63,28/10/2021,Design Division,https://www.wsd.gov.hk/index.html?id=37,2021-10-28
9054WS,9/WSD/21,"Salt Water Supply to Sha Tin Area 52, Shui Chuen O",Sha Tin,Kin Kay Machinery Rental & Engineering Co. Limited,90.02,06/08/2021,Construction Division,https://www.wsd.gov.hk/index.html?id=38,2021-08-06
9056WS,8/WSD/21,Improvement of Salt Water Supply to Tsuen Wan and Kwai Chung,"Kwai Chung, Tsuen Wan",Tactful Click Joint Venture,178.49,02/07/2021,Construction Division,https://www.wsd.gov.hk/index.html?id=39,2021-07-02
9055WS,3/WSD/20,Reclaimed Water Supply to Sheung Shui and Fanling,"Sheung Shui, Fanling",China Geo-Engineering Corporation,589.8,23/07/2021,Project Management Division,https://www.wsd.gov.hk/index.html?id=40,2021-07-23
9100WX,12/WSD/20,Term Contract for Risk-Based Improvement of Small Water Mains - Hong Kong & Islands and New Territories West,"Central & Western, Southern, Wan Chai, Eastern, Islands, Tuen Mun, Yuen Long, Tsuen Wan, Kwai Tsing",Yee Hop Engineering Company Limited,174.83,30/04/2021,Design Division,https://www.wsd.gov.hk/index.html?id=41,2021-04-30
9100WX,13/WSD/20,Term Contract for Risk-Based Improvement of Small Water Mains - Kowloon and New Territories East,"Kowloon City, Kwun Tong, Sham Shui Po, Yau Tsim Mong, Wong Tai Sin, North, Sha Tin, Sai Kung, Tai Po",Hing & Cheong Company Limited,185.3,30/04/2021,Design Division,https://www.wsd.gov.hk/index.html?id=42,2021-04-30
9369WF,14/WSD/19,Uprating of Ha Wong Yi Au Fresh Water Pumping Station,Tai Po,ATAL Engineering Limited,14.21,22/04/2021,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=43,2021-04-22
9100WX,6/WSD/20,Supply and Installation of Two Additional High Voltage Pumpsets at Siu Ho Wan Raw Water and Fresh Water Pumping Station,Islands,Torishima (Hong Kong) Limited,8.22,08/12/2020,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=44,2020-12-08
9100WX,10/WSD/19,Improvement of the Power Supply System at Sha Tin Seafront Salt Water Pumping Station,Sha Tin,REC Engineering Company Limited,11.2,28/10/2020,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=45,2020-10-28
9196WC,9/WSD/20,"Construction of Pressure Management and District Metering Installations in Yuen Long, Sheung Shui & Fanling Major Fresh Water Supply Zones","Yuen Long, North, Tuen Mun",CGC Joint Venture,332.81,09/10/2020,Project Management Division,https://www.wsd.gov.hk/index.html?id=46,2020-10-09
9353WF,2/WSD/20,Construction of Sheung Wong Yi Au No.3 Fresh Water Service Reservoir,Tai Po,Shun Yuen Construction Company Limited,99.94,21/04/2021,Construction Division,https://www.wsd.gov.hk/index.html?id=47,2021-04-21
7803CL,4/WSD/19,Development of Anderson Road Quarry Site - Construction of Grey Water Treatment Plant,Sai Kung,Paul Y. - Tsun Yip Joint Venture (4/WSD/19),333,09/09/2020,Consultants Management Division,https://www.wsd.gov.hk/index.html?id=48,2020-09-09
9100WX,22/WSD/19,Leak Detection and Repair in the Designated District Metering Areas in New Territories East,"North, Sai Kung, Tai Po",Ming Hing Waterworks Engineering Company Limited,2.94,03/06/2020,New Territories East Region,https://www.wsd.gov.hk/index.html?id=49,2020-06-03
9100WX,20/WSD/19,Leak Detection and Repair in the Designated District Metering Areas in Lantau and the Outlying Islands,Islands,China Geo-Engineering Corporation,2.66,03/06/2020,Hong Kong & Islands Region,https://www.wsd.gov.hk/index.html?id=50,2020-06-03
9100WX,18/WSD/19,Replacement of Filter Press No.1 at Au Tau Water Treatment Works,Yuen Long,ATAL Engineering Limited,8.078,08/06/2020,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=51,2020-06-08
9196WC,13/WSD/19,Construction of Pressure Management and District Metering Installations under Water Intelligent Network – Remaining Works,"Central & Western, Eastern, Southern, Wan Chai, Sham Shui Po, Kowloon City, Yau Tsim Mong, Kwun Tong, Wong Tai Sin, Islands, Kwai Tsing, Sai Kung, Sha Tin, Tai Po, Tsuen Wan, Tuen Mun",Ming Hing Waterworks - Ming Hing Civil Joint Venture,424.28,03/08/2020,Project Management Division,https://www.wsd.gov.hk/index.html?id=52,2020-08-03
9100WX,11/WSD/19,Uprating of Cheung Sha Water Treatment Works,Islands,ATAL Engineering Limited,17.14,17/08/2020,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=53,2020-08-17
9368WF,5/WSD/19,Improvement to Dongjiang Water Mains P4 at Sheung Shui and Fanling,North,MHVJV (Ming Hing - Vasteam Joint Venture),438.8,04/09/2020,Construction Division,https://www.wsd.gov.hk/index.html?id=54,2020-09-04
9369WF,2/WSD/19,Mainlaying and Uprating of Ha Wong Yi Au Fresh Water Pumping Station,Tai Po,Tactful Construction & Engineering (HK) Limited,102.75,10/09/2020,Construction Division,https://www.wsd.gov.hk/index.html?id=55,2020-09-10
9181WF,1/WSD/19,In-situ Reprovisioning of Sha Tin Water Treatment Works (South Works) – Water Treatment Works and Ancillary Facilities,Sha Tin,"ATAL - CW - MH JV
(formed by (i) ATAL Engineering Limited; (ii) Chun Wo Construction and Engineering Company Limited; and (iii) Ming Hing Civil Contractors Limited)",4515.6,31/07/2020,Project Management Division,https://www.wsd.gov.hk/index.html?id=56,2020-07-31
9100WX,10/WSD/18,Replacement of High Voltage Equipment at Sheung Wan Salt Water Pumping Station,Central & Western,Kum Shing Engineering Company Limited,5.9173,27/09/2018,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=57,2018-09-27
9355WF,5/WSD/18,Water Supply to New Housing Developments in Sheung Shui and Fanling - Mainlaying in Sheung Shui and Fanling Areas,North,China International Water & Electric Corporation,458.5,19/06/2019,Project Management Division,https://www.wsd.gov.hk/index.html?id=58,2019-06-19
9355WF,3/WSD/18,Water Supply to New Housing Developments in Sheung Shui and Fanling – Construction of Tong Hang No.3 Fresh Water Service Reservoir and Associated Mainlaying,"North, Tai Po",U-Tech Engineering Company Limited,348.5,18/09/2018,Project Management Division,https://www.wsd.gov.hk/index.html?id=59,2018-09-18
9357WF,13/WSD/17,"Design, Build and Operate First Stage of Tseung Kwan O Desalination Plant",Sai Kung,AJC Joint Venture,9018.9,15/11/2019,Consultants Management Division,https://www.wsd.gov.hk/index.html?id=60,2019-11-15
9363WF,7/WSD/17,"Provision of On-site Chlorine Generation Plants at Au Tau, Tsuen Wan and Yau Kom Tau Water Treatment Works","Tsuen Wan, Yuen Long",Torishima (Hong Kong) Limited,247.72,23/02/2018,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=61,2018-02-23
9363WF,6/WSD/17,"Provision of On-site Chlorine Generation Plants at Sheung Shui, Silver Mine Bay, Siu Ho Wan and Ma On Shan Water Treatment Works","Islands, Sha Tin, North",REC-CEL JV,304,23/02/2018,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=62,2018-02-23
9363WF,5/WSD/17,"Provision of On-site Chlorine Generation Plants at Sha Tin, Pak Kong and Tuen Mun Water Treatment Works","Sha Tin, Sai Kung, Tuen Mun",REC-CEL JV,275.8,23/02/2018,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=63,2018-02-23
9356WF,4/WSD/17,Uprating of Tung Chung Fresh Water Supply System - Construction of Tung Chung No.2 Fresh Water Service Reservoir,Islands,Chun Yip - Chung Hing Joint Venture,139.93,31/01/2018,Design Division,https://www.wsd.gov.hk/index.html?id=64,2018-01-31
9100WX,3/WSD/17,Term Contract for Risk-Based Improvement of Water Mains - Hong Kong & Islands and New Territories West,"Central & Western, Southern, Wan Chai, Eastern, Islands, Tuen Mun, Yuen Long, Tsuen Wan, Kwai Tsing",Ming Hing Waterworks Engineering Company Limited,406.869,16/11/2017,Design Division,https://www.wsd.gov.hk/index.html?id=65,2017-11-16
9100WX,2/WSD/17,Term Contract for Risk-Based Improvement of Water Mains - Kowloon and New Territories East,"Kowloon City, Kwun Tong, Sham Shui Po, Yau Tsim Mong, Wong Tai Sin, North, Sha Tin, Sai Kung, Tai Po","Wo Hing - Hing Cheong
Joint Venture",423.349,31/01/2018,Design Division,https://www.wsd.gov.hk/index.html?id=66,2018-01-31
9364WF,13/WSD/16,Mainlaying in Tseung Kwan O,Sai Kung,Penta-Ocean – Concentric Joint Venture,540.631,07/11/2017,Construction Division,https://www.wsd.gov.hk/index.html?id=67,2017-11-07
9100WX,11/WSD/16,"Replacement of Pump Motors, Switchboard and Control System at Tsuen Wan Salt Water Pumping Station",Tsuen Wan,REC Engineering Company Limited,18.88,22/05/2017,Mechanical & Electrical / Projects Division,https://www.wsd.gov.hk/index.html?id=68,2017-05-22
