Company Name,Location,Booth,url
Morriss Horological Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MYDZ?fairCode=hkwatchfair&locale=en
Accendo Hong Kong Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N9W3?fairCode=hkwatchfair&locale=en
Allied Asia Enterprise (PVT) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005PH7Y?fairCode=hkwatchfair&locale=en
BLM International Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NLXO?fairCode=hkwatchfair&locale=en
BM Time Design Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJLQ?fairCode=hkwatchfair&locale=en
Bridgestone Watch Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIOI?fairCode=hkwatchfair&locale=en
Como Milano International Ltd.,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005RRR0?fairCode=hkwatchfair&locale=en
Creative Choice Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NCZR?fairCode=hkwatchfair&locale=en
Grand Lion Industries Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXLC?fairCode=hkwatchfair&locale=en
"HK Dualtime International Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHS7?fairCode=hkwatchfair&locale=en
"HK Watchbands Corp., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NHT4?fairCode=hkwatchfair&locale=en
Hoiking International Corporation Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXFU?fairCode=hkwatchfair&locale=en
Hongkong Honesty Chronometer Int'l Co Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NHU1?fairCode=hkwatchfair&locale=en
National Electronics and Watch Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005O08C?fairCode=hkwatchfair&locale=en
"Owago, Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ9Q?fairCode=hkwatchfair&locale=en
PBF Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHU1?fairCode=hkwatchfair&locale=en
Perriland Timepieces Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJS5?fairCode=hkwatchfair&locale=en
"Phoebus Time (HK) Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MNG1?fairCode=hkwatchfair&locale=en
Pioneer Tech Industrial Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NKAM?fairCode=hkwatchfair&locale=en
Prosver Dani Watch Industry (HK) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXGR?fairCode=hkwatchfair&locale=en
Ri-Tech Rubber Chemical Co Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0A6?fairCode=hkwatchfair&locale=en
"Shenzhen Cheng Hui Wu Jin Shi Ye Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIG6?fairCode=hkwatchfair&locale=en
Solar Time Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NCQI?fairCode=hkwatchfair&locale=en
Somal Industrial (HK) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ7W?fairCode=hkwatchfair&locale=en
Stingmars Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJXQ?fairCode=hkwatchfair&locale=en
Thea International (HK) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJYN?fairCode=hkwatchfair&locale=en
Time Deluxe Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ0H?fairCode=hkwatchfair&locale=en
Top Hero Enterprise Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ8T?fairCode=hkwatchfair&locale=en
W&Y (Asia) Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MXP0?fairCode=hkwatchfair&locale=en
Mavlian International Co.,Lebanon,[],/event/hkwatchfair/en/exhibitor/1S005NCRF?fairCode=hkwatchfair&locale=en
Gordon C. & Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NJIZ?fairCode=hkwatchfair&locale=en
"Hanfeng Watch & Accessories Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIXR?fairCode=hkwatchfair&locale=en
Hong Kong Hing Yip Development Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIYO?fairCode=hkwatchfair&locale=en
"Meiko Watch Industry Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJPE?fairCode=hkwatchfair&locale=en
Mfswo Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJKT?fairCode=hkwatchfair&locale=en
PX Int'l Ltd.,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0N3?fairCode=hkwatchfair&locale=en
Po Tak Lee Enterprise Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MI53?fairCode=hkwatchfair&locale=en
TEC Technology Elegance Components Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MI7X?fairCode=hkwatchfair&locale=en
"Trade Mix Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJF8?fairCode=hkwatchfair&locale=en
Trust Time Co,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NLZI?fairCode=hkwatchfair&locale=en
Tutima (Hong Kong) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NCLX?fairCode=hkwatchfair&locale=en
Wilboson Watch Co Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0FR?fairCode=hkwatchfair&locale=en
Xin Long Da Watches Industry (Hong Kong) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJVW?fairCode=hkwatchfair&locale=en
Dongguan Jihaoyuan Packing Products Ltd,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RQHV?fairCode=hkwatchfair&locale=en
"Guangdong Star Rudder Technology Co.,LTD",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NPBE?fairCode=hkwatchfair&locale=en
Guangzhou Pardwin Watch Limited,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005PH54?fairCode=hkwatchfair&locale=en
Lin Tai International Group (Hong Kong) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0JF?fairCode=hkwatchfair&locale=en
Present Watch & Jewelry Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NCNR?fairCode=hkwatchfair&locale=en
Solid Fame Development Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MI2C?fairCode=hkwatchfair&locale=en
Time Token Company Limited,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005PH47?fairCode=hkwatchfair&locale=en
"Hong Kong Baoke Watch Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MI46?fairCode=hkwatchfair&locale=en
Loyal Tact Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MYFT?fairCode=hkwatchfair&locale=en
Ming Fung Industrial Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NJLQ?fairCode=hkwatchfair&locale=en
"Proact Technology Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHXS?fairCode=hkwatchfair&locale=en
Union Energy Hongkong Industries Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0HL?fairCode=hkwatchfair&locale=en
Guangzhou Eyki Watches Ltd.,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005OKLP?fairCode=hkwatchfair&locale=en
Sun Flame Co Ltd,Japan,[],/event/hkwatchfair/en/exhibitor/1S005NVIN?fairCode=hkwatchfair&locale=en
"Young Town Enterprises Co., Ltd.",Taiwan,[],/event/hkwatchfair/en/exhibitor/1S005RQR1?fairCode=hkwatchfair&locale=en
"Elegante Arts Packaging Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJH2?fairCode=hkwatchfair&locale=en
Firmstock Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0B3?fairCode=hkwatchfair&locale=en
MeteoRight Jewellery Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHYP?fairCode=hkwatchfair&locale=en
Siluck (Hong Kong) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHLS?fairCode=hkwatchfair&locale=en
Stelux Watch Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NVJK?fairCode=hkwatchfair&locale=en
Adriatica PR&A Watch Sagl,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMS2?fairCode=hkwatchfair&locale=en
"Foshan Huide (Devar`s) Watch Co.,Ltd",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NCK0?fairCode=hkwatchfair&locale=en
"Fuzhou Mexda Import and Export Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RQWM?fairCode=hkwatchfair&locale=en
"Guangdong Yonghong Watch & Clock Co., Ltd",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005O8PP?fairCode=hkwatchfair&locale=en
"Guangzhou Yilan Watch Industry Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005P0QU?fairCode=hkwatchfair&locale=en
Jowissa Watch Ltd,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMR5?fairCode=hkwatchfair&locale=en
"Naturalpak Industrial Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NXVI?fairCode=hkwatchfair&locale=en
Asia Leader Industrial Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MICI?fairCode=hkwatchfair&locale=en
Berlink Timepiece (HK) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MWWG?fairCode=hkwatchfair&locale=en
Chelong Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0M6?fairCode=hkwatchfair&locale=en
"Chung Nam Watch Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NJJW?fairCode=hkwatchfair&locale=en
Comtech Watches Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NO0C?fairCode=hkwatchfair&locale=en
Concept Watch International Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005P2M4?fairCode=hkwatchfair&locale=en
Delta Link Enterprises Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ38?fairCode=hkwatchfair&locale=en
Eastech Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MS8K?fairCode=hkwatchfair&locale=en
Fengze (China) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005RQIS?fairCode=hkwatchfair&locale=en
"Grand Bentley International Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MWUM?fairCode=hkwatchfair&locale=en
H. K. Precision Technology Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJUZ?fairCode=hkwatchfair&locale=en
"Haosen Metal Products Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJ52?fairCode=hkwatchfair&locale=en
Hip Shing Leather Watch Straps Mfy Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005P0SO?fairCode=hkwatchfair&locale=en
"Hongkong Zhuoyue Watch Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIH3?fairCode=hkwatchfair&locale=en
Hop Yuen Industrial Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005N0II?fairCode=hkwatchfair&locale=en
Ice Concepts Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005OB2J?fairCode=hkwatchfair&locale=en
Imarch Watch & Clock Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJJW?fairCode=hkwatchfair&locale=en
"Juelong Watch Co., Limited",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIAO?fairCode=hkwatchfair&locale=en
Kronda Watch Straps Mfy. Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIZL?fairCode=hkwatchfair&locale=en
Kwun Kee Leather Watch Straps Manufactory Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJEB?fairCode=hkwatchfair&locale=en
Lock Up Timepiece Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005OWXD?fairCode=hkwatchfair&locale=en
Luxpack Manufacturing Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHKV?fairCode=hkwatchfair&locale=en
Mastermind Manufacture Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MJWT?fairCode=hkwatchfair&locale=en
Montres S. A. Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005S9AX?fairCode=hkwatchfair&locale=en
New Hing Yip Watchstraps Mfg Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIKU?fairCode=hkwatchfair&locale=en
Parture Gift International Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIS6?fairCode=hkwatchfair&locale=en
Poly Wealthy (Hong Kong) Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MHNM?fairCode=hkwatchfair&locale=en
"Super Time (Hongkong) Industrial Co., Ltd.",Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MI39?fairCode=hkwatchfair&locale=en
Vigor Straps Ltd,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NLYL?fairCode=hkwatchfair&locale=en
Wellgain International Industrial Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005MIU0?fairCode=hkwatchfair&locale=en
Wing Fung Manufacturing Company Limited,Hong Kong,[],/event/hkwatchfair/en/exhibitor/1S005NHS7?fairCode=hkwatchfair&locale=en
Aerowatch SA,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMQ8?fairCode=hkwatchfair&locale=en
Appella,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMXN?fairCode=hkwatchfair&locale=en
Atlantic,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMYK?fairCode=hkwatchfair&locale=en
"Aurubis metal products (Shanghai) Co.,Ltd",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RNBG?fairCode=hkwatchfair&locale=en
David Van Heim,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMTZ?fairCode=hkwatchfair&locale=en
Etoile,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMVT?fairCode=hkwatchfair&locale=en
Francéclat,France,[],/event/hkwatchfair/en/exhibitor/1S005RRC9?fairCode=hkwatchfair&locale=en
Fujian Jiali Electronic Company Limited,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RQUS?fairCode=hkwatchfair&locale=en
"Genuine International Co., Ltd.",Taiwan,[],/event/hkwatchfair/en/exhibitor/1S005RNMJ?fairCode=hkwatchfair&locale=en
"GuangDong Pearl Clock & Watch Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RCAU?fairCode=hkwatchfair&locale=en
Guangzhou Hengbaoluo Technology Co Ltd,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RNHY?fairCode=hkwatchfair&locale=en
"Guangzhou Huaxin Color Printing Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RNDA?fairCode=hkwatchfair&locale=en
"Guangzhou Raymons Import & Export Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RQND?fairCode=hkwatchfair&locale=en
Guangzhou Shisuo Limited,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005PILR?fairCode=hkwatchfair&locale=en
JMK Watch Band Co.Ltd,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RQGY?fairCode=hkwatchfair&locale=en
"Jiahao Watch Technology Co., Ltd",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RQF1?fairCode=hkwatchfair&locale=en
Kelton,France,[],/event/hkwatchfair/en/exhibitor/1S005RRLI?fairCode=hkwatchfair&locale=en
Marvin,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMUW?fairCode=hkwatchfair&locale=en
Mathey Tissot,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RMWQ?fairCode=hkwatchfair&locale=en
Montignac,France,[],/event/hkwatchfair/en/exhibitor/1S005RKJV?fairCode=hkwatchfair&locale=en
Pilo & Co Sa,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005RGKW?fairCode=hkwatchfair&locale=en
Renata SA,Switzerland,[],/event/hkwatchfair/en/exhibitor/1S005NIEC?fairCode=hkwatchfair&locale=en
Shenzhen Bai Wei Zhen Watch&Clock Company Ltd.,Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RQQ4?fairCode=hkwatchfair&locale=en
"Shenzhen Yixinchaoyuan Precision Products Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005RRHU?fairCode=hkwatchfair&locale=en
"Shenzhen Axgero Watch Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005NMIW?fairCode=hkwatchfair&locale=en
"Shenzhen Oubo Watch Industry Co., Ltd.",Chinese Mainland,[],/event/hkwatchfair/en/exhibitor/1S005PS5T?fairCode=hkwatchfair&locale=en
