"title","title href","subtitle"
"Advanced Technology Products (ATP)","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=474259","3353"
"AdvancedTek","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=350659","4625"
"Advantech Corporation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=364733","3914"
"Advent Design Corporation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=406933","18024"
"Aeris","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=511835","4636"
"AerosUSA","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=407140","4527"
"Aformic Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=412032","24007"
"Agibot Innovation Shanghai Technology Co., Ltd.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=503888","2291"
"Agile Plant Solutions Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494598","35047"
"Agility","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=358803","1891"
"AGILOX North America, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=346150","2063"
"Ahaus Tool and Engineering, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=465833","13021"
"Airgain","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=506277","4508"
"Airtec Pneumatics, Inc","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=492143","31009"
"AiTEN","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=493856","28034"
"Aiut Engineering Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=502053","24007"
"Ajile Light Industries","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=506864","3875"
"Aletiq","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=501500","4461"
"Alliance Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=291465","26023"
"Allied Vision Technologies, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138241","214"
"Allient","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=249734","1557"
"Alro Steel and Plastics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=407047","2179"
"ALWA smartPins USA","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=491706","3716"
"Alysium-Tech Canada Corp","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=491671","3815"
"AMD Machines","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=432184","36048"
"AMDT","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=465495","850"
"Amer Electric Motion","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=329484","1069"
"American Feeding Systems Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494768","11002"
"American Technical Publishers","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=439467","31054"
"Amissiontech Co.,Ltd","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=493451","34043"
"Amphenol - AIPG","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=492018","3634"
"Amprius Technologies","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=500279","36017"
"AMR Integration","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495807","10047"
"Andrews Cooper","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=430693","4021"
"Angstrom Global","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=504479","33034"
"Anscer Robotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=470876","1681"
"Ansys, part of Synopsys","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494185","11035"
"Antaira Technologies","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=408151","4257"
"AP&T North America, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494832","35045"
"Apera AI","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=359882","2840"
"Apex Dynamics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=380779","28004"
"Apex Sensing LLC","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=503853","1790"
"API Metrology","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=407244","3109"
"Applied Control Engineering","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=213950","10011"
"Applied Manufacturing Technologies","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=137899","1001"
"Applied Motion Products, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=187751","32011"
"Apprentice.io","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=503125","4084"
"Aptiv","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=496029","3291"
"ARBOR Solution Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=432192","4227"
"Arda","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495243","36008"
"ARIS Technology","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=504498","4388"
"ARM - Advanced Robotics for Manufacturing Institute","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=291944","31060"
"ARS Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=490356","28015"
"AS-Interface Organization North America","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=333246","10004"
"ASG","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=252258","872"
"ASO Safety Solutions, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=492127","3773"
"Aspen Systems","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=502519","3876"
"ASRock Industrial Computer Corporation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=407992","975"
"Assembly Magazine","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=194113","4455"
"Assembly Tool Specialists, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=492075","4071"
"Association for Advancing Automation (A3) & Automate Sales Office","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138102","26055"
"Asyril","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=248938","1461"
"ASYS Group Americas Inc","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=465294","4244"
"AT-Automation Technology, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495942","4175"
"ATC Automation & Robotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=330236","24023"
"ATI Industrial Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=137928","1006"
"Ati Robotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=440564","450"
"ATLANTA Drive Systems, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=210523","118"
"Atlas Copco","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=383482","1236"
"ATS Industrial Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=137945","4058"
"Auer Signal","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=436465","14027"
"Automate AMR Demo Area","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138102-1","24040"
"Automate Humanoid Pavilion Stage","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138102-13","1595"
"Automate Innovation Stage","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138102-5","19046"
"Automate LIVE! Broadcasting Booth","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138102-3","26051"
"Automate Matrix","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494200","12022"
"AUTOMATE STUDENT CHALLENGE","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138102-10","32057"
"Automated Industrial Systems","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=465014","4349"
"Automation Controls Group (UniDrive)","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=364887","34002"
"Autonics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=429520","663"
"autoVimation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=512851","241"
"Aware Innovations","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=516633","4633"
"Axioforce Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=515516","1894"
"Axioforce Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=515516","4544"
"Axiomtek","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=381568","28021"
"Axomind","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=510212","20158"
"B&R Industrial Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=242743","28045"
"Balluff Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=174124","15027"
"Bangye Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=456494","3774"
"Banner Engineering Corp.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=137932","24046"
"Basler","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=375927","534"
"Baumer","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=202538","24027"
"BBS Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347028","3119"
"Bear Robotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=508606","3488"
"Bearings 2000","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495487","35030"
"Beckhoff Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=227826","814"
"Beijing Galbot AI Co., Ltd.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=507398","2094"
"Beijing Inspire Robots Technology Co., Ltd.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=430631","4206"
"Belden","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=493243","471"
"Bell Everman","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=254927","34036"
"Bellco Feeders","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=468373","14032"
"Belt Technologies Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=408263","10000"
"BESCUTTER LLC","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=492870","1425"
"Bicker Electronics Corp","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=502491","4470"
"Big Joe Forklifts","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=407132","606"
"BigBear.ai","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=504466","11061"
"Bigwave Robotics Corp.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494606","24054"
"Bihl+Wiedemann, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=316575","3405"
"Binder USA","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=398792","24051"
"Bishop-Wisecarver","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=249795","110"
"BizLink Tech, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495515","16053"
"Black Box","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=501493","4471"
"Black Controls Company Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=406048","12034"
"BlackBerry QNX","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=246489","11064"
"Blackhawk Technical College","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=500912","31051"
"Bodine Electric Company","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=252358","36033"
"BOGEN Magnetics USA","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=288441","254"
"BOS Innovations Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=241731","14021"
"Bosch Manufacturing Solutions | BMG","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494925","2018"
"Bosch Rexroth Corporation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138202","2810"
"Bossard","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=468360","34008"
"Boston Dynamics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=286416","225"
"Botsync","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494681","33044"
"Brainboxes LLC","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=439452","2481"
"Brevetti Stendalto","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=492704","3878"
"Brooks Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=105118","610"
"BSI","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494580","11056"
"Burro","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=504473","25064"
"Business Engineering America, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=406718","12004"
"Byron Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347534","4640"
"C&W Services","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=502477","4448"
"C-Motive Technologies, inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=378327","36010"
"CADDi Co., Ltd.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=442684","1669"
"Cambrian Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=442561","2070"
"camLine | Elisa Industriq","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=378436","30060"
"Camozzi Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=382528","4012"
"Canfield Industries","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=433661","3981"
"Cardinal Kinetic","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=384470","1231"
"Carnegie Robotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=493048","17008"
"Carter Robotics LLC","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=474395","33048"
"Cattron","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=461156","12005"
"CCS Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138134","3409"
"CEBS","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=470656","12033"
"CeiliX Technology GmbH","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=502024","20156"
"CeiliX Technology GmbH","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=502024","4631"
"Cella Technologies","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495349","11030"
"Cembre Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=384868","32024"
"CENIT North America, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=213030","103"
"CENTRIS TECHNOLOGIES","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495682","36032"
"Cervoz","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=408335","13051"
"Cervoz","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=408335","154"
"Chaifu Robot Co., Ltd.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495609","30064"
"Changzhou Hemm Intelligent Technology Co., Ltd","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495620","10029"
"CHANGZHOU RIGHT MEASUREMENT AND CONTROL SYSTEM CO., LTD","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494377","11042"
"Changzhou Wheeler Motor Co., Ltd","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=462063","1178"
"Chicago City Schools","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=505432","36063"
"Chieftek Precision USA Co., Ltd.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=290461","21051"
"CHINGMU-MOCAP","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495949","160"
"Chip 1","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=504435","4627"
"Chroma Technology","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=241244","116"
"CIMON","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=406129","19040"
"Cincoze Co., Ltd.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=369310","861"
"Circuit","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=507378","20162"
"Cirrus Link Solutions","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=465776","1678"
"Citel","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=431421","33036"
"City of Denton Office of Economic Development","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=493739","10042"
"ClarityPay","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=507338","4615"
"Classic Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=318343","3680"
"Cleanbotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=476970","4281"
"CMES Robotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=377754","1001"
"CNC TOOLS LLC","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=502547","10055"
"Cobot","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=417737","1684"
"CODESYS Corporation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=463635","26030"
"Cognex Corporation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=137908","3101"
"Cognida.ai","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=515500","19063"
"Colorado Electronic Product Design","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=513803","4419"
"Commonlands Optics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=400446","4080"
"Compact Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=379772","4209"
"Complement","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=503222","11054"
"Components Express, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=146705","1021"
"Computar Optics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=138298","4431"
"Comtronix","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=470571","3920"
"Conductix","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=377216","264"
"Conduit","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=463370","11006"
"Cone Drive","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=252490","2177"
"Configit, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=500864","4479"
"congatec","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=408678","3770"
"Contactile","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=471033","30062"
"Convergent Information Technologies GmbH","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=315719","1174"
"Convergix Automation Solutions","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=408292","1850"
"Cool Clean Technologies","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=468533","35000"
"Copley Controls","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=320362","1869"
"Copper Robotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=507344","19054"
"Corning Varioptic","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=429235","4069"
"Corvalent Corporation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=465774","12017"
"COUNTERPART","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=516629","4533"
"COVAL Vacuum Technology, Inc.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=194977","133"
"Covestro","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=508601","3425"
"Creative Automation","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=137834","28012"
"Creative Motion Control","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=283986","13012"
"CREVIS","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=194938","34020"
"Critical Systems Analysis","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=466287","4441"
"CUH Controller for Vibratory Feeder","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=465778","14030"
"CW Bearing","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=252533","3416"
"Cybergear Manufacturing Software","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=329006","4203"
"Cyngn","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=476974","35024"
"Dane Technologies Inc","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=501503","26046"
"DARU Technology (Suzhou) Co., Ltd","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=494931","36045"
"Darveen Co., Ltd.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=492838","4172"
"Dassault Systemes Americas Corp.","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=465028","1173"
"Datalogic","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=137888","13015"
"Datanomix","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=495833","12059"
"Datum Tech Solutions","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=505415","4378"
"Daxo Robotics","https://automate26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=506272","20154"
