"generic-option-link","generic-option-link href","generic-option-link 2","generic-option-link href 2","img-avatar src"
"Blumar Seafoods","https://sea2026.smallworldlabs.com/co/blumar-seafoods","Booth #C17","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=253963&MapItBooth=C17&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Byul Food","https://sea2026.smallworldlabs.com/co/byul-food","Booth #N02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280364&MapItBooth=N02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Captain Little Seafood Ltd","https://sea2026.smallworldlabs.com/co/captain-little-seafood-ltd","Booth #G12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279952&MapItBooth=G12&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Captainbong Co.,Ltd","https://sea2026.smallworldlabs.com/co/captainbong-co-ltd","Booth #N02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280362&MapItBooth=N02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"CARIBBEAN GOLDEN PEARL LLC","https://sea2026.smallworldlabs.com/co/caribbean-golden-pearl-llc","Booth #D05","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=254320&MapItBooth=D05&MapID=262",""
"Caviar Giaveri","https://sea2026.smallworldlabs.com/co/caviar-giaveri","Booth #E26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280514&MapItBooth=E26&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Central Pacific Producers Limited","https://sea2026.smallworldlabs.com/co/central-pacific-producers-limited","Booth #F11","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280650&MapItBooth=F11&MapID=262",""
"Champion Pacific Co., Ltd.","https://sea2026.smallworldlabs.com/co/champion-pacific-co-ltd","Booth #E02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276103&MapItBooth=E02&MapID=262",""
"Champlain Seafood","https://sea2026.smallworldlabs.com/co/champlain-seafood","Booth #G12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279908&MapItBooth=G12&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"China Aquatic Products Processing & Marketing Alliance (CAPPMA)","https://sea2026.smallworldlabs.com/co/china-aquatic-products-processing-marketing","Booth #K20, M12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=254193%2C254243&MapItBooth=M12%2CK20&MapID=262",""
"Chun Cheng Fishery Enterprise Pte Ltd","https://sea2026.smallworldlabs.com/co/chun-cheng-fishery-enterprise-pte-ltd","Booth #J02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276163&MapItBooth=J02&MapID=262",""
"Chungsan Fishermen's Organization","https://sea2026.smallworldlabs.com/co/chungsan-fishermen-s-organization","Booth #N02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280365&MapItBooth=N02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Coldfish Seafood Co. Inc.","https://sea2026.smallworldlabs.com/co/coldfish-seafood-co-inc","Booth #G20","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279943&MapItBooth=G20&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"COLDIRETTI","https://sea2026.smallworldlabs.com/co/coldiretti","Booth #E26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280579&MapItBooth=E26&MapID=262",""
"CONSORZIO PESCATORI DI GORO","https://sea2026.smallworldlabs.com/co/consorzio-pescatori-di-goro","Booth #E26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280507&MapItBooth=E26&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"COSVAP-DISTRETTO DELLA PESCA E CRESCITA BLU","https://sea2026.smallworldlabs.com/co/cosvap-distretto-della-pesca-e-crescita-blu","Booth #E26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280503&MapItBooth=E26&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Daeyang Corporation","https://sea2026.smallworldlabs.com/co/daeyang-corporation","Booth #E16","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=277864&MapItBooth=E16&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dalian Gaishi Food Co., Ltd.","https://sea2026.smallworldlabs.com/co/dalian-gaishi-food-co-ltd","Booth #M02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279903&MapItBooth=M02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dalian Haixiang Food Co., Ltd","https://sea2026.smallworldlabs.com/co/dalian-haixiang-food-co-ltd","Booth #L12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280376&MapItBooth=L12&MapID=262",""
"Dalian Huihetong Exhibition & Display Co., Ltd.","https://sea2026.smallworldlabs.com/co/dalian-huihetong-exhibition-display-co-lt","Booth #H20-1, H20-2, H20-3, H20-5","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275036%2C272371%2C272374%2C275037&MapItBooth=H20-5%2CH20-3%2CH20-2%2CH20-1&MapID=262",""
"Dalian Joy Share Foods Co., Ltd.","https://sea2026.smallworldlabs.com/co/dalian-joy-share-foods-co-ltd","Booth #M02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275683&MapItBooth=M02&MapID=262",""
"Dalian Lucky Seafood Co Ltd","https://sea2026.smallworldlabs.com/co/dalian-lucky-seafood-co-ltd","Booth #J26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276507&MapItBooth=J26&MapID=262",""
"Dalian Minghua Seafoods Co., Ltd","https://sea2026.smallworldlabs.com/co/dalian-minghua-seafoods-co-ltd","Booth #F20","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276537&MapItBooth=F20&MapID=262",""
"DALIAN RICH FOODS CO., LTD.","https://sea2026.smallworldlabs.com/co/dalian-rich-foods-co-ltd","Booth #M12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276578&MapItBooth=M12&MapID=262",""
"Dalian Tailian Foods Co.,Ltd","https://sea2026.smallworldlabs.com/co/dalian-tailian-foods-co-ltd","Booth #H20-2","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276575&MapItBooth=H20-2&MapID=262",""
"Dalian Yihe Food Co., Ltd","https://sea2026.smallworldlabs.com/co/dalian-yihe-food-co-ltd","Booth #M02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279651&MapItBooth=M02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dalian Yingdong Aquatic Products Co., Ltd.","https://sea2026.smallworldlabs.com/co/dalian-yingdong-aquatic-products-co-ltd","Booth #M02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279652&MapItBooth=M02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dalian Yingsheng Foods Co., Ltd.","https://sea2026.smallworldlabs.com/co/dalian-yingsheng-foods-co-ltd","Booth #K20","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276576&MapItBooth=K20&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dalian Zhihui Fishery Group Co.,Ltd","https://sea2026.smallworldlabs.com/co/dalian-zhihui-fishery-group-co-ltd","Booth #M12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276577&MapItBooth=M12&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dandong Ande Biotechnology Co., Ltd.","https://sea2026.smallworldlabs.com/co/dandong-ande-biotechnology-co-ltd","Booth #H12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276333&MapItBooth=H12&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dandong Zhengrun Food Co.,ltd","https://sea2026.smallworldlabs.com/co/dandong-zhengrun-food-co-ltd","Booth #K12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276115&MapItBooth=K12&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dashimachonbok Fishery Corp.","https://sea2026.smallworldlabs.com/co/dashimachonbok-fishery-corp","Booth #N02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280363&MapItBooth=N02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"DEBAO (FUJIAN) INDUSTRIAL CO.,LTD.","https://sea2026.smallworldlabs.com/co/debao-fujian-industrial-co-ltd","Booth #J20","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275686&MapItBooth=J20&MapID=262",""
"Delta Fish srl","https://sea2026.smallworldlabs.com/co/delta-fish-srl","Booth #E26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280510&MapItBooth=E26&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Department of Fisheries - Brunei Darussalam","https://sea2026.smallworldlabs.com/co/department-of-fisheries-brunei-darussalam","Booth #C01","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=255365&MapItBooth=C01&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Dhofar Fisheries","https://sea2026.smallworldlabs.com/co/dhofar-fisheries","Booth #G26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280706&MapItBooth=G26&MapID=262",""
"DNV","https://sea2026.smallworldlabs.com/co/dnv","Booth #H02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276170&MapItBooth=H02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e6e871e891c12b6e404279a8fc1f4178-sea-processing-icon.png"
"DON GAMBERO","https://sea2026.smallworldlabs.com/co/don-gambero","Booth #E26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280580&MapItBooth=E26&MapID=262",""
"Donggang City Jinwei Aquatic Technology Co., Ltd","https://sea2026.smallworldlabs.com/co/donggang-city-jinwei-aquatic-technology-co","Booth #M12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280371&MapItBooth=M12&MapID=262",""
"Dongshan HuaChang Foodstuff Co., Ltd","https://sea2026.smallworldlabs.com/co/dongshan-huachang-foodstuff-co-ltd","Booth #H12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275676&MapItBooth=H12&MapID=262",""
"E & E Foods","https://sea2026.smallworldlabs.com/co/e-e-foods","Booth #D02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279662&MapItBooth=D02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"E.C. Phillips and Son Inc.","https://sea2026.smallworldlabs.com/co/e-c-phillips-and-son-inc","Booth #D02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279661&MapItBooth=D02&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Everlasting A-One Trading Co.,Ltd.","https://sea2026.smallworldlabs.com/co/everlasting-a-one-trading-co-ltd","Booth #G10","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=257295&MapItBooth=G10&MapID=262",""
"Famille Beaulieu","https://sea2026.smallworldlabs.com/co/famille-beaulieu","Booth #M19","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276586&MapItBooth=M19&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Fanny Bay Oysters","https://sea2026.smallworldlabs.com/co/fanny-bay-oysters","Booth #G20","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279948&MapItBooth=G20&MapID=262",""
"FAO GLOBEFISH","https://sea2026.smallworldlabs.com/co/fao-globefish","Booth #A13","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=253880&MapItBooth=A13&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e6e871e891c12b6e404279a8fc1f4178-sea-processing-icon.png"
"Fish International Sourcing House","https://sea2026.smallworldlabs.com/co/fish-international-sourcing-house","Booth #J02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276161&MapItBooth=J02&MapID=262",""
"Food Export - Northeast","https://sea2026.smallworldlabs.com/co/food-export-northeast","Booth #G11","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=272488&MapItBooth=G11&MapID=262",""
"Foodman Optoelectronic (Zhongshan) Co., Ltd","https://sea2026.smallworldlabs.com/co/foodman-optoelectronic-zhongshan-co-ltd","Booth #X07","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=258557&MapItBooth=X07&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e6e871e891c12b6e404279a8fc1f4178-sea-processing-icon.png"
"French Creek Seafood Ltd.","https://sea2026.smallworldlabs.com/co/french-creek-seafood-ltd","Booth #G20","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279944&MapItBooth=G20&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Friultrota - La Regina di San Daniele","https://sea2026.smallworldlabs.com/co/friultrota-la-regina-di-san-daniele","Booth #E26","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280515&MapItBooth=E26&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Fujian Hanxiang Food Co., Ltd.","https://sea2026.smallworldlabs.com/co/fujian-hanxiang-food-co-ltd","Booth #K12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275675&MapItBooth=K12&MapID=262",""
"Fujian Huanong Food Co.,Ltd.","https://sea2026.smallworldlabs.com/co/fujian-huanong-food-co-ltd","Booth #L12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280488&MapItBooth=L12&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Fujian Maiyu Food Co., Ltd","https://sea2026.smallworldlabs.com/co/fujian-maiyu-food-co-ltd","Booth #H12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280492&MapItBooth=H12&MapID=262",""
"Fujian Mingwang Food Co.,Ltd","https://sea2026.smallworldlabs.com/co/fujian-mingwang-food-co-ltd","Booth #K25","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280577&MapItBooth=K25&MapID=262",""
"Fujian Topsheng Import & Export Co., Ltd","https://sea2026.smallworldlabs.com/co/fujian-topsheng-import-export-co-ltd","Booth #H12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275680&MapItBooth=H12&MapID=262",""
"Fuzhou Rixing Aquatic Food Co., Ltd.","https://sea2026.smallworldlabs.com/co/fuzhou-rixing-aquatic-food-co-ltd","Booth #K02","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=276200&MapItBooth=K02&MapID=262",""
"Fuzhou Yongxi Biological Technology Co., Ltd.","https://sea2026.smallworldlabs.com/co/fuzhou-yongxi-biological-technology-co-ltd","Booth #K12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275677&MapItBooth=K12&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Fuzhou Yufengyuan Group Co., Ltd.","https://sea2026.smallworldlabs.com/co/fuzhou-yufengyuan-group-co-ltd","Booth #K12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275678&MapItBooth=K12&MapID=262",""
"Fuzhou Zelin Food Co., Ltd","https://sea2026.smallworldlabs.com/co/fuzhou-zelin-food-co-ltd","Booth #H12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275679&MapItBooth=H12&MapID=262",""
"Gadre Marine Export Pvt Ltd, India","https://sea2026.smallworldlabs.com/co/gadre-marine-export-pvt-ltd-india","Booth #C07","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=255364&MapItBooth=C07&MapID=262",""
"Gerret Enterprises Inc.","https://sea2026.smallworldlabs.com/co/gerret-enterprises-inc","Booth #G12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=279954&MapItBooth=G12&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"Global Seafood Alliance","https://sea2026.smallworldlabs.com/co/global-seafood-alliance","Booth #C23","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=255376&MapItBooth=C23&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e6e871e891c12b6e404279a8fc1f4178-sea-processing-icon.png"
"Golden Corporation SDN BHD","https://sea2026.smallworldlabs.com/co/golden-corporation-sdn-bhd","Booth #C01","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=280408&MapItBooth=C01&MapID=262","https://static.prod01.ue1.p.pcomm.net/sea2026/content/images/badges-content/e79df95b9a03022bdbb12ee981423bb1-sea-new-icon1.png"
"GST Marine Products Sdn. Bhd.","https://sea2026.smallworldlabs.com/co/gst-marine-products-sdn-bhd","Booth #H12","https://s23.a2zinc.net/clients/diversified/sea2026/Public/EventMap.aspx?EventId=137&MapItBoothID=275674&MapItBooth=H12&MapID=262",""
