"jet-listing-dynamic-field__content","jet-listing-dynamic-field__content 2","jet-listing-dynamic-field__content 3"
"Analitika M","RUSSIAN FEDERATION","2P40"
"ANQING JIAXIN MEDICAL TECHNOLOGY CO., LTD","CHINA","1D23"
"ANQING YIPAK PACKAGING MATERIAL CO., LTD.","CHINA","2R01"
"Anti-Microbial Savior BioteQ Co., Ltd.","TAIWAN","2K39"
"APEX BIOTECHNOLOGY CORPORATION","TAIWAN","2J32"
"APEXBIO","TAIWAN","2H01"
"Apps-Connect Pte Ltd","SINGAPORE","1H22"
"Aria Bioscience Pte Ltd","SINGAPORE","1H25"
"ARPI","REPUBLIC OF KOREA","1G20"
"ARQon Pte Ltd","SINGAPORE","1H07"
"ARTHESYS","FRANCE","2F06"
"ASCH JAPAN Co.,LTD.","JAPAN","2M12"
"ASIA CONNECTION CO., LTD.","TAIWAN","2H35"
"Assay Specialist Laboratories(Jiangsu) Co., Ltd","CHINA","1A23"
"Assisted Living Pte Ltd","SINGAPORE","1H02"
"Assisted Living Pte Ltd","SINGAPORE","1N03"
"Astem inc.","JAPAN","2M13"
"ASTROLABE - Fabricação de Implantes Médicos, LDA","PORTUGAL","2E15"
"ASTROLABE LDA","PORTUGAL","2E17"
"ASUSTek Computer Inc.","TAIWAN","2F07"
"Austrian Federal Economic Chamber - Advantage Austria","AUSTRIA","1F02-1E09"
"AVer","TAIWAN","TBA"
"AVITA CORPORATION","TAIWAN","2Q26"
"Axelgaard Manufacturing","DENMARK","2K07"
"Axiomtek","TAIWAN","2H01"
"B.Green Technology Co., Ltd.","TAIWAN","2H39"
"Badan Pengusahaan Batam (BP Batam)","INDONESIA","2S31"
"Baisheng Medical Co., Ltd.","CHINA","1R04"
"Baoying County Fukang Medical Appliance Co., Ltd","CHINA","2G16"
"Beautechglobal Co., Ltd.","REPUBLIC OF KOREA","1G08"
"Beijing Choice Electronic Technology Co., Ltd","CHINA","1E18"
"Beijing Sonicmed Technologies Co., Ltd.","CHINA","2D19"
"BenQ Materials Corp.","TAIWAN","2J14"
"Beyond Medicine","REPUBLIC OF KOREA","1B21"
"BEYONDMEDICINE","REPUBLIC OF KOREA","2C17"
"Bicakcilar Tibbi Cihazlar Sanayi ve Ticaret A.S.","TURKEY","2F29"
"Bio-Bon Corp.","TAIWAN","2Q28"
"Bio-Tech International","BANGLADESH","2P40"
"BioactivX (SingHealth)","SINGAPORE","2B01"
"BioActs BM&S Co., Ltd.","REPUBLIC OF KOREA","2Q20"
"BioCer Entwicklungs-GmbH","GERMANY","2T04"
"Bioclass Co., Ltd.","THAILAND","2Q08"
"BioCotton Company Limited","THAILAND","2Q08"
"Biofaktor Sp z.o.o.","POLAND","2H16"
"BioGend Therapeutics Co., Ltd.","TAIWAN","2K04"
"BIOLINK SCIENTIFIC INC.","TAIWAN","2J28"
"BIOMEDICAL SRL","ITALY","2P02"
"Bionime Corporation","TAIWAN","2M36"
"BIOPTIK TECHNOLOGY, INC.","TAIWAN","2J28"
"BioSAFE Engineering LLC","UNITED STATES","2G05"
"Biospace Latin America","MEXICO","2C29"
"BIOTEGY CORPORATION","TAIWAN","2Q23"
"BitCare","SINGAPORE","1J27"
"Blue Apple International Pte. Ltd","SINGAPORE","2L31"
"Blue Engineering S.r.l.","ITALY","2N13"
"BlueMed Healthcare Co., Ltd","CHINA","2N29"
"Bodygreen Health Technology (M) Sdn. Bhd","MALAYSIA","2H39"
"Bonny Medical Technology (Suzhou) Co., Ltd","CHINA","2Q31"
"Brain Navi Biotechnology Co., Ltd.","TAIWAN","2L24"
"Brain Navi Biotechnology Co., Ltd.","TAIWAN","2R24"
"Bricon GmbH","GERMANY","2T20"
"BriteMED Technology Inc.","TAIWAN","2L24"
"BROADSIMS Inc.","TAIWAN","2H29"
"Bullan Bio Co., Ltd.","REPUBLIC OF KOREA","2N32"
"BUSAN TECHNO PARK","REPUBLIC OF KOREA","2N30"
"BUSAN TECHNO PARK","REPUBLIC OF KOREA","2N24"
"C&Q Medical Co., Ltd","REPUBLIC OF KOREA","2N39"
"CA-MI SRL","ITALY","2N01"
"Cangzhou JKJ Medical Devices Co.,Ltd","CHINA","1D26"
"Care Fort, Inc.","JAPAN","2L01"
"Careforce Medicare Supplies Sdn Bhd","MALAYSIA","2D11"
"CAREPUMP","POLAND","1H10"
"carewill, INC.","JAPAN","2L03"
"Carilex Medical Inc.","TAIWAN","2H25"
"Carilex Medical Technologies GmbH","GERMANY","2H25"
"Carilex Medical United Kingdom","UNITED STATES","2H25"
"Carilex Medical USA","UNITED STATES","2H25"
"Castomize Technologies Pte. Ltd.","SINGAPORE","1L20"
"Cathay General Hospital","TAIWAN","2L24"
"CBH","REPUBLIC OF KOREA","1G12"
"Cellabsys","REPUBLIC OF KOREA","2Q09"
"Cenefom Corp.","TAIWAN","2J14"
"CERAMED - Coatings SA","PORTUGAL","2E13"
"CERAMED SA","PORTUGAL","2E17"
"CHANG GUNG MEDICAL TECHNOLOGY CO., LTD.","TAIWAN","2K06"
"Changbing ShowChwan Memorial Hospital","TAIWAN","2L24"
"CHANGZHOU CARE-DE SANITARY MATERIAL CO., LTD","CHINA","1N10"
"CHANGZHOU OPERSON MEDICAL DEVICES CO., LTD","CHINA","1K33"
"Changzhou Teamlong Medical Polymer Co., Ltd","CHINA","2U26"
"Charder","TAIWAN","2H01"
"Cherry Health","CANADA","2Q01"
"Chi Mei Medical Center","TAIWAN","2L24"
"Chief Ling Enterprise Co., Ltd.","TAIWAN","2R22F"
"Chimed International Pte. Ltd.","SINGAPORE","2M35"
"China Medical University","TAIWAN","2L24"
"CHIYITECH TECHNOLOGY CO., LTD.","TAIWAN","2J39"
"Chukoh Chemical (Thailand) Co.,Ltd.","THAILAND","2P09"
"Chungcheongbuk-do Business Agency","REPUBLIC OF KOREA","2M01"
"Clinisys EMR Inc.","CANADA","2Q01"
"CNSystems Medizintechnik GmbH","AUSTRIA","1F06"
"Co-Innovation Biotech Co., Ltd.","CHINA","1B20"
"Codex Solutions Private Limited","INDIA","2D06"
"COMDEK INDUSTRIAL CORP.","TAIWAN","2K08"
"Comfort Med Supplies Co., Ltd","CHINA","2U25"
"Compal Electronics, INC.","TAIWAN","2J03"
"CONNECTEVE Co., Ltd.","REPUBLIC OF KOREA","KA1"
"Conomity Co., Ltd","JAPAN","2M16"
"CONRUI MEDICAL PTE. LTD.","SINGAPORE","2C13"
"Contec Medical Systems Co., Ltd.","CHINA","1Q05"
"CONVERGENT SYSTEMS (S) PTE. LTD","SINGAPORE","2H01"
"Conwell Medical Co., Ltd.","TAIWAN","2J24"
"Copy Edit Paste Co., Ltd.","THAILAND","2H39"
"Coreleader Biotech Co., Ltd","TAIWAN","2J26"
"Correns Corporation","JAPAN","2N20"
"Coselec Pte Ltd","SINGAPORE","1H13"
"COTRAS Co., Ltd.","REPUBLIC OF KOREA","2A08"
"Create Biotech Co., Ltd.","TAIWAN","2Q30"
"CREDO Co., Ltd","REPUBLIC OF KOREA","2R13"
"CREDO Co., Ltd.","REPUBLIC OF KOREA","2R13"
"CST Co.,Ltd.","REPUBLIC OF KOREA","2M03"
"Curamed Technologies Sdn Bhd","MALAYSIA","1L18"
"Cursus Bio Inc.","REPUBLIC OF KOREA","1F21"
"custo med GmbH","GERMANY","2T22"
"CWORLD CO., LTD.","REPUBLIC OF KOREA","1F07"
"CYTOAURORA BIOTECHNOLOGIES, INC.","TAIWAN","2L24"
"DAESUNG MAREF CO., LTD.","REPUBLIC OF KOREA","1F10"
"DAEYOMED Co., Ltd.","REPUBLIC OF KOREA","2H28"
"Dai Nippon Printing (Thailand) Co., Ltd.","THAILAND","2M24"
"Dalim Medical","REPUBLIC OF KOREA","2D29"
"Dan Medica South","UNITED KINGDOM","1K04"
"Danish Export Association","DENMARK","2L02-2K05"
"Danken Enterprise Co., Ltd.","TAIWAN","2J05"
"DECANS Medical Devices Co., Ltd.","CHINA","1R24"
"DEISTER ELECTRONIC GMBH","GERMANY","1H13"
"Dejuvent Co., Ltd.","REPUBLIC OF KOREA","2N02"
"DEMAI","TAIWAN","2H01"
"DemeTECH","UNITED STATES","2G02"
"Dimeda Instrumente GmbH","GERMANY","2S15"
"DingJi Biotech Research Sdn. Bhd.","MALAYSIA","2R16"
"DMS IMAGING","FRANCE","2F04"
"DNP (Dai Nippon Printing Co., Ltd.)","JAPAN","2M24"
"DNP Vietnam Co., Ltd.","VIETNAM","2M24"
"DNR Wheels Pte Ltd","SINGAPORE","1J26"
"Doctorqplus Co., Ltd","REPUBLIC OF KOREA","2M23"
"Dongguan Vision Technology Co., Ltd.","CHINA","2S32"
"DR. PLATE BIOTECH COMPANY","TAIWAN","2M38"
"Dr.Foot Technology Co.,Ltd","TAIWAN","2H01"
"DVx Inc.","JAPAN","2L15"
"E-CARE MEDICAL PTE LTD.","SINGAPORE","1F24"
"E.S.Q. Ltd.","JAPAN","2L13"
"Eastern Kyushu Medical Valley Framework (Miyazaki Pref Japan)","JAPAN","2M13"
"Eastern Kyushu Medical Valley Framework (Oita Pref Japan)","JAPAN","2M13"
"Ecotron co., Ltd.","REPUBLIC OF KOREA","KA1"
"Elfigo Mobility Pte Ltd","SINGAPORE","1H06"
"ELITE BAGS, S.L.","SPAIN","1R22"
"Emerald Nonwovens International Co., Ltd.","THAILAND","2Q10"
"eMotiv Co., Ltd.","REPUBLIC OF KOREA","2Q18"
"EndoSemio Co., Ltd.","TAIWAN","2L24"
"Endurocide Pte Ltd","SINGAPORE","1J02"
"EngiTissue Design Co., Ltd.","JAPAN","2L19"
"ENJOYCARE TECHNOLOGY (ZHEJIANG) CO.,LTD.","CHINA","1M18"
"EO Medical","SINGAPORE","2M40"
"EPED Inc.","TAIWAN","2L24"
"EPED Inc.","TAIWAN","2H01"
"ESTERIPLÁS - Produtos para a Área da Saúde LDA","PORTUGAL","2F18"
"ESTERIPLAS LDA","PORTUGAL","2E17"
"EureMED","MALAYSIA","2E10"
"EVONOS GMBH & CO KG","GERMANY","2S17"
"evonos GmbH & Co. KG","GERMANY","2S17"
"Excellent Medical Technology Group Co., Ltd.","CHINA","2E26"
"Exercise is Medicine Singapore","SINGAPORE","1P05"
"Eyes, JAPAN Co. Ltd.","JAPAN","2L13"
"EYRIS PTE LTD","SINGAPORE","1H21"
"FaceHeart Corporation","TAIWAN","2J40"
"Feel Tech Bio Co., Ltd","REPUBLIC OF KOREA","1F11"
"Felco Medical Supplies Sdn. Bhd.","MALAYSIA","2Q31"
"FILII PROMETHEI -SOCIETA BENEFIT","ITALY","2N05"
"Finess Healthcare (Zhejiang) Company Ltd","CHINA","2C13"
"FIRSTAR HEALTHCARE CO., LTD (GUANGZHOU)","CHINA","1D18"
"Flex Logistics Pte Ltd","SINGAPORE","1J08"
"Foracare Global Corp","TAIWAN","2K35"
"Formosa Cultural Corporation","TAIWAN","1M12"
"Foshan Kycare Medical Equipment Co., Ltd","CHINA","2C01"
"Foshan UYA Precision Technology Co., Ltd.","CHINA","1R06"
"FREE Bionics Taiwan","TAIWAN","2L24"
"Freshening Industries Pte Ltd","SINGAPORE","1H03"
"Fu Jen Catholic University","TAIWAN","2L24"
"Fudakang Industrial Co., Ltd.","TAIWAN","2L37"
"FUDAKANG INDUSTRIAL CO., LTD.","CHINA","2L37"
"Fuhua Electronic Co., Ltd.","CHINA","2S28"
"Fujian Putian Licheng Paper Industry Co., Ltd","CHINA","1M20"
"Fukuda Sangyo Co. Ltd.,","JAPAN","2L23"
"Fukushima Medical Device Industry Promotion Agency","JAPAN","2L13"
"Function Health Technology Co.,Ltd.","CHINA","2S30"
"Future Decoration Group Co., Ltd.","THAILAND","2P05"
"GALEMED CORPORATION","TAIWAN","2M40"
"GANGWON TECHNOPARK","REPUBLIC OF KOREA","2R13"
"GD Medical Jiangsu Guangda","UNITED STATES","2H06"
"GEE HOO INDUSTRIAL CORP.","TAIWAN","2H01"
"GenBody Inc.","REPUBLIC OF KOREA","2H20"
"GENERAL MEDITECH INC.","CHINA","1N36"
"GENOSS Co., Ltd.","REPUBLIC OF KOREA","1F25"
"Gensionbio","REPUBLIC OF KOREA","1B23"
"Geon Corporation","TAIWAN","2R22B"
"German Pavilion","GERMANY","2S01A"
"GH Lab Co., Ltd.","REPUBLIC OF KOREA","2P19"
"GHBIO","REPUBLIC OF KOREA","2M32"
"GHIFU TECH., CO., LTD.","TAIWAN","2R22E"
"Gimer Medical Co., Ltd","TAIWAN","2P31"
"Gimhae Biomedical Industry Promotion Agency","REPUBLIC OF KOREA","2P13"
"GL COMPANY CO.,LTD","REPUBLIC OF KOREA","2M05"
"Global Medikit Limited","INDIA","2D28"
"Global Science","MALAYSIA","2F28"
"GLOMEDA","INDONESIA","2H01"
"GMED","FRANCE","2F08"
"Goldbov Photoelectronics Co., Ltd","CHINA","1J32"
"Golden Partner Healthcare Suzhou Co., Ltd.","CHINA","1L32"
"Good.U Co.,Ltd","REPUBLIC OF KOREA","1Q19"
"Government of Alberta","CANADA","2Q01"
"GREEN-RIBBON Corp.","REPUBLIC OF KOREA","2A05"
"GTAI Trade & Invest","GERMANY","2S01A"
"Gtech Solutions Inc","TAIWAN","2R14"
"Guangdong Transtek Medical Electronics Co., Ltd","CHINA","2N27"
"Guangdong World Precision Technology Co.,Ltd.","CHINA","1C21"
"Guangzhou J and J Sanitary Ware Co., Ltd","CHINA","2Q31"
"Guangzhou Longjikang Technology Co., Ltd","CHINA","1N11"
"Guangzhou Oxygen Power Life Technologies Co., Ltd.","CHINA","1F18"
"GVS S.p.A.","ITALY","2P04"
"Gwo Xi Stem Cell Applied Technology Co., Ltd.","TAIWAN","2J19"
"H+H System GmbH","AUSTRIA","1E02"
"Haian Medigauze Co., Ltd","CHINA","2G20"
"HAIMEN ROTEST LABWARE MANUFACTURING CO., LTD","CHINA","1B26"
"Hakam Bio Co., Ltd.","REPUBLIC OF KOREA","2M25"
"Hangzhou Biotest Biotech Co., Ltd.","CHINA","1P37"
"Hangzhou Boer Medical Instruments Co., Ltd.","CHINA","1D11"
"Hangzhou Singclean Medical Products Co., Ltd.","CHINA","2P24"
"HANIMAEUL Co., Ltd.","REPUBLIC OF KOREA","2M31"
"HarveyMed Technology Co.,Ltd","CHINA","2L10"
"Hawkins Dynamics","AUSTRALIA","1H10"
"hawo GmbH","GERMANY","2T12"
"HayanMind","REPUBLIC OF KOREA","2A04"
"HC BIOLOGICS LLC","UNITED STATES","2G09"
"Healforce Lifescience Sdn Bhd","MALAYSIA","2D19"
"HEALINGS","REPUBLIC OF KOREA","2R06"
"Health Medical Supplies Pte Ltd","SINGAPORE","1H23"
"Health Nuri Co., Ltd.","REPUBLIC OF KOREA","1R18"
"HealthAll Co., Ltd.","REPUBLIC OF KOREA","2R13"
"Healthcare Automation Technology Sdn. Bhd.","MALAYSIA","2P40"
"Healthnovate Co., Ltd.","TAIWAN","2L24"
"Healthnuri International Co., Ltd","REPUBLIC OF KOREA","1R18"
"HEART SAVER INC","REPUBLIC OF KOREA","2H01"
"Hebei Dukon Medical Technology Co., Ltd.","CHINA","1N12"
"Hebei Hongda Sanitary Product Co.,Ltd","CHINA","1E26"
"HEBEI INHERITANCE XIAOAI MEDICAL EQUIPMENT CO., LTD.","CHINA","1P35"
"Hebei Shunuo Medical Equipment Co., Ltd","CHINA","1L33"
"Hefei Meitai care Co.,Ltd","CHINA","1P23"
"HELIOSCOPIE","FRANCE","2E07"
"Henan Chaoya Medical Equipment Co., Ltd.","CHINA","1N22"
"Hengshui Jiadun Medical Equipment Co., Ltd.","CHINA","1Q27"
"Hengshui Xukang Medical Appliances Co., Ltd","CHINA","1N26"
"Henlley Media Co., Ltd","CHINA","1Q27-1R24"
"HERSILL","SPAIN","1Q18"
"Hessen Trade & Invest","GERMANY","2S01A"
"Hexalotus (SingHealth)","SINGAPORE","2F01"
"HGuard","REPUBLIC OF KOREA","2M37"
"Hi-life Medical Technology Co., Ltd.","CHINA","2U36"
"Hico Medical Equipment Co.,Ltd","CHINA","1Q13"
"HID Global Corporation","SINGAPORE","1H22"
"Higo","POLAND","2P16"
"HIKIMAGING","CHINA","2P32"
"HILIOS INDUSTRIAL CO., LTD.","TAIWAN","2Q17"
"HITEK TEXTILE CO.,LTD","TAIWAN","1M10"
"HMD BioMedical Inc.","TAIWAN","2J36"
"Hochuen Medical Technology Co., Ltd.","CHINA","2G17"
"Hochuen Medical USA Inc.","UNITED STATES","2G17"
"Hochuen Singapore Pte Ltd","SINGAPORE","2G17"
"Honegger Srl","ITALY","2N01-2P10, 2N13"
"Hong Ky Co.,Ltd.","VIETNAM","2Q32"
"Hong Leong Finance Limited","SINGAPORE","1L21"
"Hospilab","PORTUGAL","2F18"
"Hsiner Co., Ltd.","TAIWAN","2H19"
"HTKD Medical","CHINA","1F26"
"Hubei Dacheng Medical Technology Co., Ltd.","CHINA","1D09"
"Hubei Jinxing Technology Development Co., Ltd","CHINA","1H35"
"Hubei Junyan Medical Science & Technology Co Ltd","CHINA","1M19"
"Hubei KANGQUAN MEDICAL Technology Co., Ltd.","CHINA","1M21"
"Hubei Qianjiang Kingphar Medical Material Co.,Ltd","CHINA","1C25"
"HUEISHENG ENTERPRISE CORP.","TAIWAN","1L11"
"Huijia Health Life Technology Co., Ltd.","TAIWAN","2L24"
"HUINNO Co., Ltd.","REPUBLIC OF KOREA","1C24"
"HUMAN LINK","JAPAN","2Q19"
"Human Metabolomics Institute, Inc.","CHINA","1E10"
"HUN-REN SZTAKI (PainCheck Infant)","HUNGARY","2G19"
"Huntleigh","UNITED KINGDOM","1K02"
"I-SHOU University","TAIWAN","2L24"
"IBASE Technology Inc.","TAIWAN","2H01"
"icebein GmbH","GERMANY","2S07"
"Illumia Labs Inc.","CANADA","2Q01"
"Imaging Solutions Pty Ltd","AUSTRALIA","2N36"
"Imedtac Co., Ltd.","TAIWAN","2J01"
"Immuno Concepts","UNITED STATES","2G21"
"InBody Asia","MALAYSIA","2C29"
"InBody Asia","SINGAPORE","2C29"
"InBody China","CHINA","2C29"
"InBody Europe","GERMANY","2C29"
"InBody HQ","REPUBLIC OF KOREA","2C29"
"InBody India","INDIA","2C29"
"InBody Japan","JAPAN","2C29"
"InBody Oceania","AUSTRALIA","2C29"
"InBody UK","UNITED KINGDOM","2C29"
"InBody USA","UNITED STATES","2C29"
"INDO-MIM Limited","INDIA","1N19"
"Industrial Technology Research Institute (Taiwan MedTech Pavilion)","TAIWAN","2L24"
"INFINITT Healthcare Co., Ltd.","REPUBLIC OF KOREA","KA1"
"Infinity Neuro","CHINA","2G23"
"Ing. Sumetzberger GmbH","AUSTRIA","1F02"
"IngeData","SINGAPORE","2F08"
"INNOPHARMA Co., LTD.","REPUBLIC OF KOREA","2D18"
"Inogen","NETHERLANDS","2G07"
"INSOFTB(CHINA)CO..LTD","CHINA","1E21"
"Interocean Co., Ltd.","REPUBLIC OF KOREA","1F23"
"IPLANT.QAZAQSTAN","KAZAKHSTAN","2B04"
"iSense-ASV Pte Ltd","SINGAPORE","1H04"
"IST SG Pte Ltd","SINGAPORE","1J27"
"ITALRAY SRL","ITALY","2P06"
"ITC - Ingenieria y Tecnicas Clinicas S.A","SPAIN","2G15"
"iTD GmbH","GERMANY","2T14"
"iTD Medical Technology Products (Shanghai) Co., Ltd.","CHINA","2T14"
"J&M (Pukang/BMEC) (SingHealth)","SINGAPORE","2F01"
"J4Care GmbH","AUSTRIA","1F08"
"Japan Polymer Technology Corporation","JAPAN","2M04"
"Jiangsu Apon Medical Technology Co.,Ltd.","CHINA","2F19"
"Jiangsu Balan Medical Technology Co., Ltd","CHINA","1N24"
"Jiangsu Biowisher Biotech Co., Ltd.","CHINA","2R07"
"Jiangsu Channel Medical Device Co., Ltd","CHINA","2R03"
"Jiangsu Chenyu Medical Instruments Co., Ltd","CHINA","1M13"
"Jiangsu Guangda Medical Material Group","CHINA","2H06"
"Jiangsu Kaiyu Medical Equipment Co.,Ltd.","CHINA","2D19"
"JIANGSU MOLE BIOSCIENCE CO., LTD","CHINA","1E24"
"Jiangsu Mole Bioscience Co., Ltd.","CHINA","1E24"
"JIANGSU MOLE ELECTRONIC TECHNOLOGY CO LTD","CHINA","1A21"
"JIANGSU NEWVALUE MEDICAL PRODUCTS CO., LTD","CHINA","1B22"
"JIANGSU NODA SANITARY PRODUCTS CO LTD","CHINA","1L35"
"JIANGSU OSTUP MEDICAL PRODUCTS CO.,LTD","CHINA","1C22"
"Jiangsu Pakion Medical Material Co., Ltd","CHINA","1Q32"
"Jiangsu Sunride Medical Technology Co., Ltd.","CHINA","1B27"
"Jiangsu Yenssen Biotech Co., Ltd.","CHINA","1L19"
"Jiangsu Yongle Medical Technology Co., Ltd","CHINA","1B18"
"Jiangxi Hongda Medical Equipment Group Ltd.","CHINA","1C23"
"Jinhu County Huarui Medical Devices Co.,Ltd","CHINA","1Q11"
"JMT CO.,LTD.","REPUBLIC OF KOREA","2K15"
"JND Electronics","REPUBLIC OF KOREA","1H22"
"Joson-Care Enterprise Co., Ltd.","TAIWAN","2H01"
"JPI Healthcare","REPUBLIC OF KOREA","2P36"
"Justec Shenzhen Co., Ltd.","CHINA","2D25"
"K Care Healthcare Solutions","AUSTRALIA","2H25"
"K-MEDI hub","REPUBLIC OF KOREA","2C17"
"K1med Global","REPUBLIC OF KOREA","1E11"
"Kaigo Co., Ltd.","TAIWAN","2K38"
"Kalms Consulting GmbH","GERMANY","2S05"
"Kalms Operations","GERMANY","2S05"
"Kangtek Technology (Fujian) Co., Ltd.","CHINA","1M23"
"Kaohsiung Chang Gung Memorial Hospital","TAIWAN","2L24"
"Kaohsiung Medical University Chung-Ho Memorial Hospital","TAIWAN","2L24"
"KARDI AI Technologies s.r.o","CZECH REPUBLIC","2B09"
"Karma Medical Products Ltd.","CANADA","2Q01"
"Karson Medical Pte. Ltd.","SINGAPORE","1P03"
"Kersia Healthcare","IRELAND","2N19"
"KIMES (Korea E & Ex Inc.)","REPUBLIC OF KOREA","2G06"
"KIMSBIO Co., Ltd.","REPUBLIC OF KOREA","1F22"
"Kinetisense","UNITED STATES","1H10"
"KINGWILLS INTERNATIONAL LIMITED","HONG KONG SAR","1J35"
"KLEEN-PAK PRODUCTS PTE LTD","SINGAPORE","1H18"
"KLN Medical","HONG KONG SAR","2Q19"
"KMG Co., Ltd.","REPUBLIC OF KOREA","2Q14"
"KNF Neuberger GmbH","GERMANY","2S13"
"KOB GmbH","GERMANY","2T16"
"Komatsu Spring Industrial Co., Ltd.","JAPAN","2L09"
"Korea Body Information Co., Ltd.","REPUBLIC OF KOREA","2R13"
"Korea Medical Devices Association (KMDA)","REPUBLIC OF KOREA","1F09"
"Korea Medical Devices Association (KMDA) - K-AI Medical Hub","REPUBLIC OF KOREA","KA1"
"Korea Pharma Co., Ltd.","REPUBLIC OF KOREA","2Q18"
"Kulim Hi-Tech Park","MALAYSIA","2D03"
"Kyocera Asia Pacific Pte Ltd","JAPAN","1H22"
"KYOTO KAGAKU Co.,LTD","JAPAN","2M02"
"KYOWA HEARTS CO.,LTD.","JAPAN","2L07"
"L Well Medtech","CHINA","1M25"
"L.A.B Inc.","JAPAN","2M13"
"LA-MED HEALTHCARE PRIVATE LIMITED","INDIA","1N23"
"Labquality Oy","FINLAND","2F28"
"LAMEDITECH","REPUBLIC OF KOREA","1G24"
"Leader Medical","AUSTRALIA","2P40"
"LED SPA","ITALY","2N09"
"Leedon Technology Pte Ltd","SINGAPORE","1G13"
"Lehmann Electronic","GERMANY","1E07"
"LEIV CHI INDUSTRY COMPANY LIMITED","TAIWAN","2R16"
"LELTEK INC.","TAIWAN","2R26"
"Lemon Healthcare","REPUBLIC OF KOREA","2A06"
"Lemonhealthcare","REPUBLIC OF KOREA","2A06"
"Lensur Instruments Ltd","CANADA","2R02"
"Levabo ApS","DENMARK","2L06"
"LIAONING LONGCOE MEDICAL EQUIPMENT CO., LTD.","CHINA","1A27"
"Life Science Robotics","DENMARK","2L08"
"LIFESCAPES Inc.","JAPAN","2M08"
"Light Instruments Ltd.","ISRAEL","2G25"
"Listem Corporation","REPUBLIC OF KOREA","2N15"
"LiveDo Corporation","JAPAN","2N16"
"LivsMed","REPUBLIC OF KOREA","1C18"
"Locker & Lock Pte Ltd","SINGAPORE","1K26"
"Locker & Lock Sdn Bhd (JB)","MALAYSIA","1K26"
"Locker & Lock Sdn Bhd (KL)","MALAYSIA","1K26"
"Locker & Lock Vietnam","VIETNAM","1K26"
"LONGGOOD MEDITECH LTD.","TAIWAN","2Q19"
"Losch Medical GmbH","GERMANY","2S03"
"LPIXEL Inc.","JAPAN","2M10"
"Lu Mark Enterprises Inc","TAIWAN","2K36"
"Lulou Wellness","PHILIPPINES","2H39"
"M-TECHNOLOGIES","FRANCE","2E07"
"M.I.ONE Co., Ltd.","REPUBLIC OF KOREA","2R13"
"Maider Medical Industry Equipment Co., Ltd","CHINA","1P32"
"MAX SEE INDUSTRY CO., LTD.","TAIWAN","2R28"
"Maxigen Biotech lnc.","TAIWAN","2H13"
"Maxter Glove Manufacturing Sdn Bhd","MALAYSIA","1P27"
"Maxter Healthcare Pte Ltd","SINGAPORE","1P27"
"MDC (THAILAND) CO. Ltd","THAILAND","2E15"
"Mecotec Asia Pte Ltd","SINGAPORE","1L24"
"MECS-TEK Co.,Ltd","REPUBLIC OF KOREA","2H18"
"MED TRUST Handelsges.m.b.H.","AUSTRIA","1F04"
"Medbridge Singapore Pte. Ltd.","SINGAPORE","2G29"
"Medbuild Corporation","PHILIPPINES","1J21"
"MEDEXEL CO., LTD.","REPUBLIC OF KOREA","1F19"
