"list-item-link href","brand-card-wrapper src","name","chip","brand-location-hall","brand-location-stand","country"
"https://www.ifa-berlin.com/exhibitors/russell-hobbs","https://drive.ifa-berlin.com/drive/2026/07/_cache/6e51042be19029f66f97470d32f303c8_412fc4b0279e3fea54c0c8a1e1da808f.jpeg.webp","Russell Hobbs","Home Appliances","Hall 4.1","H4.1-109","Germany"
"https://www.ifa-berlin.com/exhibitors/karcher","https://drive.ifa-berlin.com/drive/2025/12/_cache/7d1239ac196434175d2fe88f6cdce347_f4268d551cdf5ab562890cdc75a6de9f.jpg.webp","Kärcher","Home Appliances","Hall 2.1","H2.1-102","Germany"
"https://www.ifa-berlin.com/exhibitors/midea-electric-trading-singapore","https://www.ifa-berlin.com/thumbnail/w500/2025/12/midea_481.webp","Midea Electric Trading (Singapore) Co. Pte. Ltd","Home Appliances","Hall 5.1","H5.1-101","Singapore"
"https://www.ifa-berlin.com/exhibitors/telering","https://drive.ifa-berlin.com/drive/2026/08/_cache/5e878e3ed1863759ced3f4f2ecfdcd45_462d3875dcc60b7ffbc28a5b9ea34403.png.webp","Telering","Strategic Retail Partner","Hall 2.2","H2.2-160","Germany"
"https://www.ifa-berlin.com/exhibitors/hisense","https://drive.ifa-berlin.com/drive/2025/05/_cache/adfd90deaed1a70b10676a2c97a03204_7769ea21a794b96f2d87812af6498c75.png.webp","Hisense","Home & Entertainment","Hall 23","H23-102","Hong Kong"
"https://www.ifa-berlin.com/exhibitors/bosch","https://drive.ifa-berlin.com/drive/2025/07/_cache/65f681599442bde861aa40fa2b7eda5e_00ffac3a3499a944a872948e7a721f91.png.webp","Bosch Home Appliances","Home Appliances","Hall 1.1","H1.1-102","Germany"
"https://www.ifa-berlin.com/exhibitors/siemens-hausgerate","https://drive.ifa-berlin.com/drive/2025/09/_cache/9b32c48395d60b16bb1eea60cfb3ffd7_a13a8a97e882faccf52d105926417c0a.png.webp","Siemens Home Appliances","Home Appliances","Hall 1.1","H1.1-101","Germany"
"https://www.ifa-berlin.com/exhibitors/hama","https://drive.ifa-berlin.com/drive/2025/12/_cache/1eac2c85740558900288df0487beb0aa_1f1f6a90ffa09c7dd62c1148bf99ed09.jpg.webp","Hama GmbH & Co KG","Communication & Connectivity","Hall 4.2","H4.2-147","Germany"
"https://www.ifa-berlin.com/exhibitors/liebherr-hausgerate","https://drive.ifa-berlin.com/drive/2025/06/_cache/20da045bd1e76d8a088d8ab1032b0f2d_3d87b92e3d87fd049b15bf4ceed2ee44.png.webp","Liebherr-Hausgeräte GmbH","Home Appliances","Hall 2.1","H2.1-104","Germany"
"https://www.ifa-berlin.com/exhibitors/volkswagen","https://drive.ifa-berlin.com/drive/2026/07/_cache/cdbcda2882481d30270ff3f0c9e57221_50581deff4581e2493bf832aebb82e86.jpg.webp","Volkswagen AG","","Sommergarten","SOM-301","Germany"
"https://www.ifa-berlin.com/exhibitors/caso","https://drive.ifa-berlin.com/drive/2025/05/_cache/1515dade083561cbb25ae114d612743d_ea8036b86ecc6d1aba8d3e9453b6a01f.jpeg.webp","CASO GmbH","Home Appliances","Hall 4.1","H4.1-110","Germany"
"https://www.ifa-berlin.com/exhibitors/fakir-hausgerate","https://www.ifa-berlin.com/thumbnail/w500/2025/12/fakir_hausgerate_gmbh_52.webp","Fakir-Hausgeräte GmbH","Home Appliances","Hall 4.1","H4.1-108","Germany"
"https://www.ifa-berlin.com/exhibitors/ebay","https://drive.ifa-berlin.com/drive/2025/08/_cache/69c30edd914021821064b0ec21382056_d18cabaa7b3835ce752bb2f8c69a8955.png.webp","EBAY GmbH","Content Creation","Hall 20","H20-125",""
"https://www.ifa-berlin.com/exhibitors/sandisk-germany","https://drive.ifa-berlin.com/drive/2025/12/_cache/93800dd1cd2d3b719f84d71b16e4969c_485f6c2beb6c1432b9c751891cc097ae.png.webp","Sandisk Germany GmbH","Communication & Connectivity","Hall 4.2","H4.2-147","Germany"
"https://www.ifa-berlin.com/exhibitors/roku","https://drive.ifa-berlin.com/drive/2026/08/_cache/fe66bedeefe510d568b6afe75b238e4f_391f33d7214a1acb8a7eaf5fcee1d446.png.webp","ROKU","Home & Entertainment","Hall 23","H23-103","USA"
"https://www.ifa-berlin.com/exhibitors/sharp-consumer-electronics","https://www.ifa-berlin.com/thumbnail/w500/2025/12/sharp_1751.webp","Sharp Consumer Electronics","Home & Entertainment","Hall 22","H22-101","Poland"
"https://www.ifa-berlin.com/exhibitors/panasonic-marketing-europe","https://drive.ifa-berlin.com/drive/2025/01/_cache/65562a9caa6da475d24f5bdbfc7aeb17_5a271d2e28b6417c346689000c1d5a0f.png.webp","Panasonic Marketing Europe","","CityCube Hall B","CCBB-R4","Germany"
"https://www.ifa-berlin.com/exhibitors/de-longhi","https://www.ifa-berlin.com/img/exhibitors/default.svg","De'Longhi","Home Appliances","CityCube Hall B","CCBB-101",""
"https://www.ifa-berlin.com/exhibitors/laurastar-deutschland","https://drive.ifa-berlin.com/drive/2025/05/_cache/5030fdd1aab67cd1b7647eecca5c1171_17f2b45db69593b62153ca96753a7d3a.png.webp","LAURASTAR Deutschland GmbH","Home Appliances","Hall 4.1","H4.1-111","Germany"
"https://www.ifa-berlin.com/exhibitors/beurer","https://drive.ifa-berlin.com/drive/2026/06/_cache/efdff5b2afa097bdb80c0f04ac112c31_397ba5c7e1661993642857d42e9e8f78.png.webp","Beurer GmbH","Home Appliances","Hall 4.1","H4.1-112","Germany"
"https://www.ifa-berlin.com/exhibitors/nivona-apparate","https://drive.ifa-berlin.com/drive/2026/08/_cache/a61838526eb0b1734e83586a678a1126_f7823973f013aad7dc0dcf62880ea12d.png.webp","Nivona Apparate GmbH","Home Appliances","Hall 4.1","H4.1-104","Germany"
"https://www.ifa-berlin.com/exhibitors/haier-europe","https://drive.ifa-berlin.com/drive/2025/08/_cache/3384e6fed652bc95fdd6096984e994d4_102a39f132649e162b28ebb664792f2c.png.webp","Haier Europe","Home Appliances","Hall 3.1","H3.1-101","Italy"
"https://www.ifa-berlin.com/exhibitors/philips-tv","https://drive.ifa-berlin.com/drive/2026/06/_cache/caf572f28db080f9473945127db8f1c8_84ba0af724550facab7f1e8dbbd55704.png.webp","Philips TV","Home & Entertainment","Sommergarten","SOM-115","Germany"
"https://www.ifa-berlin.com/exhibitors/cecotec","https://www.ifa-berlin.com/thumbnail/w500/2025/12/cecotec_innovaciones_1193.webp","Cecotec","Home Appliances","Hall 3.1","H3.1-102","Spain"
"https://www.ifa-berlin.com/exhibitors/jura-elektrogerate","https://www.ifa-berlin.com/thumbnail/w500/2025/12/jura_elektrogerate_284.webp","JURA Elektrogeräte Vertriebs-GmbH","Home Appliances","Hall 2.1","H2.1-103","Germany"
"https://www.ifa-berlin.com/exhibitors/sbs","https://drive.ifa-berlin.com/drive/2025/05/_cache/0941c73cbf059538d7fe5e8fdc7bb746_b0bc6b2ad18067da171930fc59f46f15.png.webp","SBS SPA","Communication & Connectivity","Hall 3.2","H3.2-133","Italy"
"https://www.ifa-berlin.com/exhibitors/panasonic","https://drive.ifa-berlin.com/drive/2026/07/_cache/d6125adb48747b268a9350a2d4e43c40_12c64b271c3459246a2174c7634fc944.png.webp","Panasonic TV","Home & Entertainment","Hall 8.2","H8.2-103","China"
"https://www.ifa-berlin.com/exhibitors/sebo-stein-co","https://drive.ifa-berlin.com/drive/2026/08/_cache/b8d1d2f9af133fb1f747dddf74c4f3c2_9ed37f0e2302451eec8a2df76480d465.png.webp","SEBO Stein & Co. GmbH","Home Appliances","Hall 4.1","H4.1-105","Germany"
"https://www.ifa-berlin.com/exhibitors/rommelsbacher","https://drive.ifa-berlin.com/drive/2025/12/_cache/32e4b78e840a3cdacf701b1a775f14f0_bb5ff8a0a7c19a78172c339afccff0c1.jpg.webp","Rommelsbacher","Home Appliances","Hall 4.1","H4.1-113","Germany"
"https://www.ifa-berlin.com/exhibitors/aeg","https://www.ifa-berlin.com/thumbnail/w500/2025/12/aeg_2276.webp","AEG","Home Appliances","Hall 4.1","H4.1-101","Sweden"
"https://www.ifa-berlin.com/exhibitors/metz-ce","https://drive.ifa-berlin.com/drive/2025/12/_cache/5e366036274730186974910effb506a9_6c5a5ff53f38720633862fe68a866a89.jpg.webp","Metz","Home & Entertainment","Hall 23","H23-101","Germany"
"https://www.ifa-berlin.com/exhibitors/strong","https://drive.ifa-berlin.com/drive/2026/08/_cache/bb3487ad8e488debbe2dfe4a931d58c6_1f74bf4222ae3f860f8dcb1a8a0a2b1e.png.webp","STRONG","Home & Entertainment","Hall 23","H23-103","France"
"https://www.ifa-berlin.com/exhibitors/dreame","https://www.ifa-berlin.com/thumbnail/w500/2025/05/dreame-innovation-technology-suzhou-co-ltd_479.webp","Dreame","Home Appliances","Hall 7.1a","H7.1a-101","China"
"https://www.ifa-berlin.com/exhibitors/aliexpress","https://www.ifa-berlin.com/thumbnail/w500/2026/08/o1cn01gtwiku1lekmo920k06000000001267-2-tps-1537-342.webp","AliExpress","Computing & Gaming","Hall 5.2","H5.2-439","China"
"https://www.ifa-berlin.com/exhibitors/beyerdynamic","https://drive.ifa-berlin.com/drive/2025/08/_cache/58c3558ce38034f5ffc7426430520b31_78930f79c674d6c4a982319194bfc2e1.jpg.webp","beyerdynamic GmbH & Co. KG","Communication & Connectivity","Hall 4.2","H4.2-147","Germany"
"https://www.ifa-berlin.com/exhibitors/acer","https://drive.ifa-berlin.com/drive/2025/08/_cache/72aad2af2d5343fb5cf7dcc901a72711_be9652563a6d97b4cdecbd807dbf53e3.png.webp","Acer Inc.","Computing & Gaming","CityCube Hall A","CCBA-A5","Taiwan"
"https://www.ifa-berlin.com/exhibitors/xiaomi","https://drive.ifa-berlin.com/drive/2026/08/_cache/d46c6a6ce90dae6d3e9e68457f97b913_f44202941cb2bd533bb3139543274624.png.webp","Xiaomi","Home & Entertainment","Hall 6.2","H6.2-101","China"
"https://www.ifa-berlin.com/exhibitors/turtle-beach-europe","https://drive.ifa-berlin.com/drive/2026/07/_cache/f78526f695a1db98794bb4ed653b05f5_7ba4f683c68cb585a1e0e4b3ee4d3f48.png.webp","Turtle Beach Europe Ltd.","Communication & Connectivity","Hall 4.2","H4.2-147","United Kingdom"
"https://www.ifa-berlin.com/exhibitors/samsung","https://drive.ifa-berlin.com/drive/2026/03/_cache/af4b6b90c424e61a9d1b758511b2e567_bee6a6bcbb04eea5a385cdb384cda050.png.webp","Samsung","Content Creation","Palais","PAF-101",""
"https://www.ifa-berlin.com/exhibitors/mammotion-technology","https://drive.ifa-berlin.com/drive/2025/12/_cache/5d2c350ce00d5a6be39fd39bf93bb21d_1a59fdd1c25b39551ad4d49d9f13b0d1.png.webp","Mammotion Technology Co., Limited","Home Appliances","Hall 9","H9-123","Hong Kong"
"https://www.ifa-berlin.com/exhibitors/sony-europe","https://drive.ifa-berlin.com/drive/2026/02/_cache/ce283fee997c69fe387e6a89356af13e_53085b4854d5fdbba433f720de6d9b73.png.webp","Sony Europe","Content Creation","Palais","PAF-125","Germany"
"https://www.ifa-berlin.com/exhibitors/roborock","https://drive.ifa-berlin.com/drive/2026/08/_cache/4f9057415da8e07690672e719c6f8e17_15701ac947254e0d310c9c0a9c7092ce.png.webp","Roborock","Home Appliances","Hall 9","H9-111","Hong Kong"
"https://www.ifa-berlin.com/exhibitors/hp","https://www.ifa-berlin.com/img/exhibitors/default.svg","HP","Computing & Gaming","Hall 5.2","H5.2-439","Singapore"
"https://www.ifa-berlin.com/exhibitors/xgimi","https://drive.ifa-berlin.com/drive/2026/08/_cache/7c41870c876179aa525ddb6bcdf336e9_387de33ecfe0e4d11d090bb1a256d437.png.webp","XGIMI","Home & Entertainment","Hall 21","H21-111","Hong Kong"
"https://www.ifa-berlin.com/exhibitors/canvas-hifi","https://www.ifa-berlin.com/thumbnail/w500/2025/12/canvas_hifi_1227.webp","CANVAS HiFi","Home & Entertainment","Hall 21","H21-108","Denmark"
"https://www.ifa-berlin.com/exhibitors/ferre","https://drive.ifa-berlin.com/drive/2026/06/_cache/51a791561623f7cc68214c4970fc7edf_5c68419d0d93f73bd5138e5981654279.png.webp","Ferre","Home Appliances","Hall 1.1","H1.1-105","Türkiye"
"https://www.ifa-berlin.com/exhibitors/magiclab","https://www.ifa-berlin.com/img/exhibitors/default.svg","MagicLab","Computing & Gaming","Hall 5.2","H5.2-439","Singapore"
"https://www.ifa-berlin.com/exhibitors/dji","https://www.ifa-berlin.com/thumbnail/w500/2025/12/dji_1159.webp","DJI","Content Creation","Hall 20","H20-129","Hong Kong"
"https://www.ifa-berlin.com/exhibitors/tp-link","https://drive.ifa-berlin.com/drive/2026/06/_cache/f8c8785e7abc654a93792bbe2032d8a6_0f82152235cb1382a055545db0f623b4.jpg.webp","TP-Link","Computing & Gaming","Hall 7.2c","H7.2c-101","Germany"
"https://www.ifa-berlin.com/exhibitors/korea-innovation-center-europe-2","https://drive.ifa-berlin.com/drive/2026/08/_cache/7001fcc20360dfc4361737cc230e2f44_ecbb337df9956cdddf836bee6373c2a1.png.webp","Korea Innovation Center Europe","IFA Next","Hall 25","H25-317","South Korea"
"https://www.ifa-berlin.com/exhibitors/toshiba","https://www.ifa-berlin.com/img/exhibitors/default.svg","TOSHIBA","Computing & Gaming","Hall 6.2","H6.2-203","Germany"
"https://www.ifa-berlin.com/exhibitors/kita","https://drive.ifa-berlin.com/drive/2026/08/_cache/c8656e828eb1f57cd7b488da19e94c79_73ff60499e1b5d80746470e8cef393ed.png.webp","KITA","IFA Next","Hall 25","H25-361","South Korea"
"https://www.ifa-berlin.com/exhibitors/zhejiang-sunseeker-industrial","https://drive.ifa-berlin.com/drive/2026/07/_cache/c0ed7a455a2da4d5c64af178388ebea8_812c9bebc0fe9845a8ed14400ed4e44b.png.webp","Zhejiang Sunseeker Industrial Co.,Ltd.","Home Appliances","Hall 11.1","H11.1-107","China"
"https://www.ifa-berlin.com/exhibitors/blaupunkt","https://drive.ifa-berlin.com/drive/2026/07/_cache/5975b8690157a2534279aef98e0df7f1_bd80d8940b3eec4382850fb9eb676f2a.png.webp","Blaupunkt","Home & Entertainment","Hall 22","H22-125","Luxembourg"
"https://www.ifa-berlin.com/exhibitors/simfer","https://drive.ifa-berlin.com/drive/2026/06/_cache/834cfd9122c73c7850e42120c62bf5ac_71f01c4b27ae78cfa3d142dbf8f67448.png.webp","Simfer","Home Appliances","Hall 9","H9-105","Türkiye"
"https://www.ifa-berlin.com/exhibitors/etenwolf","https://www.ifa-berlin.com/img/exhibitors/default.svg","ETENWOLF","Computing & Gaming","Hall 5.2","H5.2-439","Singapore"
"https://www.ifa-berlin.com/exhibitors/cellularline","https://www.ifa-berlin.com/thumbnail/w500/2025/12/cellularline_group_211.webp","Cellularline","Communication & Connectivity","Hall 4.2","H4.2-101","Italy"
"https://www.ifa-berlin.com/exhibitors/ecovacs","https://drive.ifa-berlin.com/drive/2025/12/_cache/5fbd0f5a883cf0413d33129c7bbeff8b_79e73c7451d0e2072d20cf8ef7abcb5c.jpg.webp","Ecovacs","Home Appliances","Hall 9","H9-113","China"
"https://www.ifa-berlin.com/exhibitors/tapo","https://drive.ifa-berlin.com/drive/2026/08/_cache/0574256232db8b0b921bfe6fa80478a0_9dd9ac7495db26de213e0fad66942ee9.png.webp","Tapo","Computing & Gaming","Hall 7.2c","H7.2c-101","Germany"
"https://www.ifa-berlin.com/exhibitors/eaglesight-dynamics","https://www.ifa-berlin.com/img/exhibitors/default.svg","EagleSight Dynamics","Computing & Gaming","Hall 5.2","H5.2-439","Singapore"
"https://www.ifa-berlin.com/exhibitors/deco","https://drive.ifa-berlin.com/drive/2026/08/_cache/05fa711f11cf5d70bd7e903508891fb3_c48ddac6910ae7d29b937ee88b823b07.png.webp","Deco","Computing & Gaming","Hall 7.2c","H7.2c-101","Germany"
"https://www.ifa-berlin.com/exhibitors/changhong-chiq","https://drive.ifa-berlin.com/drive/2025/12/_cache/2421eae07b2f6ef7194c08fdd6765a65_e669edfa71a49f1c75feb40e06e1b096.jpg.webp","Changhong Group","Home & Entertainment","Hall 22","H22-135","China"
"https://www.ifa-berlin.com/exhibitors/tesla-electronics","https://drive.ifa-berlin.com/drive/2026/08/_cache/c81044529c016a1bd0de11f5590d88b8_685509346d1b46419a4ddaa8cab7f0da.png.webp","Tesla Electronics s.r.o.","Home Appliances","Hall 6.1","H6.1-100","Czechia"
"https://www.ifa-berlin.com/exhibitors/anycubic","https://www.ifa-berlin.com/img/exhibitors/default.svg","Anycubic","Computing & Gaming","Hall 5.2","H5.2-439","Singapore"
"https://www.ifa-berlin.com/exhibitors/ilife","https://www.ifa-berlin.com/img/exhibitors/default.svg","ILIFE","Computing & Gaming","Hall 5.2","H5.2-439","Singapore"
"https://www.ifa-berlin.com/exhibitors/kidp","https://www.ifa-berlin.com/thumbnail/w500/2026/08/kidp-logo.svg","KIDP","IFA Next","Hall 25","H25-361","South Korea"
"https://www.ifa-berlin.com/exhibitors/engwe","https://www.ifa-berlin.com/img/exhibitors/default.svg","ENGWE","Computing & Gaming","Hall 5.2","H5.2-439","Singapore"
"https://www.ifa-berlin.com/exhibitors/panzerglass","https://www.ifa-berlin.com/thumbnail/w500/2025/12/panzerglass_92.webp","PanzerGlass","Communication & Connectivity","Hall 4.2","H4.2-109","Denmark"
"https://www.ifa-berlin.com/exhibitors/seauto","https://www.ifa-berlin.com/img/exhibitors/default.svg","Seauto","Computing & Gaming","Hall 5.2","H5.2-439","Singapore"
"https://www.ifa-berlin.com/exhibitors/deutsche-rentenversicherung-bund","https://www.ifa-berlin.com/thumbnail/w500/2026/08/drv-bndrgbwithoumargin_%281%29.svg","Deutsche Rentenversicherung Bund","","Sommergarten","SOM-210",""
"https://www.ifa-berlin.com/exhibitors/motorfan-elektrik","https://drive.ifa-berlin.com/drive/2026/07/_cache/6682aab4b7a964999920012d1954b2da_cc1f33c6387c788a1694ea47378b52c4.jpg.webp","MOTORFAN ELEKTRIK","Home Appliances","Hall 7.1c","H7.1c-102","Türkiye"
"https://www.ifa-berlin.com/exhibitors/bloomo","https://www.ifa-berlin.com/img/exhibitors/default.svg","BLOOMO","Home Appliances","Hall 11.1","H11.1-102","China"
"https://www.ifa-berlin.com/exhibitors/tuya","https://drive.ifa-berlin.com/drive/2025/08/_cache/95b45f9f20027d49024294ba65fb0d39_d77150d99dedc34e55a02c0464cd9dc1.png.webp","Tuya GmbH","Smart Home","Hall 1.2","H1.2-169","Germany"
"https://www.ifa-berlin.com/exhibitors/amadal-trade","https://www.ifa-berlin.com/img/exhibitors/default.svg","AMADAL Trade SARL","Home & Entertainment","Hall 22","H22-121","Switzerland"
"https://www.ifa-berlin.com/exhibitors/one-for-all","https://drive.ifa-berlin.com/drive/2025/12/_cache/69b386b1404a21c86626a5436d9f24a9_62c28318c21c2923100b49be0166f7c1.jpg.webp","One For All GmbH","Home & Entertainment","Hall 22","H22-110","Germany"
"https://www.ifa-berlin.com/exhibitors/ecoflow","https://www.ifa-berlin.com/thumbnail/w500/2025/12/ecoflow_37.webp","Ecoflow","Smart Home","Hall 2.2","H2.2-166","USA"
"https://www.ifa-berlin.com/exhibitors/bundesamt-fur-strahlenschutz","https://drive.ifa-berlin.com/drive/2026/07/_cache/5aab2a43a258eb234cccafed81f00cc3_f2a306fcb89d8ad0860e0294fac01352.png.webp","Bundesamt für Strahlenschutz","Smart Home","Hall 2.2","H2.2-182","Germany"
"https://www.ifa-berlin.com/exhibitors/hohem","https://drive.ifa-berlin.com/drive/2026/08/_cache/ec6edee75861599ca93e1497c3c924e3_1e965f56d784564fa7f340786ff1ac92.png.webp","Hohem","Content Creation","Hall 20","H20-123","China"
"https://www.ifa-berlin.com/exhibitors/express-luck-europe","https://drive.ifa-berlin.com/drive/2025/08/_cache/2a50e96b4c0b7ef106754e18f47f10fc_f7cfac5e585a160c3847b99a4bbbd571.png.webp","Express Luck Europe Electric Kft.","Home & Entertainment","Hall 22","H22-112","Hungary"
"https://www.ifa-berlin.com/exhibitors/denver","https://drive.ifa-berlin.com/drive/2025/12/_cache/f0b403f6782f02e05108f420ab56a183_36aeb802fe6deee51f5751031e30b1a5.png.webp","Denver A/S","Home & Entertainment","Hall 22","H22-133","Germany"
"https://www.ifa-berlin.com/exhibitors/sabblo","https://www.ifa-berlin.com/img/exhibitors/default.svg","SABBLO","Home Appliances","Hall 9","H9-107","Türkiye"
"https://www.ifa-berlin.com/exhibitors/kuvings","https://drive.ifa-berlin.com/drive/2026/08/_cache/7477c7b0458da9f74e23d9925f3d2e31_8cf6f735d53ec2a0b52b050ad2486305.jpg.webp","Kuvings","Home Appliances","Hall 6.1","H6.1-111","Germany"
"https://www.ifa-berlin.com/exhibitors/jackery","https://drive.ifa-berlin.com/drive/2026/08/_cache/b87b03d941c9325c5099cf57700af59b_20cf66cacb5414e0b4a75be532d1d1d3.png.webp","Jackery","Smart Home","Hall 2.2","H2.2-114","Germany"
"https://www.ifa-berlin.com/exhibitors/intenso-international","https://www.ifa-berlin.com/thumbnail/w500/2025/12/intenso_international_gmbh_77.webp","Intenso International GmbH","Computing & Gaming","Hall 6.2","H6.2-116","Germany"
"https://www.ifa-berlin.com/exhibitors/usto","https://drive.ifa-berlin.com/drive/2026/06/_cache/edb8cb6d0e2479cf8cfd27d76c43538e_d7f8e8d760c728ca75b7886d1d32d3bb.png.webp","CREDA","Home Appliances","Hall 3.1","H3.1-107","Türkiye"
"https://www.ifa-berlin.com/exhibitors/renpho-eleeels","https://drive.ifa-berlin.com/drive/2025/12/_cache/32e8d2ef26b300b684d6c9bccc7be8dd_9d89c46c1ee658e665ab7f6abb3560b5.png.webp","Renpho, ELEEELS","Beauty Tech & Wellbeing","Hall 12","H12-115","Hong Kong"
"https://www.ifa-berlin.com/exhibitors/partner-tele","https://drive.ifa-berlin.com/drive/2025/12/_cache/12c81b90f0441466d562d2057b513409_979d1c8f46a213bf4decfa35a8ce0a7f.jpg.webp","Partner Tele","Communication & Connectivity","Hall 4.2","H4.2-117","Poland"
"https://www.ifa-berlin.com/exhibitors/allity","https://drive.ifa-berlin.com/drive/2026/08/_cache/091e5c074992661fbb47cc0d8ca84ca8_8aa4e030cd3056e41fa5cf2cef168983.png.webp","Allity, mPTech sp. z o.o. (Pusheen)","Communication & Connectivity","Hall 3.2","H3.2-173","Poland"
"https://www.ifa-berlin.com/exhibitors/vonmaehlen","https://drive.ifa-berlin.com/drive/2026/07/_cache/e8c8d6e8a91a470e3e4e81df7efb7810_f056e8f9ba7aa7cdd6a8e31c59c52ff7.png.webp","Vonmaehlen","Communication & Connectivity","Hall 3.2","H3.2-02","Germany"
"https://www.ifa-berlin.com/exhibitors/nota-ai","https://drive.ifa-berlin.com/drive/2026/08/_cache/e3ade0d640cb123066a3f417caabeace_b51e76403bf1e218fa335dd804ccc274.jpg.webp","Nota AI","IFA Next","Hall 25","H25-311","South Korea"
"https://www.ifa-berlin.com/exhibitors/frameo","https://www.ifa-berlin.com/thumbnail/w500/2025/12/frameo_213.webp","Frameo","Home & Entertainment","Hall 22","H22-115","Denmark"
"https://www.ifa-berlin.com/exhibitors/xtool","https://drive.ifa-berlin.com/drive/2026/06/_cache/3064228410a9b8f7721c444de4dac753_4e525c609ca8a70fdb1f0c6e21cbebfc.png.webp","xTool","Content Creation","Hall 20","H20-127","China"
"https://www.ifa-berlin.com/exhibitors/kumtel","https://www.ifa-berlin.com/thumbnail/w500/2026/07/KUMTEL%20LOGO.jfif","Kumtel A.S.","Home Appliances","Hall 7.1c","H7.1c-108","Türkiye"
"https://www.ifa-berlin.com/exhibitors/bundeswehr","https://www.ifa-berlin.com/img/exhibitors/default.svg","Bundeswehr","Content Creation","Hall 17","H17-241","Germany"
"https://www.ifa-berlin.com/exhibitors/agibot","https://drive.ifa-berlin.com/drive/2026/08/_cache/beb420a12aad4ce7256c87cb792d62fc_72e4456a4df6b4305d9f0a1595e08aa2.png.webp","AGIBOT","IFA Next","Hall 25","H25-371","China"
"https://www.ifa-berlin.com/exhibitors/switchbot-acemate","https://www.ifa-berlin.com/thumbnail/w500/2026/08/logo.svg","SwitchBot & Acemate","Smart Home","Hall 1.2","H1.2-146","China"
"https://www.ifa-berlin.com/exhibitors/philips-sound","https://drive.ifa-berlin.com/drive/2026/08/_cache/5ce1c7aae8aaf0576a7be590cf0501a6_b7f4100b8bdddeec6ac0ec5ef00cd0b9.png.webp","PHILIPS Sound","Home & Entertainment","Sommergarten","SOM-116","Netherlands"
"https://www.ifa-berlin.com/exhibitors/minotrade","https://drive.ifa-berlin.com/drive/2025/12/_cache/a94ac8c8a422400d43d6b93293184cac_55ebfcea35c0a7407edaf1b2a08e683a.png.webp","minotrade AG","Smart Home","Hall 2.2","H2.2-200","Switzerland"
"https://www.ifa-berlin.com/exhibitors/bomare-company","https://drive.ifa-berlin.com/drive/2025/12/_cache/345804b0824f89ec7a6f5204833aa6ef_28177547925650998df56a03deb99fc7.jpg.webp","Bomare Company","Home & Entertainment","Hall 22","H22-121","Algeria"
