"toggler","stand","country","img-holder src","additional","visit-us 2","button","button href","button href 2","categories","subcategory","subcategory href","divider","subcategory 2","subcategory href 2","divider 2","subcategory 3","subcategory href 3","divider 3","subcategory 4","subcategory href 4"
"Agrocomplex Sp.zo.o","B1C46","Poland","https://www.ingredientsnetwork.com/image001-comp250410.gif","Agrocomplex is the leading manufacturer from Poland. We specialize in the production and supply dry dairy products dedicated for food and nutrition solutions, in particular SODIUM & CALCIUM CASEINATES, acid casein, MILK/WHEY PROTEIN CRISPS, MPI90, MPC, Micellar Casein, High Protein Milk Blends. Moreover, we are also able to provide you with customized products and other diary powder on your request. Our vision is a combination of Partnership, Quality, Production, Environmental Awareness and our Experience so we invite you to join us for increasing your business' value.","stand B1C46","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/04/10/exhibitor250410-596.html","Categories:","Casein","https://www.ingredientsnetwork.com/casein-code015997.html","|","Cow Dairy Ingredients","https://www.ingredientsnetwork.com/cow-dairy-ingredients-code015764.html","|","Dairy Ingredients","https://www.ingredientsnetwork.com/dairy-ingredients-code015763.html","|","Milk - cow","https://www.ingredientsnetwork.com/milk-cow-code015765.html"
"AIG Asia Ingredients Corporation","C3Q04","Vietnam","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C3Q04","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/27/21/97/exhibitor272197-596.html","","","","","","","","","","","",""
"Akay Industries","B3C26-K","India","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand B3C26-K","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/40/56/exhibitor314056-596.html","","","","","","","","","","","",""
"Al Ferdaws Food Industries Materials Co. - Fimcobase","A3N35","Egypt","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A3N35","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/11/19/exhibitor481119-596.html","","","","","","","","","","","",""
"Algalindo Perdana.PT","C1L35","Indonesia","https://www.ingredientsnetwork.com/IMG-20230825-WA0063-comp307313.jpg","Algalindo Perdana is one of the leading Indonesian manufacturers of refined and semi-refined carrageenan as well as konjac. The company utilizes sophisticated alcohol processing facilities with a modern alcohol recovery system.Algalindo Perdana is engaged in manufacturing carrageenan and konjac as well as customized blending and compounding for the manufacture of processed meat, dessert jellies, ice creams, beverages, confectioneries, dairy products, sauces, farinaceous products, pet food, cosmetics, toiletries and other applications. Algalindo Perdana develops and customizes blends of carrageenan and konjac for specific textural and rheological properties desired by the food manufacturer.","stand C1L35","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/30/73/13/exhibitor307313-596.html","Categories:","Carrageenan","https://www.ingredientsnetwork.com/carrageenan-code015469.html","|","Dietary fibres","https://www.ingredientsnetwork.com/dietary-fibres-code015448.html","|","Egg replacer","https://www.ingredientsnetwork.com/egg-replacer-code015910.html","|","Emulsifiers, Stabilisers, Thickeners","https://www.ingredientsnetwork.com/emulsifiers-stabilisers-thickeners-code015443.html"
"Ali Foods","D2C22","India","https://www.ingredientsnetwork.com/logo-comp270568.png","— Manufacturer & Exporter of Dehydrated Onion and Garlic since 1993. . Exporting 3,500+ tons annually to Germany, USA & worldwide.  100% EU compliant with pre-shipment inspection at EUROFINS","stand D2C22","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/27/05/68/exhibitor270568-596.html","Categories:","Curcuma longa","https://www.ingredientsnetwork.com/curcuma-longa-code015583.html","|","Garlic","https://www.ingredientsnetwork.com/garlic-code015595.html","|","Moringa  Oleifera","https://www.ingredientsnetwork.com/moringa-oleifera-code015625.html","|","Onions","https://www.ingredientsnetwork.com/onions-code015902.html"
"Almond Board of Australia","A3N52","Australia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A3N52","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/97/78/exhibitor319778-596.html","","","","","","","","","","","",""
"Alvinesa Natural Ingredients S.A.","A3Q29","Spain","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A3Q29","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/32/24/21/exhibitor322421-596.html","","","","","","","","","","","",""
"Amano Enzyme Asia Pacific Co., Ltd.","A2F01","Thailand","https://www.ingredientsnetwork.com/pb6lfGsQ7Kiapqa-comp250413.jpg","Amano Enzyme Inc, along with its subsidiaries, develops, produces, and sells enzymes for pharmaceutical, food processing, dietary supplement, nutraceutical, biotransformation, and diagnostic industries in Japan. It offers medical and food processing enzymes that are used in digestive aid products, anti-inflammatory enzyme preparations, chiral synthesis, diagnostic kits, dairy products, seasonings, alcoholic drinks, and breads. The company also offers non-animal and non-GMO enzymes in the United States, Canada, and Central and South America; and animal organ extracts. Its enzymes are also used in proteins processing, starch processing, yeast extract manufacturing, oil and fat processing, and others. In addition, the company engages in the production and sale of drugs, animal drugs, and feed additives.","stand A2F01","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/04/13/exhibitor250413-596.html","Categories:","Amylase","https://www.ingredientsnetwork.com/amylase-code015970.html","|","Enzymes","https://www.ingredientsnetwork.com/enzymes-code015969.html","|","Lactase","https://www.ingredientsnetwork.com/lactase-code015980.html","|","Lipase","https://www.ingredientsnetwork.com/lipase-code015981.html"
"Aneka Coffee Industry, PT","B3H35","Indonesia","https://www.ingredientsnetwork.com/aci-comp325745.png","Aneka Coffee Industry (ANEKA COFFEE) is the trusted, reliable leader in the Asian coffee market bridging the ever-growing global demand, offering versatile, high-quality products that are tailored to meet the diverse needs of our customers. We are dedicated to fostering a sustainable coffee culture, maintaining business integrity, and ensuring consistent supply, thereby enriching the communities and customers we serve. ANEKA COFFEE was established in 1995 specializing in B2B instant, roasted & ground coffee manufacturing. The International Coffee Organization (ICO) endorsed ANEKA COFFEE triumphant ground-breaking of the spray dried instant coffee factory located at Sidoarjo, East Java in 1997. Nowadays, we have reached production capacity of 8,000 tons of instant, agglomerated & liquid coffee and 2,400 tons of ground coffee sold to both domestic and international markets.","stand B3H35","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/32/57/45/exhibitor325745-596.html","Categories:","Coffee","https://www.ingredientsnetwork.com/coffee-code015580.html","|","Beverages / Juices","https://www.ingredientsnetwork.com/beverages-juices-code016114.html","","","","","",""
"ANEKA KAKAO, PT","A1D52","Indonesia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A1D52","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/47/87/81/exhibitor478781-596.html","","","","","","","","","","","",""
"ANEKA SARIVITA, PT","A1E44","Indonesia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A1E44","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/94/66/exhibitor319466-596.html","","","","","","","","","","","",""
"Angel Yeast Co.,Ltd.","C3M26","China","https://www.ingredientsnetwork.com/VsVMs98qtJqe8iq-comp248867.png","Angel Yeast Co Ltd was found in 1986, it is a listed high-tech yeast company in China, which is specialized in the mass production of yeast and yeast derivatives. Angel Yeast possess twelve international advanced factories and eight technical center at home and abroad.

Angel Yeast has become one of the main yeast extract（YE）supplier in the world after decades development, with four professional YE production line in China, Angel’s total capacity of YE is 61,000 tons.In the coming years, to better serve its customers, Angel is going to launch first overseas YE production line in Egypt, by estimation, the overseas YE production line will be finished at 2019. 

Till now, Angel Yeast is capable of supplying basic yeast extract, high Umami yeast extract, rich peptides yeast extract and flavor yeast extract. And the applications of Angel YE include soups, sauces, instant noodles, snacks, meat products and other food applications. Angel’s outstanding R&D and technical application team rich of experiences for providing customers tailor-made food solutions according to different applications.","stand C3M26","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/24/88/67/exhibitor248867-596.html","Categories:","Amino acids","https://www.ingredientsnetwork.com/amino-acids-code015945.html","|","Amylase","https://www.ingredientsnetwork.com/amylase-code015970.html","|","Beta-glucans","https://www.ingredientsnetwork.com/beta-glucans-code015796.html","|","Enzymes","https://www.ingredientsnetwork.com/enzymes-code015969.html"
"ANHUI ANTE FOOD CO  LTD","A2J53","China","https://www.ingredientsnetwork.com/hYw6SiZgkwkV3ae-comp250414.PNG","Ante is a leading provincial enterprise of agricultural industrialization, which engages in producing liquor, starch, vital gluten and other products by corn and wheat. Based on advanced equipment of Germany, France and Denmark, our technologies and qualities occupy leading position in the country.","stand A2J53","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/04/14/exhibitor250414-596.html","Categories:","Corn","https://www.ingredientsnetwork.com/corn-code015899.html","|","Dietary fibres","https://www.ingredientsnetwork.com/dietary-fibres-code015448.html","|","Flavourings","https://www.ingredientsnetwork.com/flavourings-code015485.html","|","Liquorice","https://www.ingredientsnetwork.com/liquorice-code016049.html"
"Anhui Credit-Chem Co., Ltd","C3Q31","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C3Q31","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/13/77/exhibitor481377-596.html","","","","","","","","","","","",""
"Anhui Dobest Food Industry Co.,Ltd","D2E29","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand D2E29","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/16/59/exhibitor481659-596.html","","","","","","","","","","","",""
"Anhui Garlicare Bio-Tech Co., Ltd.","A3Q28","China","https://www.ingredientsnetwork.com/374e68ae-354e-4b29-85ae-2e0cfd8ba431-comp480764.png","CAPA Bio-Tech·high-tech enterprise Founded in 2013, it is a high-tech enterprise specializing in the comprehensive development and utilization of garlic and ginger.","stand A3Q28","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/07/64/exhibitor480764-596.html","","","","","","","","","","","",""
"Anhui Jinhe Industrial Co., Ltd.","D2A08","China","https://www.ingredientsnetwork.com/XRUrLi0ZyJYPKqo-comp249564.jpg","Anhui Jinghe Industry Co Ltd is mainly dedicated to the production and R&D of fine chemical products and basic chemical products. The company mainly produces Acesulfame-K, Maltol, Ethyl Maltol and MCP in fine chemicals. The basic chemical products mainly includes liquid Ammonia, Nitric acid, Sulfuric acid, Formaldehyde, Melamine, Pentaerythritol, Diketene, Neopentyl Glycol, pharmaceutical intermediates and so on. In the field of fine chemicals, the company is the largest producer for Maltol, Ethyl Maltol and Acesulfame-K in the world.","stand D2A08","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/24/95/64/exhibitor249564-596.html","Categories:","Acesulfame-K","https://www.ingredientsnetwork.com/acesulfame-k-code015512.html","|","Acetic acid","https://www.ingredientsnetwork.com/acetic-acid-code015382.html","|","Ammonium sulphate","https://www.ingredientsnetwork.com/ammonium-sulphate-code015352.html","|","Flavour Enhancers","https://www.ingredientsnetwork.com/flavour-enhancers-code015479.html"
"ANHUI KEMFOOD INTERNATIONAL CO.,LTD","D2C27","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand D2C27","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/16/60/exhibitor481660-596.html","","","","","","","","","","","",""
"Anhui NaBaiChuan Pharmaceutical Co., Ltd","C3Q33","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand C3Q33","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/15/39/exhibitor481539-596.html","","","","","","","","","","","",""
"Anhui Real International Trade Co., Ltd.","C3N05","China","https://www.ingredientsnetwork.com/c273535img_XL-comp273535.jpg","we produce wheat gluten and wheat starch,also involved in kinds of proteins and starches,food ingredients,salt,soda,etc.","stand C3N05","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/27/35/35/exhibitor273535-596.html","Categories:","Cereals & Grains","https://www.ingredientsnetwork.com/cereals-grains-code015742.html","|","Nutrition ingredient mixture","https://www.ingredientsnetwork.com/nutrition-ingredient-mixture-code015918.html","|","Salt replacer","https://www.ingredientsnetwork.com/salt-replacer-code015914.html","|","Sodium carbonate","https://www.ingredientsnetwork.com/sodium-carbonate-code015339.html"
"Anhui Wanshen Biotechnology Co.,Ltd.","A1A13","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A1A13","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/32/60/16/exhibitor326016-596.html","","","","","","","","","","","",""
"Anhui Xingzhou Pharma Co., Ltd.","A2G52","China","https://www.ingredientsnetwork.com/Xingzhou-comp250097.jpg","Anhui Xingzhou Pharmaceutical Co., Ltd. is a private enterprise engaged in the R&D, manufacturing, sales and export of gluconic acid products, and is also one of the pioneers in China's food additive industry. The company regards ""developing national industry"" as its own responsibility, adhering to the business vision of ""becoming more refined and stronger, and becoming a world enterprise"". For more than 20 years, it has been committed to specializing in the manufacture of high-quality products and providing excellent and thoughtful services, and the company has achieved steady development. At present, there are production lines with an annual output of 10,000 tons of glucono δ lactone, 5,000 tons of calcium gluconate, 3,000 tons of compound defoamers, and 3,000 tons of gluconate series products. The products are sold in various provinces and cities, occupying a relatively high market share, and are exported It has become an important supplier of gluconic acid products in 44 countries and regions in Europe, America, Asia and Africa.

The company's main products: ""Xingzhou"" brand tofu king lactone, ""Zhanma"" brand gluconolactone, ""Xinluoluo"" brand tofu king lactone, ""Le Dou"" brand special coagulant for tofu brain, ""Xingzhou"" brand Calcium gluconate, ""Xingzhou"" brand sodium gluconate, ""Xingzhou"" brand gluconic acid solution, ""Xingzhou"" brand ferrous gluconate, ""Xingzhou"" brand zinc gluconate, ""Xingzhou"" brand potassium gluconate, ""Xingzhou"" brand manganese gluconate, ""Xingzhou"" brand copper gluconate, ""Le Dou"" brand bean product defoamer, etc.

Product certification: ISO9001-2008 quality management system certification, ISO22000 food safety management system certification, HALAL (Halal) food certification, Kosher (Kosher) food certification, BRC (British Retail Consortium) certification, FDA (US Food and Drug Administration) Authority) registration.

Company honors: Excellent supplier of soybean products industry in China, private technology enterprise in Anhui Province, contract-abiding and trustworthy unit in Anhui Province, brand product in Anhui Province - ""Xingzhou"" brand gluconol δ lactone, well-known trademark in Anhui Province - ""Xingzhou ""Trademark, Chinese bean products industry entrepreneur - Chen Zhiqiao (Chairman and General Manager of the company).","stand A2G52","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/25/00/97/exhibitor250097-596.html","Categories:","Calcium gluconate","https://www.ingredientsnetwork.com/calcium-gluconate-code015354.html","|","Copper","https://www.ingredientsnetwork.com/copper-code016092.html","|","Ferrous gluconate","https://www.ingredientsnetwork.com/ferrous-gluconate-code015423.html","|","Gluconic acid","https://www.ingredientsnetwork.com/gluconic-acid-code015361.html"
"Anqing Zhongchuang Eng.Co.,Ltd","D2C49","China","https://www.ingredientsnetwork.com/anqing-comp268253.png","Anqing Zhongchuang Engineering Co Ltd was found in 1996, and it professionally engages in producing high-end lecithin products,researching and developing full sets of lecithin engineering-design, facilities production and installation testing. The company endeavors to provide high-quality lecithin products and lecithin production lines, and it makes technology exchange with universities in Shanghai and Zhengzhou carrying out research on how to expand high-quality lecithin's application field and improve its use effects.etc.","stand D2C49","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/26/82/53/exhibitor268253-596.html","Categories:","Lecithins","https://www.ingredientsnetwork.com/lecithins-code015451.html","|","Dietary supplements","https://www.ingredientsnetwork.com/dietary-supplements-code016133.html","|","Protein products","https://www.ingredientsnetwork.com/protein-products-code016143.html","|","Contract manufacturing","https://www.ingredientsnetwork.com/contract-manufacturing-code016224.html"
"Anqiu Eagle Cellulose Co., Ltd","A2H52","China","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand A2H52","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/28/16/77/exhibitor281677-596.html","","","","","","","","","","","",""
"APPLE FLAVORS AND FRAGRANCE INDONESIA, PT","D1E56","Indonesia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand D1E56","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/47/70/78/exhibitor477078-596.html","","","","","","","","","","","",""
"Arena Agro Andalan,PT","B3A31","Indonesia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand B3A31","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/47/70/79/exhibitor477079-596.html","","","","","","","","","","","",""
"Armfield Limited","A2F51","United Kingdom","https://www.ingredientsnetwork.com/Armfield_Logo-Blue-Grey_IFT%20300-comp248804.jpg","With Armfield, you are able to
develop products with minimal ingredient loss, shortened time to market, and
real-time results.  Our range spans from simple thermal
processing to colour/flavour extractions, spray drying, carbonated beverages,
edible oils research, evaporation and more. Armfield are a low cost, effective
answer to your product development needs.





See more at  or
contact us through","stand A2F51","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/24/88/04/exhibitor248804-596.html","Categories:","Carbonates","https://www.ingredientsnetwork.com/carbonates-code015358.html","|","Emulsifiers, Stabilisers, Thickeners","https://www.ingredientsnetwork.com/emulsifiers-stabilisers-thickeners-code015443.html","|","Fat replacer","https://www.ingredientsnetwork.com/fat-replacer-code015911.html","|","Fatty acids","https://www.ingredientsnetwork.com/fatty-acids-code015359.html"
"Aroma Agro and Ingredients","B3E12-B","India","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand B3E12-B","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/48/14/63/exhibitor481463-596.html","","","","","","","","","","","",""
"Aroma Kopikrim Indonesia,PT","B3J07","Indonesia","https://www.ingredientsnetwork.com/47/staticpage/00/07/19/site/WW_iN_RGB_edit.png","","stand B3J07","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/28/22/57/exhibitor282257-596.html","","","","","","","","","","","",""
"Arora Aromatics Pvt. Ltd.","C3L27","India","https://www.ingredientsnetwork.com/Logo%20Arora%20Aromatics-comp314242.jpg","","stand C3L27","Contact company","https://exhibitors.figlobal.com/2026fij/#","https://www.ingredientsnetwork.com/47/company/31/42/42/exhibitor314242-596.html","Categories:","Flavourings","https://www.ingredientsnetwork.com/flavourings-code015485.html","|","Other Flavourings","https://www.ingredientsnetwork.com/other-flavourings-code015491.html","|","Peppermint","https://www.ingredientsnetwork.com/peppermint-code015638.html","|","Dietary supplements","https://www.ingredientsnetwork.com/dietary-supplements-code016133.html"
