company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url,Company Website,Booth: 3C-B28   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-E20   |   World of Fine Dining   |   ,Booth: 3C-B06   |   Group Pavilions   |   Chinese Mainland (Huangyan) Pavilion,Booth: 3E-C36   |   Cook & Dine   |   ,Booth: 3E-B19   |   World of Fine Dining   |   ,Booth: 3D-D01   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3D-E02   |   World of Fine Decor   |   Cantonese Business Go Global,Booth: 3E-E12   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-D08   |   World of Fine Dining   |   Cantonese Business Go Global,Booth: 3E-A14   |   World of Fine Dining   |   ,Booth: 5E-L25   |   Cultural and Creative Avenue   |   ,"Booth: 3E-S008, 5E-E05   |   hktdc.com Showcase Zone, Homepedia   |   ","Booth: 5E-A16   |   Outdoor, Camping & Gardening   |   Cantonese Business Go Global",Booth: 5E-C02   |   Health & Wellness   |   Cantonese Business Go Global
SmartAge Intelligence Limited,Hong Kong,"SmartAge Intelligence Limited is transforming elderly care with innovative telenursing solutions powered by AI technology. Their mission is to support elderly individuals living independently with minimal assistance. Using advanced technology and nursing expertise, they offer services that promote aging in place and empower seniors. The SmartAge Home System analyzes daily activity patterns, generates health alerts, and provides guidance, ensuring family support regardless of location. Telenurses use this data and AI to identify needs, offer triage services, and connect seniors with community resources. Supported by organizations like Cyberport and SIE Fund, SmartAge blends technology and nursing to enhance elderly well-being and drive positive change.","Service Company, Others",Elderly Care,"The SmartAge ecosystem connects a sensor network with care services to enhance elder care. Data flows to the cloud, powering an app that provides insights and telenursing support for informed, responsive senior care.",ODM,,,"Exhibited in HKTDC Event(s) in recent years Entrepreneur Day 2025, Hong Kong Home InStyle 2025 InnoEX 2025 Entrepreneur Day 2024, Hong Kong",,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SmartAge-Intelligence-Limited/1S00OW8K4,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005L1B2,,,,,,,,,,,,,,,
Solar-Med Limited,Hong Kong    |    Factory in France,We are an established medical device distributor with over 20 years of experience in medical device market in Hong Kong.,"Buying Cooperative, Charity / Welfare Organisation, Distributor",Elderly Care,Equipment and consumable product,Others,"TEAL,BAXTER",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 Home InStyle 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2019,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Solar-Med-Limited/1S00NMV05,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LOBF,,,,,,,,,,,,,,,
"Fujian Dehua Life Concept Ceramics Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"Making tableware is our speciality; we believe that the dishes we bring to your table should be impactful, original, and have as big a connection to nature as the food served on them.. The Life Concept collection will enhance any culinary creation with designs that excite as we strive to reflect the abundant and inspiring richness of the natural world. Styles may change but the quality of our collections, which are made by skilled craftspeople with love and meticulous attention to detail, will remain.",Manufacturer,"Bowl, Tea Set, Dish, Tableware, Cup, Coffee Set, Plate, Cup & Plate Set","- Ceramic tableware for home & hospitality. - Original designs with unique clays & glazes. - Own brand Life Concept selling worldwide. - OBM, ODM, OEM acceptable.","OEM, ODM, OBM",life concept,,Exhibited in HKTDC Event(s) in recent years Home InStyle 2026 Home InStyle 2025,,"ISO 9001 Issued By Zhongjian certification Co., Ltd. Type ISO_9001 Valid Date 18 May 2022 - 17 May 2025 ISO 14001 Issued By Zhongjian certification Co., ltd. Type ISO_14001 Valid Date 18 May 2022 - 17 May 2025 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fujian-Dehua-Life-Concept-Ceramics-Co-Ltd-/1X0ADIYK,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005GY3T,www.lifeconcept.co,,,,,,,,,,,,,,
"Shaoxing Golden Umbrella Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer",Umbrella,"Advertising Umbrella, Golf Umbrella, Foldable Umbrella","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 HKTDC Hong Kong International Home Textiles and Furnishings Fair 2016,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Golden-Umbrella-Co-Ltd/1X09CZ8V,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LT8J,,,,,,,,,,,,,,,
"Shaoxing Haoxinqing Outdoor Products Co., Ltd.",Chinese Mainland,,Manufacturer,Umbrella,"Rain umbrella, sun umbrella, gift umbrella, promotion umbrella, beach umbrella","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Haoxinqing-Outdoor-Products-Co-Ltd/1S00OARYF,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LU06,,,,,,,,,,,,,,,
"Shaoxing Shangyu North Electron Manufacture Co., Ltd.",Chinese Mainland,,Manufacturer,Camping & Picnic Equipment,"Mini fridge, Ice maker","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Shangyu-North-Electron-Manufacture-Co-Ltd-/1X09YTQV,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005M594,,,,,,,,,,,,,,,
Shaoxing Shangyu Yiyuan Woven Handicraft Factory,Chinese Mainland,,Manufacturer,Knitting Crafts,"Hat, Straw Hat, Paper Hat....","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong International Optical Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shaoxing-Shangyu-Yiyuan-Woven-Handicraft-Factory/1X09YTXO,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LT7M,,,,,,,,,,,,,,,
"Zhejiang Goodluck Creative Industries Co., Ltd.",Chinese Mainland,,Manufacturer,Knitting Crafts,Seasonal decoration and craft kit,"ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Home InStyle 2024 Home InStyle 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Goodluck-Creative-Industries-Co-Ltd/1S00OBMF5,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LTZA,,,,,,,,,,,,,,,
Zhejiang Haizhou Umbrella Co Ltd,Chinese Mainland,,Manufacturer,Umbrella,"Beach umbrella, straight umbrella, garden umbrella","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Houseware Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Haizhou-Umbrella-Co-Ltd-/1X09G49F,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005LT5S,,,,,,,,,,,,,,,
"Zhejiang Hengyang Umbrella Co., Ltd.",Chinese Mainland,,Manufacturer,"Umbrella,Parasol",Umbrella Tent,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 Home InStyle 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Houseware Fair 2018 HKTDC Hong Kong International Home Textiles and Furnishings Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Hengyang-Umbrella-Co-Ltd/1X090KSK,https://www.hktdc.com/event/homeinstyle/en/exhibitor/1S005M5A1,,,,,,,,,,,,,,,
