company name,location,Booth: 1E-C02   |   Hall of Fame - Digital Entertainment   |   ,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,Certificates,,Other Certificates,supplier_url,exhibitor_url,Booth: 1A-C09   |   Hall of Fame - Power & Accessories   |   ,Booth: 1CON-020   |   Hall of Fame - Power & Accessories   |   ,Booth: 3B-C02   |   Personal Electronics   |   ,Booth: 1A-D10   |   Hall of Fame - Home Tech   |   ,Booth: 1D-A19   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-B13   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-C02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1D-C10   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-F09   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-A13   |   Hall of Fame - Home Tech   |   ,Booth: 1D-A21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1CON-014   |   RISE Avenue   |   ,Booth: 1B-D08   |   Hall of Fame - Gadgets World   |   ,Booth: 3C-A02   |   Personal Electronics   |   ,Booth: 1CON-017   |   RISE Avenue   |   ,Booth: 1D-B14   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1CON-003   |   RISE Avenue   |   ,Booth: 1C-C02   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-B02   |   Hall of Fame - Power & Accessories   |   ,Booth: 3D-D24   |   Audio Visual Products   |   ,Booth: 1CON-025   |   Hall of Fame - Home Tech   |   ,Booth: 1CON-022   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-A04   |   Hall of Fame - Gadgets World   |   ,Booth: 1E-E08   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-D04   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-D06   |   Hall of Fame - Home Tech   |   ,Booth: 1A-B18   |   Hall of Fame - Power & Accessories   |   ,Booth: 1C-D20   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-E21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-A02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1D-A08   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-A10   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-D05   |   Hall of Fame - Power & Accessories   |   ,Booth: 1B-E07   |   Hall of Fame - Gadgets World   |   ,Booth: 1D-D21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-A26   |   Hall of Fame - Gadgets World   |   ,Booth: 1B-B08   |   Hall of Fame - Home Tech   |   ,Booth: 1A-C22   |   Hall of Fame - Power & Accessories   |   ,Booth: 1B-E25   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-C09   |   Hall of Fame - Gadgets World   |   ,Booth: 3D-B17   |   Audio Visual Products   |   ,Booth: 1C-D18   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-D17   |   Hall of Fame - Home Tech   |   ,Booth: 3B-B01   |   Security Products   |   ,Booth: 1C-A09   |   Hall of Fame - Gadgets World   |   ,Booth: 3E-B12   |   Audio Visual Products   |   ,Booth: 1E-D23   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-F12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-E21   |   Hall of Fame - Home Tech   |   ,Booth: 1B-C24   |   Hall of Fame - Home Tech   |   ,Booth: 3F-G28   |   Home Appliances   |   ,Booth: 1A-A09   |   Hall of Fame - Power & Accessories   |   ,Booth: 1E-E23   |   Hall of Fame - Digital Entertainment   |   ,Booth: 3G-A32   |   Home Appliances   |   ,Booth: CH-K04   |   Tech Hall   |   ,Booth: 3F-G04   |   Home Appliances   |   ,Booth: 3D-E13   |   Audio Visual Products   |   ,Booth: 3G-B27   |   Home Appliances   |   ,Booth: 3F-D03   |   Beauty & Healthcare Electronics   |   ,Booth: 3C-A28   |   Personal Electronics   |   ,Booth: 3D-B06   |   Audio Visual Products   |   ,Booth: 3C-A12   |   Personal Electronics   |   ,Booth: 3D-B01   |   Automotive & In-Vehicle Electronics   |   ,Booth: 3C-C27   |   Personal Electronics   |   ,Booth: 3B-C07   |   Personal Electronics   |   ,Booth: 3D-C23   |   Audio Visual Products   |   ,Booth: 3G-B03   |   Home Appliances   |   ,Booth: 3B-B05   |   Security Products   |   ,Booth: 3C-B20   |   Telecommunications Products   |   ,Booth: 5C-D24   |   Electronic Accessories and Mobile Electronics   |   ,Booth: GH-D14   |   Future Industries Zone   |   ,Booth: 3G-B15   |   Home Appliances   |   ,Booth: 3F-D16   |   Beauty & Healthcare Electronics   |   ,Booth: 3E-B05   |   Audio Visual Products   |   ,Booth: 3B-C26   |   Personal Electronics   |   ,Booth: 5C-C21   |   Group Pavilion   |   Taiwan Pavilion,Booth: 5C-D19   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3B-B19   |   Security Products   |   ,Booth: 5C-E18   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3G-A18   |   Home Appliances   |   ,Booth: 3F-F19   |   Home Appliances   |   ,Booth: 3B-C16   |   Personal Electronics   |   ,Booth: 3E-A07   |   Audio Visual Products   |   ,Booth: 3D-C08   |   Audio Visual Products   |   ,Booth: 3G-B18   |   Home Appliances   |   ,Booth: 3G-D02   |   Home Appliances   |   ,Booth: 3G-C34   |   Connected Home   |   ,Booth: 5C-B06   |   Group Pavilion   |   Taiwan Pavilion,Booth: 3G-D08   |   Home Appliances   |   ,Booth: 3E-E22   |   Audio Visual Products   |   ,Booth: 3G-A17   |   Home Appliances   |   ,Booth: 3F-C17   |   Beauty & Healthcare Electronics   |   ,Booth: 3G-A16   |   Home Appliances   |   ,Booth: 5C-F17   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3C-E16   |   Automotive & In-Vehicle Electronics   |   ,Booth: 5C-D22   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3F-C07   |   Beauty & Healthcare Electronics   |   ,Booth: 5C-D06   |   Electronic Accessories and Mobile Electronics   |   ,Booth: 3F-F23   |   Pet Electronics   |   ,Booth: 3G-C06   |   Group Pavilion   |   
"Dongguan Hampo Electronic Technology Co., Ltd.",Chinese Mainland,,,"Exporter, Manufacturer","LED Display Board, Point of Sales (POS) Equipment & Technology, LED Display Board, Point of Sales (POS) Equipment & Technology, LED Display Board, Point of Sales (POS) Equipment & Technology, LED Display Board, Point of Sales (POS) Equipment & Technology",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Hampo-Electronic-Technology-Co-Ltd/1S00O9FNO,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064SWK?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujian Kaibang Electronics Co., Ltd.",Chinese Mainland,,,"Exporter, Manufacturer","Bluetooth Device & Accessories, Electronic Thermometer, Weather Station, Watch, Calculator, Watch & Clock, Electronic Timer, Watch & Clock, Electronic Timer, Watch & Clock, Electronic Timer, Watch & Clock, Electronic Timer","Kaibang mainly manufactures LCD clock, Wifi Weather station clock, Bluetooth speaker,Radio controlled clock, LED clock, promotional digital items, watches and customized electronic items etc. We are offering high quality with afforable price.","ODM, OEM",KAIBANG,www.kaibangtech.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Watch & Clock Fair 2021 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fujian-Kaibang-Electronics-Co-Ltd-/1X00IA60,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064NZG?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangzhou Super Mcdodo Electronic Technology Co., Ltd.",Chinese Mainland,,,"Exporter, Manufacturer","Headset Hat, Headphone, Earphone, Headset Hat, Headphone, Earphone, Headset Hat, Headphone, Earphone, Headset Hat, Headphone, Earphone, Headset Hat, Headphone, Earphone","TWS Earphone,Power Bank, USB Charger, Data Cables, Wireless Charger","OEM, ODM",,www.mcdodo.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition),,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GUANGZHOU-SUPER-MCDODO-ELECTRONIC-TECHNOLOGY-CO-LTD/1S00P0I8U,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064MR5?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gold Fingers Technology Co., Ltd.",Chinese Mainland,,,Manufacturer,Earphone,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GOLD-FINGERS-TECHNOLOGY-CO-LTD/1X0A7CBP,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00638FJ?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangdong Hongxin Tongchuang Technology Co.,Ltd",Chinese Mainland,,"Guangdong Hongxin Tongchuang Technology Co., Ltd. was founded in 2010. It is a modern high-tech enterprise integrating original design, independent research and development, high-capacity production, sales and service. The main products include mini humidifiers, aroma diffusers, mini fans, air purifiers, outdoor night light, warmer and heater.Our company accepts ODM and OEM orders. All our products have applied for FCC, CE, RoHS and other European and American standard certification certificates. The Shenzhen production base is 6,000 square meters. The company currently has CNC mold room equipment, spark machines, milling machines, precision grinders, 16 injection molding machines, production and assembly workshops, and products have appearance patents and utility model patents. The warehouse area is 2,000 square meters.Our company is committed to bringing mobile and portable personalized home electronic products into everyone's life and building a creative and fun smart home life.","Exporter, Manufacturer","Electric Deep Fryer, Electric Food Steamer, Electric Deep Fryer, Electric Food Steamer",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Hongxin-Tongchuang-Technology-Co-Ltd/1S00P86PR,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064GI2?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangdong Liwang New Energy Co., Ltd",Chinese Mainland,,"Guangdong Liwang New Energy Co., Ltd. was founded in 2001. The company was listed on the Beijing Stock Exchange in September 2023. Specializing in environmental protection alkaline zinc-manganese battery, environmental protection carbon zinc-manganese battery and lithium-ion battery research and development, production and sales of high-tech enterprises, the company has independent intellectual property rights of the ""Kendal"" brand, committed to provide customers with high quality, long life, pollution-free environmental protection battery products. The main market covers hundreds of countries and regions such as Europe, North America and South America.",Manufacturer,"Battery, Battery, Battery",Battery,"ODM, OEM",Kendal,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 Show More,,,BSCI Issued By TUEV Rheinland Type BSCI Valid Date (N/A) - 03 Apr 2021 ISO9001 Issued By SGS Type ISO_9001 Valid Date (N/A) - 18 Oct 2021 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Liwang-New-Energy-Co-Ltd/1X08UMAW,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064HJY?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangzhou Dongda Electronic Technology Co., Ltd.",Chinese Mainland,,,"Exporter, Manufacturer","Earphone, Mobile Phone Accessory",cellphone accessories,"Others, ODM, OEM, OBM",,www.iwillhave.net/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2018 HKTDC Hong Kong Electronics Fair (Spring Edition) 2015 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2014 HKTDC Hong Kong Electronics Fair (Spring Edition) 2014,,,BSCI Issued By BSCI Type - Valid Date (N/A) - 08 Apr 2020 CE Issued By CE Type - Valid Date (N/A) - 05 May 2020 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Dongda-Electronic-Technology-Co-Ltd-/1X08FQ0U,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00638MY?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangzhou Rigal Electronics Company Limited,Chinese Mainland,,"Guangzhou Rigal Electronics Co., Ltd. (abbreviated as ""Rigal"") was founded in 2013 and is headquartered in Huadu District. The company occupies a factory area of 30,000 square meters. In 2022, Rigal acquired 20 acres of industrial land in Huadu to establish China's first LCD Smart Projector Industrial Park, featuring high-end R&D laboratories and intelligent, digitally-driven cleanrooms. Rigal is a National-level Specialized, Sophisticated, Innovative and Emerging ""Little Giant"" Enterprise focusing on LCD smart projectors. It integrates R&D, manufacturing, brand marketing, and application services into a complete industrial chain. In 2024, Rigal achieved an annual turnover of RMB 480 million, including RMB 62.52 million (USD 8.92 million) in direct exports and RMB 201.8 million in indirect exports. To date, the company holds 12 domestic trademarks and 2 international trademarks, along with 10 invention patents, 48 utility-model patents, and 53 design patents. It has participated in drafting 5 industry standards for LCD projection. Rigal is certified under ISO 9001 (Quality Management), ISO 14001 (Environmental Management), ISO 45001 (Occupational Health & Safety), CE, FCC, PSE, RoHS, and BSCI.","Wholesaler, Buying Cooperative, Department Store, Export Agent, Consulate and Trade Commission, Buying Office, Service Company, Distributor, Chain Store, Exporter, Shopping Mall","Amplifier, Home Theater, Digital Media Player, Speaker, Hi-Fi Equipment, Amplifier, Home Theater, Digital Media Player, Speaker, Hi-Fi Equipment, Amplifier, Home Theater, Digital Media Player, Speaker, Hi-Fi Equipment",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Rigal-Electronics-Company-Limited/1X08S4RX,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064IT3?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hengli Digital Industrial Company Limited,Chinese Mainland,,,"Exporter, Manufacturer","Earphone, Camcorder, Loudspeaker, Microphone",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hengli-Digital-Ind-l-Co-Ltd/1X0AH8EY,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00639V6?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huizhou Yixuan Electric Appliance Co.,Ltd",Chinese Mainland,,"Huizhou Yixuan Electrical Appliance Co., Ltd. was established in September 2015 and is located inHuizhou City, Guangdong Province. It covers an area of 10,000 square meters and has over 150experienced employees. Yixuan Electrical Appliances has over 10 years of production and researchexperience in aromatherapy humidification products. It focuses on independent research anddevelopment, integrating upstream and downstream resources in the manufacturing industry, andis dedicated to the cutting-edge development of health and intelligent products such as aromamachines and humidifiers.","Buying Cooperative, Buying Office, Distributor, Chain Store, Department Store, Charity / Welfare Organisation, Consulate and Trade Commission","Air Purifier, Aroma Humidifier","The products of aroma diffusers and humidifiers are available for OEM/ODM customization. Allproducts have export qualifications and have obtained certifications such as BSCI, IS09000, andUL within the factory.","Others, OEM, ODM, OBM",,//nagomi.en.alibaba.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,"FCC Issued By Shenzhen ST Technology Co.,Ltd. Type OTHERS Valid Date 01 Nov 2022 - 30 Sep 2023 CE Issued By Shenzhen ST Technology Co.,Ltd. Type OTHERS Valid Date 01 Oct 2021 - 26 Apr 2024 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Yixuan-Electrical-Appliance-Co-Ltd-/1S00P5KH1,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00639HC?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jixiang (Zhongshan) Technology Co., Ltd.",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jixiang-Zhongshan-Technology-Co-Ltd-/1S00P7PCB,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064OUU?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nie - Tech Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nie-Tech-Co-Ltd-/1S00NM0RR,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064HU1?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ningbo Gaoli Electronic Technology Co.,Ltd",Chinese Mainland,,,Manufacturer,,Hair Dryer,OEM,LAIJUEZE,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) Home InStyle 2024 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Gaoli-Electronic-Technology-Co-Ltd/1X087E8M,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064GOK?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ningbo Sunlight Electronics Co.,Ltd",Chinese Mainland,,,,,,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Sunlight-Electronics-Co-Ltd-/1S00OJ9X0,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064GU2?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ninghai Yingjiao Electrical Co., Ltd.",Chinese Mainland,,"Yingjiao Electrical was established in 1995 and is dedicated to the design and development of all types of low voltage power adapters,LED drivers,utilizing scaled manufacturing and global sales to fully serve the world's electronic and electric industries.The core products include switching & linear power adapters,battery chargers,transformers,LED drivers and completely customjizable power solutions,designed for use in telecommunications,IT equipment,consumer electronic devices,security system,automation,medical equipments,smart home,LED lights adn much more. Yingjiao products comply with RoHS,PAHS,REACH,and WEEE standards,Achieve CoC V5 and DoE VI of efficiency level,obtained and maintained UL,cUL,FCC,TUV-GS,CB,CSA,PSE,RCM,KC,EAC,NOM,IRAM,CE,EMC and CCC safety certificates. In addition to our full line of products,Yingjiao offers complete OEM/ODM product development ot meet your invividual requiremnents.","Distributor, Exporter","Transformer, Adaptor, Electrical Wire & Cable, Battery Charger, Transformer, Adaptor, Electrical Wire & Cable, Battery Charger, Transformer, Adaptor, Electrical Wire & Cable, Battery Charger",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ninghai-Yingjiao-Electrical-Co-Ltd/1X04TFDE,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064HKV?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shanghai Shift Electrics Co., Ltd.",Chinese Mainland    |    Factory in:  Chinese Mainland,,"Shift is the largest world oral care products manufacturing enterprise. We now have over 1000 employees with a 30,000sqm modern GMP clean workshop, and have passed the ISO13485 Medical Device Certification, the ISO9001 Quality System Certifications, and the ISO14001 effective environmental management system certification.",Manufacturer,Electric Toothbrush,"Sonic Toothbrush,Oscillating Toothbrush,Vibrating Toothbrush,Kids Toothbrush,toothbrush holder, Travel case, Water flosser, Sterilizer,Teeth Whitening Kit，Teeth Primer，Teeth Whitening Gel,Teeth Whitening Pen,Teeth Whitening Tray,Instant Teeth Whiteni","OEM, ODM","bestlife,shift",www.shift.sh,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Houseware Fair 2010,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shanghai-Shift-Electrics-Co-Ltd-/1X058JHY,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S00638DP?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shenzhen 0101 Technology Co., Ltd.",Chinese Mainland,,,"Manufacturer, Exporter","Modem, Memory Card, Barcode Reader, Travel Adaptor, Computer Peripherals & Accessory, USB Flash Drive, Mobile Phone Accessory, Modem, Memory Card, Barcode Reader, Travel Adaptor, Computer Peripherals & Accessory, USB Flash Drive, Mobile Phone Accessory, Modem, Memory Card, Barcode Reader, Travel Adaptor, Computer Peripherals & Accessory, USB Flash Drive, Mobile Phone Accessory",,,,,,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-0101-Technology-Co-Ltd-/1S00P87SH,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0067J7W?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenzhen Junlan Electronic Ltd,Chinese Mainland,,"Shenzhen Junlan Electronic Ltd., established in 2004, is a large-scale high-tech manufacturing enterprise of all types of innovative electronic products, especially focusing on Artificial Intelligence, Smart iOT, smart audio and video, etc. As a leading National High-Tech enterprise, Junlan has obtained incredible advantage in integration of R&D, supply chain and manufacturing resources. It has built strong relationship with many top chipset companies and key component suppliers from Japan, USA, South Korea and Taiwan. Junlan is well recognized as one of the very few full-licensed DVD factories and Walmart Global Private Brand Suppliers in China, and has been certified through Apple s MFi licensing program.","Exporter, Manufacturer","Digital Audio System, Audio Speaker, Karaoke Equipment, Wireless HDMI Device, Turntable, DVD / Blu-ray Player, Digital Media Player, VCD Player, Compact Disc Player, Subwoofer, Speaker, Home Theater, Hi-Fi Equipment, Digital Audio System, Audio Speaker, Karaoke Equipment, Wireless HDMI Device, Turntable, DVD / Blu-ray Player, Digital Media Player, VCD Player, Compact Disc Player, Subwoofer, Speaker, Home Theater, Hi-Fi Equipment",Find my/AI clock/AI karaoke adapter/DVD/PDVD/Bluetooth Soundbar/Turntable/Film Camera/Karaoke machine/Wi-Fi digital photo frame,"OEM, ODM",OTIC,www.jump-lan.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair 2026 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 Show More,,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Junlan-Electronic-Ltd/1S00O88V7,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor/1S0064JZK?fairCode=hkelectronicsfairae&locale=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
