company name,location,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,HKTDC Events,Certificates,Verified Certificates,supplier_url,exhibitor_url,Company Background,Company Website,Other Certificates,Booth: 1B-F05   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-D12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-C02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1D-B19   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1CON-004   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-E08   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1E-C09   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1D-E23   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1D-E21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-A24   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-B02   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-F11   |   Hall of Fame - Home Tech   |   ,Booth: 1D-B12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1D-B02   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1A-F14   |   Hall of Fame - Home Tech   |   ,Booth: 1C-A02   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-C06   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-E06   |   Hall of Fame - Gadgets World   |   ,Booth: 1C-E25   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-B21   |   Hall of Fame - Gadgets World   |   ,Booth: 1A-B09   |   Hall of Fame - Power & Accessories   |   ,Booth: 1C-D25   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-B20   |   Hall of Fame - Gadgets World   |   ,Booth: 1D-A12   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-D05   |   Hall of Fame - Gadgets World   |   ,Booth: 1E-C22   |   Hall of Fame - Digital Entertainment   |   ,Booth: 5B-D04   |   Personal Electronics   |   ,Booth: 5C-B01   |   Personal Electronics   |   ,Booth: 1D-A22   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1C-F21   |   Hall of Fame - Digital Entertainment   |   ,Booth: 1B-E07   |   Hall of Fame - Gadgets World   |   ,Booth: 1B-B18   |   Hall of Fame - Home Tech   |   ,Booth: 3G-B35   |   Home Appliances   |   ,Booth: 1A-B04   |   Hall of Fame - Power & Accessories   |   ,Booth: 1A-B25   |   Hall of Fame - Power & Accessories   |   ,Booth: 1E-E26   |   Hall of Fame - Digital Entertainment   |   ,Booth: 5E-A26   |   Health Tech & Fitness   |   ,Booth: 5G-D12   |   Electronic Manufacturing Services (EMS)   |   ,Booth: 5B-D16   |   Personal Electronics   |   ,Booth: 5G-D01   |   Audio Visual Products   |   ,Booth: 3G-B37   |   Home Appliances   |   ,Booth: 3G-C30   |   Home Appliances   |   ,Booth: 5B-E07   |   Personal Electronics   |   ,Booth: 3F-C30   |   Electronic Accessories   |   ,Booth: 5F-G23   |   Audio Visual Products   |   ,Booth: 5B-F29   |   Personal Electronics   |   ,Booth: 3F-F16   |   Home Appliances   |   ,Booth: 3F-F32   |   Home Appliances   |   ,Booth: 3G-D25   |   Home Appliances   |   ,Booth: 3G-D05   |   Home Appliances   |   ,Booth: 3F-E03   |   Electronic Accessories   |   ,Booth: 3F-F35   |   Electronic Accessories   |   ,Booth: 5C-F05   |   Automotive & In-Vehicle Electronics   |   ,Booth: 5E-G09   |   Energy Storage & E-mobility   |   ,Booth: 3F-F43   |   Electronic Accessories   |   ,Booth: 3G-A15   |   Home Appliances   |   ,Booth: 3G-C11   |   Home Appliances   |   ,Booth: 5E-E02   |   Energy Storage & E-mobility   |   
"Zhejiang Trefan Technology Co.,Ltd",Chinese Mainland,,"Exporter, Manufacturer",Speakers,Audio,Others,TREFUN,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2020 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 HKTDC International ICT Expo 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Trefan-Audio-Technology-Co-Ltd/1X098BMH,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005XYKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangzhou Ruima Electronics Co., Limited",Chinese Mainland,,"Manufacturer, Exporter","Hi-Fi Equipment, Digital Audio System","Established in 2014,RUIMA International(HK)Industrial Co.,Limited started the development ,production&sales of Soundbar,party speakers,out-door using speaker for world-wide clients.","ODM, OEM",RUIMATECH,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GUANGZHOU-RUIMA-ELECTRONICS-CO-LIMITED/1S00O5CSC,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005VVST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellobaby Intelligent Technology(HK)Limited,Hong Kong    |    Factory in Chinese Mainland,,Exporter,"CCTV Equipment, Security System Installation & Maintenance, Electronic Lock, Access Control System, Cyber Security, Doorbell, Alarm, Wearable Camera","Baby Monitor, Security, IOT Products, Digital Photo Frame, Camera Printer, Rear Car Camera","ODM, OEM","Hellobbay,Rino",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hellobaby-Intelligent-Technology-HK-Limited/1S00OS6GI,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005OC4C,"Hellobaby is the market leader in baby monitor products. The company was set up in September, 2005 mainly focus on the development of baby monitor products. We invest heavily in R & D and launch new products every year to our customers. With our state-of-art- manufacturing facilities in China and sales team in both Shenzhen and Hong Kong, we offer not only the highest product quality but also good after sales services. Over the past 18 years, we keep innovating new technology and features on our models, we are proud to be the market leader in offering the highest quality products with advanced features at competitive prices all over the world.",,"ISO9001 Issued By Shenzhen ZhongBiao International Testing and Certification Co., Ltd. Type ISO_9001 Valid Date 29 Oct 2023 - 28 Oct 2026 BSCI Issued By Amfori Type BSCI Valid Date 11 Jun 2025 - 11 Jun 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HongKong Invtop Technology Co., Limited",Hong Kong,,"Distributor, Exporter",Humidifier,"Purifier, aromatherapy machine, humidifier","ODM, OBM",MIJIDI,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HongKong-Invtop-Technology-Co-Limited/1S00OL679,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005UFQF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jingwah Information Technology Co., Ltd.",Chinese Mainland,,Manufacturer,"Virtual Reality (VR) Gear, Computer Accessories, Computer Monitor, Tablet & Accessory, Car Global Positioning System","notebook computers, tablets, VR, intelligent recording pen, audio and video recorder and system integration, conference video equipment and system, dashcam, intelligent voice translation equipment, etc.","OEM, ODM",JWD,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Jingwah-Information-Technology-Co-Ltd-/1X06SM9X,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005URR0,"Jingwah Information Technology Co., Ltd was established in February, 2000 to focus on the design and manufacture of MID tablet, GPS, Smart phones, laptops, digital voice recorders, etc. We dedicate 70% of our output for export markets, delivering to North and South America, Europe, Africa and Asia. Annual export quantity currently totals 7 million pieces. As an ISO 9001 &14001 certified factory, we have 30,000 M2 manufacturing plant, with totally 18 production lines, around 200 R&D Engineers and120 technicians. Our current production capability is around 350,000 units/ month. Backed by our parent company's 45 years of experience, plus Rockchip/Allwinner/MTK software, our R&D team introduce 30 new products annually. Our catalog currently contains over 100 models for your selection.",www.jwdigital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightcomm Technology Co Ltd,Hong Kong    |    Factory in Chinese Mainland,,Manufacturer,"Car Entertainment System, Car Global Positioning System, Digital Audio System","Car Multi-media players; Apple Carplay & Android auto , wifi frames and other smart items.","ODM, OEM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair 2021 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lightcomm-Technology-Co-Ltd/1X00D8VH,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005OGH5,"Establied in 1999, over 25 years' experience in the market, having R&D in Shenzhen, factory in Huizhou, we design, manufacture and export a wide range of electronics products including: Tablet PC, Car multi-medi players (Linux CP & AA certified), Android Car audio players, Wifi digital photo frames and so on. Welcome to visit us and you will find a reliable partner here!",www.light-comm.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roadrover Technology (Hong Kong)Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,Manufacturer,"Car Security Alarm System, Car Amplifiers, Car Radio, Car Global Positioning System, Car Entertainment System, GPS Antenna","In-vehicle Infotainment System, Automotive Electronic Products, Internet ofVehicles","OBM, ODM, OEM","LC路畅科技,Roadrover",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Roadrover-Technology-Hong-Kong-Co-Limited/1X07MJRO,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005T9L0,"As a global automotive electronics solution supplier, RoadRover strives toanswerthe demands of customers by independently developing, manufacturing andsellingthousands of world-class and highly competitive products. Throughinnovative,reliable products and services, RoadRover has successfully expanded itsbusinessinto global market and gained trust from all the valued customers includingmanyworld-renowned automakers such as FIAT, Nissan, Toyota, Peugeot, Hyundai etc.Thecompany is dedicated to providing safe and high quality products bystrictlyenforcing the implementation of ISO9001:2000 & TS16949 quality assurancestandards.All of its products are CE, E-MARK and FCC approved.",e.roadrover.cn/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShenZhen Kejinming Electronic Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Wholesaler, Manufacturer",DVD Player,"projectors,tablets,notebooks.protable dvds wifi digital phota fames.etc.","OEM, ODM",KJM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair 2022 (Autumn Edition) Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Kejinming-Electronic-Co-Ltd/1X09E29L,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005URXI,"Shenzhen Kejinming Electronics Co., Ltd. (KJM) was established in 2010. It is an innovation-driven enterprise in the field of global electronic manufacturing, focusing on providing one-stop OEM/ODM solutions for international brands and retail giants. Over the past 14 years, we have built a global layout integrating R&D, intelligent manufacturing, and supply chain services with cutting-edge consumer electronic products such as smart projectors, and Wifi digital photo frames as so on. Our business covers more than 50 countries and regions including Europe, America, Asia Pacific, and the annual delivery volume exceeds 5 million units. KJM deeply empowers customers with value and takes quality as service concept, providing end-to-end services from product design, localization certification (FCC/CE/ROHS) to marketing data support. It has always insisted on innovative research and development and responded agilely to customer needs. For 14 years, it has become a strategic supplier of Walmart, BESTBUY, Aldi, Philips, Lenovo and other Fortune 500 companies.",www.kejinming.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANC China Limited,Hong Kong,,Exporter,"Electronic Translator, Smart Technology Glasses, Electronic Gadget","We are professional exporter for Smart Finder, Smart tracker, smart translator, smart sunglasses with fashion design.","OEM, ODM",FOONCH,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ANC-China-Limited/1X090WTJ,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005U7NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axcel (HK) Technology Limited,Hong Kong,,"Distributor, Exporter","Turntable, Speakers, Digital Audio System, Hi-Fi Equipment","TURNTABLE, Hi-Fi Equipment","OBM, ODM","AXCEL,BJBJ",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Axcel-HK-Technology-Limited/1X0F07LU,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005PQ7P,"AxcelTechnology Co., Ltd. was established in 2007, is a set of product development,production, sales and service in one enterprise, is a professional manufacturerof a variety of Speaker. Currently, the productionof the Speaker VDE CCC UL KC PSE certificate. Speaker shell products include all productsafety standards in line with China, the United States, the United Kingdom, theEuropean Union, Australia, Argentina, Japan, India, South Korea and othercountries.",www.szaxcel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carku Industrial Co.,Limited",Hong Kong,,"Distributor, Exporter","Energy and Charging Infrastructures, Vehicle Battery and Energy Storage Technology, Portable Solar Charger","Jump starter,power station, outdoor power","OBM, ODM",Carku,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair 2022 (Autumn Edition),,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Carku-Industrial-Co-Limited/1S00O40TL,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005R2L7,"Carku Industrial Co.,Ltd was founded in 2011,which is a high-tech enterprise specializing in the research and development, production and sales of lithium battery technology application products,and the Deputy Leader of China Energy Storage Power Industry Standard Drafting Unit.",www.car-ku.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan Ching Electronic Technology Co,Hong Kong,,Manufacturer,"Recording Media, Speakers, DVD Player",LED TV;DVD Player;LED Projector;Car DVR,OBM,canjing,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2019 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chan-Ching-Electronic-Technology-Co/1X06SVPQ,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005PW4S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charmind Industrial Co., Limited",Hong Kong,,Manufacturer,"Microphone, Headphone, Earphone, Speakers","Speaker, TWS Earbuds, Headphone, Power Banks, Wireless chargers, Adapter, and so on","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023 HKTDC Hong Kong Electronics Fair (Spring Edition) 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Charmind-Industrial-Co-Limited/1X0ABUWM,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005VGT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dongguan Best Travel Electronics Co., Ltd.",Hong Kong,,"Distributor, Exporter","Charging Dock, Mobile Phone Accessory, Battery Charger","Travel Adaptor,Travel Adaptor With Usb","ODM, OBM","WORLDPLUG,BESTTRAVEL",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Best-Travel-Electronics-Co-Ltd/1S00O8PIT,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005PUJL,DONGGUAN BEST TRAVEL ELECTRONICS CO.LTD has been committed to the research and development of travel adapter and socket. We focus on solving the problem of incompatible plug and socket encountered while travelling around the world for business travel consumers,www.worldplug.cn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dotop (HK) Industrial Co., Limited",Hong Kong,,"Distributor, Exporter","Hi-Fi Equipment, Speakers, Earphone","tws earphone, bt speaker, METAL BT SPEAKER","ODM, OBM","SKJ,RRTRAVEL",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dotop-HK-Industrial-Co-Limited/1X0B3EJB,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005PQBD,"DT has own R&D team, we develop updated and unique design modelsevery year with high technology. Our team full of experienced ID Design, Structural Design, Acoustics and Electronic Layout, acoustics includes drivers, amplification and tuning. We have strong acoustics engineer team to fulfill your needs for sound performance. Our team has many experiences about OEM/ODM business and earned good reputation of providing high-performance and most cost effective products for oversea and domestic brands. DT values the importance of long-term customer relationship and believe in partnerships that are mutual benifit. Through strict production management and QC process, we strive to provide our customers with excellent quality products.",www.szdotop.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruga International (HK) Limited,Hong Kong,,"Distributor, Exporter","Travel Adapter, Adaptor, Connector",1.AC / DC Adaptors 2.Battery Chargers 3.Plug Socket Covers 4.Smartphone Accessories 5.Tablet PCs & Accessories,"OBM, ODM",FRUGA,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fruga-International-Hk-Limited/1X0AC8EY,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005PM5Z,"FRUGA INTERNATIONAL (HK) LIMITED with a registered capital of 20 million Yuan. With more than 20 years of hard work and concentration on business, the company system with product R&D, production and sales all in one has been gradually established and the company has been growing stronger, becoming a reasonably sized enterprise with modern management and a leading power supply expert",en.sz-fujia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guangzhou Dongda Electronic Technology Co., Ltd.",Chinese Mainland,,"Exporter, Manufacturer","Microphone, Cell Phone Lanyard, Earphone, Electronic Gadget","we have staff of more than 150 people with three workshops: tempered glass, case, USB cable and Bluetooth earphones workshop. Our products are trusted by all new and old customers.","ODM, OBM, OEM",iwill,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2018 HKTDC Hong Kong Electronics Fair (Spring Edition) 2015 HKTDC Hong Kong Electronics Fair (Autumn Edition) 2014 HKTDC Hong Kong Electronics Fair (Spring Edition) 2014,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Dongda-Electronic-Technology-Co-Ltd-/1X08FQ0U,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005WMBH,"Guangzhou Dongda Electronic Technology Co., Ltd is a professional enterprise specializing in cellphone accessories products.We have had the experience of producing cellphone accessories for more than 10 years and our products are very popular in Europe, the United States, the Middle East and other countries and regions.",www.iwillhave.net,BSCI Issued By BSCI Type - Valid Date (N/A) - 08 Apr 2020 CE Issued By CE Type - Valid Date (N/A) - 05 May 2020 Show More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK Onido Trading Company Limited,Hong Kong,,"Distributor, Exporter","Bone Conduction Headphones, Hi-Fi Equipment, Headset Hat, Speakers, Headphone","headphone,wireless bluetooth,wireless earbuds","ODM, OBM",Onido,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair (Spring Edition) 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HK-ONIDO-TRADING-COMPANY-LIMITED/1S00O8PKN,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005PUMC,"At the beginning, we mainly focused on research and produce Bluetooth speakers to our customer all over the world, established long-term and deep cooperative relationships with many famous brand companies. Starting from 2014, our company began to develop, produce and sell TWS Bluetooth headsets. Currently we own 3 factories, thousands of workers, and launched nearly 100 models of TWS Bluetooth headsets with excellent performance and exquisite appearance.",www.rayeah-tech.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK Zwear Industry Limited,Hong Kong,,Manufacturer,"Smart Glasses, Smart Watch, Electronic Timer, Smart Ring, Smart Technology Glasses, Fitness Tracker, Electronic Blood Pressure Monitor, MP3 Player, Heart Rate Monitor, Pedometer","We focusing on the R&D and sales of smart wearables, mainly Smart Watches, wristbands, Earbuds, SmartRing. We can provide Hardware & Software,solution services,And our products are sold to more than 30 countries and regions around the world.","OEM, ODM",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2025 HKTDC Hong Kong Electronics Fair (Spring Edition) 2025 HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong Watch & Clock Fair 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/HK-Zwear-Industry-Limited/1S00OFAI8,https://www.hktdc.com/event/hkelectronicsfairse/en/exhibitor/1S005PHI1,"We Committed to becoming a global innovative technology company focused on the design, R&D, and sales of smart wearable devices, mainly smartwatches and wristbands. We are also one of the earliest companies in the world to enter the smartwatch indust.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
