Company Name,Booth Number,Country,Exhibition Name,Source URL
IJOOZ AI Pte Ltd,BL35,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Indian Small Business & Franchise Association (ISFA),N/A,INDIA,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
International FLS Corp,BM02,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
JoyfulJuice Pte Ltd,BK17,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
KC Group Pte Ltd,BJ41,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Kopifellas / Kopifellas Group,N/A,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Libisco Co. Ltd.,AF22,JAPAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Mascot Enterprise Pte Ltd,BH19,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Mighty Wheels,BH43,UNITED STATES,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Miramira,AD17,SPAIN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Mix Concoction Pte Ltd,BJ23,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Munchi Pancakes Int'l,BM01,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
oblong,BN06,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
PABLO,AF26,JAPAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
pines n prints,N/A,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Polar Puffs & Cake Pte Ltd,BM08,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Ramen FUJIYAMA 55-GOGO,AF27,JAPAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Refresh Group Pte Ltd,BJ51,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Shaogao,N/A,TAIWAN,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Shock Burger,BL09,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Smart Zone (HK) Limited,BH43,HONG KONG,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Sour Sally,AA13,INDONESIA,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Speech Academy Asia Pte Ltd,BH51,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
St Louis,AG22,AUSTRALIA,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Super Tough Friends,N/A,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
The H2 Therapy / The H2 Therapy Pte Ltd,BN01,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Tiny Assets Pte Ltd,BJ49,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
TungLok Millennium Pte Ltd / TungLok Seafood,BJ25,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
Western Mahua,BM25,SINGAPORE,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
WFA,AD47,UNITED KINGDOM,FLAsia 2026,https://franchiselicenseasia.com/exhibitor-profile/
