,Event Title,Event Date,Event City,Event Country,Event Description,Event More Description,Event URL
11,Beautyworld Taipei,20.–23.March2026, Taipei, TWN,Beauty by Innovation,trade fair Consumer Goods,https://www.beautyexpotaipei.com/
12,Eros Ramazzotti,20.March2026, Frankfurt/Main, DEU,Una Storia Importante - World Tour,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/ramazzotti.html
13,Juracon Frankfurt – Der Karrierekongress für Juristinnen und Juristen,20.March2026, Frankfurt/Main, DEU,,conference,https://iqb.de/events/jurakarriere/juracon-frankfurt/
14,Sarah Connor,21.March2026, Frankfurt/Main, DEU,Arena-Tour 2026,concert,http://festhalle.messefrankfurt.com/sarah
15,Tag der KZVH 2026,21.March2026, Frankfurt/Main, DEU,,conference,https://fortbildung.kzvh.de/event.php?vnr=7-108
16,Clueso,23.March2026, Frankfurt/Main, DEU,DEJA-VU TOUR 2026,concert,http://festhalle.messefrankfurt.com/content/messefrankfurt-redaktion/festhalle/frankfurt/de/event-calendar/clueso.html
17,Fastener Expo 2026,23.–25.March2026, Frankfurt/Main, DEU,,international trade fair,https://www.fastenerexpo.de/
18,Beautyworld Japan Nagoya,23.–25.March2026, Nagoya, JPN,The gateway to the Tokai region’s beauty market,trade fair Consumer Goods,https://beautyworld-japan-nagoya.jp.messefrankfurt.com
19,ZukunftForum Edelmetalle 2026,23.–24.March2026, Frankfurt/Main, DEU,,conference,https://zukunftsforum-edelmetalle.de/
20,EMV,24.–26.March2026, Cologne, DEU,International Exhibition and Conference on Electromagnetic Compatibility (EMC),international exhibition and conference Electronics & Automation Technologies,http://e-emv.com
21,Institutional Money Kongress 2026,24.–25.March2026, Frankfurt/Main, DEU,,conference,https://www.institutional-money.com/kongress/kongress-2026
22,Fiberdays,25.–26.March2026, Frankfurt/Main, DEU,,international trade fair,https://www.fiberdays.de/
23,Kraftklub,26.–27.March2026, Frankfurt/Main, DEU,„Sterben in Karl-Marx-Stadt“ Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/kraftklub.html
24,Zukunft gestalten: der F.A.Z.-Kongress,27.March2026, Frankfurt/Main, DEU,,conference,https://selection.faz.net/veranstaltungen/faz-kongress/
25,Howard Carpendale,28.March2026, Frankfurt/Main, DEU,MEINE ABSCHIEDSTOURNEE - Live 2026,concert,http://festhalle.messefrankfurt.com/carpendale
26,ISH China & CIHE,31.March–02.April2026, Beijing, CHN,"China International Trade Fair for Heating, Ventilation, Air-Conditioning, Sanitation & Home Comfort Systems",international trade fair Building Technologies,https://ishc-cihe.hk.messefrankfurt.com
27,Interpets Tokyo,02.–05.April2026, Tokyo, JPN,International fair for a better life with pets,international trade fair Consumer Goods,https://interpets.jp.messefrankfurt.com
28,Notes Shanghai Spring,02.–05.April2026, Shanghai, CHN,Notes Shanghai Spring 2026,trade fair open to the public Consumer Goods,https://notesshanghai.com/
29,Masters of Dirt,04.April2026, Frankfurt/Main, DEU,Freestyle Firestorm,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/masters-of-dirt.html
30,Automechanika Buenos Aires,08.–11.April2026, Buenos Aires, ARG,Argentina’s leading international trade fair for the automotive service industry targeting trade visitors from South America,international trade fair Mobility & Logistics,http://automechanika.com.ar
31,Toy & Hobby China + Licensing China,09.–11.April2026, Shenzhen, CHN,Shenzhen International Toy & Hobby Fair,international trade fair Consumer Goods,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com
32,Gartex Texprocess Mumbai,09.–11.April2026, Mumbai, IND,,international trade fair Textiles & Textile Technologies,https://www.gartexindia.com
33,SUED Annual congress 2026,09.–11.April2026, Frankfurt/Main, DEU,,conference,https://congress.seud.org/
34,Baby & Stroller China,09.–11.April2026, Shenzhen, CHN,"Shenzhen International Stroller, Mother and Baby Product Fair",international trade fair Consumer Goods,https://shenzhen-international-stroller-mother-and-baby-product-fair.hk.messefrankfurt.com/
35,Alex Warren,10.April2026, Frankfurt/Main, DEU,Little Orphan Alex Live,show,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/alexwarren.html
36,VELOBerlin,11.–12.April2026, Berlin, DEU,The bike festival,exhibition open to the public Mobility & Logistics,https://veloberlin.com/
37,ABBAMANIA THE SHOW,12.April2026, Frankfurt/Main, DEU,Dancing Queen - Tour 2026,concert,http://festhalle.messefrankfurt.com/content/messefrankfurt-redaktion/festhalle/frankfurt/de/event-calendar/abba.html
38,AMR - Auto Maintenance & Repair Expo,13.–15.April2026, Beijing, CHN,"China International Trade Fair For Auto Service, Parts, Maintenance And Repair Technology And Equipment",regional trade fair Mobility & Logistics,http://auto-maintenance.cn.messefrankfurt.com
39,Johannes Oerding,14.April2026, Frankfurt/Main, DEU,Arena Tour 2026,concert,https://festhalle.messefrankfurt.com/oerding
40,prostep ivip Symposium 2026,14.–15.April2026, Frankfurt/Main, DEU,,conference,https://www.symposium.de/de/
41,Kingpins Show Amsterdam Spring,15.–16.April2026, Amsterdam, NLD,,international trade fair Textiles & Textile Technologies,https://kingpinsshow.com
42,Esri International Infrastructure Management & GIS Conference 2026,15.–17.April2026, Frankfurt/Main, DEU,,conference,https://www.esri.com/en-us/about/events/international-imgis/overview
43,Felix Lobrecht,16.–18.April2026, Frankfurt/Main, DEU,Sell Out,concert,http://festhalle.messefrankfurt.com/lobrecht
44,Gods of Ink Tattoo Convention Frankfurt,17.–19.April2026, Frankfurt/Main, DEU,,international trade fair,http://www.godsofinktattooconvention.com
45,Santiano 2026,19.April2026, Frankfurt/Main, DEU,Die große Arena Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/santiano.html
46,Michael Patrick Kelly,20.April2026, Frankfurt/Main, DEU,Traces Tour 2026,concert,https://festhalle.messefrankfurt.com/michaelpatrickkelly
47,Texprocess,21.–24.April2026, Frankfurt/Main, DEU,Leading International Trade Fair for Processing Textile and Flexible Materials,international trade fair Textiles & Textile Technologies,http://texprocess.com
48,Techtextil,21.–24.April2026, Frankfurt/Main, DEU,Leading International Trade Fair for Technical Textiles and Nonwovens,international trade fair Textiles & Textile Technologies,http://techtextil.com
49,Motobike Istanbul,22.–25.April2026, Istanbul, TUR,"Türkiye’s Leading International Motorcycle, Bicycle, and Accessories Exhibition",international exhibition Mobility & Logistics,https://motobike-istanbul.tr.messefrankfurt.com/istanbul/en.html
50,Secutech,22.–24.April2026, Taipei, TWN,"International Exhibition and Conference for Security, Smart building, Mobility, Fire and Safety and disaster recovery","international exhibition and conference Safety, Security & Fire",https://secutech.tw.messefrankfurt.com
51,Eurobike Istanbul,22.–25.April2026, Istanbul, TUR,,trade fair Mobility & Logistics,https://eurobike-istanbul.tr.messefrankfurt.com/istanbul/en.html
52,PENTATONIX,22.April2026, Frankfurt/Main, DEU,European Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/pentatonix.html
53,AERO Friedrichshafen,22.–25.April2026, Friedrichshafen, DEU,The Leading Show for General Aviation,trade fair Mobility & Logistics,https://www.aero-expo.de/
54,Aymen & Amo,25.April2026, Frankfurt/Main, DEU,AYMO Arena Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/aymen.html
55,BAI Alternative Investor Conference (AIC) 2026,27.–29.April2026, Frankfurt/Main, DEU,,conference,https://www.ai-conference.com/
56,Heimtextil Colombia licensed by Messe Frankfurt Exhibition GmbH,28.–30.April2026, Medellin, COL,,international trade fair Textiles & Textile Technologies,https://heimtextilcolombia.com
57,AI Day 2026,28.April2026, Frankfurt/Main, DEU,,conference,https://ai-days.com/
58,Smart Home Expo,28.–30.April2026, Mumbai, IND,,international trade fair Building Technologies,https://www.smarthomeexpo.in/
59,Hobby-X,30.April–03.May2026, Johannesburg, ZAF,,exhibition open to the public Consumer Goods,http://www.hobby-x.co.za
60,Tame Impala 2026,30.April2026, Frankfurt/Main, DEU,DEADBEAT,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/tameimpala.html
61,CARDMADNESS 2026,02.–03.May2026, Frankfurt/Main, DEU,,conference,https://cardmadness.eu/
62,Automechanika Riyadh,04.–06.May2026, Riyadh, SAU,,regional trade fair Mobility & Logistics,https://automechanika-riyadh.ae.messefrankfurt.com/riyadh/en.html
63,Comtrux Astana licensed to Business Media Central Asia LLP,05.–07.May2026, Astana, KAZ,The Trade Hub for Commercial Vehicles and Road Logistics in Central Asia,trade fair Mobility & Logistics,https://comtrans.kz/en/
64,Optatec,05.–07.May2026, Frankfurt/Main, DEU,,international trade fair,http://www.optatec-messe.de/
65,Tech Show Frankfurt,06.–07.May2026, Frankfurt/Main, DEU,,international trade fair,https://www.techshowfrankfurt.de/messefrankfurt
66,German Testing Day 2026,06.–07.May2026, Frankfurt/Main, DEU,Die unabhängige Konferenz zu Software-Qualität,conference,https://www.germantestingday.info/de
67,Bundesbank-Symposium – Bankenaufsicht im Dialog,07.May2026, Frankfurt/Main, DEU,,conference,https://www.bundesbank.de/de/service/termine/bundesbank-symposium-629518
68,Light+LED Expo Mumbai,07.–09.May2026, Mumbai, IND,,international trade fair Building Technologies,http://led-expo-mumbai.in.messefrankfurt.com
69,Intersec Shanghai,07.–09.May2026, Shanghai, CHN,"International Trade Fair for Security, Safety and Fire Protection","international trade fair Safety, Security & Fire",http://www.intersec-shanghai.com
70,ShishaMesse,08.–10.May2026, Frankfurt/Main, DEU,The world's biggest Expo for Shisha & Vape Products,international trade fair,https://shishamesse.de/de/frankfurt
71,Einstieg Frankfurt 2026,08.–09.May2026, Frankfurt/Main, DEU,,exhibition open to the public,https://www.einstieg.com/messen/frankfurt.html
72,Frei.Wild,10.May2026, Frankfurt/Main, DEU,Immer unter Feuer,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/freiwild.html
73,Automechanika Kuala Lumpur,14.–16.May2026, Kuala Lumpur, MYS,Malaysia’s leading regional trade fair for the automotive service industry targeting trade visitors from ASEAN,regional trade fair Mobility & Logistics,http://automechanika-kualalumpur.hk.messefrankfurt.com
74,Dino Merlin,16.May2026, Frankfurt/Main, DEU,,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/dinomerlin.html
75,Beautyworld Japan Tokyo,18.–20.May2026, Tokyo, JPN,The Largest Trade Fair for Beauty and Spa Industries in Japan,international trade fair Consumer Goods,https://beautyworld-japan.jp.messefrankfurt.com
76,Beautyworld Riyadh,18.–20.May2026, Riyadh, SAU,"Saudi Arabia’s premier beauty event has come to a powerful close, marking another unforgettable chapter in the Kingdom’s growing beauty and wellness industry.",international trade fair Consumer Goods,https://beautyworld-riyadh.ksa.messefrankfurt.com/ksa/en.html
77,Automechanika Istanbul,19.–22.May2026, Istanbul, TUR,"Turkey`s leading international trade fair for the automotive service industry targeting trade visitors from Turkey, Eastern Europe, Asia and North Africa",international trade fair Mobility & Logistics,https://automechanika-istanbul.tr.messefrankfurt.com/istanbul/en.html
78,IMEX,19.–21.May2026, Frankfurt/Main, DEU,,international trade fair,https://frankfurt.imexevents.com/newfront
79,Intelligent Building Expo Tashkent,20.–22.May2026, Tashkent, UZB,,trade fair Building Technologies,N/A
80,CAPAS,21.–23.May2026, Chengdu, CHN,Chengdu International Trade Fair for Automotive Parts and Aftermarket Services,international trade fair Mobility & Logistics,http://capas-chengdu.hk.messefrankfurt.com
81,Flo Rida,21.May2026, Frankfurt/Main, DEU,Club Can't Handle Europe Tour,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/florida.html
82,SPS Italia,26.–28.May2026, Parma, ITA,Smart Production Solutions,international trade fair and virtual event Electronics & Automation Technologies partner event,https://spsitalia.it.messefrankfurt.com/parma/it.html
83,SightCity 2026,27.–29.May2026, Frankfurt/Main, DEU,,conference,https://sightcity.net/
84,Prolight + Sound Guangzhou,28.–31.May2026, Guangzhou, CHN,Guangzhou International Professional Light and Sound Exhibition,international exhibition Event & Entertainment Technologies,https://prolight-sound-guangzhou.hk.messefrankfurt.com
85,DJ Bobo,31.May2026, Frankfurt/Main, DEU,Arena Tour 2026,concert,http://festhalle.messefrankfurt.com/djbobo
86,Emitex Simatex Confemaq,02.–04.June2026, Buenos Aires, ARG,International Trade Fair of Suppliers for the Garment Industry,international trade fair Textiles & Textile Technologies,https://emitex.ar.messefrankfurt.com/
87,The UK Garage & Bodyshop Event,03.–04.June2026, Birmingham, GBR,,regional trade fair Mobility & Logistics,https://uk.messefrankfurt.com/london/en/UKGarageandBodyshopEvent.html
88,PCIM,09.–11.June2026, Nuremberg, DEU,"International Exhibition and Conference for Power Electronics, Intelligent Motion, Renewable Energy and Energy Management",international exhibition and conference Electronics & Automation Technologies,https://pcim.mesago.com
89,Calum Scott,09.June2026, Frankfurt/Main, DEU,The Avenoir Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/calumscott.html
90,Intertextile Shenzhen Apparel Fabrics,09.–11.June2026, Shenzhen, CHN,Greater Bay Area International Trade Fair for Apparel Fabrics and Accessories,international trade fair Textiles & Textile Technologies,https://intertextile-shenzhen.hk.messefrankfurt.com/shenzhen/en.html
91,Guangzhou International Lighting Exhibition + Guangzhou Electrical Building Technology,09.–12.June2026, Guangzhou, CHN,The most influential and comprehensive lighting and LED event in Asia,international trade fair Building Technologies,http://light.messefrankfurt.com.cn
92,Automechanika Astana licensed to Business Media Central Asia LLP,10.–12.June2026, Astana, KAZ,Kazakhstan’s leading regional trade fair for the automotive service industry targeting trade visitors from Kazakhstan and Central Asia,regional trade fair Mobility & Logistics,http://automechanika.kz/en/
93,Interior Lifestyle Tokyo,10.–12.June2026, Tokyo, JPN,,international trade fair Consumer Goods,https://interiorlifestyle-tokyo.jp.messefrankfurt.com
94,AERO South Africa,10.–12.June2026, Johannesburg, ZAF,,international trade fair Mobility & Logistics,https://aerosouthafrica.com/
95,E-Waste/Battery Recycling/ Metal Recycling/ITAD & Circular Electronics,17.–18.June2026, Frankfurt/Main, DEU,"The event for electronics, battery, metal recyclers & ITAD companies to come together to discover the latest innovations and solutions to create a circular economy for critical raw materials",international trade fair,https://ewaste-expo.com/
96,Automechanika Ho Chi Minh City,18.–20.June2026, Ho Chi Minh City, VNM,Vietnam’s Leading Regional Trade Fair for the Automotive Service Industry targeting Trade Visitors from Vietnam,regional trade fair Mobility & Logistics,http://automechanika-hcmc.com
97,Interpets Osaka,19.–21.June2026, Osaka, JPN,International fair for a better life with pets serving Western Japan,regional trade fair Consumer Goods,https://interpets-osaka.jp.messefrankfurt.com/
98,Zucchero,20.June2026, Frankfurt/Main, DEU,World Tour 2026,concert,https://festhalle.messefrankfurt.com/zucchero
99,Interior Lifestyle South America licensed by Messe Frankfurt Exhibition GmbH,22.–25.June2026, Sao Paulo, BRA,,trade fair Consumer Goods,https://interiorlifestyle.com.br/en/
100,EUROBIKE,24.–27.June2026, Frankfurt/Main, DEU,,international trade fair Mobility & Logistics,https://eurobike.com
101,AnnenMayKantereit,03.July2026, Frankfurt/Main, DEU,Live 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/annenmaykantereit.html
102,INA PAACE Automechanika Mexico City,08.–10.July2026, Mexico City, MEX,Mexico´s leading international trade fair for the automotive service industry targeting trade visitors from Latin and Central America,international trade fair Mobility & Logistics,https://paace-automechanika-mexico.us.messefrankfurt.com
103,Allfashion Sourcing,14.–16.July2026, Cape Town, ZAF,,trade exhibition Textiles & Textile Technologies,https://allfashionsourcing.za.messefrankfurt.com
104,Tom Jones,16.July2026, Frankfurt/Main, DEU,Come Gather Round,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/tomjones.html
105,Apparel Sourcing Los Angeles,21.–23.July2026, Los Angeles, USA,,international trade fair Textiles & Textile Technologies,https://texworld-la.us.messefrankfurt.com/los-angeles/en/OurShows/ApparelSourcingLA.html
106,Texworld Los Angeles / Home Textiles Sourcing Los Angeles,21.–23.July2026, Los Angeles, USA,,international trade fair Textiles & Textile Technologies,https://texworld-la.us.messefrankfurt.com/los-angeles/en.html
107,Nordstil Sommer,25.–27.July2026, Hamburg, DEU,,trade fair Consumer Goods,https://nordstil.messefrankfurt.com
108,Apparel Sourcing New York City Summer,29.–31.July2026, New York, USA,,international trade fair Textiles & Textile Technologies,https://texworld-usa.us.messefrankfurt.com/new-york/en/facts-figures/ApparelSourcingNYC.html
109,Texworld New York City Summer,29.–31.July2026, New York, USA,"The International Trade Fair: Fabrics, Trims, Accessories",international trade fair Textiles & Textile Technologies,http://TexworldUSA.com
110,Home Textiles Sourcing,29.–31.July2026, New York, USA,,international trade fair Textiles & Textile Technologies,https://home-textiles-sourcing.us.messefrankfurt.com/new-york/en.html
111,Gifts World Expo Delhi,30.July–01.August2026, New Delhi, IND,,international trade fair Consumer Goods,https://giftsworldexpo.com/del/
112,Paperworld Delhi,30.July–01.August2026, New Delhi, IND,,trade fair Consumer Goods,https://paperworldnewdelhi.in.messefrankfurt.com/newdelhi/en.html
113,TREAM Open Air,30.July2026, Frankfurt/Main, DEU,Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/treamopenair.html
114,Techtextil North America Raleigh,04.–06.August2026, Raleigh, USA,International Trade Fair for Technical Textiles and Nonwovens,international trade fair Textiles & Textile Technologies,https://www.techtextilna.com
115,Gartex Texprocess New Delhi,06.–08.August2026, New Delhi, IND,,international trade fair Textiles & Textile Technologies,https://www.gartexindia.com
116,Weltmeisterschaften Rhythmische Sportgymnastik Frankfurt 2026,12.–16.August2026, Frankfurt/Main, DEU,,sporting event,https://www.dtb.de/shows-events/wettkaempfe
117,Intertextile Shanghai Home Textiles - Autumn Edition,18.–20.August2026, Shanghai, CHN,China International Trade Fair for Home Textiles and Accessories,international trade fair Textiles & Textile Technologies,http://www.intertextilehome.com
118,AAG - Auto Aftermarket Guangzhou,19.–21.August2026, Guangzhou, CHN,,trade fair Mobility & Logistics,http://www.aag.org.cn/en/
119,Gifts World Expo Bangaluru,20.–22.August2026, Bengaluru, IND,,regional trade fair Consumer Goods,https://giftsworldexpo.com/blr/
120,PCIM Asia Shenzhen,26.–28.August2026, Shenzhen, CHN,"International Exhibition and Conference for Power Electronics, Intelligent Motion, Renewable Energy and Energy Management",international exhibition and conference Electronics & Automation Technologies partner event,http://pcimasia-expo.com
121,Formnext Asia Shenzhen,26.–28.August2026, Shenzhen, CHN,"Shenzhen International Exhibition for 3D Printing, Additive Manufacturing and Advanced Forming Technologies",international exhibition Manufacturing Technologies & Components,http://www.formnext-shenzhen.com
122,Festival of Motoring Johannesburg,28.–30.August2026, Johannesburg, ZAF,,trade fair open to the public Mobility & Logistics,http://safestivalofmotoring.com
123,Texworld Paris Autumn,31.August–02.September2026, Paris, FRA,"The International Trade Fair: Fabrics, Trims, Accessories",international trade fair Textiles & Textile Technologies,https://texworld-paris.fr.messefrankfurt.com
124,Apparel Sourcing Paris Autumn,31.August–02.September2026, Paris, FRA,,international trade fair Textiles & Textile Technologies,https://texworld-paris.fr.messefrankfurt.com
125,Cinte Techtextil China,01.–03.September2026, Shanghai, CHN,International Trade Fair for Technical Textiles and Nonwovens,international trade fair Textiles & Textile Technologies,http://techtextilchina.com
126,Hotelga,02.–04.September2026, Buenos Aires, ARG,,international trade fair and trade congress Consumer Goods,https://www.hotelga.com.ar
127,Neonyt Paris (Sommer) licensed to WSN Développement SAS,05.–07.September2026, Paris, FRA,,international trade fair Textiles & Textile Technologies,https://wsn-events.com/en/impact-x-neonyt-paris
128,Automechanika Frankfurt,08.–12.September2026, Frankfurt/Main, DEU,The world’s leading trade fair for the automotive service industry,international trade fair Mobility & Logistics,https://automechanika.messefrankfurt.com
129,Foundry Tech + Expo,09.–11.September2026, Tokyo, JPN,,international trade fair Manufacturing Technologies & Components,http://www.foundrytechexpo.com
130,Secutech Vietnam,09.–12.September2026, Hanoi, VNM,,"international exhibition and conference Safety, Security & Fire",https://secutechvietnam.tw.messefrankfurt.com/hanoi/en.html
131,Thermotec,09.–11.September2026, Tokyo, JPN,"International Exhibition on Industrial Furnace, Thermal Technology, Equipment and Material",international exhibition Manufacturing Technologies & Components,http://thermotec-expo.com
132,Tecno Fidta,15.–18.September2026, Buenos Aires, ARG,"International Food Technology, Additives and Ingredients Exhibition",international trade fair Food Technologies,https://tecnofidta.ar.messefrankfurt.com
133,CCBEC Shenzhen,16.–18.September2026, Shenzhen, CHN,China (Shenzhen) Cross Border E-Commerce Fair - Autumn Edition,trade fair Consumer Goods,https://ccbec-shenzhen-autumn.hk.messefrankfurt.com/shenzhen/en.html
134,Media Expo Delhi,17.–19.September2026, New Delhi, IND,International Exhibition on Indoor & Outdoor Advertising and Signage Solutions,international exhibition Event & Entertainment Technologies,http://mediaexpo-delhi.com
135,Evanescence + Poppy,19.September2026, Frankfurt/Main, DEU,Europe 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/evanescence.html
136,Haftbefehl,20.September2026, Frankfurt/Main, DEU,Arena Live Shows 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/haftbefehl.html
137,Jazeek,21.September2026, Frankfurt/Main, DEU,4EVER TOUR 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/jazeek.html
138,Texcare Asia & China Laundry Expo,21.–23.September2026, Shanghai, CHN,"TXCA & CLE International Trade Fair for Textile Laundry, Leather Care, Cleaning Technology and Equipment","international trade fair Textile Care, Cleaning & Cleanroom Technologies",http://txca-cle.com
139,AMI Compounding & Recycling Expo,23.–24.September2026, Frankfurt/Main, DEU,,international trade fair,https://events.amiplastics.com/compounding-recycling-expo-eu
140,ISSE International Smart Space Exhibition,23.–27.September2026, Hangzhou, CHN,,trade fair Building Technologies,https://international-smart-space-exhibition.hk.messefrankfurt.com/hangzhou/en.html
141,Automechanika Jakarta,24.–27.September2026, Jakarta, IDN,tbc,regional trade fair Mobility & Logistics,http://automechanika-jakarta.hk.messefrankfurt.com
142,André Rieu,24.September2026, Frankfurt/Main, DEU,Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/andrerieu26.html
143,Finance26,25.–26.September2026, Frankfurt/Main, DEU,,international trade fair,https://www.wot-messe.de/home/
144,Apache 207,25.–26.September2026, Frankfurt/Main, DEU,ARENA-TOUR 2026,concert,https://festhalle.messefrankfurt.com/apache
145,Intersec Saudi Arabia,29.September–01.October2026, Riyadh, SAU,,"international trade fair Safety, Security & Fire",N/A
146,Prolight + Sound Bangkok,30.September–02.October2026, Bangkok, THA,,trade fair Event & Entertainment Technologies,https://prolight-sound-bangkok.hk.messefrankfurt.com/bangkok/en.html
147,Beautyworld Dubai,06.–08.October2026, Dubai, ARE,"The Largest International Trade Fair for Beauty Products, Hair, Fragrances and Wellbeing in the Middle East",international trade fair Consumer Goods,http://beautyworldme.com
148,Transport + Traffic Infratech Expo,07.–08.October2026, New Delhi, IND,,"trade fair Safety, Security & Fire",https://trafficinfratechexpo.com/
149,Frankfurter Buchmesse 2026,07.–11.October2026, Frankfurt/Main, DEU,,international trade fair,https://www.buchmesse.de/
150,Interior Lifestyle China,08.–10.October2026, Shanghai, CHN,,trade fair Consumer Goods,http://il-china.com
151,Apparel Sourcing Tashkent licensed to LLC BMC-LLP,12.–14.October2026, Tashkent, UZB,Touch the world of textiles NOW in Central Asia,trade fair Textiles & Textile Technologies,https://apparel-sourcing.uz/eng
152,Heimtextil Uzbekistan licensed to LLC BMC-LLP,12.–14.October2026, Tashkent, UZB,Opening the business for interior and contract textiles in Central Asia,trade fair Textiles & Textile Technologies,http://www.heimtextil.uz
153,Texworld Tashkent licesed to LLC BMC-LLP,12.–14.October2026, Tashkent, UZB,Touch the world of textiles NOW in Central Asia,trade fair Textiles & Textile Technologies,http://www.texworld.uz
154,Paperworld Middle East,13.–15.October2026, Dubai, ARE,,international trade fair Consumer Goods,http://paperworldme.com
155,Gifts & Lifestyle Middle East,13.–15.October2026, Dubai, ARE,"A vibrant platform for lifestyle, accents and gifts",international trade fair Consumer Goods,https://gifts-lifestyle-middle-east.ae.messefrankfurt.com/dubai/en.html
156,DIE NERVIGEN Live 2026,16.October2026, Frankfurt/Main, DEU,,show,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/dienervigen.html
157,SimRacing Expo,16.–18.October2026, Frankfurt/Main, DEU,,international trade fair,https://simracingexpo.de/
158,AMON AMARTH,17.October2026, Frankfurt/Main, DEU,The Allfather Awakens 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/amonamarth.html
159,The World of Hans Zimmer,18.October2026, Frankfurt/Main, DEU,A NEW DIMENSION,concert,https://festhalle.messefrankfurt.com/frankfurt/de/veranstaltungen/worldofhanszimmer.html
160,Beautyworld Osaka,19.–21.October2026, Osaka, JPN,The Key Beauty Trade Fair for Western Japan's Beauty Industry,trade fair Consumer Goods,https://beautyworld-japan-osaka.jp.messefrankfurt.com
161,Dardan,20.October2026, Frankfurt/Main, DEU,Dilemma Tour 2026,concert,https://festhalle.messefrankfurt.com/frankfurt/de/event-calendar/dardan.html
162,EMV Seminare,20.–22.October2026, Leinfelden-Echterdingen, DEU,All-day seminars on Electromagnetic Compatibility (EMC),seminar Electronics & Automation Technologies,https://emv-seminars.mesago.com
163,Automechanika Tashkent licensed to LLC BMC-LLP,21.–23.October2026, Tashkent, UZB,Uzbekistan´s leading regional trade fair for the automotive service industry targeting trade visitors from Central Asia,trade fair Mobility & Logistics,https://www.automechanika.uz/eng
164,Comtrux Tashkent licensed to LLC BMC-LLP,21.–23.October2026, Tashkent, UZB,Uzbekistan´s leading regional trade fair for commercial vehicles and services targeting trade visitors from Central Asia,trade fair Mobility & Logistics,N/A
165,Mainova Frankfurt Marathon und Marathonmall,25.October2026, Frankfurt/Main, DEU,,sporting event,https://www.frankfurt-marathon.com/
