"group src","heading","web","web 2","list-group-item-text","sector_block","sector_block 2","sector_block 3","sector_block 4","sector_block 5","sector_block 6","sector_block 7","sector_block 8","sector_block 9","sector_block 10","sector_block_outer","sector_block_outer href","btn href"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50591/thumb_2046_50591_49599_5298.png","GMI COMPUTING INTERNATIONAL LTD TAIWAN BRANCH","Stand No- HB-009, Hall B","Taiwan Province, People’s Republic of China","GMI Cloud is an AI-native GPU cloud platform delivering high-performance infrastructure for artificial intelligence and machine learning workloads. Our platform provides scalable GPU compute, dedicated clusters, and enterprise-gra ...","Artificial Intelligence","5G & Telecommunications","Big Data & Analytics","Blockchain","Machine Learning","Infrastructure and  Development","Real time translation","Predictive APIs","Machine Learning","Deep Learning Platforms","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/gmi-computing-international-ltd-taiwan-branch","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/gmi-computing-international-ltd-taiwan-branch"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/53224/thumb_2046_53224_52165_7022.png","NinjaOne","Stand No- HC-B120, Hall C","United States of America","NinjaOne unifies IT to simplify work for more than 35,000 customers in 140+ countries. ? 

The NinjaOne Unified IT Operations Platform delivers endpoint management, autonomous patching, backup, and remote access in a s ...","Cyber security","Software Services","Networking & Infrastructure","Cloud Services","Data Analytics & Automation","Operating Systems","Monitoring & Management Tools","Enterprise Software Application","Software Development Security","Operations Security","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ninjaone","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ninjaone"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50604/thumb_2046_50604_49612_4912.png","NXAI","Stand No- HB-A55, Hall B","Singapore","NXAI, headquartered in Singapore, is a global technology company specializing in AI-powered customer experience and cloud communications solutions, serving 15,000+ enterprise clients across 200+ countries and regions.
 ...","Software Services","Business Process Management","Business Intelligence Solutions","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/nxai"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/53225/thumb_2046_53225_52166_8627.png","Postman","Stand No- HA-C35, Hall C","United States of America","Postman is the world’s leading API platform. Postman's features simplify each step of building an API and streamline collaboration to help create better APIs—faster. More than 40 million developers and 500,000 organisations ac ...","3D Printing & Printing Services","Coding and Development","Solutions for component processing - CAM Software","Enterprise Applications","Cloud Computing","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/postman"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/53228/thumb_2046_53228_52169_6578.png","Saviynt Singapore pte. ltd","Stand No- HC-C130, Hall B","United States of America","Saviynt's AI-powered identity platform manages and governs all identity access to an organization's applications, data, and business processes. Customers trust Saviynt to safeguard their digital assets, drive operational efficienc ...","Cyber security","Artificial Intelligence","Big Data & Analytics","Regulatory Technology","Cloud Services","Cloud Solutions","Artificial Intelligence","Applications","Machine Learning","Cybersecurity","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/saviynt-singapore-pte-ltd","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/saviynt-singapore-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50649/thumb_2046_50649_49657_5063.png","Vertiv","Stand No- HA-A35, Hall A","Singapore","Vertiv (NYSE: VRT) brings together hardware, software, analytics and ongoing services to enable its customers’ vital applications to run continuously, perform optimally and grow with their business needs. 

Vertiv so ...","Data Centres","Edge Solutions","Data Centre Next Generation","Data Centre Infrastructure Management","Critical Power","Cooling","Cabinets and Enclosures","Uninterrupted Power Supply","Power Management","Power Distribution","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/vertiv","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/vertiv"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/56405/thumb_2046_56405_55309_6472.png","1000Steps","Stand No- HC-R138, Hall C","Singapore","At 1000Steps, we are dedicated to helping our clients achieve superior sales performance through:
- Development of targeted sales and marketing strategies that secure commercial focus
- Deployment of effective lead gen ...","Business & professional services","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/1000steps"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50559/thumb_2046_50559_49567_5598.png","3DLogistiX","Stand No- HC-R009, HC-R010, Hall C","Australia","3DLogistiX is a warehouse management system (WMS) built for businesses that need real warehouse visibility. Our platform gives teams an interactive 3D view of their stock, workflows, and warehouse, so what is on screen mat ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/3dlogistix"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55532/thumb_2046_55532_54436_2770.png","3mir School Selection System","Stand No- HC-P209, Hall C","China","The 3mir School Selection System specializes in integrating and providing real-time updates on university and program information for mainstream study destinations worldwide. It covers over 60,000 program entries and 100,000+ real ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/3mir-school-selection-system"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55634/2046_55634_54538_3391.png","ABACUX AI-Drivern ERP","Stand No- HC-P154, Hall C","India","AbacuX AI-Driven ERP, developed by ELROI Software Solution, is a modern enterprise platform designed to automate, optimize, and scale business operations. Powered by advanced AI, it enables intelligent decision-making, real-time i ...","Artificial Intelligence","Software Services","Coding and Development","Cloud Services","Ecommerce","Procurement Software","Mobile Applications","HR Tech","Finance & Accounting Software","ERP (Enterprise Resource Planning) Software","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/abacux-ai-drivern-erp","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/abacux-ai-drivern-erp"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/56010/2046_56010_54914_6528.png","Acclime","Stand No- HB-P002, Hall B","Singapore","Acclime is a leading Asia?Pacific professional services firm providing corporate, tax, accounting, payroll, and advisory solutions. Headquartered in Hong Kong, Acclime supports growth?oriented companies and multinational groups in ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/acclime"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55518/thumb_2046_55518_54422_4051.png","ACE Marketing Inc. Shenzhen","Stand No- HC-P136 HC-P137 HC-P138, Hall C","China","tbc","3D Printing & Printing Services","Design & Product Development - Drawing & Document Management","Design & Product Development - 3D Mapping","Apprenticeship, Training and Qualification","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ace-marketing-inc-shenzhen"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55525/thumb_2046_55525_54429_5614.png","ACE Marketing Inc. Shenzhen","Stand No- HA-D50, Hall A","China","TBC","3D Printing & Printing Services","Design & Product Development - 3D Mapping","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ace-marketing-inc-shenzhen"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50560/2046_50560_49568_5469.png","Acme AI Ltd","Stand No- HC-Q041, HC-Q042, Hall C","Bangladesh","Acme AI Ltd. is a full-service AI and frontier technology solution provider based in Bangladesh. We support development and augmentation of artificial intelligence systems by delivering expert-curated AI training datasets, providi ...","Business & professional services","Artificial Intelligence","Big Data & Analytics","Coding and Development","Incubator/Accelerator/Investment","Web Development","Python","Machine Learning","Java","Frontend Development","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/acme-ai-ltd","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/acme-ai-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55874/thumb_2046_55874_54778_7747.png","Action Community for Entrepreneurship Ltd (ACE.SG","Stand No- HC-A180, Hall C","Singapore","About Action Community for Entrepreneurship (ACE.SG)

ACE.SG is the national voice for the Singapore startup ecosystem, and a key trade association representing the interests of startups in Singapore. ACE.SG was establ ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/action-community-for-entrepreneurship-ltd-ace-sg"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/media/2046/GITEX_AI_ASIA_logo_2026_solo.png","AegentIQ by Zypero Intellect","Stand No- HC-P039, HC-P040, Hall C","Singapore","Zypero Intellect is the company behind AegentIQ, the behavioral intelligence platform for AI agents in production.
As enterprises deploy autonomous agents across customer service, operations, and decision workflows, the chal ...","Artificial Intelligence","Software Services","Big Data & Analytics","Smart Manufacturing","Retail Tech","Cloud, AI & Machine Learning","Fraud Prevention & Loss - Online Software","Fraud Prevention & Loss - Analytics Software","Customer Experience & Retention - AI & Machine Learning","Pattern Recognition","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aegentiq-by-zypero-intellect","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aegentiq-by-zypero-intellect"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55012/thumb_2046_55012_53926_8641.png","AgentCallBack Pte Ltd","Stand No- HC-P047, HC-P048, Hall C","Singapore","AgentCallback is a Voice AI platform that solves challenges in phone interactions.

Businesses lose revenue from missed calls during weekends, after-hours, holidays, and peak times. Long wait times and complex IVR syst ...","Business & professional services","Artificial Intelligence","Software Services","Big Data & Analytics","Cloud Services","Enterprise Resource Planning - ERP","Chatbots / Virtual Assistant","Machine Learning","Natural Language Generation (NLG)","Natural Language Processing (NLP)","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/agentcallback-pte-ltd","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/agentcallback-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55013/2046_55013_53927_2163.png","AgGen Technologies","Stand No- HC-P118, Hall C","Sri Lanka","AgGen Technologies is an agri-tech company transforming traditional farming into efficient, sustainable, and climate-resilient agriculture. The company designs smart farming solutions, including hydroponic cultivation systems, sol ...","Internet of Things (IOT)","PropTech","AgriTech & FoodTech","Consumer Tech, Smart Home & Smart Workplace","Sustainability & Green Climate - Tech","Sustainable Systems - Climate Intelligence","Food & Agriculture - Food Agri B2B","Food & Agriculture - Food & Water Processing","AI & IoT","IoT Solutions","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aggen-technologies","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aggen-technologies"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55101/thumb_2046_55101_54008_4087.png","Aggreko","Stand No- HA-B45, Hall A","United Kingdom","Aggreko is a global leader in engineered energy and temperature solutions. We design, deploy and optimise the flexible energy and temperature solutions that are essential to our customers’ operations.

We work across ...","Energy Tech","Data Centres","Sustainability & Green Climate - Tech","Energy Transition - Energy Storage","Energy Storage Systems","Uninterrupted Power Supply","Power Management","Power Distribution","Energy Efficiency","Critical Power","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aggreko","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aggreko"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/53462/thumb_2046_53462_52397_6923.png","AI BRAIN SOLUTIONS PTE. LTD","Stand No- HC-P019, Hall C","Singapore","AI Brain Solutions is an AI technology company focused on delivering practical, enterprise-ready AI solutions that support business efficiency and customer engagement. The company develops SaaS products and custom AI applications  ...","Artificial Intelligence","Natural Language Processing (NLP)","Chatbots / Virtual Assistant","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai-brain-solutions-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55534/thumb_2046_55534_54438_5063.png","AI Governance Practice Center, Electronics Transaction Development Agency (AIGPC, ETDA","Stand No- HC-P201, Hall C","Thailand","The Electronic Transactions Development Agency (ETDA) is a Thai government agency under the Ministry of Digital Economy and Society that promotes, regulates, and supports electronic transactions and digital services. Its mission i ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai-governance-practice-center-electronics-transaction-development-agency-aigpc-etda"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55541/thumb_2046_55541_54445_5022.png","AI in AFRICA","Stand No- HC-P208, Hall C","South Africa","AI in Africa is a non-profit company dedicated to preparing Africa’s next generation for the opportunities and challenges of an AI-driven world. Our mission is to empower youth, women, students and entrepreneurs to actively harn ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai-in-africa"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55014/thumb_2046_55014_53928_8514.png","AI PLATFORM CO., LTD","Stand No- HB-A110, Hall B","Republic Of Korea","AI PLATFORM Co., Ltd. is a digital healthcare company specializing in applied artificial intelligence software powered by big data.

The company develops AI-driven healthcare solutions, including medical MyData platfor ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai-platform-co-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55533/thumb_2046_55533_54437_8320.png","Ai Singapore","Stand No- HC-P200, Hall C","Singapore","AI Singapore (AISG) is a national programme launched by the National Research Foundation (NRF), Singapore, to catalyse, synergise and boost Singapore’s artificial intelligence (AI) capabilities to power our future digital econom ...","Artificial Intelligence","Natural Language Processing (NLP)","Natural Language Generation (NLG)","Machine Learning","Speech Recognition","Neural Networks","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai-singapore"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50562/thumb_2046_50562_49570_9029.png","AI4IV Srl","Stand No- HC-R087, HC-R088, Hall C","Italy","AI4IV is a European deep-tech company developing next-generation vision sensors and on-sensor intelligence for AI systems operating in the physical world. Inspired by biological vision and the compound eye, AI4IV’s FlyEye™ tec ...","Internet of Things (IOT)","Future Mobility & Transportation","Artificial Intelligence","Smart Manufacturing","Consumer Tech, Smart Home & Smart Workplace","Virtual Reality / Augmented Reality","Robotics","Wearables","Robotics","Industrial IoT (IIoT) & Connectivity","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai4iv-srl","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ai4iv-srl"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50564/thumb_2046_50564_49572_9771.png","Ailytics Pte Ltd","Stand No- HC-P045, HC-P046, Hall C","Singapore","Ailytics empowers heavy industries to enhance safety, productivity, and operational efficiency by transforming any existing camera infrastructure into an intelligent AI-driven system. Our cutting-edge platform delivers real-time,  ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/ailytics-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55277/thumb_2046_55277_54182_4332.png","AIonOS Pte. Ltd","Stand No- HC-Q062, Hall C","Singapore","AIONOS is an AI-native enterprise technology company founded in 2024 and headquartered in Singapore, formed as a joint venture between InterGlobe Enterprises and Assago Group. With delivery operations across the USA, UK, Middle Ea ...","Internet of Things (IOT)","Media, Marketing & Advertising Tech","Business & professional services","Artificial Intelligence","Big Data & Analytics","Chatbots / Virtual Assistant","Computer Vision","Content Creation","Machine Learning","Pattern Recognition","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aionos-pte-ltd","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aionos-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50565/thumb_2046_50565_49573_6562.png","Aires Applied Quantum Technology","Stand No- HC-P021, HC-P022, Hall C","Singapore","Aires Applied Quantum Technology (AAT) is a Singapore-based quantum application software house that transforms deep-tech research into practical, commercially deployable solutions. We bridge the gap between breakthrough quantum di ...","Cyber security","Quantum & High Performance Computing","Software & Algorithm Developers","Analytics - Services","Cryptography","Cloud Security","Applied Security","Application integration and infrastructure","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aires-applied-quantum-technology"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50566/thumb_2046_50566_49574_6267.png","Airia","Stand No- HA-A45, Hall A","United States of America","Airia is the enterprise AI security, orchestration, and governance platform that enables organizations to deploy AI quickly, safely, and at scale. Built for even the most complex and regulated environments, Airia reduces vulnerabi ...","Artificial Intelligence","Software Services","Data Analytics & Automation","Business Intelligence Solutions","Machine Learning","Chatbots / Virtual Assistant","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/airia"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50567/thumb_2046_50567_49575_5014.png","AiRTS","Stand No- HB-B85, Hall B","Singapore","AiRTS® is the creator of the patented GenAI Twin® - a strategic enterprise AI technology not available anywhere in the world.

Unlike generic AI chatbots, GenAI Twin® is engineered for deep organizational deployment ...","Artificial Intelligence","Natural Language Processing (NLP)","Machine Learning","Data Extraction","Computer Vision","Cognitive computing","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/airts"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/55658/2046_55658_54562_5934.png","AIVAS Pte. Ltd","Stand No- HC-P071, Hall C","Singapore","AIVAS is building AIM, the AI Interaction Model, a foundational interaction layer that makes any AI-powered device capable of truly human-like conversation. Our proprietary AVIG (Audio-Visual Intelligence Gating) technology solves ...","Artificial Intelligence","Virtual Companions","Speech Recognition","Real time translation","Natural Language Processing (NLP)","Natural Language Generation (NLG)","Humanoids & Humanoid Robots","Computer Vision","Chatbots / Virtual Assistant","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/aivas-pte-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50568/thumb_2046_50568_49576_3898.png","Alendei Green RE Pvt Ltd","Stand No- HC-Q018, Hall C","India","Alendei is a fast-growing renewable energy company. Headquartered in Vadodara, it operates across India, Middle East and African geography, primarily in the solar sector, offering end-to-end EPC (Engineering, Procurement, and Cons ...","","","","","","","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/alendei-green-re-pvt-ltd"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/54354/2046_54354_53273_6502.png","AnalyticsLiv","Stand No- HC-R043, HC-R044, Hall C","India","AnalyticsLiv enables brands to measure, optimize, and scale marketing performance through data science, AI, and advanced analytics. As a Google Marketing Platform Certified Partner, we build intelligent analytics foundations using ...","Media, Marketing & Advertising Tech","Artificial Intelligence","Big Data & Analytics","Cloud Services","Retail Tech","OTT","Media Publishing","Marketing Automation","Interactive Marketing","Influencer Marketing","Read More","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/analyticsliv","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/analyticsliv"
"https://exhibitor-manual-004.s3.ap-south-1.amazonaws.com/Production/exb_doc/2046/50569/thumb_2046_50569_49577_9548.png","Anord Mardix (Asia) Pte Ltd","Stand No- HA-B30, Hall A","United Kingdom","Anord Mardix, a Flex Company is a global leader with more than a century of pioneering innovation, reliability and safety in the critical power industry. Anord Mardix leverages comprehensive engineering excellence and commitment t ...","Data Centres","Energy Efficiency","Data Centre Next Generation","Critical Power","Cooling","Cabinets and Enclosures","","","","","","","https://exhibitors.gitexasia.com/gitex-asia-2026/Exhibitor/ExbDetails/anord-mardix-asia-pte-ltd"
