company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,,HKTDC Events,Certificates,Other Certificates,supplier_url,exhibitor_url
Sky Winner (Asia) Limited,Hong Kong,,"Manufacturer, Importer, Exporter, Buying Office","Digital Watch,Skeleton Mechanical Watch,Quartz Analogue Watch,Diver Watch,Chronograph Watch,Pilot Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch",SWISS MADE WATCHES,"OBM, ODM","AIGNER,JACQUES DU MANOIR,JDM MILITARY,ROAMER,G-STAR",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sky-Winner-Asia-Ltd/1S00OQCFF?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064U20?fairCode=te&locale=en
"Wolf 1834, Limited",Hong Kong,"WOLF crafts the best Watch box, Watch Winders, Jewellery box, Cabinet snd Safe since 1834, 5th genration owned business.",Manufacturer,"Watch Movement,Watch Box,Aftersales Watch Services Equipment and Tool","We craft the finest jewelry cases, watch winders, watch boxes, small leather goods and watch cabinets & safes in the world.",Others,WOLF,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Gifts & Premium Fair 2014 HKTDC Hong Kong Gifts & Premium Fair 2013 HKTDC Hong Kong Gifts & Premium Fair 2012 HKTDC Hong Kong Gifts & Premium Fair 2011,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wolf-1834-Limited/1X051T0L?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AEK?fairCode=te&locale=en
World Light Technology Limited,Hong Kong,,"Retailer, Buying Cooperative","Skeleton Mechanical Watch,Pendant Watch,Quartz Analogue Watch,Chronograph Watch,Jewelled-lever Automatic Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch,Promotional Watch,Smart Watch","Description SAGA Watches have set trends and earned major market share by Chinese consumers. To date, SAGA is recognized by its unique watch design and reliable quality making it the top choice as gift watch for the Chinese domestic consumer market","ODM, OEM",SAGA,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/World-Light-Technology-Limited/1S00PED4B?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0066QXJ?fairCode=te&locale=en
Pierre Lannier Sarl,France,"With 49 years of manufacturing and design experience, Pierre Lannier, one of the largest wristwatch suppliers in France and exporting to over 60 countries, is a major player in industry with worldwide brand recognition. Exclusively designed by an in-house team of French fashion designers based at the production and distribution headquarters in France, Pierre Lannier produces the very best timepieces at affordable prices. Pierre Lannier is a household name for fashion watch connoisseurs around the globe.","Department Store, Distributor","Quartz Analogue Watch,Chronograph Watch,Solar Watch,Ladies Watch,Designer Watch,Mens Watch","Pierre Lannier has been a major designer and manufacturer in the global watch industry since 1977. Founded nearly 49 years ago, the brand has always put French watchmaking expertise and French chic at the heart of its ambitions.","OEM, OBM",PIERRE LANNIER,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pierre-Lannier-Sarl/1X00I8VH?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064ALZ?fairCode=te&locale=en
Riba Watch Suisse SARL,Switzerland,"RIBAWATCH Group is an international group active in the design, manufacture and sale of finished watches, jewelry and watch movements and components. Owning eight Swiss watch brands and two French watch brands. Direct commercial sales company in three boutiques in Switzerland and online.","Wholesaler, Trade/Industrial Organisation, Manufacturer","Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,Quartz Analogue Watch,Diver Watch,Sports Timer Watch,Chronograph Watch,Ladies Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch","Experience the timeless elegance of Swiss craftsmanship with RibaWatch Swiss SARL. Combining precision, innovation, and tradition, we create exceptional timepieces proudly made in Switzerland.","ODM, OEM","OPTIMA,MUREX,Rama,Geovani,RSW,Mercury,Magellan",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong Watch & Clock Fair 2019 HKTDC Hong Kong Watch & Clock Fair 2018 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Riba-Watch-Suisse-Sarl/1X00I927?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064U6O?fairCode=te&locale=en
CIGA DESIGN,Hong Kong,,"Private Individual, Manufacturer","24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Diver Watch,Jewelled-lever Automatic Watch,Pilot Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch",CIGA DESIGN,OBM,CIGA DESIGN,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/CIGA-DESIGN/1S00PD80S?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064ARH?fairCode=te&locale=en
Burker International B.V.,Netherlands,Since 2016 we selling watches and jewelry in the world.,"Manufacturer, Wholesaler, Retailer, Exporter, Importer, Distributor","Quartz Analogue Watch,Ladies Watch,Brandname Watch","watches, jewerly",OBM,BURKER,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Burker-International/1S00PDIQC?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00663Z0?fairCode=te&locale=en
"Guangzhou Pinlun watch Co.,Ltd.",Chinese Mainland,,"Manufacturer, Distributor","Skeleton Mechanical Watch,24 Hour Dial Mechanical Watch,Ladies Watch,Mens Watch",AGELOCER Watch,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Pinlun-Watch-Co-Ltd-/1S00ORL7U?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064AI8?fairCode=te&locale=en
LuckyHarvey(Guangzhou)Commercial Co.，Ltd.,Chinese Mainland,,"Manufacturer, Exporter","Digital Watch,Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Brandname Watch,Mens Watch,Moon Phase Mechanical Watch",Lucky Harvey watches,"OBM, ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lucky-Harvey-Guangzhou-Commercial-Co-Ltd-/1S00ORL8R?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064APN?fairCode=te&locale=en
Maison De Prince Watches and Spare Parts Trading,United Arab Emirates,"Being established on January 2009, Maison de Prince is a professional global manufacturer, engaged in research and development, manufacturing, marketing and selling of luxury watches and jewellery. .","Shopping Mall, Exporter, Distributor, Retailer, Wholesaler","24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch",WE ARE OWN THE FASHION LICENSE AND MANUFACTURING AND DOING WHOLE SALES,"ODM, OBM, OEM","Domes kenos,Diamond hill,GF FERRE,V 19.69,MONTANA",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/MAISON-DE-PRINCE-WATCHES-AND-SPARE-PARTS-TRADING/1S00OC28A?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0064ANT?fairCode=te&locale=en
Montres Michel Herbelin SA,France,,"Chain Store, Retailer, Distributor","Skeleton Mechanical Watch,Quartz Analogue Watch,Diver Watch,Chronograph Watch,Ladies Watch,Mens Watch,Moon Phase Mechanical Watch",WATCHES,Others,Herbelin,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Montres-Michel-Herbelin-SA/1X0F0GXR?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00662RP?fairCode=te&locale=en
Bomass International Ltd,Hong Kong,,"Distributor, Retailer","Skeleton Mechanical Watch,24 Hour Dial Mechanical Watch,Chronograph Watch,Brandname Watch,Mens Watch","Movements are the heart of a mechanical watch, requiring time and effort to perfect. Since 2008, we have been collaborating with Swiss engineers to craft the highest quality movement parts that set the benchmark for excellence in mechanical watches.",Others,Arbutus,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023 Hong Kong Watch and Clock Mission to UAE (Dubai) HKTDC Home Delights Expo 2019 Show More,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bomass-Int-l-Ltd/1X00I6G2?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0065NVS?fairCode=te&locale=en
Concept Watches International Limited,Hong Kong,,"Wholesaler, Distributor","Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Ladies Watch,Brandname Watch,Designer Watch",Stylist and affordable wrist watch brand focus on lady designs;,Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Concept-Watches-International-Limited/1S00PC60U?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00655ZY?fairCode=te&locale=en
Boderry Watch Co Ltd,Chinese Mainland,,"Manufacturer, Exporter","Skeleton Mechanical Watch,Quartz Analogue Watch,Ladies Watch,Mens Watch",Watches,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong International Optical Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/BODERRY-WATCH-CO-LIMITED/1S00P0IG6?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00655X4?fairCode=te&locale=en
Brandzstorm USA LLC,USA,,"Distributor, Exporter","Skeleton Mechanical Watch,Mechanical Hands & Digital Watch,24 Hour Dial Mechanical Watch,Quartz Analogue Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch,Moon Phase Mechanical Watch",Watches,"ODM, OEM","Daniel Hechter,ED Hardy",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Brandzstorm-USA-LLC/1S00PE389?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00663Y3?fairCode=te&locale=en
"Foshan Roerdum Watch Co., Ltd",Chinese Mainland,,"Manufacturer, Exporter","Skeleton Mechanical Watch,Ladies Watch,Mens Watch,Moon Phase Mechanical Watch","Our company focuses on the display and service of high-quality watches, and the main exhibits cover two series: men's mechanical watches and women's quartz watches. We not only provide beautiful watch products, but also strive to meet the diverse nee","OEM, OBM, ODM","劳尔顿/ROERDUM,Mclaro original",,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong International Jewellery Show 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Roerdum-Watch-Co-Ltd/1S00ORVST?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00655Y1?fairCode=te&locale=en
Briston,France,,Others,"Travel Clock,Table Clock,Quartz Analogue Watch,Sports Timer Watch,Chronograph Watch,Ladies Watch,Brandname Watch,Designer Watch,Mens Watch","BRISTON is a Paris-based French Premium watch brand with a Sport Chic style, launched in 2013 by Brice Jaunet. The brand offers chic, unique and accessible watches, blending cellulose acetate and noble materials.",OBM,BRISTON,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong Watch & Clock Fair 2023,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Briston/1S00OG8NV?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00662PV?fairCode=te&locale=en
Dwiss Sa,Switzerland,,,,,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2015 HKTDC Hong Kong Watch & Clock Fair 2014,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/DWISS/1X08OEM8?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S0066WN7?fairCode=te&locale=en
SMB SAS / Lip,France,"Philippe BERARD, the current Managing Director of the company, set up SMB SAS in 1984 in Besan?on (France), the historical capital of French watch making. Our group is entirely private and independent. Today, SMB SAS employs a staff of 130 people in France. The logistics (buildings, strong rooms, computerized order preparation, after-sales service) is considered by all its clients to be the best in France. In 40 years, this company has become a major player in the French watch market.",,,"In 1867, Emmanuel Lipmann set up a small watchmaking workshop in Besan?on. A true pioneer, LIP wrote the pages of the history of watchmaking techniques in 157 years of innovations and exclusive creations and sophisticated design Made in France.",,LIP,,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Watch & Clock Fair 2026 Salon de TIME 2026 HKTDC Hong Kong Watch & Clock Fair 2025 Salon de TIME 2025 HKTDC Hong Kong Watch & Clock Fair 2024,,,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SMB-SAS-Lip/1S00OS9AX?fairCode=te&locale=en,https://www.hktdc.com/event/te/en/exhibitor/1S00662OY?fairCode=te&locale=en
