company name,location,,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,supplier_url,exhibitor_url,Company Background,Brand Name,"Booth: 5C-C02, 5B-S011   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Certificates,Verified Certificates,Other Certificates,Company Website,"Booth: 5B-S015, 1B-C06   |   Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase, Deluxe Gift Ideas   |   ",Booth: 5B-B07   |   Corporate Gifts   |   ,Booth: 1E-F31   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ,Booth: 5C-C02   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK   |   The Hong Kong Exporters' Association Pavilion - Smart Design HK,Booth: 5B-C17   |   Advertising Premium   |   ,Booth: 1D-C03   |   Hall of Fine Designs   |   ,Booth: 1C-D03   |   Hall of Fine Designs   |   ,Booth: 1C-E13   |   Hall of Fine Designs   |   ,Booth: 1B-C01   |   Deluxe Gift Ideas   |   ,"Booth: 1A-F41, 5B-S007   |   Deluxe Gift Ideas, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Booth: 1B-D23   |   Deluxe Gift Ideas   |   ,Booth: 1B-A24   |   Deluxe Gift Ideas   |   ,Booth: 1B-G23   |   Deluxe Gift Ideas   |   ,Booth: 1C-F34   |   Deluxe Gift Ideas   |   ,Booth: 1B-F10   |   Deluxe Gift Ideas   |   ,Booth: 1C-A24   |   Deluxe Gift Ideas   |   ,Booth: 1C-A01   |   Deluxe Gift Ideas   |   ,Booth: 1A-F03   |   Deluxe Gift Ideas   |   ,Booth: 1A-B40   |   Deluxe Gift Ideas   |   ,Booth: 1E-D39   |   Deluxe Gift Ideas   |   ,Booth: 1CON-081   |   Deluxe Gift Ideas   |   ,Booth: 1B-B20   |   Deluxe Gift Ideas   |   ,Booth: 1B-D02   |   Deluxe Gift Ideas   |   ,Booth: 1D-A05   |   Hall of Fine Designs   |   ,Booth: 1B-A32   |   Deluxe Gift Ideas   |   ,Booth: 3B-E35   |   Green Living   |   ,Booth: 1B-F02   |   Deluxe Gift Ideas   |   ,Booth: 1C-E29   |   Deluxe Gift Ideas   |   ,Booth: 1B-A02   |   Deluxe Gift Ideas   |   ,Booth: 1B-A38   |   Deluxe Gift Ideas   |   ,Booth: 1D-B34   |   Deluxe Gift Ideas   |   ,Booth: 1A-D23   |   Deluxe Gift Ideas   |   ,Booth: 1C-C23   |   Deluxe Gift Ideas   |   ,Booth: 1B-D19   |   Deluxe Gift Ideas   |   ,Booth: 1E-A36   |   Deluxe Gift Ideas   |   ,Booth: 1A-E11   |   Deluxe Gift Ideas   |   ,Booth: 1D-A30   |   Deluxe Gift Ideas   |   ,Booth: 1C-B12   |   Deluxe Gift Ideas   |   ,Booth: 1A-D37   |   Deluxe Gift Ideas   |   ,Booth: 1C-A05   |   Deluxe Gift Ideas   |   ,Booth: 1B-D22   |   Deluxe Gift Ideas   |   ,Booth: 1E-C32   |   Deluxe Gift Ideas   |   ,Booth: 1B-E27   |   Deluxe Gift Ideas   |   ,Booth: 1B-E39   |   Deluxe Gift Ideas   |   ,Booth: 1E-A31   |   Deluxe Gift Ideas   |   ,Booth: 1B-E43   |   Deluxe Gift Ideas   |   ,Booth: 1B-G33   |   Deluxe Gift Ideas   |   ,Booth: 1A-B14   |   Deluxe Gift Ideas   |   ,Booth: 1D-B38   |   Deluxe Gift Ideas   |   ,Booth: 1CON-035   |   Deluxe Gift Ideas   |   ,Booth: 1A-F36   |   Deluxe Gift Ideas   |   ,Booth: 1B-G20   |   Deluxe Gift Ideas   |   ,Booth: 1A-A08   |   Deluxe Gift Ideas   |   ,Booth: 1B-C44   |   Deluxe Gift Ideas   |   ,Booth: 1A-A16   |   Deluxe Gift Ideas   |   ,Booth: 1B-F36   |   Deluxe Gift Ideas   |   ,Booth: 1B-G16   |   Deluxe Gift Ideas   |   ,Booth: 1E-A44   |   Deluxe Gift Ideas   |   ,Booth: 1C-B24   |   Deluxe Gift Ideas   |   ,Booth: 1B-C13   |   Deluxe Gift Ideas   |   ,Booth: 5B-F26   |   Advertising Premium   |   ,Booth: GH-F09   |   Decorative Gifts & Festive Items   |   ,Booth: 3B-D43   |   Green Living   |   ,Booth: GH-A12   |   Travel & Luggage   |   ,Booth: 5CON-02A   |   Advertising Premium   |   ,"Booth: 5B-D13, 5B-S012   |   Advertising Premium, Dragon Lounge - hktdc.com Showcase Zone - Cubic Showcase   |   ",Booth: 3B-A14   |   Taiwan Pavilion   |   ,Booth: 3B-C43   |   Tech Gifts   |   ,Booth: GH-B03   |   Travel & Luggage   |   ,Booth: 5B-C08   |   Advertising Premium   |   ,Booth: 3B-C23   |   Tech Gifts   |   ,Booth: GH-E04   |   Decorative Gifts & Festive Items   |   ,Booth: 5B-D07   |   Advertising Premium   |   ,Booth: 5B-B20   |   Advertising Premium   |   ,Booth: 5C-B20   |   Advertising Premium   |   ,Booth: 3B-B13   |   Taiwan Pavilion   |   ,Booth: 5B-C14   |   Advertising Premium   |   Cantonese Business Go Global,Booth: GH-D21   |   Chinese Mainland Pavilion   |   Chinese Mainland Pavilion (Yangzhou Pavilion),Booth: 5C-D21   |   Advertising Premium   |   ,Booth: GH-F17   |   Decorative Gifts & Festive Items   |   ,Booth: 3B-D41   |   Green Living   |   ,Booth: 3B-B18   |   Tech Gifts   |   ,Booth: 3B-D39   |   Green Living   |   ,Booth: 3B-C37   |   Tech Gifts   |   ,Booth: 5C-E01   |   Stationery   |   ,Booth: 3B-E18   |   Tech Gifts   |   
Singular Enterprise Limited,Hong Kong    |    Factory in Chinese Mainland,,"Export Agent, Manufacturer","Mug,Ceramic Flower Vase,Decoration & Craft,Advertising Premium,Souvenir & Premium,Hobby & Collector's Item,Festival Item,Environmental Friendly Product",ceramic vase/cup/home decor items/ceramic gift set/tableware.,"OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2022 HKTDC Lifestyle Sourcing Show | Physical + Online HKTDC Hong Kong Gifts & Premium Fair 2020,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Singular-Enterprise-Limited/1X0B3KC0,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005E099,"Singular Enterprise Ltd was cored by a group of porcelain and ceramics experts. Our office and showroom is located in Hong Kong and Dong Guan with a strong manufacturing supports in PRC. Professionalism and Systematic Management are the reasons of our quick expansion and success. With a strong networking to all suppliers, our R&D Department can always comprise new techniques to make our products innovative and be the front edge of porcelain and ceramics industry. We always synchronize with the market pace and therefore we know what our customer wants. We also participate many exhibitions all over the world in order to keep observing the market trend.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sino Path Enterprises Limited,Hong Kong,,"Export Agent, Manufacturer","Stationery & Office Equipment,Artist Supply,Gift Stationery",Stationery,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 Hong Kong International Stationery & School Supplies Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 Home InStyle 2023 HKTDC Hong Kong Houseware Fair 2022 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sino-Path-Enterprises-Ltd/1X001IRR,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005F7IB,Sino Path Enterprises Ltd was found in 1991. We have been growing successfully and we have built strong reputation in worldwide stationery industry. We have moved to a new production plant in Hui Zhou (near Yantian port) in 2008.,SIPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum Tai Company,Hong Kong,,"Exporter, Manufacturer","Executive Gift, Key Chain, Souvenir & Premium, Key Holder, Advertising Premium",Manufacturer and export life style products.,"Others, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Baby Products Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SUM-TAI-CO/1X00571E,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DTJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Global Enterprises Company Limited,Hong Kong    |    Factory in Chinese Mainland,,"Manufacturer, Exporter","Watch, Sport Watch","Digital and analogue watch for kids, teenager and adult.","OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Lifestyle Sourcing Show | Physical + Online Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sunshine-Global-Enterprises-Company-Limited/1X07UC4W,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DWSS,We are a watch manufacturer in mainly producing digital and analogue watch. Our production line is located at mainland China. We develop our own unique style of watch and we also tool for customers to develop their own design watches.,,,,,,www.sunshineglobals.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet N Fun Ltd,Hong Kong,,Manufacturer,Plastic Toy,"We provide OEM and ODM services for a full range of novelty confectionery and gumball dispensers. Our manufacturing facilities are audited and certified by the major US and European retailers, brand customers, and licensors.","OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Toys & Games Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Toys & Games Fair 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sweet-N-Fun-Ltd/1X0052Q4,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005F1TK,,Dubble Bubble,,,,Verification of Compliance Issued By SGS Type OTHERS Valid Date 03 Jun 2024 - (N/A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenon Sports Co Ltd,Hong Kong    |    Factory in Vietnam,,"Buying Office, Trade/Industrial Organisation, Manufacturer, Service Company","Tee & Sweat Shirt,Briefcase,Travel Bag & Luggage,Backpack,Waist Bag,School Bag,Shopping Bag,Luggage Tag,Toiletry Travel Kit,Printed Paper Bag","Backpacks, Luggages, Waitbags and Accessories, Tee Shirts","OEM, ODM, OBM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 CENTRESTAGE 2024 Fashion Hong Kong Pop-Up in Shanghai, China CENTRESTAGE 2019 HKTDC Hong Kong Book Fair 2019 CENTRESTAGE 2018 HKTDC Hong Kong Fashion Week for Fall/Winter 2017",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tenon-Sports-Co-Ltd/1X09W9DW,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005J9K3,,Frequent Flyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topvim Industrial Company Limited,Hong Kong,,"Importer, Manufacturer, Exporter","Handbag,Cosmetic Bag,Backpack,Waist Bag,School Bag,Shopping Bag,Luggage Tag,Cooler Bag,Cooler Box,Camping Light","Shopping bag, backpack, cosmetic bag, sport bag, toiletry bag, laptop bag, laptop cover, cooler bag, foldable bag, foldable box for cars, trolley bag, fashion bag, colored ceramic gifts and houseware products, lamp and lights.","OEM, Others",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong Houseware Fair 2022 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Topvim-Ind-l-Co-Ltd/1X004OCO,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXP0,"TOPVIM Industrial Company Ltd is manufacturer and exporter specializing in production of various kinds of Bag products include Shopping bags, Sports/Travelling duffle bags, Backpack, Documents bag, Brief case, Cooler bag, Suit bags, and Cosmetic bags, Toiletry and Laundry bags, Shoe bags, Storage foldable boxes, and etc, Our factory situates at Guangdong, China with about 80-100 workers and staffs are working with our policy of excellence throughout manufacturing process. We have full experiences to develop products according to customer's design and samples. We are slso in the position of cooperate with our partners for sourcing the new products, and making the quanlity control and shipment arrangement. We welcome you as our new partners for long term business cooperation on mutual benefits. Please feel free to contact us at phone nos: 852-25659912, and Email at topvim@hkabc.net Welcome to visit our factory in China and our offices in Guangzhou, and Hongkong. TOPVIM as your partner here here will provide you the quality products at competitive prices with goods services.","TOPVIM,T PLUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toy-Mate Manufacturing Co., Limited",Hong Kong,,Manufacturer,"Baby Toy, Advertising Premium, Action Figure & Accessory, Plastic Toy, Baby Product","TOYs and Gift, Animals, Dinosaur OEM.","ODM, Others, OBM, OEM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Toys & Games Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Toys & Games Fair 2020 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Toy-Mate-Mfg-Co-Ltd/1X07OJ69,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DXRU,"Toy-Mate is one of the well known expertise in manufacturing environmental friendly PVC, TPR, ABS, VINYL Toys and OEM projects. We have a well-developed Design and Production process department, including department of engineering, molding, injection molding, painting, printing, packaging and quality control. Our products are all up to export standards (ASTM, EN71-1,2,3). We have passed the accreditations of ICTI ,ISO9001:2000 and other toy animals export accreditations.",,,,,,www.toy-mate.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tung Hing Products Co., Ltd.",Hong Kong    |    Factory in Chinese Mainland,,Manufacturer,"Stationery & Office Equipment, Gift Stationery","Utility Knife, Cutter Blade, Scraper, Metal Cutter, Zinc Alloy Knife, Retractable Cutter, Letter Opener, Auto Reloading Utility Knife.","OEM, OBM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tung-Hing-Products-Co-Ltd/1X004RUX,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DPHW,,CTL CUTTER,,,,ISO 9000 Issued By - Type - Valid Date (N/A) - (N/A) ISO 9001 Issued By - Type ISO_9001 Valid Date (N/A) - (N/A) Show More,www.tunghing.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U-Shine (HongKong) Stationery&Gifts Limited,Hong Kong,,"Shopping Mall, Chain Store, Importer, Exporter, Others, Import Agent, Department Store, Service Company, Retailer, Trade/Industrial Organisation, Government, Religious Group, Charity / Welfare Organisation, Manufacturer, Buying Cooperative, Statutory Body, Distributor, Mail Order Co., Consulate and Trade Commission, Wholesaler, Professional Association, Buying Office, Export Agent, Private Individual","Key Holder, Souvenir & Premium, Festival Item, Cosmetic Bag, Key Case, Wallet, Passport Cover, Advertising Premium, Key Chain, Waist Bag",We mainly produce and sale mini handbag keyring/Mini pen/ Bracelet bag keyring/Coin bags and PU LEATHER ornaments with keychain.,"OEM, ODM, OBM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 HKTDC Hong Kong Gifts & Premium Fair 2016 HKTDC Hong Kong Gifts & Premium Fair 2015,https://sourcing.hktdc.com/en/Supplier-Store/Profile/U-Shine-HongKong-Stationery-Gifts-Limited/1X08YUYK,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DTFY,"Ushine. was founded in 2011, is an industrial and trade integrated company with a collection of design, production, domestic and international sales. After 10 years of rapid development, U-shine is well-known as a fashion promotion gifts supplier in the USA and Europe areas. Backed by Well-trained and Skillful Personnel Now, Ushine has almost 100 employees with a 40 person design team to provide customers professional services. Especially, to the customer demand. As a factory, we have the advantage of high-quality products and competitive prices. We also have a mature management system, a quality control system, a perfect production line. Our Products We mainly produce and sale leather ornaments with keychain: such as Christmas, Halloween, Easter etc.., and Stationery&leather keychain promotional gifts. We have audit certificate We pass BSCI audit every year and can offer report for your reference . New Designed Products in Less than 10 Days Send us your request regarding festival ornaments and we can provide you with many newest styles. Contact us with your product specifications or initial ideas and we will help you go to the next step. Place your OEM order today and receive a newly designed product in less than 10 days.",,,,,ROHS Issued By ATC Type OTHERS Valid Date 16 Oct 2014 - 15 Oct 2024,www.ushien-gifts.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veb Company Ltd,Hong Kong    |    Factory in Chinese Mainland,,"Distributor, Exporter, Manufacturer","Greeting Card, Gift Stationery, Post Card, Gift Wrapping Paper","Greeting cards, boxed cards, notebooks.","OBM, OEM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2019 HKTDC Hong Kong Gifts & Premium Fair 2018 HKTDC Hong Kong Gifts & Premium Fair 2017 Paperworld & Christmasworld, Frankfurt, Germany 2017 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Veb-Co-Ltd/1X004S9F,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005FS6Q,"Veb Company Ltd is established since 1997 in Hong Kong, and our factory is located in Panyu, China. We are an OEM greeting card printer and ship out products worldwide. ""Scents of the Seasons"" is our own brand of handmade and pop up greeting cards developed lately. Veb is eager to offer you the best service and products available in the market.",Scents of the Seasons,,,,FSC Chain-of-Custody Issued By SGS Type FSC Valid Date 27 Jun 2022 - 26 Jun 2027,www.veb.com.hk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venus Gemstone Jewelry Co., Ltd.",Hong Kong,,Manufacturer,"Fashion Accessories,Precious & Semi-Precious Jewellery,Decoration & Craft,Key Chain,Souvenir & Premium,Beauty Equipment,Hobby & Collector's Item,Costume Jewellery,Christmas Decoration,Gift Box","A fully integrated gemstone manufacturer with exceptionally strong R&D, project management, and production capabilities, bringing the most unique items in gifts, beauty/wellness, home décor, and jewelry categories","OEM, ODM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong Gifts & Premium Fair 2023 HKTDC Hong Kong Gifts & Premium Fair 2022 HKTDC International Sourcing Show 2021 HKTDC Hong Kong Gifts & Premium Fair 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Venus-Gemstone-Jewelry-Co-Ltd/1X0AONZ4,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005F4Y2,"Venus Gemstones has more than 30 years of experience in the gemstone industry. We possess the ability to streamline entire product life cycle, from development to delivery, relying on our in-depth knowledge of gemstones. Our core competencies include: Gemstone Sourcing - Vast global network capable of procuring the most suitable material for required product in a timely manner. Gemstone Processing - Full knowledge of gemstone material properties necessary to simplify production complexity. Metalworking - Extensive experience in incorporating gemstones with other common materials. Designing - Deep understanding of global trend and the keen sense in translating trends into products. Production Optimizing - Precise planning, agile management, and intelligent risk minimization lead to on time delivery without compensating product quality. Cost Saving - Expertise in cost management from end to end, bringing exceptional cost advantages. Customer Service - Treat customers as partners and seek win-win solutions while properly addressing end users demands. We are an energetic team that believes in dedication and having fun doing what you love is the key to success. We welcome you to join us on this ride!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volare K Limited,Hong Kong,,"Manufacturer, Export Agent, Wholesaler, Exporter","Advertising Premium, Sports Goods, Sports Protective Accessories, Beauty Equipment, Environmental Friendly Product, Festival Item, Souvenir & Premium, Fitness Equipment, Gift Box, Massager","We specialize in fitness and massaging products, offering customization options with quality standards that cater to various market demands.","ODM, OEM, OBM",Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Gifts & Premium Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Volare-K-Limited/1S00OYFG9,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005IXA9,"An innovative fitness and massaging product company, founded by a passionate Canadiandesigner dedicated to enhancing your wellness journey. With over 30 years of experiencein the industry and keen eye for aesthetics and functionality, the founder formed strategialliance with the leading manufacturers in both China and Vietnam to gain access tomultiple production facilities and collaborate with over 100 suppliers. Supported byprofessional design teams in the U.s. and Canada, we leverage global expertise to createstylish, practical accessories. We believe wellness should be accessible and enioyable,and our products are thoughtfully designed to fit seamlessly into your active lifestyle. Joinus in redefining fitness accessories, combining cutting-edge design and unmatched quality to support your health and wellness goals.",VOLARE K｜Better,,,,,vkbetter.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wai Ming Fat Limited,Hong Kong,,"Export Agent, Exporter, Manufacturer","Alarm Clock,Advertising Premium,Name Card Holder,Gift Stationery","We will exhibit key chain, gift money bank, card holder and novelty gifts & premium.",Others,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2024 HKTDC Hong Kong International Lighting Fair 2023 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2023 (Autumn Edition) HKTDC Hong Kong International Lighting Fair 2020 (Autumn Edition) HKTDC Hong Kong Toys & Games Fair 2020 HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wai-Ming-Fat-Ltd/1X03YO3X,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005IBJ4,"We are the exporter of key chain, gift money bank, card holder & novelty of general gifts and premium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth Concept Ltd,Hong Kong,,Manufacturer,"Paper & Paper Product, Stationery & Office Equipment, Photo Album, Picture Frame","Paper products, Packaging box products, Photo albums, scrapbooks, journals, boxes, memo board, wedding album, baby album, graduation album, notebook, binder etc. manufacturing, producing, design, construct, export shipping.",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 AMBIENTE Frankfurt, Germany 2026 Vietnam International Trade Fair (Vietnam Expo HCMC 2025) HKTDC Hong Kong Gifts & Premium Fair 2025 Exploratory Study Mission to the Middle East Malaysia Gifts Fair, Kuala Lumpur, Malaysia HKTDC Hong Kong Gifts & Premium Fair 2024 Tokyo International Gift Show, Japan Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wealth-Concept-Ltd/1X07TQ5P,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DPIT,"established 2007, Hong Kong corporates with solely owned manufactory in Dongguan China producing photo album, scrapbook, stationery products and other paper products to the global market.",,,,,,www.wealthconcept.com.hk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Vantage Industrial Company,Hong Kong,,"Manufacturer, Exporter","Advertising Premium, Souvenir & Premium",Provide different kinds of new advertising gifts & premium products.,OEM,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong Gifts & Premium Fair 2026 HKTDC Hong Kong Toys & Games Fair 2026 HKTDC Hong Kong International Lighting Fair 2025 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2025 (Autumn Edition) HKTDC Hong Kong Gifts & Premium Fair 2025 HKTDC Hong Kong Toys & Games Fair 2025 HKTDC Hong Kong International Lighting Fair 2024 (Autumn Edition) HKTDC Hong Kong Electronics Fair 2024 (Autumn Edition) Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Well-Vantage-Industrial-Company/1X05F0HJ,https://www.hktdc.com/event/hkgiftspremiumfair/en/exhibitor/1S005DTMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
