url,Nature of Business,Location,Year of Establishment,Major Markets,Total Employees,Annual Turnover,Contact Person,Office Address,Country/Region,Main Categories,Position,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ASSA-ABLOY-Entrance-Systems-Hong-Kong-Limited/1S00P9HNM,,Hong Kong,,,,,Katy Lam,"Flat 204, 2/F, Block A, Sha Tin Industrial Centre, 5-7 Yuen Shun Circuit, Sha Tin, New Territories, Hong Kong",Hong Kong,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/MEIJI-HEALTH-TECH-CO-LIMITED/1S00P8ZDY,,Hong Kong View details Factory & Facility,,,,,Ms Jennifer LO,,Hong Kong,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ergotron-Inc-/1S00P9CAU,,USA,,,,,Miss Akina Liao,,USA,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pingtung-Christian-Hospital/1S00OX1WB,,Taiwan,,,,,Ms Anna Ma,,Taiwan,Health Care & Medical Supplies,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Continental-Supplies-Ltd/1X05X3P2,"Exporter, Importer, Retailer",Hong Kong,1985.0,Hong Kong,16 - 25,,Mr Yu Hin Ng,"13/F, Block B, Unison Ind Building, 7 Sun Yip Street, Chaiwan, Hong Kong",Hong Kong,"Health Care & Medical Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials",-,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pro-Cure-Medical-Technology-Co-Ltd/1X04VDV2,Distributor,Hong Kong,2003.0,Worldwide,1 - 5,,Mr George Wong,"2/F., Block H, Golden Bear Industrial Centre, 66 Chai Wan Kok Street, Tsuen Wan, New Territories, Hong Kong",Hong Kong,Health Care & Medical Supplies,Manager,"NICOM, Sunlight, VRIXP, DeCa"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bodycare-Co-Ltd/1X04VDZY,"Distributor, Retailer, Wholesaler",Hong Kong,2003.0,Worldwide,,,Ms Agnes Cheung,"Rm. 301-302, 3/F., Heng Ngai Jewelry Centre, 4 Hok Yuen Street East, Hung Hom, Kowloon, Hong Kong",Hong Kong,"Automobile Parts & Accessories, Consumer Electronics, Furniture & Parts, Gifts, Toys & Sports Supplies, Health Care & Medical Supplies, Health, Beauty and Baby Care, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Personal Care, Shoes & Accessories, Sports Supplies, Video Games & Accessories",General Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Delta-Pyramax-Engineering-Ltd/1X04VEHD,Import Agent,Hong Kong,,,,,Mr Paul Sim,"Unit A, 3/F Kader Building 22 Kai Cheung Road Kowloon Bay",Hong Kong,"Building Materials & Supplies, Fashion, Eyewear & Accessories, Health Care & Medical Supplies, Health, Beauty and Baby Care, Industrial Machinery, Parts & Raw Materials, Personal Care, Raw Materials",Contract Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/DexRobot-Hong-Kong-Limited/1S00P8L6X,"Buying Office, Exporter, Manufacturer, Wholesaler",Hong Kong,2025.0,"Chinese Mainland, Hong Kong, Japan, Korea, Middle East, Other Asian Countries, Southeast Asia, Taiwan, Worldwide",6 - 10,"US$ 50,000 - 99,999",Ms Noel SUN,"3/F Stone Rise, No. 200 Nathan Road Kowloon",Hong Kong,Consumer Electronics,CEO,"DexRobot, DexSenior robotic roboticarm medical healthcare"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Enlighten-Company-Limited/1X0B91Q7,"Exporter, Manufacturer, Others, Private Individual, Service Company, Trade/Industrial Organisation, Wholesaler",Hong Kong,2015.0,"Australasia, Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",6 - 10,"US$ 1,000,000 - 4,999,999",Ms Venus Wai-Man Wong,"Unit 12, 12/F, Block A, Profit Industrial Building, 1-15 Kwai Fung Crescent, Kwai Chung, New Territories, Hong Kong",Hong Kong,"Consumer Electronics, Health Care & Medical Supplies, Internet of Things, Telecommunication",Manager,Enlighten ODM OEM IoT R&D Sensor Network Development Healthcare & Ageing Indoor Location Tracking Gerontechnology Certificate Name Issued By Certificate Type Valid Date Test Report ATL - (N/A) - 26 Dec 2016 CE ATL - (N/A) - 10 Jan 2017 CE ATL - (N/A) - 26 Dec 2016 View details Factory & Facility Research & Development Quality Control Milestones Certificates Exhibitions HKTDC Hong Kong International Medical and Healthcare Fair 2024 Siu Lam Psychiatric Centre Sheung Shui Elderly Home ShenZhen Production Line France Site Photo View All Enlighten Leaflet 2024 Exhibition Leaflet_Eng Exhibition Leaflet_Chi IP-based Nurse Call
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hanshin-Technology-Limited/1X0AZ25P,"Distributor, Exporter, Manufacturer",Hong Kong,,"Africa, Australasia, Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",26 - 50,"US$ 100,000 - 249,999",Mr Steve Cheung,"FLAT 502, 5/F, Fook Hong Industrial Building, 19 Sheung Yuet Road, Kowloon Bay, Kowloon",Hong Kong,Health Care & Medical Supplies,Assistant Sales Manager,Hanshin eCare Easy To Install And Use Real-Time Data Display Instant Alarms Camera-Free Emergency Help Button Monitor Management TVOC Air Monitoring
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Health-Care-Co/1X079WXF,"Distributor, Import Agent, Importer, Wholesaler",Hong Kong,1979.0,"Chinese Mainland, Hong Kong",51 - 100 View details Factory & Facility,,Ms Hwang Queenie,"Unit B, 21/F, Mai Luen Industrial Building, 23-31 Kung Yip Street, Kwai Chung, New Territories, Hong Kong",Hong Kong,"Consumer Electronics, Gifts, Toys & Sports Supplies, Health Care & Medical Supplies, Health, Beauty and Baby Care, Personal Care, Sports Supplies",,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Health-Park-Trading-Company-Limited/1S00O27FK,"Distributor, Import Agent, Wholesaler, e-tailer",Hong Kong,2020.0,Hong Kong,6 - 10 View All Repose toto & toto cradle toto-2 toto cradle-1,,Miss Kathy Wu,"Rm 502, 5/F, Midas Plaza, 1 Tai Yau Street, San Po Kong, KLN",Hong Kong,Health Care & Medical Supplies,Sales Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/JCare-Medical-Technology-Co-Limited/1X0ADWUI,,Hong Kong,,,,,Danky Fung,"Room B, Floor 4, Mackenny Centre, 660 Castle Peak Road, Kowloon, Lai Chi Kok, Hong Kong",Hong Kong,"Consumer Electronics, Food, Furniture & Parts, Health Care & Medical Supplies, Lights, Personal Care, Socks, Legwears & Hosiery",Sales Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/NF-Essential-Limited/1X0A7H6F,"Mail Order Co., Manufacturer, Retailer, Wholesaler, e-tailer",Hong Kong,2016.0,"Chinese Mainland, Hong Kong",1 - 5,"US$ 50,000 - 99,999",Ms Fanny Cheung,"Room E, Block 5, 11/F., Lee Sum Factory Building, 28 Ng Fong St., San Po Kong, Kowloon, Hong Kong.",Hong Kong,"Automobile Parts & Accessories, Baby Care & Nursery, Beauty Supplies, Health Care & Medical Supplies, Health, Beauty and Baby Care, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Personal Care",Director,Aromanéa
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pro-Med-Technology-Ltd/1X0BAEDH,Others,Hong Kong,1999.0,Hong Kong,11 - 15,,Miss Yoko Yim,"Unit 22, 6/F, Hoi Luen Ind Ctr, Blk A, 55 Hoi Yuen Rd, Kwun Tong, Kowloon, Hong Kong",Hong Kong,Health Care & Medical Supplies,Executive Manager,"Ekso,InBody,ASA,TechnoBody,Chattannoga,Smartfit"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rondish-Co-Ltd/1X00I33O,"Exporter, Others, Service Company",Hong Kong,1989.0,"Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",26 - 50,"US$ 5,000,000 - 9,999,999",Mr Niki Wong,"Unit G & H, 4/F, Block 1, Kwai Tak Industrial Centre, 15-33 Kwai Tak Street, Kwai Chung, NT, Hong Kong",Hong Kong,"Consumer Electronics, Health Care & Medical Supplies, Internet of Things, Parts, Electrical Electronic Supplies, Personal Care, Telecommunication",Global Business Development Manager,Rondish ODM OEM nurse call bed pad Anti-Wandering Fall Sensor RTLS Patent Certificate Name Issued By Certificate Type Valid Date ISO13485 - - - ISO9001 - - - View details Factory & Facility Digital Transformation Award 2025 by GS1 Digital Transformation Award 2025
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Savewo-Limited/1S00NW785,"Manufacturer, Retailer",Hong Kong,2020.0,"Hong Kong, Worldwide",101 - 200,"US$ 10,000,000 - 49,999,999",Mr Yin Tai Chan,"1/F, 266-270 Texaco Road, Tsuen Wan, New Territories, Hong Kong",Hong Kong,"Health Care & Medical Supplies, Personal Care",,Savewo ASTM LEVEL3 KF94 FFP2 NR EN14683 TYPEIIR EN149 EN ISO 13485:2016 ISO14644-1:1999 Class7 Certificate Name Issued By Certificate Type Valid Date ISO13485 Bureau Veritas ISO 13485 (N/A) - 09 Nov 2020 ISO14644-1:1999 Class7 Cleanroom FUGRO ISO (others) (N/A) - 26 Jun 2020 CE Module B SGS - (N/A) - 01 Feb 2021 CE Module C2 FFP2 SGS - (N/A) - 08 Feb 2021 ASTM F2100-2019 BFE VFE>99.9% STC - (N/A) - 10 Dec 2020 Show More View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/TFE-HK-Ltd/1X00B6I0,"Buying Office, Manufacturer",Hong Kong,1976.0,"North America, Western Europe, Worldwide",6 - 10,"US$ 1,000,000 - 4,999,999 ODM OEM Manufacturer View details Factory & Facility Quality Control Fall Management (English) Fall Management (Chinese) Anti Tamper Dual Alarm",Mr Stephen Yuen,"7/F, Gemmy Factory Building, 12 Hung To Road, Kwun Tong, Kowloon, Hong Kong.",Hong Kong,"Consumer Electronics, Gifts, Toys & Sports Supplies, Health Care & Medical Supplies, Internet of Things, Personal Care, Video Games & Accessories",Sales Executive,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/U-S-Pacific-Nonwovens-Industry-Ltd/1X002G5J,Manufacturer,Hong Kong,1985.0,"Australasia, Hong Kong, Japan, North America, Other Asian Countries, Western Europe, Worldwide",51 - 100,"US$ 1,000,000 - 4,999,999",Miss Priscilla Wong,"Flat B, 11/F, Yin Da Commercial Bldg, 181 Wai Yip Street Kuwn Tong, Kowloon, Hong Kong",Hong Kong,"Baby Toys, Clothing/ Garments, Gifts, Toys & Sports Supplies, Health Care & Medical Supplies, Plush & Stuffed Toys, Sports Supplies",Marketing Executive,"BACKARE®, Zlincher®, Smart Mover, Smart Cart, Pila® Patient Lifting Sling Disposable Sling Sling PLA Disposable Stretcher Sling Mobility Transfer Cart Back Support Disposable Transfer Mattress"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/BINGRAY-INTERNATIONAL-MEDICAL-CO-LIMITED/1S00P8W4S,"Distributor, Export Agent, Retailer, e-tailer",Hong Kong,2025.0,"Hong Kong, Other Asian Countries, Southeast Asia",6 - 10,"US$ 250,000 - 499,999",Mr GABRIEL CHAN,"Rm 25 14/F Poineer Centre 750 Nathan Road Kowloon, Hong Kong Hong Kong",Hong Kong,Health Care & Medical Supplies,,"Belluscura® X-PLO₂R Medical,GHA Non- invasive GlucoMeter"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Carmelton-Co-Ltd/1X04GNY5,"Exporter, Manufacturer",Hong Kong,1993.0,"Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Middle East, North America, Other Asian Countries, Southeast Asia, Taiwan",101 - 200,"US$ 10,000,000 - 49,999,999",Mr Lawrence Lee,"Room 3106, 31/F, 118 Connaught Road West, Sheung Wan, Hong Kong",Hong Kong,"Baby Care & Nursery, Consumer Electronics, Health Care & Medical Supplies, Health, Beauty and Baby Care, Homeware & Lifestyle Essentials, Personal Care",-,NICE CARE ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO 9001:2008 - - - ISO 13485 - - - Global Manufacturer Certificate (GMC) - - - FDA (U.S.) - - - CE Mark - - - View details Factory & Facility Research & Development Quality Control 2013 Hong Kong Most Valuable Companies Services Award Most Reliable Baby Products Manufacturer 2014 Outstanding Import & Export Enterprise Award 2016 Entrepreneur Night Of The Year Award 2017 BOCHK Corporate Environmental Leadership Awards
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Greenfield-Organic-Product-Company-Limited/1S00P8DON,"Retailer, Wholesaler, e-tailer",Hong Kong,2014.0,"Chinese Mainland, Hong Kong",1 - 5,"US$ 250,000 - 499,999",Mr Edwin Tse,"Shop1A, G/F, Site 9, Whampoa Garden, Hunghom, Kowloon",Hong Kong,Health Care & Medical Supplies,Director,Greenfield Organic TOP Organic Shop Award 2017 TOP Organic Shop Award 2019 TOP Organic Shop Award 2020 TOP Organic Shop Award 2021 TOP Organic Shop Award 2022 Austrade Recommendation: HEALTH AND ORGANIC STORES 2019 TOP Organic Shop Award 2020 Press Interview Family-Friendly Employers Award 2016 Chlorophyll Product Catalogue
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gutolution-Limited/1S00OTCOO,Manufacturer,Hong Kong,2023.0,"Chinese Mainland, Hong Kong, Southeast Asia",6 - 10 Machine Learning AI Next Generation Sequencing PCR test Gut Microbiome Test Precision Probiotics Probiotics ET Net Smart Living Partnership Awards HKMA/HKT Global Innovation Award Hong Kong Techathon+ WTIA Asia Smart Innovation Awards ET Net Health Partnership Awards,,Mr Gabriel Chan,"Lab Bench23, Unit 701-707, Building 17W, 17 Science Park West Avenue, Hong Kong Science Park,",Hong Kong,Health Care & Medical Supplies,Head of Partnerships,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Healthcare-Technology-International-Limited/1X07VSRX,Manufacturer,Hong Kong,,Worldwide,3001 - 4000 ODM OEM View details Factory & Facility,,Mr Donald Tong,"Unit 15-21, 12/F Topsail Plaza, 11 On Sum Street, Shatin, Hong Kong",Hong Kong,"Consumer Electronics, Health Care & Medical Supplies, Homeware & Lifestyle Essentials",Chief Marketing Officer,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Medical-Tourism-Consultancy-Ltd/1S00O90JF,"Exporter, Manufacturer, Wholesaler",Hong Kong,1970.0,"Chinese Mainland, Japan, Korea, Southeast Asia, Taiwan",26 - 50,"US$ 10,000,000 - 49,999,999",Mr Jeffrey Wong,"Unit 1114, 11/F, SPACES, 8 Queen's Road East, Admiralty, Admiralty, HK",Hong Kong,Health Care & Medical Supplies,Director,MantraPharm Premium African Frankincense OEM ODM Private Label Manufacturer Pharmaceutical supplement NMN View details Factory & Facility Research & Development Quality Control Excellence in Anti-inflammatory Products Excellence in Omega-3 OEM/ODM/Private Label & Set Combo About MantraPharm & Product description
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Just-Med-Limited/1X04VE0U,"Importer, Retailer, Service Company, Wholesaler",Hong Kong,1994.0,Hong Kong,51 - 100,"US$ 5,000,000 - 9,999,999",Ms Gloria Chow,"5/F, Kam Bun Building, 13-19 Kwai Wing Road, Kwai Chung, N.T, Hong Kong",Hong Kong,"Gifts, Toys & Sports Supplies, Health Care & Medical Supplies, Health, Beauty and Baby Care, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Personal Care",Admin Manager,"ALPHA, NOTTINGHAM, Rehab Supplies (NRS), ABENA"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/King-Cypress-International-Limited/1S00P4OF3,,Hong Kong,,,,,Stephen Lau,"Unit E, 3/F, Kwai Shing Ind Bldg, 36-46 Tai Lin Pai Rd, Kwai Chung, New Territories, Hong Kong",Hong Kong,Health Care & Medical Supplies,General Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Life-Is-For-Excellence-Limited/1X0B5ADT,"Distributor, Exporter, Importer, Manufacturer, Retailer, Wholesaler, e-tailer",Hong Kong,2015.0,"Chinese Mainland, Hong Kong, North America",6 - 10,,Ms Stella Lam,"8/F., Hing Lung Comm Bldg., 68 Bonham Strand, Sheung Wan, Hong Kong",Hong Kong,"Beauty Supplies, Beverages, Food, Home Appliances, Homeware & Lifestyle Essentials, Personal Care, Sports Supplies",Director,LIFE Quality Organic Retailer HONG KOMG QUALITY E-COMMERCE SCHEME OUTSTANDING NZ 2023 PRODUCER AWARDS - GOLD SIAL Innovation in SIAL Shenzhen 2023
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Marksam-Holdings-Company-Limited/1X0AR0PB,,Hong Kong,,,,,William Hui,"Unit A, 11/F Regency Ctr 39 Wong Chuk Hang Rd Wong Chuk Hang, Hong Kong",Hong Kong,"Health Care & Medical Supplies, Homeware & Lifestyle Essentials",Business Development Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/OOXY-Technology-Limited/1X08XLMN,"Distributor, Exporter, Importer, Manufacturer, Wholesaler",Hong Kong,2010.0,"Hong Kong, Worldwide",26 - 50,"US$ 1,000,000 - 4,999,999",Mr - Wong,"Unit 907, Silvercord Tower II, 30 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,"Consumer Electronics, Health Care & Medical Supplies, Home Appliances, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Jewellery & Watch, Watches & Clocks",-,XYMANN ODM OEM
https://sourcing.hktdc.com/en/Supplier-Store/Profile/One-Stop-Medical-Limited/1X0AR1U3,"Exporter, Importer, Retailer, Wholesaler",Hong Kong,2009.0,"Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide Wound dressing OEM",,,Mr Vincent Pang,"Unit A, 16/F, Gold King Ind Bldg, 35-41 Tai Lin Pai Rd, Kwai Chung, New Territories, Hong Kong",Hong Kong,"Health Care & Medical Supplies, Health, Beauty and Baby Care, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Personal Care",Sales Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Original-Cells-HK-Biotechnology-Research-Institute-Limited/1S00PBM9N,Manufacturer,Hong Kong,2025.0,"Chinese Mainland, Hong Kong Scientific Research Services Scientific Research Reagents, Cell GMP Workshop Design, Cons Cell Technology Pipeline Outpu Cell Storage Health Management Services R&D of Functional Probiotic St View details Factory & Facility",,,Ms Li Wen,"Room 1409, 14/F, Austin Tower, 22-26 Austin Road, Tsim Sha Tsui",Hong Kong,"Beauty Supplies, Health Care & Medical Supplies, Personal Care, Scientific, Testing & Laboratory Equipments",,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Solar-Med-Limited/1S00NMV05,Distributor,Hong Kong,1997.0,"Chinese Mainland, Hong Kong",26 - 50,"US$ 1,000,000 - 4,999,999",Ms Ada Chan,"Unit 2901-03 & 05 The Octagon, 6 Sha Tsui Road Tsuen Wan",Hong Kong,,Executive Assistant,"Baxter, Teleflex, Cardinal Health, Swisslog"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/WECARE-PRODUCTS-LIMITED/1X09I3XU,"Exporter, Manufacturer",Hong Kong,,,51 - 100,,Miss S H Siu,"Room 913, 9/F., Hollywood Plaza, 610 Nathan Road, Mongkok, Kln., HK",Hong Kong,"Health Care & Medical Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Personal Care",Manager,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Win-Horizon-Ltd/1X0A25BA,"Retailer, Wholesaler, e-tailer",Hong Kong,1999.0,"Chinese Mainland, Hong Kong, Other Asian Countries Certificate Name Issued By Certificate Type Valid Date PASESA Unique patented China CFDA - -",,,Mr Jeff Ho,"Unit 1505, 15/F, Ocean Building, 80 Shanghai Street, Jordan, Kowloon, Hong Kong.",Hong Kong,Health Care & Medical Supplies,Managing Director,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/DONGGUAN-CHANGXING-PAPER-CO-LTD/1S00P8GXT,"Exporter, Manufacturer, Wholesaler, e-tailer","Dongguan, Guangdong, Chinese Mainland",1996.0,"Africa, Australasia, Central & South America, Chinese Mainland, Hong Kong, Middle East, Other Asian Countries, Southeast Asia",201 - 500,"US$ 100,000 - 249,999",Mr wai hung so,"No.288 Shizhou Main Road, Shipai Town Dongguan City Guangdong Province China",Chinese Mainland,"Baby Care & Nursery, Personal Care",,"Abison, Katebaby, Wellcare Certificate Name Issued By Certificate Type Valid Date ISO9001 GIC ISO 9001 27 Jun 2023 - (N/A) ISO45001 GIC ISO 45001 27 Jun 2023 - (N/A) ISO13485 GIC ISO 13485 27 Jun 2023 - (N/A) ISO14001 GIC ISO (others) 27 Nov 2023 - (N/A) View details Factory & Facility Research & Development Quality Control ENTERPRISE STANDARD FORERUNNER CERTIFICATE OF INNOVATION E-Catalogue Products Show"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Jiangsu-Yveelt-Medical-Equipment-Co-Ltd/1S00PAP0B,Manufacturer,"Changzhou, Jiangsu, Chinese Mainland",2020.0,Chinese Mainland,51 - 100,"US$ 5,000,000 - 9,999,999",Ms Ruby Wei,"Building 11, No.230 Yunnan West Road, Xinbei District, Changzhou, Jiangsu Province, Chinese Mainland",Chinese Mainland,Health Care & Medical Supplies,Sales Manager,yveelt View details Factory & Facility EVR525B EVR305
