company name,location,Booth,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,HKTDC Events,supplier_url,exhibitor_url,Company Background,Brand Name,Company Website,Certificates,Other Certificates
H.K. Impex Pvt. Limited,Hong Kong    |    Factory in India,Booth: AWE 5-A02   |   Hall of Fine Diamond   |   ,"Distributor, Exporter, Importer, Manufacturer","Loose Diamond, Fancy Diamond, Carat Size Diamond","wide range of diamonds varying in size from 0.18 - 50.00 carats plus, in the round and more than nine fancy shapes.",OEM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015",https://sourcing.hktdc.com/en/Supplier-Store/Profile/H-K-Impex-Pvt-Limited/1X08VOPB,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YAMW,"H. K. Impex a distributor of Hari Krishna Exports Pvt. Ltd. (HK) is a leading diamonds and jewellery manufacturing company founded by Savjibhai Dholakia and his three brothers, Ghanshyam, Himmat and Tulsi Dholakia, in the year 1992. HK is the leading diamond exporter of India, having our presence in Surat, Mumbai, Dubai, New York, Hong Kong, and Antwerp. HK is one of the prominent suppliers of certified and non-certified polished diamonds to more than 86 countries across the globe. We are a vertically integrated company having expertise of more than 30 years, and 80% of our raw materials (rough diamonds) are sourced directly from Miners. We have a wide range of diamonds varying in size from 0.18 - 50.00 carats plus, in the round and more than nine fancy shapes. Customers can browse our live inventory of more than 60,000 diamonds with images, videos, certificates and other grading details on our website www.hk.co & mobile application.",,www.hk.co,,
Kiran Exports (Hong Kong) Limited,Hong Kong,Booth: AWE 7-C02   |   Diamond   |   ,"Buying Office, Wholesaler, Retailer, Exporter, Importer","Fancy Diamond, Carat Size Diamond, Loose Diamond","White diamonds of 0.005 carats to 2.00 carats, ranging from IF to I2 clarities in D - M colours. GIA Certified stones from 0.20 carats to 3.00 carats and above in all colours and clarities, and in Round & Fancy shapes 3Ex H&A stones are available",Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2022 HKTDC Hong Kong International Jewellery Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Jewellery Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kiran-Exports-Hong-Kong-Ltd/1X009JTM,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005UKQA,"Kiran Exports (HK) Ltd. is The Worlds Leading Supplier of Diamonds. The company, KiranExports (HK) Ltd, serves the Far East Asian market, including China from its offices located in Hong Kong and China. The office houses all modern buying facilities for buyers to view and buy diamonds. The company has a vast range of certified and non-certified diamonds available in round and fancy shapes. Kiran Exports is the Preferred and LeadingSupplier of Natural Polished Diamonds for the biggest and most well-known brands and companies of jewellery and watches in the Far East",Kiran,www.kiranexports.com,,Outstanding Enterprise of the Year 2013 - India Issued By - Type - Valid Date (N/A) - (N/A)
Miranda Group Company Limited,Hong Kong    |    Factory in Chinese Mainland,,"Manufacturer, Wholesaler, Importer, Exporter","Aquamarine, Tourmaline, Emerald, Coloured Gemstone, Tanzanite, Alexandrite","Fine Gems of Emerald, Paraiba Tourmaline, Santa Maria Auqamarine, Green Tourmaline, Rubelite, Pink Tourmaline, Morganite, Tanzanite, Alexandrite...etc",OBM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2014 HKTDC Hong Kong International Jewellery Show 2013 HKTDC Hong Kong International Jewellery Show 2012 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Miranda-Group-Company-Limited/1X057O4W,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005UOYI,"With over 40 years of industry experience, Miranda Group is a premier authority in exotic-colored gemstones, with a specialization in high-quality Paraiba tourmaline. Our dedication to transparency and authenticity enables us to establish strong partnerships with mine operators in Brazil, Mozambique, and Nigeria, ensuring a consistent supply of premium gemstones while fostering sustainable and ethical mining practices. Our meticulously curated collection exemplifies exceptional quality and beauty, catering to the discerning tastes of jewelry designers, collectors, and connoisseurs. By sourcing directly from mines, we provide exceptional value while supporting local mining communities. Miranda Group is committed to continuous innovation and excellence, aspiring to elevate the global appreciation of exotic gemstones.",MIRANDA GROUP,mgcl.hk,,ISO 37001:2016 Issued By SGS Type ISO_OTHERS Valid Date 13 Jul 2022 - 12 Jul 2028
RMC Gems HK Co.,Hong Kong,Booth: AWE 9-E02   |   Semi-Precious Stone   |   ,"Wholesaler, Import Agent, Importer","Tourmaline, Opal, Coloured Gemstone, Turquoise, Aquamarine, Tanzanite","The product line of the company is huge and includes all major precious & semi precious stones like Topaz, Amethyst, Tourmaline, Garnet, Citrine and large variety of other precious , semi-precious and beads.","OBM, ODM, OEM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/RMC-Gems-HK-Co/1X00D05V,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YIS6,"RMC Gems established in 2002 in Hong Kong and since then has marked many golden milestones at global level in the trade of gems and jewelry. Today RMC is one of the biggest suppliers of precious & semi-precious stones with its sales offices in Hong Kong. The product line of the company is huge and includes all major precious & semi precious stones like Topaz, Amethyst, Tourmaline, Garnet, Citrine and large variety of other precious , semi-precious and beads. RMC is capable of supplying stones in all shapes, sizes and cuts in any quantities. RMC is the super mart of gemstones for all your gemstone needs.",,www.rmchk.com,,
Royal Pearl Materials Group Limited,Hong Kong,Booth: AWE 1-B20   |   Fresh Water Pearl   |   ,Manufacturer,Fresh Water Pearl,Fresh Water Pearl,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2022 HKTDC Hong Kong International Jewellery Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Jewellery Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Royal-Pearl-Materials-Group-Ltd/1X00COS8,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YJEB,,,www.royalpearl.com.hk,,
Sunny Gems,Hong Kong    |    Factory in India,Booth: AWE 9-B02   |   Precious Stone   |   ,"Wholesaler, Exporter, Manufacturer, Importer, Retailer","Tourmaline, Ruby, Fancy Diamond, Sapphire, Emerald, Coloured Gemstone, Carat Size Diamond, Tanzanite, Aquamarine, Loose Diamond","Manufacturers Exporters of Diamond, Precious and Semi Precious Cut Stone and Beads","Others, ODM","Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sunny-Gems/1X009R6L,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YJ9Q,"Manufacturers Exporters of Diamond, Precious and Semi Precious Stone Cut and Beads",SG,,,
Israel Diamond Institute,Israel,Booth: AWE 7-F01   |   Diamond   |   Israel Pavilion,"Distributor, Others","Loose Diamond, Fancy Diamond, Carat Size Diamond",Diamond seller,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Israel-Diamond-Institute/1X00CBJK,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005ZF3C,,,,,
A. A Rachminov Diamonds (Asia) Limited,Hong Kong    |    Factory in Hong Kong,Booth: AWE 5-B02   |   Hall of Fine Diamond   |   ,"Wholesaler, Retailer, Distributor, Buying Office","Carat Size Diamond, Fancy Diamond, Loose Diamond","We specialize in high-quality diamonds, featuring impeccable cuts, encompassing various sizes, shapes, and colors. Our offerings extend to perfectly matched pairs and customized layouts to suit each client desires.",OEM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/A-A-Rachminov-Diamonds-Asia-Limited/1X056HAB,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005UNLM,"A.A. Rachminov is led by the successors of a well-established diamond family, now in its second generation. Over the course of eight decades, the brand has ascended to become one of the most revered diamond suppliers globally. We specialize in high quality diamonds, featuring impeccable cuts, encompassing various sizes, shapes, and colors. Our offerings extend to perfectly matched pairs and customized layouts to suit each client desires. Our services attract a wide range of clientele, spanning major franchises and independent boutiques. Many are renowned and exclusive jewelry brands, celebrated world-wide for their distinctiveness. At our core, we uphold unwavering ethical principles and impeccable business conduct. Rooted in ethical values, we source rough diamonds globally, adhering to the Kimberley Process Certification Scheme (KPCS) to prevent conflict diamond trade. Our memberships with the Responsible Jewelry Council (RJC), the Natural Color Diamond Association (NCDIA), and the Israel Diamond Exchange (IDE) highlight our commitment to sustainable and ethical practices within the diamond industry.",,www.aarachminov.com,,
Ajay Diam Limited,Hong Kong,Booth: AWE 5-C26   |   Diamond   |   ,"Exporter, Wholesaler, Importer","Carat Size Diamond, Fancy Diamond, Loose Diamond",Loose Diamond. Specialises in round brilliant cut diamonds ranging from the smallest size up to melee-sized diamonds.,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong Watch & Clock Fair 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong Watch & Clock Fair 2023 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2022 HKTDC Hong Kong Watch & Clock Fair 2021 HKTDC Hong Kong Watch & Clock Fair 2019 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ajay-Diam-Limited/1X03M4G8,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005UTTS,"Hong Kong-based Ajay Diam Ltd was established in 1993, with the core activities being diamond manufacturing, import and export, along with jewellery and watches manufacturing. Our company focuses on meeting specific customer requirements by optimum utilisation of resources in its full capacity. Customer satisfaction and retention is the key to our success.",,www.ajaydiamltd.com,,
"Angeperle (International) Co., Limited",Hong Kong,Booth: AWE 1-D08   |   Fresh Water Pearl   |   ,"Retailer, Exporter, Wholesaler","Fresh Water Pearl, Natural Pearl",Freshwater pearl,OBM,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Jewellery Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Angeperle-International-Co-Limited/1X09D2FF,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005Y5VA,,,,,
Aspeco (HK) Limited,Hong Kong    |    Factory in India,Booth: AWE 7-D24   |   Diamond   |   ,"Manufacturer, Importer, Wholesaler, Distributor, Buying Office, Exporter","Carat Size Diamond, Loose Diamond, Fancy Diamond",Theres More To Making Diamonds,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Aspeco-HK-Limited/1S00O5N0D,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005Y66C,Polished Diamond Manufacturer,,www.kgdiamonds.com,,
Charkon Pearl House Limited,Hong Kong,Booth: AWE 1-A14   |   Fresh Water Pearl   |   ,Wholesaler,Fresh Water Pearl,Fresh Water Pearl and 18k Gold with Diamond Pearl Products.,Others,"Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Diamond, Gem & Pearl Show 2026 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2025 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2024 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2019 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2018 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2017 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2016 HKTDC Hong Kong International Diamond, Gem & Pearl Show 2015 Show More",https://sourcing.hktdc.com/en/Supplier-Store/Profile/Charkon-Pearl-House-Ltd/1X0055PW,https://www.hktdc.com/event/hkdgp/en/exhibitor/1S005YA9Z,Charkon PEarl House Limited was established in 1981 With many years experience we are leading manufacturer and exporter specializing in pearl products. We have the most advanced fresh water pearl control and manufacturing system We provide great range of products including both semi-products and finished products. There are many different styles including traditional round shape tear shape and button shape,,,,
