co name,Industry Category,Country,Booth,url,full_url
"ARES INTERNATIONAL CERTIFICATION CO., LTD.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=5246,https://www.secutech.com/26/en/exdetail.aspx?eid=5246
"ASAHI SUNRISE CO., LTD.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=2179,https://www.secutech.com/26/en/exdetail.aspx?eid=2179
Asia Pacific Society of Fire Engineers,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1124,exdetail.aspx?eid=3012,https://www.secutech.com/26/en/exdetail.aspx?eid=3012
"ASIA SMART TAG CO., LTD.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 217,exdetail.aspx?eid=932,https://www.secutech.com/26/en/exdetail.aspx?eid=932
"ATECH PERIPHERALS, INC.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: K31,exdetail.aspx?eid=5193,https://www.secutech.com/26/en/exdetail.aspx?eid=5193
ATEIS FAR EAST CORP.,"Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 925,exdetail.aspx?eid=434,https://www.secutech.com/26/en/exdetail.aspx?eid=434
"AVA-Prevent CO., LTD",Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 237,exdetail.aspx?eid=2808,https://www.secutech.com/26/en/exdetail.aspx?eid=2808
AVC INDUSTRIAL CORP.,"Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 527,exdetail.aspx?eid=342,https://www.secutech.com/26/en/exdetail.aspx?eid=342
AVTECH SECURITY CORPORATION,"Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 505,exdetail.aspx?eid=207,https://www.secutech.com/26/en/exdetail.aspx?eid=207
AWAREK,Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=5237,https://www.secutech.com/26/en/exdetail.aspx?eid=5237
"AXIS COMMUNICATIONS TAIWAN CO., LTD.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: K11+K12,exdetail.aspx?eid=1490,https://www.secutech.com/26/en/exdetail.aspx?eid=1490
"ASAHI SUNRISE CO., LTD.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=2179,https://www.secutech.com/26/en/exdetail.aspx?eid=2179
Bangyuan Co.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1129,exdetail.aspx?eid=1909,https://www.secutech.com/26/en/exdetail.aspx?eid=1909
"BAOPU DEVELOPMENT CO., LTD.",Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 831,exdetail.aspx?eid=2948,https://www.secutech.com/26/en/exdetail.aspx?eid=2948
"BESENSE INTL. AND TECH. CO., LTD.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 317,exdetail.aspx?eid=2963,https://www.secutech.com/26/en/exdetail.aspx?eid=2963
BEST SECURITY LTD.,Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 517,exdetail.aspx?eid=3090,https://www.secutech.com/26/en/exdetail.aspx?eid=3090
BIOSTAR MICROTECH INT'L CORP.,Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 121,exdetail.aspx?eid=5196,https://www.secutech.com/26/en/exdetail.aspx?eid=5196
Brother International Taiwan Ltd.,Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 1031,exdetail.aspx?eid=5194,https://www.secutech.com/26/en/exdetail.aspx?eid=5194
"CECI Engineering Consultants, Inc., Taiwan","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number:,exdetail.aspx?eid=5243,https://www.secutech.com/26/en/exdetail.aspx?eid=5243
"Century Instrument Co., Ltd.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 532,exdetail.aspx?eid=5217,https://www.secutech.com/26/en/exdetail.aspx?eid=5217
"CH DIVE SYSTEMS, INC.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 143,exdetail.aspx?eid=3076,https://www.secutech.com/26/en/exdetail.aspx?eid=3076
AXIS GLOBAL LTD,Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 1011,exdetail.aspx?eid=5234,https://www.secutech.com/26/en/exdetail.aspx?eid=5234
"CHAO BANG FIRE PROTECTION CO., LTD.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1149,exdetail.aspx?eid=2761,https://www.secutech.com/26/en/exdetail.aspx?eid=2761
CHEN CHE DOUN IND. CORP.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 546,exdetail.aspx?eid=737,https://www.secutech.com/26/en/exdetail.aspx?eid=737
CHENG DEH FIRE PROTECTION INDUSTRIAL CORP.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 137,exdetail.aspx?eid=760,https://www.secutech.com/26/en/exdetail.aspx?eid=760
"CHING GU ELECTRONICS CO., LTD.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 243,exdetail.aspx?eid=495,https://www.secutech.com/26/en/exdetail.aspx?eid=495
"CHING JER ELECTRON CO., LTD.",Industry Category:,Country: Taiwan,Booth Number: 227,exdetail.aspx?eid=109,https://www.secutech.com/26/en/exdetail.aspx?eid=109
"CHING YANG INTERNATIONAL CO., LTD.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 1235,exdetail.aspx?eid=3187,https://www.secutech.com/26/en/exdetail.aspx?eid=3187
"CiaoDa Cloud Technology Co., Ltd.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 226,exdetail.aspx?eid=2913,https://www.secutech.com/26/en/exdetail.aspx?eid=2913
"CIEAN PO INTERNATIONAL CO., LTD.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 111,exdetail.aspx?eid=1570,https://www.secutech.com/26/en/exdetail.aspx?eid=1570
COP SECURITY SYSTEM CORP.,"Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 323,exdetail.aspx?eid=1536,https://www.secutech.com/26/en/exdetail.aspx?eid=1536
"Chang Ding Technology Co., Ltd.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=5249,https://www.secutech.com/26/en/exdetail.aspx?eid=5249
"CHAO BANG FIRE PROTECTION CO., LTD.",Industry Category: Cybersecurity/Product Design Security/IoT Security,Country: Taiwan,Booth Number: K26,exdetail.aspx?eid=54,https://www.secutech.com/26/en/exdetail.aspx?eid=54
Cupola360 Inc.,Industry Category:,Country: Taiwan,Booth Number: 111,exdetail.aspx?eid=1987,https://www.secutech.com/26/en/exdetail.aspx?eid=1987
CyberLink Corp.,Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 603,exdetail.aspx?eid=2837,https://www.secutech.com/26/en/exdetail.aspx?eid=2837
DAE INSTRUMENTS CORP.,Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=45,https://www.secutech.com/26/en/exdetail.aspx?eid=45
"DAWNHOOF ELECTRICAL CO.,LTD.",Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 1237,exdetail.aspx?eid=2647,https://www.secutech.com/26/en/exdetail.aspx?eid=2647
"DEFINITELY WIN CORP., LTD.",Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 205,exdetail.aspx?eid=8,https://www.secutech.com/26/en/exdetail.aspx?eid=8
"Dingzhou Technology Housing Co., Ltd.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=3139,https://www.secutech.com/26/en/exdetail.aspx?eid=3139
DINTEK ELECTRONIC LTD.,Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 228,exdetail.aspx?eid=355,https://www.secutech.com/26/en/exdetail.aspx?eid=355
"DPS CO., LTD.",Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 333,exdetail.aspx?eid=2899,https://www.secutech.com/26/en/exdetail.aspx?eid=2899
CRIDA,"Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number:,exdetail.aspx?eid=3033,https://www.secutech.com/26/en/exdetail.aspx?eid=3033
"CTC UNION TECHNOLOGIES CO., LTD.",Industry Category: Cybersecurity/Product Design Security/IoT Security,Country: Taiwan,Booth Number: 102,exdetail.aspx?eid=5195,https://www.secutech.com/26/en/exdetail.aspx?eid=5195
EASYMAP DIGITAL TECHNOLOGY INC.,Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 443,exdetail.aspx?eid=2456,https://www.secutech.com/26/en/exdetail.aspx?eid=2456
"EFriend AIoT Property Management Co., Ltd.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 831,exdetail.aspx?eid=5214,https://www.secutech.com/26/en/exdetail.aspx?eid=5214
EMPIRE-YUYU INTERNATIONAL LTD.,Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 831,exdetail.aspx?eid=3132,https://www.secutech.com/26/en/exdetail.aspx?eid=3132
"EOC CO., LTD.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Korea,Booth Number: 426,exdetail.aspx?eid=3104,https://www.secutech.com/26/en/exdetail.aspx?eid=3104
Ever Build-Up Ind. Ltd.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 622,exdetail.aspx?eid=3195,https://www.secutech.com/26/en/exdetail.aspx?eid=3195
"EVER EASY FOODS CO., LTD.",Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 443,exdetail.aspx?eid=3026,https://www.secutech.com/26/en/exdetail.aspx?eid=3026
"Everrist International, Inc.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 1141,exdetail.aspx?eid=488,https://www.secutech.com/26/en/exdetail.aspx?eid=488
FANGTEC CORPORATION,Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 221,exdetail.aspx?eid=3107,https://www.secutech.com/26/en/exdetail.aspx?eid=3107
"DUEN YIH METAL INDUSTRIAL CO.,LTD.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 717,exdetail.aspx?eid=3107,https://www.secutech.com/26/en/exdetail.aspx?eid=3107
"FIBRE INDUSTRY CO., LTD.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 717,exdetail.aspx?eid=2923,https://www.secutech.com/26/en/exdetail.aspx?eid=2923
"Fire Department, New Taipei City Government",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1132,exdetail.aspx?eid=5254,https://www.secutech.com/26/en/exdetail.aspx?eid=5254
FLEXDROP,Industry Category: Active/Passive Fire Safety,Country: Korea,Booth Number: 1131,exdetail.aspx?eid=5224,https://www.secutech.com/26/en/exdetail.aspx?eid=5224
"FLOWCOM GROUP, INC., TAIWAN BRANCH (U.S.A.)",Industry Category: Active/Passive Fire Safety,Country: United States,Booth Number: 854,exdetail.aspx?eid=3000,https://www.secutech.com/26/en/exdetail.aspx?eid=3000
"FOCUS FIRE SYSTEMS CO., LTD",Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 531,exdetail.aspx?eid=2676,https://www.secutech.com/26/en/exdetail.aspx?eid=2676
FORTRESS PACIFIC CORP.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1051,exdetail.aspx?eid=1595,https://www.secutech.com/26/en/exdetail.aspx?eid=1595
"FUHO TECHNOLOGY CO., LTD","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 311,exdetail.aspx?eid=2633,https://www.secutech.com/26/en/exdetail.aspx?eid=2633
"FUJIAN FRAN OPTICS CO., LTD.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: China,Booth Number: 318,exdetail.aspx?eid=1406,https://www.secutech.com/26/en/exdetail.aspx?eid=1406
"GAINWISE TECHNOLOGY CO., LTD.",Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 421,exdetail.aspx?eid=1564,https://www.secutech.com/26/en/exdetail.aspx?eid=1564
"FENG SHANG PRECISION CO., LTD.",Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 717,exdetail.aspx?eid=2705,https://www.secutech.com/26/en/exdetail.aspx?eid=2705
GKB SECURITY CORPORATION.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 616,exdetail.aspx?eid=2886,https://www.secutech.com/26/en/exdetail.aspx?eid=2886
"GOT FIRE PROTECTION CO., LTD.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 337,exdetail.aspx?eid=1622,https://www.secutech.com/26/en/exdetail.aspx?eid=1622
"GreenJump Sustainability Co., Ltd.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 831,exdetail.aspx?eid=1939,https://www.secutech.com/26/en/exdetail.aspx?eid=1939
"HANTAC TECHNOLOGY CO., LTD.",Industry Category: Cybersecurity/Product Design Security/IoT Security,Country: Taiwan,Booth Number: 122,exdetail.aspx?eid=3091,https://www.secutech.com/26/en/exdetail.aspx?eid=3091
"Hanwha Vision CO., LTD.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 703,exdetail.aspx?eid=5242,https://www.secutech.com/26/en/exdetail.aspx?eid=5242
"Harbor Technology Solutions Co., Ltd.",Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: K8,exdetail.aspx?eid=2992,https://www.secutech.com/26/en/exdetail.aspx?eid=2992
"HEART TECH ENTERPRISE CO., LTD.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 702,exdetail.aspx?eid=209,https://www.secutech.com/26/en/exdetail.aspx?eid=209
"Hengfeng International Electronics Co., Ltd.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 331,exdetail.aspx?eid=3054,https://www.secutech.com/26/en/exdetail.aspx?eid=3054
"Hi Sharp Intelligence Technology Co., Ltd.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 811,exdetail.aspx?eid=103,https://www.secutech.com/26/en/exdetail.aspx?eid=103
GIANNI INDUSTRIES INC.,Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 717,exdetail.aspx?eid=5202,https://www.secutech.com/26/en/exdetail.aspx?eid=5202
"High Entropy Materials, Inc.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1025,exdetail.aspx?eid=3160,https://www.secutech.com/26/en/exdetail.aspx?eid=3160
"Hiyes Contruction Co., Ltd.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 831,exdetail.aspx?eid=5223,https://www.secutech.com/26/en/exdetail.aspx?eid=5223
HONFU TECHNOLOGY CORP.,Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 003,exdetail.aspx?eid=5207,https://www.secutech.com/26/en/exdetail.aspx?eid=5207
"Hong Pei Clothing Co., Ltd.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=5251,https://www.secutech.com/26/en/exdetail.aspx?eid=5251
HONGHUI GROUP,Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 831,exdetail.aspx?eid=5221,https://www.secutech.com/26/en/exdetail.aspx?eid=5221
"HUNT ELECTRONIC CO., LTD.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 427,exdetail.aspx?eid=102,https://www.secutech.com/26/en/exdetail.aspx?eid=102
iNNOTRUST Corporation,Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 619,exdetail.aspx?eid=3001,https://www.secutech.com/26/en/exdetail.aspx?eid=3001
"Institute of Construction Technology and Disaster Prevention, Tungnan University (TNU)",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1020,exdetail.aspx?eid=5256,https://www.secutech.com/26/en/exdetail.aspx?eid=5256
"INTRACOM ASIA CO., LTD.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 425,exdetail.aspx?eid=3088,https://www.secutech.com/26/en/exdetail.aspx?eid=3088
"Higashi ijen co.,ltd",Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 1029,exdetail.aspx?eid=5210,https://www.secutech.com/26/en/exdetail.aspx?eid=5210
"iTake, Inc.",Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 1011,exdetail.aspx?eid=5236,https://www.secutech.com/26/en/exdetail.aspx?eid=5236
"I-TEK METAL MANUFACTURING CO., LTD. (KLACCI)","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 717,exdetail.aspx?eid=2383,https://www.secutech.com/26/en/exdetail.aspx?eid=2383
ITsESG Data Corporation,Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 831,exdetail.aspx?eid=1455,https://www.secutech.com/26/en/exdetail.aspx?eid=1455
JAGER CO. LTD.,Industry Category: Cybersecurity/Product Design Security/IoT Security,Country: Taiwan,Booth Number: 523,exdetail.aspx?eid=2878,https://www.secutech.com/26/en/exdetail.aspx?eid=2878
"JETEC Electronics Co., Ltd.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 1236,exdetail.aspx?eid=3191,https://www.secutech.com/26/en/exdetail.aspx?eid=3191
"JIN TAY INDUSTRIES CO., LTD.",Industry Category: Cybersecurity/Product Design Security/IoT Security,Country: Taiwan,Booth Number: 717,exdetail.aspx?eid=2218,https://www.secutech.com/26/en/exdetail.aspx?eid=2218
Jing Pin Yuan,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 443,exdetail.aspx?eid=5238,https://www.secutech.com/26/en/exdetail.aspx?eid=5238
"JOHNWELL CO., LTD.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 856,exdetail.aspx?eid=5218,https://www.secutech.com/26/en/exdetail.aspx?eid=5218
Join-Diamond International Inc.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 544,exdetail.aspx?eid=5200,https://www.secutech.com/26/en/exdetail.aspx?eid=5200
"Ironsteel Taiwan CO., LTD.",Industry Category: Disaster Prevention and Rescue,Country: Taiwan,Booth Number: 1029,exdetail.aspx?eid=5200,https://www.secutech.com/26/en/exdetail.aspx?eid=5200
"JUPRO INTERNATIONAL DEVELOPMENT CO., LTD",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1030,exdetail.aspx?eid=3159,https://www.secutech.com/26/en/exdetail.aspx?eid=3159
"JX9Line Co., Ltd.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Taiwan,Booth Number: 1027,exdetail.aspx?eid=5229,https://www.secutech.com/26/en/exdetail.aspx?eid=5229
"KAGA SANGYO CO., LTD.",Industry Category: Disaster Prevention and Rescue,Country: Japan,Booth Number: 155,exdetail.aspx?eid=1549,https://www.secutech.com/26/en/exdetail.aspx?eid=1549
"KAOTEN SCIENTIFIC CO., LTD.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 1037,exdetail.aspx?eid=531,https://www.secutech.com/26/en/exdetail.aspx?eid=531
K-BEST TECHNOLOGY INC.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 533,exdetail.aspx?eid=1646,https://www.secutech.com/26/en/exdetail.aspx?eid=1646
KEELUNG CITY FIRE DEPARTMENT,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 157,exdetail.aspx?eid=2537,https://www.secutech.com/26/en/exdetail.aspx?eid=2537
KINGDOM COMMUNICATION ASSOCIATED LTD.,Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 819,exdetail.aspx?eid=83,https://www.secutech.com/26/en/exdetail.aspx?eid=83
KINGJARL CORPORATION,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1049,exdetail.aspx?eid=5199,https://www.secutech.com/26/en/exdetail.aspx?eid=5199
"Kingray Technology Co., Ltd",Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 524,exdetail.aspx?eid=3185,https://www.secutech.com/26/en/exdetail.aspx?eid=3185
"JRK VISION CO., LTD.","Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Korea,Booth Number: 222,exdetail.aspx?eid=2309,https://www.secutech.com/26/en/exdetail.aspx?eid=2309
Komtes Group,Industry Category: Active/Passive Fire Safety,Country: Spain,Booth Number: 154,exdetail.aspx?eid=5203,https://www.secutech.com/26/en/exdetail.aspx?eid=5203
K-SAFETY EXPO,"Industry Category: Physical Security: Surveillance, Access Control, Alarm, Intercom",Country: Korea,Booth Number:,exdetail.aspx?eid=5208,https://www.secutech.com/26/en/exdetail.aspx?eid=5208
"KUO NAO CO., LTD.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 004,exdetail.aspx?eid=3093,https://www.secutech.com/26/en/exdetail.aspx?eid=3093
"LANTECH COMMUNICATIONS GLOBAL, INC.",Industry Category: Cybersecurity/Product Design Security/IoT Security,Country: Taiwan,Booth Number: K28,exdetail.aspx?eid=1358,https://www.secutech.com/26/en/exdetail.aspx?eid=1358
"Leonton Technologies Co., Ltd.",Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: K11+K12,exdetail.aspx?eid=5226,https://www.secutech.com/26/en/exdetail.aspx?eid=5226
"Liansuo Construction Technology Co., Ltd.",Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 244,exdetail.aspx?eid=1513,https://www.secutech.com/26/en/exdetail.aspx?eid=1513
"Light-in International Co., Ltd.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=2759,https://www.secutech.com/26/en/exdetail.aspx?eid=2759
"LITIIGER CO., LTD.",Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 831,exdetail.aspx?eid=3131,https://www.secutech.com/26/en/exdetail.aspx?eid=3131
M.S.CHIEE ARCHITECT&ASSOCIATE,Industry Category: Smart Building/Homes,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=1430,https://www.secutech.com/26/en/exdetail.aspx?eid=1430
KOCHI JAPAN,Industry Category: Disaster Prevention and Rescue,Country: Japan,Booth Number: 348,exdetail.aspx?eid=3080,https://www.secutech.com/26/en/exdetail.aspx?eid=3080
"MAGNA HONG CO., LTD.",Industry Category: AI/IoT/Networking/Software & Platform,Country: Taiwan,Booth Number: 115,exdetail.aspx?eid=1417,https://www.secutech.com/26/en/exdetail.aspx?eid=1417
"MAI SHIH INSTRUMENT CO., LTD.",Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 837,exdetail.aspx?eid=5250,https://www.secutech.com/26/en/exdetail.aspx?eid=5250
MAKITA (TAIWAN) LTD.,Industry Category: Active/Passive Fire Safety,Country: Taiwan,Booth Number: 1133,exdetail.aspx?eid=2360,https://www.secutech.com/26/en/exdetail.aspx?eid=2360
MEASUREMENT PIONEER INC.,Industry Category: Factory & Environmental Safety and Health,Country: Taiwan,Booth Number: 853,exdetail.aspx?eid=3053,https://www.secutech.com/26/en/exdetail.aspx?eid=3053
