"qR3Oj6 src","wixui-rich-text__text","wixui-rich-text__text 2","wixui-rich-text__text 3","PoVCDy href","wixGuard"
"https://static.wixstatic.com/media/00bc10_17a09d4c6be141ce828e5434fc4a1d39~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Global%20Strategic%20Expo%20Partner%20-%20Everidge.png","EVERIDGE CO., LTD.","D03","","https://www.everidge.co.jp/company/ja","​"
"https://static.wixstatic.com/media/00bc10_eb22e23c1d5747dba42ae78e2b199f46~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_FOUR%20DIRECTIONS%20TECH%20LIMITED.png","FOUR DIRECTIONS TECH LIMITED","四方移動有限公司","J21","https://kubot.ai/",""
"https://static.wixstatic.com/media/00bc10_7f27c5bec56b45f0b836cf68384035fb~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_DBINSIGHT_AI%20LIMITED%20(1).png","FPT CONSULTING SERVICE LIMITED","E32","","https://fptsoftware.com/","​"
"https://static.wixstatic.com/media/00bc10_bc68785d0d5046558e87b80d9a9071fa~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_FORE%20SYSTEMS%20LIMITED%20.png","FORE SYSTEMS LIMITED","科先系統有限公司","H31","https://foresys.com.hk/",""
"https://static.wixstatic.com/media/00bc10_245d3b8cf25e4597ada0d25ee96d20f8~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_GF%20TECHNOVATION%20COMPANY%20LIMITED.png","GF TECHNOVATION COMPANY LIMITED","衞晉創新科技有限公司","H43","https://www.gftechnovation.com.hk/",""
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","GOGBA港商服務站（福田）","E23","","https://www.hexcubes.com/","​"
"https://static.wixstatic.com/media/00bc10_16d37464ffe543cc8a5aae31b30359a8~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_GUANGDONG%20AVCIT%20TECHNOLOGY%20HOLDING%20CO_%2C%20LTD_.png","GUANGDONG AVCIT TECHNOLOGY HOLDING CO., LTD.","E37","","https://www.avcit.com/","​"
"https://static.wixstatic.com/media/00bc10_4a4ea44ffab84c229e8276e425314d5a~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_Hewlett-Packard%20HK%20SAR%20Limited.png","HEWLETT-PACKARD HK SAR LIMITED","D05","","https://www.hpe.com/us/en/home.html","​"
"https://static.wixstatic.com/media/00bc10_8b615df156da4390882fe70d405dcf22~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_HKT.png","HKT","F43","","https://hkt.com/","​"
"https://static.wixstatic.com/media/00bc10_0dcee5526c854fd2975f683adb6810f6~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_HONG%20KONG%20APPLIED%20SCIENCE%20AND%20TECHNOLOGY%20RESEARCH%20INSTITUTE%20COMPANY.png","HONG KONG APPLIED SCIENCE AND TECHNOLOGY RESEARCH INSTITUTE COMPANY LIMITED","香港應用科技研究院","G43","https://www.astri.org/",""
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","HONG KONG ECONOMIC JOURNAL","《信報財經新聞》","G44","",""
"https://static.wixstatic.com/media/00bc10_3bad3a148aed428991374b656e7995f6~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_HP%20INC%20HONG%20KONG%20LIMITED.png","HP INC HONG KONG LIMITED","惠普香港有限公司","G22","https://www.hp.com/hk",""
"https://static.wixstatic.com/media/00bc10_15ab9a7c74104f54b3f53d983f945459~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_IFLYTEK%20CO_%2C%20LTD_.png","IFLYTEK CO., LTD.","科大訊飛股份有限公司","H01","https://www.iflytek.com/",""
"https://static.wixstatic.com/media/00bc10_18267a13491c4735bde9735edc856c16~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_I-GEN%20AI%20LIMITAD.png","I-GEN AI LIMITED","E44","","https://www.i-gen.ai/","​"
"https://static.wixstatic.com/media/00bc10_674b963e90bc4ff59d6e3ddb8edb76e3~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_INFO%20ACCESS%20AND%20DISTRIBUTION%20(HK)%20LIMITED.png","INFO ACCESS AND DISTRIBUTION (HK) LIMITED","F32","","http://www.iready.com.hk/","​"
"https://static.wixstatic.com/media/00bc10_59deb2ad543240ec948443e7e02a5f2b~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_INNOX%20AI%20LIMITED.png","INNOX AI LIMITED","J33","","https://www.innox.ai/","​"
"https://static.wixstatic.com/media/00bc10_65429f1b20664f9396abbf704dbe3e8b~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_ITREND%20FORCE%20COMPANY%20LIMITED.png","ITREND FORCE COMPANY LIMITED","曉智動力有限公司","E46","https://itrendforce.com/",""
"https://static.wixstatic.com/media/00bc10_809c69ef6b284e86be4541381dc5b5a9~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_J_E_D_%20TECHNOLOGY%20CONSULTANCY%20COMPANY%20LIMITED.png","J.E.D. TECHNOLOGY CONSULTANCY COMPANY LIMITED","捷妍資訊科技顧問有限公司","E24","https://jedtech.hk/",""
"https://static.wixstatic.com/media/00bc10_497d634c66bd4901aae52902530ee296~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_JOJO%20VENTURES%20LIMITED.png","JOJO VENTURES LIMITED","G21","","https://jojo.ventures/","​"
"https://static.wixstatic.com/media/00bc10_4b708f3bd9574de19214c616e1bcd39c~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_KUAILU%20TECHNOLOGY%20(HK)%20LIMITED.png","KUAILU TECHNOLOGY (HK) LIMITED","快鷺科技(香港)有限公司","G12","https://www.kuailutech.com/",""
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","KUBOT","J23","","https://kubot.ai/","​"
"https://static.wixstatic.com/media/00bc10_187a6b4233364df294c687c6aec9ed64~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_LANTERN%20LAB%20LIMITED.png","LANTERN LAB LIMITED","K47","","http://www.ourlanterns.com/","​"
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","LEDGERB.IO LIMITED","E22","","https://www.ourlanterns.com/","​"
"https://static.wixstatic.com/media/00bc10_65de8186f922484488fdfdb7414312af~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_LINGNAN%20UNIVERSITY.png","LINGNAN UNIVERSITY","嶺南大學","K41","https://www.ln.edu.hk/orkt",""
"https://static.wixstatic.com/media/00bc10_0a8002065c3c446fbd4474d4289c8a3d~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_LOGITECH.png","LOGITECH","F03","","https://www.logitech.com/zh-hk","​"
"https://static.wixstatic.com/media/00bc10_072abde10fce44389af3165bdf5d2043~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_MARTIAN%20WORKS%20STUDIO%20.png","MARTIAN WORKS STUDIO","火星夢工場","G33","https://fnewmedia.com/",""
"https://static.wixstatic.com/media/00bc10_3157b98b94644bb4b8a093c2169683cd~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_MATRADE%20HONG%20KONG.png","MATRADE HONG KONG","G34","","https://www.matrade.gov.my/en","​"
"https://static.wixstatic.com/media/00bc10_77c61d8235354870802a3030837e2aca~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_MAXIM'S%20CATERERS%20LIMITED.png","MAXIM'S CATERERS LIMITED","美心食品有限公司","G32","https://www.maxims.com.hk/zh-hk/contact-us",""
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","MEDICHERRY","K56","","","​"
"https://static.wixstatic.com/media/00bc10_656a7e6289c34b559319a7e5e881726f~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_MUXIC%20LIMITED.png","MUXIC LIMITED","秒得","E11","http://www.muxic.io/",""
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","MYSTARPICK","K60","","","​"
"https://static.wixstatic.com/media/00bc10_9454d9239a454f0ba59e3540a24f649b~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_NESTLE%20HONG%20KONG%20LTD_.png","NESTLE HONG KONG LTD.","雀巢香港有限公司","E33","https://www.nespresso.com/pro/hk/en",""
"https://static.wixstatic.com/media/00bc10_38c1de5a8cf54742a9ab04ad053a47e1~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_NEXSTRIDE%20TECHNOLOGY%20LIMITED.png","NEXSTRIDE TECHNOLOGY LIMITED","納思動力科技有限公司","H26","https://nexstride.hk/",""
"https://static.wixstatic.com/media/00bc10_aff628beaf3b459798e5a512dedc7913~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_NULINK%20SOLUTIONS%20LIMITED.png","NULINK SOLUTIONS LIMITED","匯萃科技有限公司","F22","https://www.nulink.com.hk/",""
"https://static.wixstatic.com/media/00bc10_405b47fbb96c4c8a9aa8273e6b9248dd~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_ODOO%20HK%20LIMITED.png","ODOO HK LIMITED","G11","","https://www.odoo.com/","​"
"https://static.wixstatic.com/media/00bc10_09416ede7820473a86a2e854500e6008~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_OMNICHAT%20LIMITED.png","OMNICHAT LIMITED","H41","","https://www.omnichat.ai/hk/","​"
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","OPENCLAW LIMITED","E43","","https://www.hkwanlong.com/","​"
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","ORINU","K54","","","​"
"https://static.wixstatic.com/media/00bc10_78ac47342c4946089ded0f125fae8f1c~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_PARADM%20COMPANY%20LIMITED.png","PARADM COMPANY LIMITED","普達資訊管理有限公司","G23","https://www.paradm.com/",""
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","PCNC","K52","","","​"
"https://static.wixstatic.com/media/00bc10_7ca5262ee2294036ac4b116fa8d98334~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_PRESSLOGIC.png","PRESSLOGIC","邏輯媒體科技有限公司","F44","https://www.presslogic.ai/",""
"https://static.wixstatic.com/media/00bc10_644105578e3d4b088f3ca55868fa7274~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_PRUCDENTIAL.png","PRUDENTIAL","保誠保險","G24","https://www.prudential.com.hk/",""
"https://static.wixstatic.com/media/00bc10_12d1fed6f6b547d2a0ccce75addda775~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_RADARI%20AI%20LIMITED.png","RADARI AI LIMITED","E42","","https://radari.ai/","​"
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","REDIX TECHNOLOGY COMPANY LIMITED","煒狄科技有限公司","E21","https://www.redix.jp/",""
"https://static.wixstatic.com/media/00bc10_536ba74eff5a47ddb308334b7241ab1e~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_RWA_LTD.png","RWA.LTD","H34","","https://rwa.ltd/","​"
"https://static.wixstatic.com/media/00bc10_a8bdacd9b7fa4fb99dd1a8b6b2201b12~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_SDS%20-%20TECHGLOBAL%20LIMITED.png","SDS - TECHGLOBAL LIMITED","F03","","https://www.sds-techglobal.com/","​"
"https://static.wixstatic.com/media/00bc10_2cccc82399054a1088ddf76c37af6ad3~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_SDS%20-%20SET%20SAIL%20VENTURE%20LIMITED.png","SET SAIL VENTURE LIMITED","啟航創投有限公司","F31","http://setsail.ai/",""
"https://static.wixstatic.com/media/00bc10_44d2b655d1464cef857c3c6206d6819d~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_SHURE.png","SHURE","F03","","https://www.shure.com/en-ASIA","​"
"https://static.wixstatic.com/media/00bc10_09c6f31df2314fbf8369b5792728a237~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_SLEEKFLOW%20TECHNOLOGIES%20LIMITED.png","SLEEKFLOW TECHNOLOGIES LIMITED","承峰科技集團有限公司","G41","https://sleekflow.io/",""
"https://static.wixstatic.com/media/00bc10_6d82e74a486b40a79b66ef9a5f7a2ed2~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_SME%20LAB.png","SME LAB (HOLDING) LTD","中小企研究所(控股)有限公司","J22","https://smelab.com.hk/",""
"https://static.wixstatic.com/media/00bc10_693361cdcb3348969b5cf95f2be2d198~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_SMERT_AI%20LIMITED.png","SMERT.AI LIMITED","F23","","https://smert.ai/","​"
"https://static.wixstatic.com/media/00bc10_0ea0957167514806bb044b30f6897c85~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_SOCIF.png","SOCIF LIMITED","E31","","https://www.socif.co/","​"
"https://static.wixstatic.com/media/00bc10_dfe2b56aa4b04a20b908b493006d2c75~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_TERALEC%20SYSTEMS%20LIMITED.png","TERALEC SYSTEMS LIMITED","F21","","https://www.teralec.com/","​"
"https://static.wixstatic.com/media/00bc10_bb1871e84d0f490683a544faab81e1c1~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_TETRA%20LIMITED.png","TETRA LIMITED","G14","","https://tetra.hk/","​"
"https://static.wixstatic.com/media/00bc10_29473a12d5d14870a05e5c48472bcd5b~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_THE%20DEPARTMENT%20OF%20ELECTRICAL%20AND%20COMPUTER%20ENGINEERING%20(ECE)%2C%20THE%20UNIVERSITY%20O.png","THE DEPARTMENT OF ELECTRICAL AND COMPUTER ENGINEERING(ECE), THE UNIVERSITY OF HONG KONG","香港大學電機與計算機工程系","H02","https://ece.hku.hk/",""
"https://static.wixstatic.com/media/00bc10_4e775527a32841eb8997f453df5f1912~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_THE%20EDUCATION%20UNIVERSITY%20OF%20HONG%20KONG.png","THE EDUCATION UNIVERSITY OF HONG KONG","香港教育大學","K42","https://www.eduhk.hk/KnowledgeTransfer/en/index.html",""
"https://static.wixstatic.com/media/00bc10_cfff7bf1db204fd9be6126265d0c1448~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2B%20Power%202026_Speaker_%20.png","THE HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY ENTREPRENEURSHIP CENTER","K48","","","​"
"https://static.wixstatic.com/media/00bc10_a0ed5b72998b42369ba12dc13138786d~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_TOPPAN%20NEXUS%20LIMITED.png","TOPPAN NEXUS LIMITED","J37","","https://native-t.com/","​"
"https://static.wixstatic.com/media/00bc10_da314da6f42644d0b77d681ac806192e~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_UNITED%20TECHNOLOGIES%20(INT'L)%20LTD_.png","UNITED TECHNOLOGIES (INT'L) LTD.","聯訊科技(囯際)有限公司","J34","https://united.com.hk/",""
"https://static.wixstatic.com/media/00bc10_1384826695ef4ee2b3a9558b91033b4a~mv2.png/v1/fill/w_336,h_186,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AI%2BPower2026_WEEXPAND%20LIMITED.png","WEEXPAND LIMITED","同盟國際發展有限公司","E25","https://www.weexpand.co/",""
"https://static.wixstatic.com/media/00bc10_e8b8f581da8a4986a76e5d8b8473ef80~mv2.png/v1/fill/w_253,h_140,al_c,lg_1,q_85,enc_avif,quality_auto/AI%2BPower2026_Exhibitor_VOTEE%20LIMITED.png","VOTEE LIMITED","H25","","https://votee.ai/","​"
