company name,location,Company Background,Nature of Business,Product / Service Range,Exhibit / Brand / Service Description,Product Strategy,Brand Name,Company Website,HKTDC Events,supplier_url,exhibitor_url,,Booth: 5C-A08   |   Convenient & Instant Food   |   Korea (aT-Head),Certificates,Other Certificates,"Booth: 5C-B31   |   Health, Green & Organic Food   |   ",Booth: 5E-D06   |   Convenient & Instant Food   |   ,"Booth: 5E-E17   |   Canned, Frozen & Processed Food   |   ",Booth: 5C-E20   |   Bakery Products   |   Chinese Mainland (Zhejiang),Booth: 5C-C26   |   Sauces & Seasonings   |   Chinese Mainland (Sichuan Supplier),"Booth: 5C-C02   |   Biscuits, Snacks & Confectionery   |   Chinese Mainland (Sichuan)","Booth: 5E-E22   |   Canned, Frozen & Processed Food   |   ","Booth: 5E-E09   |   Canned, Frozen & Processed Food   |   ",Booth: 5C-C22   |   Halal Food & Beverage   |   Chinese Mainland (Sichuan Supplier)
"Fujian Zhenhongfu Food Co., Ltd.",Chinese Mainland,,"Exporter, Retailer",,"Equipped with 4 advanced biscuit production lines, our company specializes in manufacturing soft biscuits, soda crackers, hard biscuits, cookies, and sandwich biscuits.",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fujian-ZhenHongFu-Food-Co-Ltd/1X0AH7C3?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065J2B?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Fuyuan Biti Winery Co., Ltd",Chinese Mainland,,"Shopping Mall, Government, Wholesaler, Department Store, Import Agent, Buying Cooperative, Retailer, Distributor, Private Individual","Cereal, Organic Food & Beverage, Dried Nuts",East Polar Love Cranberry Series Derivative Foods.,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fuyuan-Biti-Winery-Co-Ltd/1S00PE3HI?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S00668EM?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"G. EAST CO., LTD.","Korea, Republic Of    |    Factory in Korea, Republic Of",,"Manufacturer, Trade/Industrial Organisation, Exporter, Distributor, Wholesaler","Biscuit, Dried Fruit & Vegetable, Frozen Food, Chocolate, Candy, Snack, Canned Food, Plant Based Meat, Biscuit, Dried Fruit & Vegetable, Frozen Food, Chocolate, Candy, Snack, Canned Food, Plant Based Meat, Biscuit, Dried Fruit & Vegetable, Frozen Food, Chocolate, Candy, Snack, Canned Food, Plant Based Meat, Biscuit, Dried Fruit & Vegetable, Frozen Food, Chocolate, Candy, Snack, Canned Food, Plant Based Meat, Biscuit, Dried Fruit & Vegetable, Frozen Food, Chocolate, Candy, Snack, Canned Food, Plant Based Meat, Biscuit, Dried Fruit & Vegetable, Frozen Food, Chocolate, Candy, Snack, Canned Food, Plant Based Meat","G.EAST was founded in 2008 and exports high-quality products to more than 26 countries worldwide. We manufacture a diverse range of Korean processed food products having own brands: Bobmoos, Ajumma Republic, Fire Bull, and Mukja Street.","OEM, Others","BOB MOOS,AJUMMA REPUBLIC,FIRE BULL,MUKJA STREET",www.geast.co.kr/en/main,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/G-EAST-CO-LTD-/1S00PC9SF?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0064W6M?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
GO Corporation,"Korea, Republic Of    |    Factory in Korea, Republic Of","GO CORP. is a Korean manufacturer specializing in premium organic red ginseng products. Based in Geumsan, Korea's leading ginseng region, we produce safe and high-quality wellness products using certified organic Korean ginseng. Our flagship brand, KJH Organic Red Ginseng, is made from organic ginseng cultivated without synthetic pesticides or chemical fertilizers. We hold both USDA Organic and Korean Organic certifications for red ginseng, reflecting our commitment to safety, quality, and traceability. Our product range includes organic red ginseng extracts, children's wellness products, honey tea, pomegranate red ginseng drinks, and other functional formats for global markets. KJH Organic Red Ginseng is currently supplied to Hyundai Department Store, one of Korea's leading premium retail channels. GO CORP. works with distributors, retailers, and brand partners seeking differentiated Korean wellness products. We also offer OEM and private-label solutions tailored to local market needs. With authenticity, innovation, and trust, GO CORP. aims to introduce Korean organic red ginseng to health-conscious consumers worldwide.","Manufacturer, Exporter",Ginseng,"Organic red ginseng cultivated in korea, Korea. Dual-certified by USDA Organic and Korean Organic standards, ensuring safety, traceability, and authenticity. Trusted by Hyundai Department Store and developed for premium wellness markets worldwide.","OEM, ODM, Others, OBM","KJH Korean Gorganic red ginsng,THE YUSAM,KiniGini Kids Ginseng",http://good-plus.co.kr/us/main/index.php,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GO-Corporation/1S00PDC3F?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0064X5O?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
GREEK VALLEY E.E,Greece    |    Factory in Greece,,Exporter,Dried Nuts,PISTACHIO-ALMONDS -VARIOUS OTHER DRY NUTS,OBM,GREEK VALLEY E.E,greek-valley.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GREEK-VALLEY-E-E/1S00PAVFW?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065EAS?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
SAMHWA MILL,"Korea, Republic Of",,Manufacturer,"Sauce, Seasoning, Sauce, Seasoning","Samhwa Mill is a premium oil specialist with a 50-year heritage. Led by a 3rd-gen operator, we use HACCP-certified facilities to produce authentic sesame and perilla oils for the global market.",OBM,,smartstore.naver.com/samhwa1,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/SAMHWA-MILL/1S00PDQXJ?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065EU4?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Odaesanfood Inc.,"Korea, Republic Of    |    Factory in Korea, Republic Of","Korean tea, gluten-free noodle specialized manufacturing factory",Manufacturer,"Tea, Noodle, Tea, Noodle","Various Korean blended herbal teas, gluten-free 100% buckwheat noodles, black buckwheat noodles, etc.","OEM, ODM, OBM",ODAESANFOOD,www.odaesanfood.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Odaesanfood-Inc-/1S00PCHED?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065EV1?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"WooriDo Co.,Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","This premium soy milk was born, instead of using artificial food additives to make the soy milk soft, by using wild ginseng as a natural ingredient which makes the feeling of swallowing the soy milk soft and maintaining the nutrient as it contains.",Manufacturer,"Fermented Milk Drink, Fermented Milk Drink","This premium soy milk was born, instead of using artificial food additives to make the soy milk soft, by using wild ginseng as a natural ingredient which makes the feeling of swallowing the soy milk soft and maintaining the nutrient as it contains.","OEM, Others",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/WooriDo-Co-Ltd-/1S00P4HWV?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065EWY?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Gavofarms Co., Ltd.","Korea, Republic Of",,"Exporter, Manufacturer","Fruits Juice, Fruit Juice, Tea, Fruits Juice, Fruit Juice, Tea","Korea Pear Juice made from 100% Korean Naju pears using the cold-pressed NFC method and low-temperature maturation. Ingredients & Taste: No artificial colors, flavors, added sugar, or preservatives. Features a clean, light, and naturally sweet tas","OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gavofarms-Co-Ltd/1S00OF0A6?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0064X9C?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Geumsan Black Ginseng Co., Ltd.","Korea, Republic Of",,Manufacturer,"Tea, Fruit Juice, Soft Drink","Korean fruit and vegetable juices and collagen drinks, offering convenient ready-to-drink beverages and beauty-focused health products.","ODM, OBM, OEM",,www.geumheuk1.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo 2015 HKTDC Food Expo 2014,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Geumsan-Black-Ginseng-Co-Ltd-/1X08PEZV?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006641T?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Ggorangji Macaron,"Korea, Republic Of    |    Factory in Korea, Republic Of","Ggorangji Macaron is a dessert brand specializing in the development and production of low-sugar and vegan desserts. The brand offers products with reduced sugar and calories, while increasing dietary fiber and protein, so that consumers who need to be mindful of excessive sugar intake can enjoy desserts with less burden.","Manufacturer, Buying Cooperative, Importer","Biscuit, Snack","Ggorangji Macaron is a dessert brand specializing in the development and production of low-sugar and vegan desserts. The brand offers products with reduced sugar and calories, while increasing dietary fiber and protein, so that consumers who need t","ODM, OEM, OBM",,ggorangjicaron.com/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GGORANGJI-MACARON/1S00PCEYS?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065CDL?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
KS Company Limited,Japan    |    Factory in Japan,,Manufacturer,,花閔ヶし、カイサンチンミ、マメガシ、ラッカセイ、コミカシ、ガンシンチョコ、どあいぶつ、ティップス、カシノセイゾウ。カコウ、オロシウリ,OBM,,ks-c.jp,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/KS-COMPANY-CO-LTD/1S00PD84G?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065HH4?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Tencho Foods Co., Ltd.",Japan    |    Factory in Japan,"Established in 1929, we have nearly 100 years of experience in the Japanese food industry. Building on our heritage as a traditional Japanese pickle manufacturer, we have expanded our business to become a reliable exporter of high-quality Japanese food products. We supply a wide range of products, including snacks, confectionery, beverages, seasonings, alcoholic beverages, and other grocery items, to customers across Europe, North America, Oceania, and Asia. Our one-stop export service covers product sourcing, export documentation, country-specific labeling, regulatory compliance, and international logistics. With our in-house warehouse, we also provide labeling, consolidation, and mixed-container shipments to help customers improve efficiency and reduce logistics costs. In addition to exporting branded Japanese products, we support OEM and private label development, offering customized solutions to meet local market needs. With a strong network of Japanese manufacturers and extensive export experience, we are committed to delivering safe, high-quality Japanese food products and building long-term partnerships with distributors, importers, wholesalers, and retailers worldwide. We look forward to meeting you and exploring new business opportunities.",Buying Cooperative,"Biscuit, Noodle, Sauce, Seasoning, Bread, Chocolate, Soft Drink, Cake, Snack, Candy","Exhibiting TCF Japanese Ramen, HATA Ramune soft drinks, and TOMOMASU beverages. We also offer sourcing of Japanese snacks, confectionery, seasonings, and alcoholic beverages, as well as OEM services and one-stop export solutions.","OBM, OEM","TCF,HATA,TOMOMASU",tencho.co.jp/,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2024 HKTDC Food Expo 2019,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tencho-Foods-Co-Ltd-/1X0AVVNS?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065HMP?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Chigonoiwa Sake Brewery Co., Ltd",Japan,,Manufacturer,"Sake, Sake",sake PlumWine,OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025 HKTDC Hong Kong International Wine and Spirits Fair 2024 HKTDC Food Expo PRO 2024 HKTDC Hong Kong International Wine and Spirits Fair 2023 HKTDC Food Expo PRO 2023 HKTDC Hong Kong International Wine & Spirits Fair 2019 HKTDC Food Expo 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chigonoiwa-Sake-Brewery-Co-Ltd/1X096JB4?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065HNM?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Men No Shimizuya Ltd.,Japan    |    Factory in Japan,"Men no Shimizuya Ltd. is a Japanese noodle manufacturer founded in 1948 in Hida Takayama, Gifu Prefecture, Japan. We specialize in the production of high-quality fresh ramen noodles and soup products using traditional Japanese noodle-making techniques combined with modern food processing technology. Our core strength is our proprietary long shelf-life technology, which allows fresh ramen products to be distributed globally while maintaining excellent taste and texture. We offer a wide range of ramen products, including Hida Takayama Ramen, Tokyo Shoyu Ramen, Kyushu Tonkotsu Ramen, Spicy Tonkotsu Ramen, Seafood Ramen, and animal-free ramen varieties designed for international markets. In addition to manufacturing, we operate our own ramen restaurant brand, ""Mametengu,"" which has been serving authentic Japanese ramen to customers for many years. This experience enables us to develop products that reflect genuine Japanese ramen culture and consumer preferences. Our company is certified under ISO 22000 and registered with the U.S. FDA. We are actively expanding our export business and currently supply products to customers in North America, Asia, Oceania, and Europe. We welcome opportunities to cooperate with importers, distributors, retailers, food service operators, and pr",Manufacturer,"Noodle, Noodle","Japanese fresh ramen products with a proprietary long shelf-life technology. Our lineup includes Hida Takayama Ramen, Tokyo Shoyu, Kyushu Tonkotsu, Seafood, and animal-free ramen varieties. ISO 22000 certified and suitable for retail, food service, a","OEM, OBM, ODM",Men no shimizuya,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Men-No-Shimizuya-Ltd-/1S00PDS4W?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065HI1?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"EKD & CO., LTD.",Japan,,Exporter,"Fruit Juice, Noodle, Chocolate, Biscuit, Water, Snack, Soft Drink, Sake, Tea, Instant Noodle, Coffee, Candy, Non-alcoholic Beer, Fruit Juice, Noodle, Chocolate, Biscuit, Water, Snack, Soft Drink, Sake, Tea, Instant Noodle, Coffee, Candy, Non-alcoholic Beer, Fruit Juice, Noodle, Chocolate, Biscuit, Water, Snack, Soft Drink, Sake, Tea, Instant Noodle, Coffee, Candy, Non-alcoholic Beer","We are a trading company specialized in Japanese confectionery, food, beverage, alcohol and so on since many years in Japan and help to export them to more than 20 countries world widely.",OEM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/EKD-CO-LTD-/1S00P41Y5?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065HJY?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Gosurok Food Co., Ltd.","Korea, Republic Of    |    Factory in Korea, Republic Of","GOSUROK Food is manufacturing the essence of Korean food, which is made of Korea's most traditional food in the form of dessert and ice cream that people in various cultures and countries can enjoy.",Manufacturer,Frozen Food,"We offer traditional Korean rice cakes and modern fusion rice cakes. Made with rice and glutinous rice, they are filled with red bean paste, cream, strawberries, and other ingredients, delivering the authentic taste and rich flavors of Korea.",OEM,"GOSUROK FOOD,RICE CAKE,GOSU FOOD",gosufood.net,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Food Expo PRO 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/GOSUROK-FOOD-CO-Ltd/1S00P3Z5M?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006532R?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Golden Mill Food Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Exporter, Manufacturer","Snack, Snack","Established in 2002, Golden Mill Co., Ltd. is a modern enterprise integrated food research and development, production and sales. Committed to bringing spicy snacks with more healthier, delicious and safer.",OEM,,www.jinmofangfood.com,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Golden-Mill-Food-Co-Ltd-/1S00PE21V?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S006617E?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Gosanghan Company,"Korea, Republic Of    |    Factory in Korea, Republic Of",Korean seafood processing company specializing in premium marinated seafood and ready-to-eat HMR products. We offer OEM/ODM services with stable supply and export capability.,"Distributor, Manufacturer","Dried & Preserved Food, Frozen Food, Frozen Seafood, Dried & Preserved Food, Frozen Food, Frozen Seafood, Dried & Preserved Food, Frozen Food, Frozen Seafood, Dried & Preserved Food, Frozen Food, Frozen Seafood","Premium Korean marinated seafood (soy crab, shrimp, abalone) and ready-to-eat HMR products. Available in frozen and retort formats for global distribution. OEM/ODM supply available.","OEM, OBM","Jjaebo-sikdang,Gosanghan Company",www.jjaebo.co.kr,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Gosanghan-Company-Co-Ltd-/1S00PDF9U?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0064W2Y?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guancheng Lianhe Tea Industry Co., Ltd",Chinese Mainland,"Sichuan DUjiangyan guancheng lianhe tea co.,ltd is a local tea industry constortium pianform in dujiangyan ,in response to the revitalization policy of sichuan's sichuan tea,in 2020,it integrated local tea resources to develop collectively,positioning itself as the main body of public brand operation of dujiangyan tea industry.","Distributor, Chain Store, Department Store","Tea, Tea, Tea",灌城道茶都江堰核心地理标志产品，传承千年道家制茶工艺，芽梗共生，一芽一梗，契合道家阴阳文华；低咖啡碱，高氨基酸，安神温润，耐沸水冲泡，汤色清碧透亮，栗香悠长回甘，礼盒适配景区高端伴手礼、商务馈赠。 自由品牌?茶川渝品牌标杆新饮茶，第十四届四川茶博会金奖产品，主打零糖零脂零添加、整片原叶无碎末的特点，深受年轻群体的喜爱。 马年文旅爆款定制款，旋转茶水分离便携瓶设计，无需茶具，冷水浸泡五分钟即可引用，分绿茶、红茶、茉莉花茶，全国两百余家景区文创渠道定点供,OBM,"?茶（DAICHA),灌城道茶,灌城贡茶,灌城龙芽,灌城贡茶冷泡茶",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guancheng-Lianhe-Tea-Lnduetry-Co-Ltd/1S00PDTVM?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065LDC?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guangdong Five Rams Frozen Food Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,,Manufacturer,"Ice Cream, Ice Cream","Ice Cream Cone,Crispy Coated Ice Cream,Ice Cream Bar,Ice Lolly,Cup Ice Cream",Others,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Five-Rams-Frozen-Food-Co-Ltd/1S00PE9SF?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0066I60?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guangzhou YueXiu Husbandry and Foods Technology Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Manufacturer, Exporter","Seasoning, Dried & Preserved Food, Canned Food, Sausage, Bread, Seasoning, Dried & Preserved Food, Canned Food, Sausage, Bread","King of Kings:Cured meat series (Chinese sausages, cured meats, etc.), Western-style series (sausages, ham, etc.), Ready-to-cook series, and Snack series Wangjiadu:Sichuan-style seasonings Quxiang:Mooncake Gift Boxes,Pastry Snacks","ODM, OEM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-YueXiu-Husbandry-and-Foods-Technology-Co-Ltd-/1S00PDRZC?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065H9S?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guangzhou Yuexiu Dairy Group Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Manufacturer, Exporter","Milk, Milk","UHT Ambient Milk,Refrigerated Chilled Milk.Key Brands: Xietiandi, Xianquanhu,Fengxing","OBM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Yuexiu-Dairy-Group-Co-Ltd-/1S00PDS08?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065HAP?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guiyang Chunqiu Industrial Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,"Private Individual, Wholesaler, Retailer","Tea, Tea","Que She Bao Chun green tea & Chunqiu Hong black tea are spring teas made by Master Mu Xiaoling with intangible craft, natural zinc-selenium high mountain tea, zero additives for daily drink & gifts.",OBM,"Chunqiu Hong Black Tea , Que She Bao Chun Green Tea",Official Website,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chunqiu-Tea/1S00PDQMG?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065VUN?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guizhou Diyi Qianyuan Investment Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,"Guizhou Diyi Qianyuan Investment Co., Ltd., established in 2014, is a comprehensive modern tea company integrating tea tree planting, tea production, processing, sales, and tea culture dissemination. Its products include Fuguiyuan (black tea) and Guichunyan (green tea).","Buying Cooperative, Wholesaler, Retailer","Tea, Tea",贵州递依黔源投资有限公司主要生产馥贵源（红茶）和贵岩春（绿茶）产品，馥贵源（红茶）和贵岩春（绿茶）产自黎平深山茶园，且坚持手工采摘，严守时节。每年三月采摘。茶园坚持不施化肥，不求量产，传承古法制茶技艺，制成具有「黎平风土茶」的地道茶叶。,"OEM, ODM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guizhou-Diyi-Qianyuan-Investment-Co-Ltd-/1S00PDPXK?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065PP8?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guizhou Fenghuangju Agricultural Development Co., Ltd",Chinese Mainland    |    Factory in Chinese Mainland,,"Wholesaler, Retailer, Manufacturer, Exporter","Tea, Tea","A signature chrysanthemum tea brand rooted in China’s core high-altitude growing regions, it draws on the pristine local environment to cultivate premium ingredients. Crafted using a standardized slow-roasting process that preserves freshness",OBM,,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guizhou-Fenghuangju-Agricultural-Development-Co-Ltd/1S00PDW9D?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065PQ5?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
Guizhou Guirui Agricultural Development Co Ltd,Chinese Mainland    |    Factory in Chinese Mainland,"Guizhou Guirui Agricultural Development Co., Ltd. was established in 2015, relying on Guizhou's unique plateau ecology and climate advantages. It is committed to the cultivation and management of high-quality tea gardens, the research and development, processing, and sales of tea, and the processing and sales of agricultural and sideline products in Fanjing Mountain. It is a key provincial-level leading enterprise in agricultural industrialization. The enterprise adheres to the business philosophy of ""promoting tea with quality and putting green first"". After years of effort and development, promotion, exhibition, and sales centers have been established in Shenzhen, Suzhou, and Dongguan, with ""Fanjing Shanzhen"" and ""Fanjing Shancha"" as the main products. With the development concept of ""giving the world a cup of good tea"" and the manufacturing standard of ""clean Guizhou tea, globally shared"". Relying on its natural geographical advantages, the Golden Tea Belt at 27 ° N latitude has a unique environment of ""high altitude, low latitude, cloudy and foggy, low sunshine, original ecology, and no pollution"". It cultivates high-quality tea drink raw materials and has won multiple awards: Guizhou Province's pollution-free tea production area, designated tea for cultural and natural herit","Buying Cooperative, Distributor, Chain Store, Buying Office","Tea, Tea",Sales of Fanjing Mountain Tea,"ODM, OEM, OBM",贵蕊,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guizhou-Guirui-Agricultural-Development-Co-Ltd/1S00PDQND?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065PTW?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guizhou Hongchi Shui Group Co., Ltd.",Chinese Mainland,,Manufacturer,"Snack, Snack",生产及销售休闲零食、素食休闲食品，休闲素食（笋尖、海带、莲藕等）代工。,"OEM, OBM",,,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guizhou-Hongchi-Shui-Group-Co-Ltd-/1S00PDTKJ?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065Q9J?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
"Guizhou Jiajia Agricultural Products Co., Ltd.",Chinese Mainland    |    Factory in Chinese Mainland,,Others,"Frozen Meat, Frozen Meat","The product uses Guizhou Xishui Ma sheep, which graze on a variety of herbs and drink mountain spring water. It is a unique goat breed in Karst region and a nationally protected genetic resource. Ma sheep have short wool, strong limbs, and firm muscl",OBM,"东禾宴,羊贵人",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guizhou-Jiajia-Agricultural-Products-Co-Ltd-/1S00PDPSZ?fairCode=foodexpopro&locale=en,https://www.hktdc.com/event/foodexpopro/en/exhibitor/1S0065Q8M?fairCode=foodexpopro&locale=en,,,,,,,,,,,,,
