company name,location,,Nature of Business,Exhibit / Brand / Service Description,Product Strategy,Company Website,HKTDC Events,supplier_url,exhibitor_url,Company Background,Product / Service Range,Brand Name,Booth: 3E-C01   |   Hong Kong MedTech Association (HKMTA)   |   Hong Kong MedTech Association Pavilion,Certificates,Other Certificates,Booth: 3E-C09   |   Hong Kong MedTech Association (HKMTA)   |   Hong Kong MedTech Association Pavilion,Booth: 3E-A14   |   Medical Supplies and Disposables   |   ,Booth: 3D-D06   |   Rehabilitation and Elderly Care   |   ,Booth: 3D-D05   |   World of Health and Wellness   |   Chinese Mainland (Jilin),Booth: 3D-D40   |   Startup Zone   |   ,Booth: 3E-F33   |   Hospital Equipment and Digital Health   |   ,Booth: 3E-B25   |   Medical Supplies and Disposables   |   ,Booth: 3E-A38   |   Medical Supplies and Disposables   |   
ASSA ABLOY Entrance Systems Hong Kong Limited,Hong Kong,,"Service Company, Manufacturer","We will demonstrate how our automatic door entrance solutions are well-suited for hospitals and various parties, including both public and private hospitals, shopping malls, and different commercial buildings.","OBM, OEM",www.assaabloyentrance.com/hk/en,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/ASSA-ABLOY-Entrance-Systems-Hong-Kong-Limited/1S00P9HNM,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YYN5,"ASSA ABLOY Entrance Systems Hong Kong is a leader in entrance solutions, specializing in innovative products and services designed to enhance safety, convenience, and efficiency. As part of the global ASSA ABLOY Group, we offer a wide range of entrance automation solutions, including automatic doors, high-speed doors, loading dock equipment, and access control systems. Our commitment to quality and customer satisfaction drives our expertise in designing and implementing tailored solutions that meet the unique needs of various sectors, including retail, healthcare, logistics, and more. With a focus on sustainability and advanced technology, we deliver reliable products that improve user experience while ensuring security and compliance. We provide our own products, tailored access solutions, and maintenance services, offering 24/7 technical support.","Emergency Response System, Hospital Automation Systems, Smart Healthcare Platform & Solution","ASSA ABLOY,Entrance Systems,AAESHK",,,,,,,,,,,
"Meiji Health Tech Co., Limited",Hong Kong    |    Factory in Chinese Mainland,,"Export Agent, Manufacturer, Wholesaler",Meiji robotic bed is designed to improve patient quality of life and to assist nurse/ caretaker's workload. Meiji wound dressing is specifically designed to offer tailor-made healing which has proven to achieve high efficacy with less scars.,"OBM, ODM",https://www.mj12.cn/tn/home,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/MEIJI-HEALTH-TECH-CO-LIMITED/1S00P8ZDY,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YZY7,"Meiji Health Tech Co Ltd has productized and commercialized from in-depth R&D, successfully offered an innovative solution simultaneously to heal and rehabilitate bed-ridden patient, resulted in shortened healing time, better patient quality of life and subsequently reduce the workload of caretakers.","Wound Care & Dressing, Physical Therapy Equipment, Rehabilitation Equipment, Therapeutic Devices & Accessories, Elderly Care Product, Incontinence Pad, Smart Healthcare Platform & Solution, Nursing Beds, Medical Preparation & Production Equipment, Compression Therapy","Meiji robotic bed,Meiji wound dressing",,,,,,,,,,,
Ergotron Inc,USA,,"Professional Association, Buying Office, Government, Buying Cooperative","Mounting solution for Laptop, AIO, Monitor, Tablet, including computer carts, EMR carts, documentation carts and monitor arm.",Others,www.ergotron.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ergotron-Inc-/1S00P9CAU,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S0061N34,,Ward Facilities,Ergotron Inc.,,,,,,,,,,,
Pingtung Christian Hospital,Taiwan,,Others,"Medical appointment scheduling and arrangements. Consultation on medical procedures. Providing accommodation information for patients and their families. Offering living and travel information. Assisting with the application of diagnosis, and more.",Others,https://www.ptch.org.tw/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pingtung-Christian-Hospital/1S00OX1WB,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005ZG55,"Pingtung Christian Hospital was established by a group of medical missionaries from the United States, Norway, and Finland who were inspired by the love of Christ and devoted 20 to 30 years of their lives to Taiwan and upheld the noble tradition of ""going wherever there is a need."" PCH began as a humble clinic and transformed into a regional teaching hospital with over 600 beds. Throughout this journey, it safeguarded the health of the people in southern Taiwan and also made significant contributions to Taiwan's medical history in the areas of surgery, orthopedics, infectious disease treatment in the 1950s, physical therapy, and nurse assistant education. Our hospital not only offers various specialized medical treatments but is also committed to international humanitarian aid and social care. We provide a warm and comfortable medical environment, along with professional and high-quality medical care services, ensuring a safe and reassuring healthcare experience for international patients.","Medical and Healthcare Service, Fitness Centre, Electronic Health Product, Health Management and Consultancy, Fitness & Gym Equipment",,,,,,,,,,,,
Continental Supplies Ltd,Hong Kong    |    Factory in Chinese Mainland,,Distributor,"Medical equipment, medical supplies, physiotherapy equipment and rehabilitation equipment.",OEM,www.medishop.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2021 HKTDC Hong Kong International Medical and Healthcare Fair 2020 HKTDC Hong Kong International Medical and Healthcare Fair 2019 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Continental-Supplies-Ltd/1X05X3P2,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YYFT,"Continental Supplies Ltd specializes in medical equipment, medical supplies, physiotherapy equipment and rehabilitation equipment. We offer high-quality products, competitive prices and prompt delivery. Your satisfaction is always our first concern.","Ultrasound Equipment, Nursing Beds, Dental Supplies, Transfer and Lifting Aids, Physical Therapy Equipment, First Aid Equipment, Rehabilitation Equipment, Electronic Health Product, Diagnostic Imaging and IVD, Sterilization","Defibtech,Longest,Peaksonic,OriOri,Opump,Fomos,Wheely-x,BangBang,MagicWheel,Medisuper,Meike,XZ Right Gait& Posture,Sonostar",,,,,,,,,,,
Pro-Cure Medical Technology Company Limited,"Hong Kong    |    Factory in Korea, Republic Of",,Distributor,"ICG Non-invasive Cardic Output Monitor, Digital ENT Scope, Stress & Cardiovascular Monitor, Disposable Medical Gloves, Body Composition Analyser, Diabetes Care",Others,www.pro-cure.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Simply Shopping Fest 2022 HKTDC Hong Kong Gifts & Premium Fair 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2021 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Pro-Cure-Medical-Technology-Co-Ltd/1X04VDV2,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YYRT,"PRO-CURE MEDICAL TECHNOLOGY CO., LTD. was established in 2003, which is engaged in the marketing of hi-tech medical diagnosis equipment and instruments. Over the past ten years of rapid growth and development, we have earned a reputation for prompt delivery, extensive product knowledge and competitive price. Our products are well accepted and exported all over the world. We sincerely hope to establish mutual-benefit and long-trade relationship with the customers all the world. We look forward to being of service.","Diabetes Care, Electronic Health Product, Mental Health Assessment Tool, Mobile Health Apps for Mental Health, Fitness & Gym Equipment, Psychosocial Rehabilitation","MediCore,BodyStat,medis,EasyMax,SafeHealth,MiiS",,,,,,,,,,,
Bodycare Company Limited,Hong Kong,,"Export Agent, Distributor","Vesta, Zeuswave, Tesla, Lazer, Ict Interferential, Ultrasound...",OBM,www.bodycareco.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Home Delights Expo 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Home Delights Expo 2022 HKTDC Hong Kong Sports and Leisure Expo 2022 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Bodycare-Co-Ltd/1X04VDZY,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YZDY,"We are a company of providing quality medical products, including treatment table, medical equipment, rehabilitation supplies, orthopedic and surgical supplies. We providing over 300 products in Hong Kong and Macao market with over 15 years.","Medical Consumable, Medical Preparation & Production Equipment, Therapeutic Devices & Accessories","ZEUSWAVE,BODYCARE,VESTA",,,,,,,,,,,
Delta Pyramax Engineering Limited,Hong Kong    |    Factory in Chinese Mainland,,Distributor,"Through worldwide sourcing, we are bringing innovative products and solutions from Diabetes Care, Building Technology, Hospital Equipment, Patient Monitoring System, Elderly Care and Rehabilitation, to other Wellness and Assistive solutions.",Others,www.deltapyramax.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023 HKTDC Hong Kong International Medical and Healthcare Fair 2022 HKTDC Hong Kong International Medical and Healthcare Fair 2021 HKTDC Hong Kong International Medical and Healthcare Fair 2019 HKTDC Hong Kong International Medical Devices and Supplies Fair 2018 Show More,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Delta-Pyramax-Engineering-Ltd/1X04VEHD,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005Z4IE,"Founded in 1999, Delta Pyramax Engineering has most experience in construction and installation work. Having diversified and explored new markets, Delta Pyramax Engineering has more than 10 years’ experience in hospital infrastructure product. To further carry out our commitment to provide quality standard of living with technology and efficiency, we have increased sourcing from Europe and USA for rehabilitation and health monitoring systems.","Fall Prevention and Preventive Care Solutions, Swallowing Aids, Sterilization, Diabetes Care, Transfer and Lifting Aids, Rehabilitation Equipment, Physical Therapy Equipment, Respiratory Care Device, Wheelchair, Elderly Care Product","Restorative Therapies,OMNIFIT,DangQLac",,,,,,,,,,,
DexRobot (Hong Kong) Limited,Hong Kong    |    Factory in Chinese Mainland,,"Service Company, Retailer, Distributor, Manufacturer","MiniMore is a high-end service robot featuring autonomous navigation, smart interaction, and precise manipulation. Designed for versatile settings like elderly homes, it provides end-to-end intelligent services including guest greeting and patrols.",OBM,www.dexsenior.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026,https://sourcing.hktdc.com/en/Supplier-Store/Profile/DexRobot-Hong-Kong-Limited/1S00P8L6X,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YZUJ,"Company Profile DexRobot (HK) Ltd., operating under the brand DexSenior, combines ""dexterity"" with ""senior."" Our logo, inspired by the ancient Chinese ""foot"" character, symbolizes mobility. We believe that smart technology can enhance movement and independence for the silver generation. Product Overview Our parent company, Zhejiang DexRobot, is a leader in humanoid and industrial robotics R&D. Our flagship service robot, MiniMore, features autonomous navigation, intelligent interaction, and dexterous manipulation for residential and commercial use, providing services from guest reception to security patrols. In Jordan, DexSenior is a one-stop provider of smart living solutions for adults 50+. Our products support independent living and ease family care through three core series: - Dex Motion: Walking aids, canes, wheelchairs- Dex Lifting: Electric toilet aids, lift chairs - Dex Living: Home modifications, nursing beds Business Model We serve the market through B2B (elderly care homes) and B2C/O2O retail channels. Our experiential marketing includes professional gait assessments, custom cane workshops, product trials, and home modification consultations.","Respiratory Care Device, Wheelchair, Transfer and Lifting Aids, Elderly Care Product, Companion and Caring Robots, Rehabilitation Equipment, Physical Therapy Equipment, Walking Sticks and Walkers",DexSenior,,,,,,,,,,,
Enlighten Company Limited,Hong Kong    |    Factory in Hong Kong,,"Manufacturer, Private Individual, Exporter",1. IP-based Nurse Call System with Voice Intercom 2. Wireless Nurse Call System with floor map location indication,ODM,www.enlightenmed.com.hk/,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2021 HKTDC International Sourcing Show 2021 HKTDC Hong Kong International Medical and Healthcare Fair 2020,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Enlighten-Company-Limited/1X0B91Q7,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005Z4L5,"Enlighten is an experienced developer and manufacturer of wireless and IP-based nurse call and IOT products, specializing in Nurse Call, Fall Prevention, Anti-Wandering and Smart Sensors. We were incorporated in 2015 and have been consistently helping our clients leverage on IoT to find innovative solutions to their business problems. We aim to develop innovative products that can benefit the society, more environmental friendly and improve the quality of life for elderly, patients and caregivers by advanced technology.","Remote Patient Monitoring Solution, Patient Monitoring System, Fall Prevention and Preventive Care Solutions, Elderly Care Product, Monitoring Support Devices and Solutions, Manufacturing Solution",Enlighten,,,Test Report Issued By ATL Type - Valid Date (N/A) - 26 Dec 2016 CE Issued By ATL Type - Valid Date (N/A) - 10 Jan 2017 Show More,,,,,,,,
Hanshin Technology Limited,Hong Kong    |    Factory in Chinese Mainland,,Manufacturer,Falling Detection System ; Anti-Wandering System ; In-bed Healthcare System; Smart Wearable Thermometer; Smart Hygiene Shower Robot; eHome Care365; Smart Monitoring Mattress,"ODM, OEM, Others, OBM",aiecare.com,Exhibited in HKTDC Event(s) in recent years HKTDC Hong Kong International Medical and Healthcare Fair 2026 HKTDC Hong Kong International Medical and Healthcare Fair 2025 HKTDC Hong Kong International Medical and Healthcare Fair 2024 HKTDC Hong Kong Baby Products Fair 2024 HKTDC Hong Kong International Medical and Healthcare Fair 2023,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hanshin-Technology-Limited/1X0AZ25P,https://www.hktdc.com/event/hkmedicalfair/en/exhibitor/1S005YYM8,"In observation of the global aging and inspiration of Gerontech trend, we aim to develop and provide the best healthcare solution to our customers and also contribute to our society at the same time. After three years of continuous efforts from R&D team, a series of eCare products have been launched recently and there is positive response from different industries.","Hospital Automation Systems, Wearable Devices/Sensors, Mobile Health Apps for Mental Health, Patient Monitoring System, Smart Healthcare Platform & Solution, Smart Robot",Hanshin eCare,,,,,,,,,,,
