event_title,event_url,event_date,event_format,event_location,event_start_date,event_end_date
SME Go Global Masterclass 2026: AI Customer Acquisition • Smart Logistics • Digital Trade Finance,https://home.hktdc.com/en/factsheet/FS-kAncNhqF_DA_Seminar_0326,26 Mar 2026,Seminar,Hong Kong,2026-03-26 00:00:00,2026-03-26 00:00:00
HKTDC Hong Kong Electronics Fair (Spring Edition) 2026 (HKCEC),https://www.hktdc.com/event/hkelectronicsfairse,13 - 16 Apr 2026,Exhibition,Hong Kong,2026-04-13 00:00:00,2026-04-16 00:00:00
InnoEX 2026 (HKCEC),https://www.hktdc.com/event/innoex,13 - 16 Apr 2026,Exhibition,Hong Kong,2026-04-13 00:00:00,2026-04-16 00:00:00
HKTDC Hong Kong International Lighting Fair (Spring Edition) 2026 (HKCEC),https://www.hktdc.com/event/hklightingfairse,20 - 23 Apr 2026,Exhibition,Hong Kong,2026-04-20 00:00:00,2026-04-23 00:00:00
HKTDC Smart Lighting Expo 2026 (HKCEC),https://smartlightingexpo.hktdc.com/,20 - 23 Apr 2026,Exhibition,Hong Kong,2026-04-20 00:00:00,2026-04-23 00:00:00
Fashion InStyle 2026 (HKCEC),https://www.hktdc.com/event/fashioninstyle/en,27 - 30 Apr 2026,Exhibition,Hong Kong,2026-04-27 00:00:00,2026-04-30 00:00:00
HKTDC Hong Kong Gifts & Premium Fair 2026 (HKCEC),https://www.hktdc.com/event/hkgiftspremiumfair,27 - 30 Apr 2026,Exhibition,Hong Kong,2026-04-27 00:00:00,2026-04-30 00:00:00
DeLuxe PrintPack Hong Kong 2026 (AsiaWorld-Expo),https://www.hktdc.com/event/deluxeprintpackhk,27 - 30 Apr 2026,Exhibition,Hong Kong,2026-04-27 00:00:00,2026-04-30 00:00:00
Home InStyle 2026 (HKCEC),https://www.hktdc.com/event/homeinstyle/en,27 - 30 Apr 2026,Exhibition,Hong Kong,2026-04-27 00:00:00,2026-04-30 00:00:00
Hong Kong International Printing & Packaging Fair 2026 (AsiaWorld-Expo),https://www.hktdc.com/event/hkprintpackfair,27 - 30 Apr 2026,Exhibition,Hong Kong,2026-04-27 00:00:00,2026-04-30 00:00:00
HKTDC Hong Kong International Licensing Show & Asian Licensing Conference 2026 (HKCEC),https://www.hktdc.com/event/hklicensingshow/en,27 - 29 Apr 2026,"Exhibition, Conference",Hong Kong,2026-04-27 00:00:00,2026-04-29 00:00:00
HKTDC Hong Kong International Medical and Healthcare Fair 2026 (HKCEC),https://www.hktdc.com/event/hkmedicalfair,11 - 13 May 2026,Exhibition,Hong Kong,2026-05-11 00:00:00,2026-05-13 00:00:00
Asia Summit on Global Health 2026,https://www.asiasummitglobalhealth.com/conference/asgh/en,11 - 12 May 2026,"Conference, Forum",Hong Kong,2026-05-11 00:00:00,2026-05-12 00:00:00
HKTDC Hong Kong Book Fair 2026 (HKCEC),https://hkbookfair.hktdc.com/en/index.html,15 - 21 Jul 2026,"Exhibition, Public Event",Hong Kong,2026-07-15 00:00:00,2026-07-21 00:00:00
HKTDC Hong Kong Book Fair 2026 (HKCEC),https://hkbookfair.hktdc.com/en/index.html,15 - 21 Jul 2026,"Exhibition, Public Event",Hong Kong,2026-07-15 00:00:00,2026-07-21 00:00:00
HKTDC Hong Kong Sports and Leisure Expo 2026 (HKCEC),https://www.hktdc.com/event/hksportsleisureexpo/en,15 - 21 Jul 2026,"Exhibition, Public Event",Hong Kong,2026-07-15 00:00:00,2026-07-21 00:00:00
HKTDC World of Snacks 2026 (HKCEC),https://www.hktdc.com/event/worldofsnacks/en,15 - 21 Jul 2026,"Exhibition, Public Event",Hong Kong,2026-07-15 00:00:00,2026-07-21 00:00:00
HKTDC Food Expo PRO 2026 (HKCEC),https://www.hktdc.com/event/foodexpopro/en,13 - 15 Aug 2026,Exhibition,Hong Kong,2026-08-13 00:00:00,2026-08-15 00:00:00
HKTDC Hong Kong International Tea Fair 2026 (HKCEC),https://www.hktdc.com/event/hkteafair,13 - 15 Aug 2026,"Exhibition, Public Event",Hong Kong,2026-08-13 00:00:00,2026-08-15 00:00:00
HKTDC Food Expo 2026 (HKCEC),https://www.hktdc.com/event/hkfoodexpo,13 - 17 Aug 2026,"Exhibition, Public Event",Hong Kong,2026-08-13 00:00:00,2026-08-17 00:00:00
HKTDC Home Delights Expo 2026 (HKCEC),https://www.hktdc.com/event/homedelights/en,13 - 17 Aug 2026,"Exhibition, Public Event",Hong Kong,2026-08-13 00:00:00,2026-08-17 00:00:00
HKTDC Beauty & Wellness Expo 2026 (HKCEC),https://www.hktdc.com/event/hkbeautyexpo/en,13 - 17 Aug 2026,"Exhibition, Public Event",Hong Kong,2026-08-13 00:00:00,2026-08-17 00:00:00
Salon de TIME 2026 (HKCEC),https://www.hktdc.com/event/te,1 - 5 Sep 2026,"Exhibition, Public Event",Hong Kong,2026-09-01 00:00:00,2026-09-05 00:00:00
HKTDC Hong Kong Watch & Clock Fair 2026 (HKCEC),https://www.hktdc.com/event/hkwatchfair,1 - 5 Sep 2026,Exhibition,Hong Kong,2026-09-01 00:00:00,2026-09-05 00:00:00
CENTRESTAGE 2026 (HKCEC) ,https://centrestage.com.hk/,2 - 5 Sep 2026,"Exhibition, Public Event",Hong Kong,2026-09-02 00:00:00,2026-09-05 00:00:00
HKTDC Hong Kong Electronics Fair (Autumn Edition) 2026 (HKCEC),https://www.hktdc.com/event/hkelectronicsfairae,13 - 16 Oct 2026,Exhibition,Hong Kong,2026-10-13 00:00:00,2026-10-16 00:00:00
electronicAsia 2026 (HKCEC),https://www.hktdc.com/event/electronicasia,13 - 16 Oct 2026,Exhibition,Hong Kong,2026-10-13 00:00:00,2026-10-16 00:00:00
Eco Expo Asia 2026 (AsiaWorld-Expo),https://www.hktdc.com/event/ecoexpoasia,26 - 29 Oct 2026,Exhibition,Hong Kong,2026-10-26 00:00:00,2026-10-29 00:00:00
HKTDC Hong Kong International Lighting Fair (Autumn Edition) 2026 (HKCEC),https://www.hktdc.com/event/hklightingfairae,27 - 30 Oct 2026,Exhibition,Hong Kong,2026-10-27 00:00:00,2026-10-30 00:00:00
HKTDC Hong Kong International Optical Fair 2026,https://www.hktdc.com/event/hkopticalfair,4 - 6 Nov 2026,Trade Fair,Hong Kong,2026-11-04 00:00:00,2026-11-06 00:00:00
HKTDC Hong Kong International Wine and Spirits Fair 2026 (HKCEC),https://www.hktdc.com/event/hkwinefair,5 - 7 Nov 2026,Exhibition,Hong Kong,2026-11-05 00:00:00,2026-11-07 00:00:00
Hong Kong International Stationery and School Supplies Fair 2027 (HKCEC),https://www.hktdc.com/event/hkstationeryfair,11 - 14 Jan 2027,Exhibition,Hong Kong,2027-01-11 00:00:00,2027-01-14 00:00:00
HKTDC Hong Kong Toys & Games Fair 2027 (HKCEC),https://www.hktdc.com/event/hktoyfair,11 - 14 Jan 2027,Exhibition,Hong Kong,2027-01-11 00:00:00,2027-01-14 00:00:00
HKTDC Hong Kong Baby Products Fair 2027,https://www.hktdc.com/event/hkbabyfair,11 - 14 Jan 2027,Exhibition,Hong Kong,2027-01-11 00:00:00,2027-01-14 00:00:00
