booth_no,company_name_cn,company_name_en,expo_show_id,expo_enterprises_exhibit_id,expo_enterprises_id,expo_manual_form_exhibit_id
E1-A326,上海恒量量具有限公司,"Shanghai Hengliang Measuring Tools Co., Ltd",12,16387,7581,16675
E1-A331,哈尔滨先锋机电技术开发有限公司,"Harbin Pioneer M&E Technical Development Co., Ltd.",12,16746,602,0
E1-A332,苏州仕科泰新材料科技有限公司,"SuZhou ShiKeTai Advanced MaterialsTechnology Co.,Ltd",12,16374,7720,16529
E1-A333,昆山雷柏士精密科技有限公司,KUNSHAN LABOS PRECISION TECHNOLOGY .LTD,12,16756,7659,0
E1-A335,深圳市海洲数控机械刀具有限公司,"HEI CHOW PRECISION TOOLS CO.,LTD",12,16341,7024,17957
E1-A336,中优量具有限公司,"Zhongyou Measuring Tool Co., Ltd",12,18793,8047,20359
E1-A337,东莞市得克工具有限公司,"Dongguan Deke Tools Co.,Ltd",12,16646,3153,0
E1-A338,三门峡中原精密有限公司,"Sanmenxia Zhongyuan Jing Mi Co., Ltd.",12,16656,605,17758
E1-A381,济南圣达建业量具有限公司,"Jinan Shengda Jianye Measuring Tools Co. , Ltd.",12,16903,4389,17933
E1-A382,无锡恩梯量仪科技有限公司,"Wuxi NT Gage Tech Co.,Ltd",12,17231,2707,17462
E1-A383,苏州汉测测量设备有限公司,Hance Measurement,12,17013,6658,17764
E1-A401,百斯图工具制造有限公司,"SofTool Manufacturing Co., Ltd.",12,16535,124,17549
E1-A402,温岭市宇弘机械设备有限公司,"WENLING YUHONG MACHINERY CO.,LTD",12,18532,2322,17442
E1-A403,杭州超尔切削工具有限公司,"Hangzhou Chai Cutting Tools Co., Ltd",12,17786,1950,19933
E1-A411,成都锋宜银虎数控刀具有限公司,"FENGYI YINHU(CHENGDU)NC TOOLS CO.,LTD",12,17987,120,18617
E1-A412,株洲精工硬质合金有限公司,"ZHUZHOU JINGGONG CEMENTED CARBIDE CO.,LTD.",12,17374,1891,20576
E1-A413,东莞市御钻数控科技有限公司,Dongguan YuZuan CNC technology Co Ltd,12,16865,2912,17103
E1-A415,嘉兴鸷锐新材料科技有限公司,"JiaXing Z-SHARP Advanced Materials Technology Co., Ltd.",12,17829,4796,18116
E1-A421,厦门鸿鹭联创工具有限公司,egretool,12,16701,3356,0
E1-A422,苏州盈通精密五金工具有限公司,"Suzhou Yingtong Precision Hardware Tools Co., Ltd",12,17449,2586,19984
E1-A423,中原内配集团鼎锐科技有限公司,"Zynp Group Ding Rui Technology Co., Ltd.",12,17274,42,19840
E1-A425,惠州市明锐精密工具有限公司,"Huizhou Mingrui Precision Tools Co., LTD.",12,17043,1802,0
E1-A431,山东金杰机械有限公司,"Shandong Jinjie Machinery Co., Ltd.",12,17028,123,17701
E1-A432,东莞市同诺精密机械配件有限公司,DONGGUANSHITONGNUOJIXIEPEIJIANYOUXIANGONGSI,12,17767,6981,0
E1-A433,株洲立法硬质合金股份有限公司,"Zhuzhou LIFA Cemented Carbide Industrial Co., Ltd.",12,18510,507,0
E1-A435,鸿辛智能科技（上海）有限公司,"HONSCHAFT Intelligent & Technology Co,.Ltd",12,18059,6806,18630
E1-A481,烟台思源智能科技有限公司,"Yntai Si Yuan Intelligent Technology Co.,LTD",12,16538,7741,0
E1-A482,宝利锋（山东）数控刀具有限公司,"Baolifeng (Shandong) CNC Tools Co., Ltd.",12,17083,6757,0
E1-A483,沈阳乐贝真空技术有限公司,"Shenyang Lebuy Vacuum Tech. Co. ,Ltd.",12,17085,5472,0
E1-A485,台州卡赛精密工具有限公司,"Cassar Precision Tools Co., Ltd.",12,17102,449,0
E1-A486,广东双利刀具有限公司,"Guangdong Shuangli Cutting Tools Co.,Ltd.",12,17139,8100,17713
E1-A487,无锡拉尔夫刀具有限公司,"wuxi ralph cuttingtool Co.,Ltd",12,17217,3134,17052
E1-A501,常州市铭鹭硬质合金工具有限公司,"Changzhou Minglu Cemented Carbide Tools Co,.LTD",12,17529,2394,0
E1-A502,安徽荣徽精密工具有限公司,"Anhui Ronghui Precision Tools Co., Ltd",12,16441,6438,0
E1-A503,武汉泰尔斯刀具有限公司,Wuhan tylls tools company limited,12,17734,3027,17620
E1-A505,百分百夹具机械设备（广州）有限公司,"100% fixture mechanical  equipment (Guangzhou) Co., Ltd",12,17439,6872,0
E1-A506,温岭市鼎泰工具厂,"Wenling DingTai Tools Co.,Ltd",12,17082,7903,18054
E1-A507,宁波爱特佳齿刀有限公司,"Ningbo Aitejia Spline Rack Co., Ltd",12,16471,3201,17347
E1-A508,北京若垦自动化设备有限责任公司,"Beijing Rocken Automation Equipment Co., Ltd.",12,18024,230,18970
E1-A509,宝鸡艾必希精密工具有限公司,Baoji IBC Precision Tools Co. Ltd.,12,16498,3144,17532
E1-B001,南京康尼精密机械有限公司,"Nanjing Kangni Precision Mechanics Co., Ltd.",12,17544,168,16542
E1-B101,秦川机床工具集团股份公司,Qinchuan Machine Tool & Tool Group Corp.,12,18211,178,16373
E1-B181,重庆富邦工具制造有限公司,Chongqing Forbon tools Manfacturing Co，Ltd,12,18220,3939,0
E1-B182,东莞市耐固智能装备有限公司,"Dongguan NAIGOO Intelligent Equipment Co.,LTD",12,16518,6781,19025
E1-B183,哈尔滨中自精合精密仪器有限公司,"Harbin Zhongzi Jinghe Precision Instruments Co., Ltd.",12,16856,210,0
E1-B201,湖南中大创远数控装备有限公司,"Hunan ZDCY CNC Equipment Co., Ltd.",12,17715,182,19101
E1-B202,福清市永裕来齿轮有限公司,"Fuqing Yong Yu Lai Gear Co.,Ltd.",12,16432,216,16408
E1-B211,上海星合机电有限公司,"Shanghai Thinkhead M&E Co., Ltd",12,17606,223,0
E1-B281,哈尔滨东安利峰刀具有限公司,"Harbin Dong'an Lifeng Cutter Co., Ltd.",12,17546,110,17833
E1-B282,广东翔鹭钨业股份有限公司,"GUANGDONG XIANGLU TUNGSTEN CO., LTD.",12,17061,8003,17619
E1-B283,天津谦丰智能装备制造有限公司,"Tianjin Qianfeng Intelligent Equipment Manufacturing Co., Ltd.",12,17753,9353,18683
E1-B301,安徽力成智能装备股份有限公司,"Lecn Anhui Co., Ltd",12,18095,164,16740
E1-B302,湖北恒泽智能装备有限公司,"HUBEI HengZe Intelligent Equipment CO.,LTD",12,17699,6401,17068
E1-B303,盐城华兴机床有限公司,"Yancheng Huaxing Machine Tool CO.,LTD",12,18255,4339,0
E1-B305,南京工大数控科技有限公司,"Nanjing Gongda CNC Technology Co.,Ltd",12,17818,221,18568
E1-B311,自贡硬质合金有限责任公司,"ZIGONG CEMENTED CARBIDE CORP.,LTD.",12,18273,96,0
E1-B312,速豹精密切削技术（苏州）股份有限公司,"Speed Leopard Precision Cutting Technology (Suzhou) Co., Ltd",12,16676,505,18322
E1-B313,重庆中电天时精密装备技术有限公司,"Chongqing Timsens Precision Equipment Technologies Co.,Ltd.",12,18176,6690,18495
E1-B315,上海剑平动平衡机制造有限公司,"Shanghai Jianping Dynamic Balancing Machine Manufacturing Co., Ltd",12,16913,520,17391
E1-B316,远届测控设备（青岛）有限公司,"Yuanjie Metrology (Qingdao) Co., Ltd",12,16935,7075,16264
E1-B317,成都道勤数控刀具有限公司,Daoqin Tools Ltd.,12,18131,499,17213
E1-B381,武汉格威机械有限责任公司,"Wuhan  Gearway  heavy  machinery  manufacturing  Co.,LTD",12,18392,166,19948
E1-B382,宝鸡市畅博机床工具股份有限公司,"Baoji Changbo Machine Tools Co., Ltd.",12,17731,240,17295
E1-B383,简博斯光学科技（上海）有限公司,"JANPOS TECHNOLOGY CO., LTD.",12,16405,7797,16734
E1-B385,青岛海拓精密仪器有限公司,"Qingdao Haituo Precision Instrument Co., Ltd.",12,17378,231,20547
E1-B386,深圳市精达工量具有限公司,"Shenzhen Jingda Tool & Measuring Instrument Co.,Ltd.",12,17407,2402,0
E1-B387,宁波怡信数字科技有限公司,"Ningbo Easson Inspection Technology Co., Ltd.",12,17517,7535,18170
E1-B401,株洲坤锐硬质合金有限公司,"Zhuzhou Kunrui Carbide Co.,Ltd",12,18391,1833,0
E1-B402,哈尔滨中天数控工具有限责任公司,"HARBIN ZHONGTIAN NC. TOOLS.CO.,LTD",12,17066,593,18789
E1-B403,常州市铭泰顺硬质合金有限公司,"Changzhou Mingtaishun Carbide co., Ltd.",12,18334,6573,0
E1-B405,元韬（常州）精密切削技术有限公司,WINTEND(CHANGZHOU )PRECISION CUTTING TOOL TECHNOLOGY CO LTD.,12,16399,1803,20582
E1-B411,浙江维高精密工具有限公司,"Zhejiang Vigor Precision Tools Co., Ltd.",12,16660,7913,0
E1-B412,台州希通工具有限公司,"TAIZHOU XITONG TOOL CO.,LTD",12,16346,8134,20497
E1-B413,科弦精密工具（浙江）有限公司,"Kexian Precision Tools (Zhejiang) Co.,Ltd.",12,17376,6647,16636
E1-B415,上海钰工工具有限公司,Tec-Spiral Enterprises Co.，Ltd,12,17573,941,19961
E1-B416,东莞市笑镗螂切削工具制造有限公司,"Dongguan Xiao Tanglang Cutting Tool Manufacturing Co., Ltd.",12,16557,6678,17811
E1-B417,平湖市共力工具厂,Pinghu Gongli Tools Factory,12,16404,6799,17235
E1-B418,常州科力源工具有限公司,"Changzhou Keliyuan Tools Co., Ltd.",12,16709,592,18401
E1-B419,成都岷江精密刀具有限公司,"Chengdu Minjiang Precision Cutting-tool Co., Ltd",12,16745,2170,19714
E1-B420,泗水春景机械有限公司,"SiShui ChunJing Machinery Co.,Ltd",12,17269,8071,20155
E1-B421,东莞起源数控刀具有限公司,DONGGUANQIYUANNCTOOLCO.LTD,12,16720,2538,20008
E1-B422,南京多特工具有限公司,"Nanjing TotemTools Co.,Ltd",12,18322,9451,19124
E1-B425,杭州格进工具有限公司,"Hangzhou Gejin Tools Co., Ltd",12,16384,8319,19959
E1-B426,扬州新江正工具有限公司,"YANGZHOU XINJIANGZHENG TOOLS CO.,LTD",12,18612,944,16803
E1-B427,常州巨烨工具有限公司,"CHANGZHOU JUYE TOOLS CO.,LTD.",12,16950,599,19974
E1-B428,株洲卓然新材料有限公司,"ZHUZHOU ZORAN NEW MATERIAL Co., Ltd",12,16496,6445,0
E1-B429,广东北极光硬质合金有限公司,"Guangdong Wandecut Carbide Co.,Ltd.",12,16419,7883,0
E1-B430,武汉普诺克精密工具有限公司,"Wuhan Protech Precision tools Co.,Ltd.",12,16503,6767,18460
E1-B441,上海申利螺纹工具有限公司,"SHANGHAI SHENLI THREADING TOOLS CO.,LTD.",12,18137,932,0
E1-B442,台州科利特工具有限公司,"TAIZHOU KELITE TOOLS CO., LTD",12,17666,952,18058
E1-B443,温岭市奥邦精密工具有限公司,"Wenling Obang Precision Tools Co. , Ltd.",12,17120,2904,17012
E1-B445,株洲肯特硬质合金股份有限公司,"ZHUZHOU KINGTAL CEMENTED CARBIDE CO.,LTD.",12,16853,4629,20540
E1-B446,台州百特工具有限公司,"TAIZHOU BAITE TOOLS CO.,LTD",12,17127,7590,0
E1-B451,镇江杰可机电工具有限公司,Zhenjiang Scharp Machinery Tools Co Ltd.,12,16365,724,0
E1-B452,常州茂宏工具有限公司,"CHANGZHOU MAOHONG TOOLS CO.,LTD.",12,16364,3080,0
E1-B453,浙江易立刀具有限公司,"Zhejiang Yili Tool Co., Ltd.",12,18449,603,16909
E1-B455,四川瀚宇浩洋工具有限公司,"Sichuan Hanyuhaoyang  Tools  co.,LTD",12,16353,2948,19973
E1-B456,台州市科驰机械有限公司,"Taizhou Kechi Machinery Co.,Ltd.",12,17123,2291,17695
E1-B457,台州中天工具有限公司,"Taizhou Zhongtian Tools Co.,Ltd",12,16764,587,0
E1-B458,温州市瑞拓数控机电设备有限公司,RUITUO TOOLS,12,17545,6938,0
E1-B459,台州市凌锋机械有限公司,"Taizhou Lingfeng machinery co.,ltd",12,16730,3216,0
E1-B461,深圳市鹰旗实业有限公司,"Shenzhen Eagle Industrial Co., Ltd.",12,16533,609,16597
E1-B462,汉中万目仪电有限责任公司,"Hanzhong Wanmu Instrument & Eelectric Equipment Co., Ltd.",12,16378,604,19371
E1-B463,桂林安一量具股份有限公司,"Anyi Instrument Co., Ltd.",12,17458,607,18965
E1-B465,上海中瑞量仪技术合作公司,"Shanghai C&S Measuring Instrument Tech Co.,",12,17893,606,0
E1-B466,浙江三丰精密工具有限公司,"Zhejiang Sanfeng Precision Tools Co., Ltd.",12,16597,6459,17448
E1-B467,西安秦越精密工具有限公司,"Xi'an Qinyue Precision Tools Co., Ltd",12,16938,7796,0
E1-B468,山东峻海新材料科技有限公司,"Shandong Junhai new material Technology Co., LTD",12,17071,6726,0
E1-B469,江苏拓普工具有限公司,JIANGSU TOPO TOOLS,12,16408,7949,19834
E1-B481,北京金利斯特机电技术有限公司,"Beijing JLST Machine and Electical Technology Co., Ltd.",12,17983,450,18261
E1-B482,浙江至广精密工具有限公司,"Zhejiang Zhiguang Precision Tools Co.,Ltd.",12,18035,3092,0
E1-B483,常州市迈瑞廷涂层科技有限公司,"ChangzhouMercuryCoatingTechnologyCo.,Ltd.",12,18244,8182,16565
E1-B485,台州市优丰工具制造有限公司,"TAIZHOU CITY YOUFENG TOOL MANUFACTURING CO.,LTD.",12,18063,837,20575
E1-B486,太原精钨数控科技股份有限公司,"Taiyuan Precision Carbide NC Technology Co., Ltd.",12,18116,436,0
E1-B487,台州宏峰工具有限公司,TAIZHOU HONGFENG TOOLS,12,18183,7508,0
E1-B501,宏富信精密科技（北京）有限公司,"Honfusen Precision Technology (Beijing) Co., Ltd.",12,18010,239,17420
E1-B502,哈尔滨创博科技有限公司,"Harbin Chuangbo Technology Co., Ltd.",12,17663,162,19140
E1-B503,硕德（北京）科技有限公司,"Solid (Beijing) Technology Co., Ltd.",12,16864,282,16436
E1-B505,北京凯达科仪科技有限公司,KAIRDA GROUP CORPORATION,12,17917,798,0
E1-B506,上海诺旭机电科技有限公司,"Shanghai Norxy Mechanical & Electrical Technology Co,LTD.",12,16859,1948,20476
E1-B507,天津天门精机科技有限公司,"Tianjin Tianmen Precision Machine Co., Ltd.",12,17211,283,0
E1-B508,上海佐仞精密刀具有限公司,"ZUOREN CUTTING TOOLS (SHANGHAI)CO.,LTD",12,17141,2459,17311
E1-B509,大连丰乐科技有限公司,"Dalian Fengle Technology Co., Ltd.",12,17891,457,0
E2-A003,,"KSK Precise Motion,a.s",12,19108,8580,0
E2-A004,海泰格,"HESTEGO,a.s.",12,19037,8653,0
E2-A005,,ITS Group,12,19036,8654,0
E2-A008,,"VÚTS, a.s.",12,19107,8605,0
E2-A101,意大利帕马公司,PAMA SpA,12,19148,999,0
E2-A102,高达比尼,GALDABINI,12,19100,1036,20096
E2-A103,HYDROBLOCK S.R.L.,HYDROBLOCK S.R.L.,12,19124,1026,20224
E2-A104,,ROTOMORS SPA,12,19095,9773,0
E2-A105,UMBRAGROUP,UMBRAGROUP,12,19137,8418,0
E2-A106,保定向阳吉拉蒂机械有限公司,Gerardi Spa,12,19094,3683,0
E2-A111,意大利赛伯平衡机公司,CEMB,12,18776,1384,0
E2-A112,威迈斯,VMS,12,19090,6677,0
E2-A113,意大利理卡特公司,LICAT Srl,12,19112,3565,20291
E2-A114,意大利拉察蒂机床公 司,LAZZATI SPA,12,19099,1467,20440
E2-A115,意大利罗博力斯有限责任公司苏州代表处,Roboris,12,19105,4745,20393
E2-A116,意大利菲迪亚公司,FIDIA S.p.A.,12,19091,1409,0
E2-A117,,M.C.M. MADAR COSTRUZIONI MECCANICHE SPA,12,19167,9880,20441
E2-A118,,TAMBURINI SRL,12,19096,9772,0
E2-A119,SPERONI,SPERONI,12,19119,1019,0
E2-A121,Tecnologie FRB,TECNOLOGIE FRB Srl,12,19106,1463,0
E2-A122,MANDELLI SRL,MANDELLI SRL,12,19122,1473,0
E2-A123,,M.T. S.r.l.,12,19102,3701,20273
E2-A131,OMG 公司,O.M.G. Srl,12,19101,1059,20462
E2-A132,BARUFFALDI spa,BARUFFALDI spa,12,19117,1452,0
E2-A133,格林海利公司,GHIRINGHELLI CENTERLESS SOLUTIONS,12,19093,3715,0
E2-A134,意大利对外贸易委员会上海代表处,Italian Trade Agency Shanghai Office,12,19059,9746,0
E2-A181,德讯工业自动化（大连）有限公司,"DEXUN Industrial Automation (Dalian) Co.,LTD",12,19027,4595,19871
E2-A186,赛夺科精密主轴技术（上海）有限公司,"SETCO PRECISION TECHNOLOGY(SHANGHAI)CO.,LTD",12,19072,1511,20257
E2-A201,浩扬精密机械（安庆）有限公司,"Haoyang  Precision  Machinery (Anqing)  CO.,LTD",12,18055,3670,20092
E2-A202,美国机械制造技术协会,AMT - The Association For Manufacturing Technology,12,18898,1476,19666
E2-A203,杰根斯（上海）贸易有限公司,Jergens Inc.,12,18922,1442,19809
E2-A204,柯特（常州）机械有限公司,Kurt Manufacturing Company,12,18915,1444,0
E2-A205,威克泰克精密机械（大连）有限公司,Vektek LLC,12,18913,1382,18611
E2-A206,优尼索勃贸易（上海）有限公司,UNISORB INSTALLATION SOLUTIONS,12,18991,1448,20343
E2-A207,雄狮精仪,LionPrecision,12,18989,1441,0
E2-A211,帕莱克机械（南京）有限公司,"Omega Tool Measuring Machines, Inc.",12,18940,1292,19934
E2-A212,上海善能机械有限公司,"SHANGHAI SUNNEN MECHANICAL CO., LTD.",12,18930,1447,19331
E2-A213,马思特液体解决方案,Master Fluids Solutions,12,19060,4680,20360
E2-A231,由特幂斯(上海)贸易有限公司,"Filtermist (Shanghai) Co., Ltd",12,18217,6676,17271
E2-A232,克林伯格机床（上海）有限公司,"KELLENBERGER MACHINE (SHANGHAI) CO., Ltd.",12,17823,7154,20161
E2-A281,特雷维桑机床有限公司,TREVISAN MACCHINE UTENSILI SPA,12,18497,3672,18760
E2-A282,北京新吉泰软件有限公司,CGTech China,12,16504,1699,16660
E2-A283,PIETRO CARNAGHI S.p.A.,PIETRO CARNAGHI S.p.A.,12,18500,5315,18464
E2-A301,宝力机械有限公司,PRO-TECHNIC MACHINERY LTD,12,16542,3287,19313
E2-A311,,Limited Liability Company KS-Progress,12,18123,9421,19758
E2-A312,,VIETNAM CULLINAN ELECTRIC COMPANY LIMITED,12,17592,9317,19779
E2-A313,浙江麦创姆精密机床有限责任公司,"MCM CHINA Precision Machine Tool Co.,Ltd.",12,17711,9345,20411
E2-A321,宁波德克刀具有限公司,"Ningbo Derek Tools  Co.,LTD",12,16531,4306,20051
E2-A331,岳崴科技股份有限公司,"A SUN PHOTONICS CO., LTD",12,17164,8469,20287
E2-A332,积架石油化工有限公司,JAEGER OIL & CHEMICAL CO LTD,12,17419,7725,19673
E2-A333,东莞市唯诺机械设备有限公司,"Dongguan Winuo Machinery Equipment Co., Ltd.",12,18903,9699,0
E2-A381,纳贝格轴承河北有限公司,"NabergBearingHeBeiCo.,Ltd",12,16841,8194,0
E2-A382,厦门英昊达精密设备有限公司,"Yinghaoda Precision Equipment Co., Ltd",12,18139,9426,18903
E2-A383,纳狮新材料股份有限公司,Naxau New Materials  Corporation,12,18614,5100,0
E2-A401,东莞市天罡仪器设备有限公司,"Dongguan  Tiangang instrument equipment CO.,LTD",12,18761,3485,18433
E2-A402,四砂泰利莱（青岛）研磨股份有限公司,"SISA ABRASIVES CO., LTD.",12,17337,967,0
E2-A403,昆山莱璟机电科技有限公司,"KUNSHAN LAIJING TECHNOLOGY CO.,LT",12,18321,9452,18940
E2-A411,东莞市星捷刀具有限公司,DONGGUAN XINGJIE CUTTING TOOL CO LTD,12,18094,9415,18273
E2-A412,东莞市金宁数控刀具有限公司,"Dongguan Jinning CNC Tool Co., Ltd.",12,18107,2651,18526
E2-A413,东莞市联肯数控刀具有限公司,"Dongguan Lianken CNC Tool Co., Ltd.",12,18803,9650,19023
E2-A415,东莞劲车切削刀具有限公司,"Dongguan Jinche Cutting Tools Co., Ltd.",12,18333,9455,18425
E2-A421,东莞市瑞山硬质合金刀具有限公司,"Dongguan Ruishan Hard Alloy Tool Co., Ltd.",12,18769,9652,18395
E2-A422,东莞市劲驰机械科技有限公司,"Dongguan Jinchi Machinery Technology Co. , Ltd.",12,18082,9412,18408
E2-A423,东莞市信邦数控刀具有限公司,DONGGUAN XINBANG CNC TOOLS CO .LTD.,12,17278,9268,18132
E2-A425,东莞远腾数控科技有限公司,"Dongguan Yuanteng Numerical Control Technology Co., Ltd.",12,18768,9651,18467
E2-A426,东莞市宝辉数控刀具有限公司,"Dongguan Baohui CNC Tools Co., LTD",12,18767,9649,18718
E2-A427,东莞市祐慈机电有限公司,"DONG GUAN YOUCI MECH ELECT CO.,LTD",12,17333,9276,18386
E2-A428,东莞市钻通五金有限公司,"DONGGUAN ZUANTONG HARDWARE CO.,LTD",12,16700,9164,18288
E2-A431,唐山铭企商贸有限公司,"TANGSHAN MINGQI TRADE CO.,LTD",12,16376,9108,18268
E2-A432,广东优能特五金科技有限公司,"Guangdong UNT Cutting TOOLS CO.,Ltd.",12,18081,9413,18316
E2-A433,东莞市井宁精密工具有限公司,"Dongguan Jingning Precision Tool Co., Ltd.",12,18790,9660,18409
E2-A435,东莞市浩联五金有限公司,"Dongguan Haolian Hardware Co.,Ltd.",12,18086,9414,18145
E2-A436,东莞市汇智切削工具技术有限公司,"DONGGUAN HUIZHI CUTTING TOOLS TECHNOLOGY CO.,LTD",12,18893,9695,18689
E2-A437,东莞市希微机电有限公司,"Dongguan Surewel Mech-Elec Co., LTD",12,17259,9266,18733
E2-A438,东莞市九利刀具有限公司,"Dongguan Jiuli CNC Tools Co., Ltd.",12,16945,9091,18815
E2-A439,东莞市诺克森精密科技有限公司,NPT INTERNATIONAL INC,12,18180,7486,18063
E2-A481,东莞市默德斯克数控刀具有限公司,"Dongguan AMGdo CNC Tool Co., Ltd.",12,18773,9655,18925
E2-A482,广东亚青精密设备有限公司,"Guangdong Yaqing Precision Equipment Co., Ltd",12,18766,9648,18819
E2-A483,东莞市日金数控刀具有限公司,"Dongguan Rijin CNC Tool Co., Ltd.",12,18561,9542,18724
E2-A501,香港寶興精密實業有限公司,"Rich Treasure Precision Industrial Co.,Ltd.",12,16752,9069,19656
E2-A502,苏州赛帕埃惜精机有限公司,"Cyber RC Co.,Ltd",12,17371,7646,16831
E2-A503,大越特殊金属（上海）有限公司,"OKOSHI SPECIAL METAL(SHANGHAI) CO.,LTD.",12,17087,9040,18861
E2-A505,东莞市圆启精密数控工具有限公司,"Dongguan yuanqi precision CNCTools co.,Ltd",12,17311,6696,18365
E2-A506,东莞市巨辰精密工具有限公司,DragonTech Precision Tool Co.，Ltd,12,18134,9419,18400
E2-B001,西班牙尼古拉斯克雷亚集团,Nicolas Correa S.A.,12,18811,1644,0
E2-B002,SHUTON S.L.U,SHUTON S.L.U,12,18962,1545,20510
E2-B003,密欧主轴制造（廊坊）有限公司,"Talleres MYL, S.A.U",12,18988,1438,0
E2-B101,达诺巴特集团（中国）,"Shanghai DanobatGroup Machinery Co.,Ltd.",12,18992,1262,19725
E2-B102,博士特,BOST Machine Tools Company,12,18952,3742,0
E2-B103,北京发格自动化设备有限公司,"Beijing Fagor Automation Equipment Co., Ltd.",12,18741,1437,0
E2-B104,古如资倍车削方案有限公司,GURUTZPE Turning Solutions S.L.,12,19054,3453,0
E2-B105,依巴米亚,"IBARMIA INNOVATEK, S.L.U.",12,19062,1433,20089
E2-B106,"GEMINIS LATHES, S.A.","GEMINIS LATHES, S.A.",12,18971,8399,0
E2-B107,萨亚,ZAYER,12,19069,1050,0
E2-B108,柯尔特,"Korta, s.a.u",12,18973,1436,0
E2-B181,恩镁钠,"EMENA,S.L.",12,19006,1071,19605
E2-B182,速雅梭,Zuazo SA,12,19041,7155,20463
E2-B183,马道拉,MECANICA DE PRECISION JOSE MADAULA S.A.,12,19023,9731,0
E2-B201,英福莱诺,INFRANOR Holding SA,12,16675,8309,19368
