昆山雷柏士精密科技有限公司,KUNSHAN LABOS PRECISION TECHNOLOGY .LTD,E1-A333,,,,,,,,,
深圳市海洲数控机械刀具有限公司,"HEI CHOW PRECISION TOOLS CO.,LTD",E1-A335,,,,,,,,,
中优量具有限公司,"Zhongyou Measuring Tool Co., Ltd",E1-A336,,,,,,,,,
东莞市得克工具有限公司,"Dongguan Deke Tools Co.,Ltd",E1-A337,,,,,,,,,
三门峡中原精密有限公司,"Sanmenxia Zhongyuan Jing Mi Co., Ltd.",E1-A338,,,,,,,,,
济南圣达建业量具有限公司,"Jinan Shengda Jianye Measuring Tools Co. , Ltd.",E1-A381,,,,,,,,,
无锡恩梯量仪科技有限公司,"Wuxi NT Gage Tech Co.,Ltd",E1-A382,,,,,,,,,
苏州汉测测量设备有限公司,Hance Measurement,E1-A383,,,,,,,,,
百斯图工具制造有限公司,"SofTool Manufacturing Co., Ltd.",E1-A401,,,,,,,,,
温岭市宇弘机械设备有限公司,"WENLING YUHONG MACHINERY CO.,LTD",E1-A402,,,,,,,,,
杭州超尔切削工具有限公司,"Hangzhou Chai Cutting Tools Co., Ltd",E1-A403,,,,,,,,,
成都锋宜银虎数控刀具有限公司,"FENGYI YINHU(CHENGDU)NC TOOLS CO.,LTD",E1-A411,,,,,,,,,
株洲精工硬质合金有限公司,"ZHUZHOU JINGGONG CEMENTED CARBIDE CO.,LTD.",E1-A412,,,,,,,,,
东莞市御钻数控科技有限公司,Dongguan YuZuan CNC technology Co Ltd,E1-A413,,,,,,,,,
嘉兴鸷锐新材料科技有限公司,"JiaXing Z-SHARP Advanced Materials Technology Co., Ltd.",E1-A415,,,,,,,,,
厦门鸿鹭联创工具有限公司,egretool,E1-A421,,,,,,,,,
苏州盈通精密五金工具有限公司,"Suzhou Yingtong Precision Hardware Tools Co., Ltd",E1-A422,,,,,,,,,
中原内配集团鼎锐科技有限公司,"Zynp Group Ding Rui Technology Co., Ltd.",E1-A423,,,,,,,,,
惠州市明锐精密工具有限公司,"Huizhou Mingrui Precision Tools Co., LTD.",E1-A425,,,,,,,,,
山东金杰机械有限公司,"Shandong Jinjie Machinery Co., Ltd.",E1-A431,,,,,,,,,
东莞市同诺精密机械配件有限公司,DONGGUANSHITONGNUOJIXIEPEIJIANYOUXIANGONGSI,E1-A432,,,,,,,,,
株洲立法硬质合金股份有限公司,"Zhuzhou LIFA Cemented Carbide Industrial Co., Ltd.",E1-A433,,,,,,,,,
鸿辛智能科技（上海）有限公司,"HONSCHAFT Intelligent & Technology Co,.Ltd",E1-A435,,,,,,,,,
烟台思源智能科技有限公司,"Yntai Si Yuan Intelligent Technology Co.,LTD",E1-A481,,,,,,,,,
宝利锋（山东）数控刀具有限公司,"Baolifeng (Shandong) CNC Tools Co., Ltd.",E1-A482,,,,,,,,,
沈阳乐贝真空技术有限公司,"Shenyang Lebuy Vacuum Tech. Co. ,Ltd.",E1-A483,,,,,,,,,
台州卡赛精密工具有限公司,"Cassar Precision Tools Co., Ltd.",E1-A485,,,,,,,,,
广东双利刀具有限公司,"Guangdong Shuangli Cutting Tools Co.,Ltd.",E1-A486,,,,,,,,,
无锡拉尔夫刀具有限公司,"wuxi ralph cuttingtool Co.,Ltd",E1-A487,,,,,,,,,
常州市铭鹭硬质合金工具有限公司,"Changzhou Minglu Cemented Carbide Tools Co,.LTD",E1-A501,,,,,,,,,
安徽荣徽精密工具有限公司,"Anhui Ronghui Precision Tools Co., Ltd",E1-A502,,,,,,,,,
武汉泰尔斯刀具有限公司,Wuhan tylls tools company limited,E1-A503,,,,,,,,,
百分百夹具机械设备（广州）有限公司,"100% fixture mechanical equipment (Guangzhou) Co., Ltd",E1-A505,,,,,,,,,
温岭市鼎泰工具厂,"Wenling DingTai Tools Co.,Ltd",E1-A506,,,,,,,,,
宁波爱特佳齿刀有限公司,"Ningbo Aitejia Spline Rack Co., Ltd",E1-A507,,,,,,,,,
北京若垦自动化设备有限责任公司,"Beijing Rocken Automation Equipment Co., Ltd.",E1-A508,,,,,,,,,
宝鸡艾必希精密工具有限公司,Baoji IBC Precision Tools Co. Ltd.,E1-A509,,,,,,,,,
南京康尼精密机械有限公司,"Nanjing Kangni Precision Mechanics Co., Ltd.",E1-B001,,,,,,,,,
秦川机床工具集团股份公司,Qinchuan Machine Tool & Tool Group Corp.,E1-B101,,,,,,,,,
重庆富邦工具制造有限公司,Chongqing Forbon tools Manfacturing Co，Ltd,E1-B181,,,,,,,,,
东莞市耐固智能装备有限公司,"Dongguan NAIGOO Intelligent Equipment Co.,LTD",E1-B182,,,,,,,,,
哈尔滨中自精合精密仪器有限公司,"Harbin Zhongzi Jinghe Precision Instruments Co., Ltd.",E1-B183,,,,,,,,,
湖南中大创远数控装备有限公司,"Hunan ZDCY CNC Equipment Co., Ltd.",E1-B201,,,,,,,,,
福清市永裕来齿轮有限公司,"Fuqing Yong Yu Lai Gear Co.,Ltd.",E1-B202,,,,,,,,,
上海星合机电有限公司,"Shanghai Thinkhead M&E Co., Ltd",E1-B211,,,,,,,,,
哈尔滨东安利峰刀具有限公司,"Harbin Dong'an Lifeng Cutter Co., Ltd.",E1-B281,,,,,,,,,
广东翔鹭钨业股份有限公司,"GUANGDONG XIANGLU TUNGSTEN CO., LTD.",E1-B282,,,,,,,,,
天津谦丰智能装备制造有限公司,"Tianjin Qianfeng Intelligent Equipment Manufacturing Co., Ltd.",E1-B283,,,,,,,,,
安徽力成智能装备股份有限公司,"Lecn Anhui Co., Ltd",E1-B301,,,,,,,,,
湖北恒泽智能装备有限公司,"HUBEI HengZe Intelligent Equipment CO.,LTD",E1-B302,,,,,,,,,
盐城华兴机床有限公司,"Yancheng Huaxing Machine Tool CO.,LTD",E1-B303,,,,,,,,,
南京工大数控科技有限公司,"Nanjing Gongda CNC Technology Co.,Ltd",E1-B305,,,,,,,,,
自贡硬质合金有限责任公司,"ZIGONG CEMENTED CARBIDE CORP.,LTD.",E1-B311,,,,,,,,,
速豹精密切削技术（苏州）股份有限公司,"Speed Leopard Precision Cutting Technology (Suzhou) Co., Ltd",E1-B312,,,,,,,,,
重庆中电天时精密装备技术有限公司,"Chongqing Timsens Precision Equipment Technologies Co.,Ltd.",E1-B313,,,,,,,,,
上海剑平动平衡机制造有限公司,"Shanghai Jianping Dynamic Balancing Machine Manufacturing Co., Ltd",E1-B315,,,,,,,,,
远届测控设备（青岛）有限公司,"Yuanjie Metrology (Qingdao) Co., Ltd",E1-B316,,,,,,,,,
成都道勤数控刀具有限公司,Daoqin Tools Ltd.,E1-B317,,,,,,,,,
武汉格威机械有限责任公司,"Wuhan Gearway heavy machinery manufacturing Co.,LTD",E1-B381,,,,,,,,,
宝鸡市畅博机床工具股份有限公司,"Baoji Changbo Machine Tools Co., Ltd.",E1-B382,,,,,,,,,
简博斯光学科技（上海）有限公司,"JANPOS TECHNOLOGY CO., LTD.",E1-B383,,,,,,,,,
青岛海拓精密仪器有限公司,"Qingdao Haituo Precision Instrument Co., Ltd.",E1-B385,,,,,,,,,
深圳市精达工量具有限公司,"Shenzhen Jingda Tool & Measuring Instrument Co.,Ltd.",E1-B386,,,,,,,,,
宁波怡信数字科技有限公司,"Ningbo Easson Inspection Technology Co., Ltd.",E1-B387,,,,,,,,,
株洲坤锐硬质合金有限公司,"Zhuzhou Kunrui Carbide Co.,Ltd",E1-B401,,,,,,,,,
哈尔滨中天数控工具有限责任公司,"HARBIN ZHONGTIAN NC. TOOLS.CO.,LTD",E1-B402,,,,,,,,,
常州市铭泰顺硬质合金有限公司,"Changzhou Mingtaishun Carbide co., Ltd.",E1-B403,,,,,,,,,
元韬（常州）精密切削技术有限公司,WINTEND(CHANGZHOU )PRECISION CUTTING TOOL TECHNOLOGY CO LTD.,E1-B405,,,,,,,,,
浙江维高精密工具有限公司,"Zhejiang Vigor Precision Tools Co., Ltd.",E1-B411,,,,,,,,,
台州希通工具有限公司,"TAIZHOU XITONG TOOL CO.,LTD",E1-B412,,,,,,,,,
科弦精密工具（浙江）有限公司,"Kexian Precision Tools (Zhejiang) Co.,Ltd.",E1-B413,,,,,,,,,
上海钰工工具有限公司,Tec-Spiral Enterprises Co.，Ltd,E1-B415,,,,,,,,,
东莞市笑镗螂切削工具制造有限公司,"Dongguan Xiao Tanglang Cutting Tool Manufacturing Co., Ltd.",E1-B416,,,,,,,,,
平湖市共力工具厂,Pinghu Gongli Tools Factory,E1-B417,,,,,,,,,
常州科力源工具有限公司,"Changzhou Keliyuan Tools Co., Ltd.",E1-B418,,,,,,,,,
成都岷江精密刀具有限公司,"Chengdu Minjiang Precision Cutting-tool Co., Ltd",E1-B419,,,,,,,,,
泗水春景机械有限公司,"SiShui ChunJing Machinery Co.,Ltd",E1-B420,,,,,,,,,
东莞起源数控刀具有限公司,DONGGUANQIYUANNCTOOLCO.LTD,E1-B421,,,,,,,,,
南京多特工具有限公司,"Nanjing TotemTools Co.,Ltd",E1-B422,,,,,,,,,
杭州格进工具有限公司,"Hangzhou Gejin Tools Co., Ltd",E1-B425,,,,,,,,,
扬州新江正工具有限公司,"YANGZHOU XINJIANGZHENG TOOLS CO.,LTD",E1-B426,,,,,,,,,
常州巨烨工具有限公司,"CHANGZHOU JUYE TOOLS CO.,LTD.",E1-B427,,,,,,,,,
株洲卓然新材料有限公司,"ZHUZHOU ZORAN NEW MATERIAL Co., Ltd",E1-B428,,,,,,,,,
广东北极光硬质合金有限公司,"Guangdong Wandecut Carbide Co.,Ltd.",E1-B429,,,,,,,,,
武汉普诺克精密工具有限公司,"Wuhan Protech Precision tools Co.,Ltd.",E1-B430,,,,,,,,,
上海申利螺纹工具有限公司,"SHANGHAI SHENLI THREADING TOOLS CO.,LTD.",E1-B441,,,,,,,,,
台州科利特工具有限公司,"TAIZHOU KELITE TOOLS CO., LTD",E1-B442,,,,,,,,,
温岭市奥邦精密工具有限公司,"Wenling Obang Precision Tools Co. , Ltd.",E1-B443,,,,,,,,,
株洲肯特硬质合金股份有限公司,"ZHUZHOU KINGTAL CEMENTED CARBIDE CO.,LTD.",E1-B445,,,,,,,,,
台州百特工具有限公司,"TAIZHOU BAITE TOOLS CO.,LTD",E1-B446,,,,,,,,,
镇江杰可机电工具有限公司,Zhenjiang Scharp Machinery Tools Co Ltd.,E1-B451,,,,,,,,,
常州茂宏工具有限公司,"CHANGZHOU MAOHONG TOOLS CO.,LTD.",E1-B452,,,,,,,,,
浙江易立刀具有限公司,"Zhejiang Yili Tool Co., Ltd.",E1-B453,,,,,,,,,
四川瀚宇浩洋工具有限公司,"Sichuan Hanyuhaoyang Tools co.,LTD",E1-B455,,,,,,,,,
台州市科驰机械有限公司,"Taizhou Kechi Machinery Co.,Ltd.",E1-B456,,,,,,,,,
台州中天工具有限公司,"Taizhou Zhongtian Tools Co.,Ltd",E1-B457,,,,,,,,,
温州市瑞拓数控机电设备有限公司,RUITUO TOOLS,E1-B458,,,,,,,,,
台州市凌锋机械有限公司,"Taizhou Lingfeng machinery co.,ltd",E1-B459,,,,,,,,,
深圳市鹰旗实业有限公司,"Shenzhen Eagle Industrial Co., Ltd.",E1-B461,,,,,,,,,
汉中万目仪电有限责任公司,"Hanzhong Wanmu Instrument & Eelectric Equipment Co., Ltd.",E1-B462,,,,,,,,,
桂林安一量具股份有限公司,"Anyi Instrument Co., Ltd.",E1-B463,,,,,,,,,
上海中瑞量仪技术合作公司,"Shanghai C&S Measuring Instrument Tech Co.,",E1-B465,,,,,,,,,
浙江三丰精密工具有限公司,"Zhejiang Sanfeng Precision Tools Co., Ltd.",E1-B466,,,,,,,,,
西安秦越精密工具有限公司,"Xi'an Qinyue Precision Tools Co., Ltd",E1-B467,,,,,,,,,
山东峻海新材料科技有限公司,"Shandong Junhai new material Technology Co., LTD",E1-B468,,,,,,,,,
江苏拓普工具有限公司,JIANGSU TOPO TOOLS,E1-B469,,,,,,,,,
北京金利斯特机电技术有限公司,"Beijing JLST Machine and Electical Technology Co., Ltd.",E1-B481,,,,,,,,,
浙江至广精密工具有限公司,"Zhejiang Zhiguang Precision Tools Co.,Ltd.",E1-B482,,,,,,,,,
常州市迈瑞廷涂层科技有限公司,"ChangzhouMercuryCoatingTechnologyCo.,Ltd.",E1-B483,,,,,,,,,
台州市优丰工具制造有限公司,"TAIZHOU CITY YOUFENG TOOL MANUFACTURING CO.,LTD.",E1-B485,,,,,,,,,
太原精钨数控科技股份有限公司,"Taiyuan Precision Carbide NC Technology Co., Ltd.",E1-B486,,,,,,,,,
台州宏峰工具有限公司,TAIZHOU HONGFENG TOOLS,E1-B487,,,,,,,,,
宏富信精密科技（北京）有限公司,"Honfusen Precision Technology (Beijing) Co., Ltd.",E1-B501,,,,,,,,,
哈尔滨创博科技有限公司,"Harbin Chuangbo Technology Co., Ltd.",E1-B502,,,,,,,,,
硕德（北京）科技有限公司,"Solid (Beijing) Technology Co., Ltd.",E1-B503,,,,,,,,,
北京凯达科仪科技有限公司,KAIRDA GROUP CORPORATION,E1-B505,,,,,,,,,
上海诺旭机电科技有限公司,"Shanghai Norxy Mechanical & Electrical Technology Co,LTD.",E1-B506,,,,,,,,,
天津天门精机科技有限公司,"Tianjin Tianmen Precision Machine Co., Ltd.",E1-B507,,,,,,,,,
上海佐仞精密刀具有限公司,"ZUOREN CUTTING TOOLS (SHANGHAI)CO.,LTD",E1-B508,,,,,,,,,
大连丰乐科技有限公司,"Dalian Fengle Technology Co., Ltd.",E1-B509,,,,,,,,,
,"KSK Precise Motion,a.s",E2-A003,,,,,,,,,
海泰格,"HESTEGO,a.s.",E2-A004,,,,,,,,,
,ITS Group,E2-A005,,,,,,,,,
,"VÚTS, a.s.",E2-A008,,,,,,,,,
意大利帕马公司,PAMA SpA,E2-A101,,,,,,,,,
高达比尼,GALDABINI,E2-A102,,,,,,,,,
HYDROBLOCK S.R.L.,HYDROBLOCK S.R.L.,E2-A103,,,,,,,,,
,ROTOMORS SPA,E2-A104,,,,,,,,,
UMBRAGROUP,UMBRAGROUP,E2-A105,,,,,,,,,
保定向阳吉拉蒂机械有限公司,Gerardi Spa,E2-A106,,,,,,,,,
意大利赛伯平衡机公司,CEMB,E2-A111,,,,,,,,,
威迈斯,VMS,E2-A112,,,,,,,,,
意大利理卡特公司,LICAT Srl,E2-A113,,,,,,,,,
意大利拉察蒂机床公 司,LAZZATI SPA,E2-A114,,,,,,,,,
意大利罗博力斯有限责任公司苏州代表处,Roboris,E2-A115,,,,,,,,,
意大利菲迪亚公司,FIDIA S.p.A.,E2-A116,,,,,,,,,
,M.C.M. MADAR COSTRUZIONI MECCANICHE SPA,E2-A117,,,,,,,,,
,TAMBURINI SRL,E2-A118,,,,,,,,,
SPERONI,SPERONI,E2-A119,,,,,,,,,
Tecnologie FRB,TECNOLOGIE FRB Srl,E2-A121,,,,,,,,,
MANDELLI SRL,MANDELLI SRL,E2-A122,,,,,,,,,
,M.T. S.r.l.,E2-A123,,,,,,,,,
OMG 公司,O.M.G. Srl,E2-A131,,,,,,,,,
BARUFFALDI spa,BARUFFALDI spa,E2-A132,,,,,,,,,
格林海利公司,GHIRINGHELLI CENTERLESS SOLUTIONS,E2-A133,,,,,,,,,
意大利对外贸易委员会上海代表处,Italian Trade Agency Shanghai Office,E2-A134,,,,,,,,,
德讯工业自动化（大连）有限公司,"DEXUN Industrial Automation (Dalian) Co.,LTD",E2-A181,,,,,,,,,
赛夺科精密主轴技术（上海）有限公司,"SETCO PRECISION TECHNOLOGY(SHANGHAI)CO.,LTD",E2-A186,,,,,,,,,
浩扬精密机械（安庆）有限公司,"Haoyang Precision Machinery (Anqing) CO.,LTD",E2-A201,,,,,,,,,
美国机械制造技术协会,AMT - The Association For Manufacturing Technology,E2-A202,,,,,,,,,
杰根斯（上海）贸易有限公司,Jergens Inc.,E2-A203,,,,,,,,,
柯特（常州）机械有限公司,Kurt Manufacturing Company,E2-A204,,,,,,,,,
威克泰克精密机械（大连）有限公司,Vektek LLC,E2-A205,,,,,,,,,
优尼索勃贸易（上海）有限公司,UNISORB INSTALLATION SOLUTIONS,E2-A206,,,,,,,,,
雄狮精仪,LionPrecision,E2-A207,,,,,,,,,
帕莱克机械（南京）有限公司,"Omega Tool Measuring Machines, Inc.",E2-A211,,,,,,,,,
上海善能机械有限公司,"SHANGHAI SUNNEN MECHANICAL CO., LTD.",E2-A212,,,,,,,,,
马思特液体解决方案,Master Fluids Solutions,E2-A213,,,,,,,,,
由特幂斯(上海)贸易有限公司,"Filtermist (Shanghai) Co., Ltd",E2-A231,,,,,,,,,
克林伯格机床（上海）有限公司,"KELLENBERGER MACHINE (SHANGHAI) CO., Ltd.",E2-A232,,,,,,,,,
特雷维桑机床有限公司,TREVISAN MACCHINE UTENSILI SPA,E2-A281,,,,,,,,,
北京新吉泰软件有限公司,CGTech China,E2-A282,,,,,,,,,
PIETRO CARNAGHI S.p.A.,PIETRO CARNAGHI S.p.A.,E2-A283,,,,,,,,,
宝力机械有限公司,PRO-TECHNIC MACHINERY LTD,E2-A301,,,,,,,,,
,Limited Liability Company KS-Progress,E2-A311,,,,,,,,,
,VIETNAM CULLINAN ELECTRIC COMPANY LIMITED,E2-A312,,,,,,,,,
浙江麦创姆精密机床有限责任公司,"MCM CHINA Precision Machine Tool Co.,Ltd.",E2-A313,,,,,,,,,
宁波德克刀具有限公司,"Ningbo Derek Tools Co.,LTD",E2-A321,,,,,,,,,
岳崴科技股份有限公司,"A SUN PHOTONICS CO., LTD",E2-A331,,,,,,,,,
积架石油化工有限公司,JAEGER OIL & CHEMICAL CO LTD,E2-A332,,,,,,,,,
东莞市唯诺机械设备有限公司,"Dongguan Winuo Machinery Equipment Co., Ltd.",E2-A333,,,,,,,,,
纳贝格轴承河北有限公司,"NabergBearingHeBeiCo.,Ltd",E2-A381,,,,,,,,,
厦门英昊达精密设备有限公司,"Yinghaoda Precision Equipment Co., Ltd",E2-A382,,,,,,,,,
纳狮新材料股份有限公司,Naxau New Materials Corporation,E2-A383,,,,,,,,,
东莞市天罡仪器设备有限公司,"Dongguan Tiangang instrument equipment CO.,LTD",E2-A401,,,,,,,,,
四砂泰利莱（青岛）研磨股份有限公司,"SISA ABRASIVES CO., LTD.",E2-A402,,,,,,,,,
昆山莱璟机电科技有限公司,"KUNSHAN LAIJING TECHNOLOGY CO.,LT",E2-A403,,,,,,,,,
东莞市星捷刀具有限公司,DONGGUAN XINGJIE CUTTING TOOL CO LTD,E2-A411,,,,,,,,,
东莞市金宁数控刀具有限公司,"Dongguan Jinning CNC Tool Co., Ltd.",E2-A412,,,,,,,,,
东莞市联肯数控刀具有限公司,"Dongguan Lianken CNC Tool Co., Ltd.",E2-A413,,,,,,,,,
东莞劲车切削刀具有限公司,"Dongguan Jinche Cutting Tools Co., Ltd.",E2-A415,,,,,,,,,
东莞市瑞山硬质合金刀具有限公司,"Dongguan Ruishan Hard Alloy Tool Co., Ltd.",E2-A421,,,,,,,,,
东莞市劲驰机械科技有限公司,"Dongguan Jinchi Machinery Technology Co. , Ltd.",E2-A422,,,,,,,,,
东莞市信邦数控刀具有限公司,DONGGUAN XINBANG CNC TOOLS CO .LTD.,E2-A423,,,,,,,,,
东莞远腾数控科技有限公司,"Dongguan Yuanteng Numerical Control Technology Co., Ltd.",E2-A425,,,,,,,,,
东莞市宝辉数控刀具有限公司,"Dongguan Baohui CNC Tools Co., LTD",E2-A426,,,,,,,,,
东莞市祐慈机电有限公司,"DONG GUAN YOUCI MECH ELECT CO.,LTD",E2-A427,,,,,,,,,
东莞市钻通五金有限公司,"DONGGUAN ZUANTONG HARDWARE CO.,LTD",E2-A428,,,,,,,,,
唐山铭企商贸有限公司,"TANGSHAN MINGQI TRADE CO.,LTD",E2-A431,,,,,,,,,
广东优能特五金科技有限公司,"Guangdong UNT Cutting TOOLS CO.,Ltd.",E2-A432,,,,,,,,,
东莞市井宁精密工具有限公司,"Dongguan Jingning Precision Tool Co., Ltd.",E2-A433,,,,,,,,,
东莞市浩联五金有限公司,"Dongguan Haolian Hardware Co.,Ltd.",E2-A435,,,,,,,,,
东莞市汇智切削工具技术有限公司,"DONGGUAN HUIZHI CUTTING TOOLS TECHNOLOGY CO.,LTD",E2-A436,,,,,,,,,
东莞市希微机电有限公司,"Dongguan Surewel Mech-Elec Co., LTD",E2-A437,,,,,,,,,
东莞市九利刀具有限公司,"Dongguan Jiuli CNC Tools Co., Ltd.",E2-A438,,,,,,,,,
东莞市诺克森精密科技有限公司,NPT INTERNATIONAL INC,E2-A439,,,,,,,,,
东莞市默德斯克数控刀具有限公司,"Dongguan AMGdo CNC Tool Co., Ltd.",E2-A481,,,,,,,,,
广东亚青精密设备有限公司,"Guangdong Yaqing Precision Equipment Co., Ltd",E2-A482,,,,,,,,,
东莞市日金数控刀具有限公司,"Dongguan Rijin CNC Tool Co., Ltd.",E2-A483,,,,,,,,,
香港寶興精密實業有限公司,"Rich Treasure Precision Industrial Co.,Ltd.",E2-A501,,,,,,,,,
苏州赛帕埃惜精机有限公司,"Cyber RC Co.,Ltd",E2-A502,,,,,,,,,
大越特殊金属（上海）有限公司,"OKOSHI SPECIAL METAL(SHANGHAI) CO.,LTD.",E2-A503,,,,,,,,,
东莞市圆启精密数控工具有限公司,"Dongguan yuanqi precision CNCTools co.,Ltd",E2-A505,,,,,,,,,
东莞市巨辰精密工具有限公司,DragonTech Precision Tool Co.，Ltd,E2-A506,,,,,,,,,
西班牙尼古拉斯克雷亚集团,Nicolas Correa S.A.,E2-B001,,,,,,,,,
SHUTON S.L.U,SHUTON S.L.U,E2-B002,,,,,,,,,
密欧主轴制造（廊坊）有限公司,"Talleres MYL, S.A.U",E2-B003,,,,,,,,,
达诺巴特集团（中国）,"Shanghai DanobatGroup Machinery Co.,Ltd.",E2-B101,,,,,,,,,
博士特,BOST Machine Tools Company,E2-B102,,,,,,,,,
北京发格自动化设备有限公司,"Beijing Fagor Automation Equipment Co., Ltd.",E2-B103,,,,,,,,,
古如资倍车削方案有限公司,GURUTZPE Turning Solutions S.L.,E2-B104,,,,,,,,,
依巴米亚,"IBARMIA INNOVATEK, S.L.U.",E2-B105,,,,,,,,,
"GEMINIS LATHES, S.A.","GEMINIS LATHES, S.A.",E2-B106,,,,,,,,,
萨亚,ZAYER,E2-B107,,,,,,,,,
柯尔特,"Korta, s.a.u",E2-B108,,,,,,,,,
恩镁钠,"EMENA,S.L.",E2-B181,,,,,,,,,
速雅梭,Zuazo SA,E2-B182,,,,,,,,,
马道拉,MECANICA DE PRECISION JOSE MADAULA S.A.,E2-B183,,,,,,,,,
英福莱诺,INFRANOR Holding SA,E2-B201,,,,,,,,,
斯美沃欧特堡（上海）夹具有限公司,"SMW-AUTOBLOK(Shanghai) Work Holding Co.,Ltd.",E2-B202,,,,,,,,,
广州台茂精密机械有限公司,"GUANGZHOU TAIMAO PRECISION MECHANISM CO.,LTD.",E2-B203,,,,,,,,,
力劲精密机械（昆山）有限公司,L.K.PRECISION MACHINERY(KUNSHAN)CO.LTD,E2-B204,,,,,,,,,
伊莉莎冈特贸易(上海)有限公司,"ELESA+GANTER CHINA CO.,LTD.",E2-B281,,,,,,,,,
太仓喜拿卡液压气动有限公司,"HINAKA Fluid Power CO.,LTD",E2-B282,,,,,,,,,
西技联贸易（北京）有限责任公司,"EUROLINK TECH. & TRADE (BEIJING) CO., LTD",E2-B283,,,,,,,,,
翰默（上海）贸易有限责任公司,"Haimer (Shanghai) Trading Co., Ltd",E2-B301,,,,,,,,,
臻賞工業股份有限公司,"CHEN SOUND INDUSTRIAL CO.,LTD",E2-B302,,,,,,,,,
上海德霄精密机械有限公司,"GP INTERNATIONAL CO., LTD",E2-B303,,,,,,,,,
