exhibitor_id,company_name,exhibitor_type,parent_exhibitor_id,area,hall,booth,detail_url,source_page,source_position
parent:282,"amoibe Ltd,",parent,,General Exhibits,|,8H213,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,21
parent:1269,AND Y CONCEPT,parent,,Next Generation Park,|,4H225,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,22
parent:335,Animotech Inc.,parent,,Next Generation Park,|,4H436,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,23
parent:273,ANKR DESIGN Inc.,parent,,Next Generation Park,|,4H140,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,24
parent:22,ANRITSU CORPORATION,parent,,General Exhibits,|,4H550,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,25
parent:217,Aoyama Gakuin University CMOS Circuit Applications Laboratory(Yokoshiki LAB),parent,,Next Generation Park,|,4H410,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,26
parent:303,AquaFusion Inc.,parent,,General Exhibits,|,8H115,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,27
parent:57,AREX Inc.,parent,,General Exhibits,|,7H506,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,28
parent:212,"Artificial World Implementation Laboratory, Department of Robotics, Faculty of Advanced Engineering, Nippon Institute of Technology",parent,,Next Generation Park,|,4H409,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,29
parent:149,ArtscollegeYokohama,parent,,Next Generation Park,|,4H124,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,30
parent:33,Association of Radio Industries and Businesses,parent,,General Exhibits,|,8H306,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,31
parent:129,"AVITA, Inc.",parent,,X (Transformation) Park,|,5H202,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,32
parent:129:co-exhibitor:1,"▸ Booster Robotics Technology Co., Ltd.",co_exhibitor,129,X (Transformation) Park,|,5H202,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,33
parent:129:co-exhibitor:2,▸ Fairy Devices Inc,co_exhibitor,129,X (Transformation) Park,|,5H202,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,34
parent:295,Axworks Inc.,parent,,Next Generation Park,|,4H237,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,35
parent:61,Battery Association for Supply Chain,parent,,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,36
parent:61:co-exhibitor:1,"▸ Automotive and Battery Traceability Center Association, Inc.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,37
parent:61:co-exhibitor:2,"▸ Central Glass Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,38
parent:61:co-exhibitor:3,▸ DENSO CORPORATION,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,39
parent:61:co-exhibitor:4,"▸ FINECS CO., LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,40
parent:61:co-exhibitor:5,"▸ FUKUI BYORA Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,41
parent:61:co-exhibitor:6,▸ GS Yuasa Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,42
parent:61:co-exhibitor:7,▸ HIRATA Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,43
parent:61:co-exhibitor:8,▸ Hagihara Industries Inc.,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,44
parent:61:co-exhibitor:9,"▸ Hitachi Plant Services Co.,Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,45
parent:61:co-exhibitor:10,"▸ Hitachi, Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,46
parent:61:co-exhibitor:11,▸ Iwatani Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,47
parent:61:co-exhibitor:12,▸ JFE Engineering Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,48
parent:61:co-exhibitor:13,▸ JTEKT Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,49
parent:61:co-exhibitor:14,▸ JX Advanced Metals Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,50
parent:61:co-exhibitor:15,▸ Jinnai Industries Inc.,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,51
parent:61:co-exhibitor:16,▸ KOJIMA INDUSTRIES CORPORATION,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,52
parent:61:co-exhibitor:17,▸ KUREHA CORPORATION,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,53
parent:61:co-exhibitor:18,"▸ Kanto Denka Kogyo Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,54
parent:61:co-exhibitor:19,"▸ Kawasaki Heavy Industries, Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,55
parent:61:co-exhibitor:20,▸ Komatsu NTC Ltd.,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,56
parent:61:co-exhibitor:21,"▸ Kurimoto,Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,57
parent:61:co-exhibitor:22,"▸ MARUYASU INDUSTRIES CO., LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,58
parent:61:co-exhibitor:23,"▸ MATSUDA SANGYO CO.,LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,59
parent:61:co-exhibitor:24,▸ MEC COMPANY LTD.,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,60
parent:61:co-exhibitor:25,▸ MEIWA CORPORATION,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,61
parent:61:co-exhibitor:26,"▸ MITSUI & CO., LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,62
parent:61:co-exhibitor:27,▸ MU Ionic Solutions Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,63
parent:61:co-exhibitor:28,▸ Mito Kogyo Company Limited,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,64
parent:61:co-exhibitor:29,▸ Mitsubishi Chemical Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,65
parent:61:co-exhibitor:30,▸ Mitsubishi Materials Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,66
parent:61:co-exhibitor:31,▸ NICHIA CORPORATION,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,67
parent:61:co-exhibitor:32,"▸ NIHON KAGAKU SANGYO CO., LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,68
parent:61:co-exhibitor:33,"▸ NIPPON SHOKUBAI CO., LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,69
parent:61:co-exhibitor:34,▸ NSK Ltd.,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,70
parent:61:co-exhibitor:35,▸ Nippon Recycle Center Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,71
parent:61:co-exhibitor:36,"▸ OONO DEVELOPMENT CO.,LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,72
parent:61:co-exhibitor:37,"▸ Panasonic Energy Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,73
parent:61:co-exhibitor:38,"▸ Prime Planet Energy & Solutions, Inc.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,74
parent:61:co-exhibitor:39,"▸ REVortex, Inc.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,75
parent:61:co-exhibitor:40,"▸ Ricoh Company, Ltd. 🎓",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,76
parent:61:co-exhibitor:41,"▸ SHIBAURA MACHINE CO., LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,77
parent:61:co-exhibitor:42,▸ SMC CORPORATION,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,78
parent:61:co-exhibitor:43,"▸ Seibu Giken Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,79
parent:61:co-exhibitor:44,▸ Shimadzu Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,80
parent:61:co-exhibitor:45,"▸ Sumitomo Metal Mining Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,81
parent:61:co-exhibitor:46,▸ Sumitomo Riko Company Limited,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,82
parent:61:co-exhibitor:47,"▸ SwiftfabEnergySystems CO.,LTD.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,83
parent:61:co-exhibitor:48,▸ TANABE Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,84
parent:61:co-exhibitor:49,"▸ TOYOTA BATTERY Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,85
parent:61:co-exhibitor:50,▸ TOYOTA TSUSHO MATERIAL INCORPORATED,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,86
parent:61:co-exhibitor:51,▸ Taikisha Ltd,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,87
parent:61:co-exhibitor:52,▸ Techno Smart Corp.,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,88
parent:61:co-exhibitor:53,"▸ Toshin Co.,Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,89
parent:61:co-exhibitor:54,▸ Toyota Tsusho Corporation,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,90
parent:61:co-exhibitor:55,"▸ Tsukishima Kikai Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,91
parent:61:co-exhibitor:56,▸ YUTAKA ELECTRONICS INDUSTRY COMPANY LIMITED,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,92
parent:61:co-exhibitor:57,"▸ Yodogawa Hu-Tech Co., Ltd.",co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,93
parent:61:co-exhibitor:58,▸ iCAD LIMITED,co_exhibitor,61,General Exhibits,|,6H141,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,94
parent:1263,"Beff Co.,Ltd.",parent,,Next Generation Park,|,4H007,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,95
parent:112,BHW Technologies Ltd,parent,,General Exhibits,|,7H421,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,96
parent:1176,"Biodata Bank, Inc.",parent,,General Exhibits,|,8H214,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,97
parent:384,"BIRD INITIATIVE, Inc.",parent,,Next Generation Park,|,4H231,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,98
parent:298,"BizTech, Inc.",parent,,Next Generation Park,|,4H240,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,99
parent:181,BKtel Pacific Rim (Japan) Inc.,parent,,General Exhibits,|,7H503,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,100
parent:224,Blackmagic Design,parent,,X (Transformation) Park,|,6H201,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,101
parent:387,BRAID,parent,,X (Transformation) Park,|,5H119,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,102
parent:135,"C&T CO., Ltd",parent,,General Exhibits,|,7H414,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,103
parent:322,CAD CENTER CORPORATION,parent,,General Exhibits,|,7H315,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,104
parent:168,casaliz,parent,,General Exhibits,|,,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,105
parent:209,"CASIL SEMICONDUCTOR CO.,LTD / CHIPHOW MICROELECTRONICS(HUIZHOU) CO.,LTD",parent,,General Exhibits,|,7H329,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,106
parent:27,Central Nippon Expressway Company Limited,parent,,General Exhibits,|,5H260,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,107
parent:109,CHANGING Information Technology Inc.,parent,,General Exhibits,|,7H413,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,108
parent:109:co-exhibitor:1,"▸ Cybertrust Japan Co., Ltd.",co_exhibitor,109,General Exhibits,|,7H413,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,109
parent:271,Chiba Institute of Technology,parent,,Next Generation Park,|,4H217,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,110
parent:210,Chiba Prefectural Police,parent,,General Exhibits,|,7H512,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,111
parent:50,Chiba Prefecture,parent,,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,112
parent:50:co-exhibitor:1,▸ Artience Lab Inc.,co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,113
parent:50:co-exhibitor:2,▸ Bitbybit Inc.,co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,114
parent:50:co-exhibitor:3,▸ COMZOW Inc.,co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,115
parent:50:co-exhibitor:4,"▸ ESL Laboratory Co.,LTD",co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,116
parent:50:co-exhibitor:5,▸ GRIPS Inc.,co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,117
parent:50:co-exhibitor:6,▸ Ishiyama Production Medicine Inc.,co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,118
parent:50:co-exhibitor:7,"▸ Kisui Co., Ltd",co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,119
parent:50:co-exhibitor:8,"▸ Primesense Co.,Ltd",co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,120
parent:50:co-exhibitor:9,▸ Smart Sensing Corporation,co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,121
parent:50:co-exhibitor:10,"▸ TERRA Co.,Ltd., Japan",co_exhibitor,50,General Exhibits,|,7H002,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,122
parent:293,Chiba University,parent,,Next Generation Park,|,4H216,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,123
parent:278,"Chubu Electric Power Co., Inc.",parent,,X (Transformation) Park,|,5H415,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,124
parent:278:co-exhibitor:1,▸ Tokyo University of Agriculture and Technology,co_exhibitor,278,X (Transformation) Park,|,5H415,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,125
parent:173,CHUKYO UNIVERSITY,parent,,Next Generation Park,|,4H407,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,126
parent:150,CHUO Institute of Information and Design,parent,,Next Generation Park,|,4H315,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,127
parent:150:co-exhibitor:1,▸ Degital Transformation Design Laboratory.,co_exhibitor,150,Next Generation Park,|,4H315,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,128
parent:264,CIAJ All Photonics Network Pavilion,parent,,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,129
parent:264:co-exhibitor:1,▸ 1FINITY Inc.,co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,130
parent:264:co-exhibitor:2,▸ ANRITSU CORPORATION,co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,131
parent:264:co-exhibitor:3,"▸ APRESIA Systems , Ltd.",co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,132
parent:264:co-exhibitor:4,▸ Communications and Information Network Association of Japan (CIAJ),co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,133
parent:264:co-exhibitor:5,"▸ Japan Aviation Electronics Industry, Ltd.",co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,134
parent:264:co-exhibitor:6,▸ Ministry of Internal Affairs and Communications,co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,135
parent:264:co-exhibitor:7,▸ NEC Corporation,co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,136
parent:264:co-exhibitor:8,"▸ NTT, Inc.",co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,137
parent:264:co-exhibitor:9,"▸ Oi Electric Co.,Ltd.",co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,138
parent:264:co-exhibitor:10,▸ SANKYU ELECTRONICS CORPORATION,co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,139
parent:264:co-exhibitor:11,▸ Yokogawa Test & Measurement Corporation,co_exhibitor,264,General Exhibits,|,8H101,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,140
parent:279,CIAJ and HATS Forum,parent,,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,141
parent:279:co-exhibitor:1,▸ CIAJ Communications Quality Committee,co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,142
parent:279:co-exhibitor:2,▸ CIAJ Image Data Comunications and Facsomile Committee,co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,143
parent:279:co-exhibitor:3,▸ CIAJ User Network Systems Committee,co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,144
parent:279:co-exhibitor:4,▸ Communications and Information Network Association of Japan,co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,145
parent:279:co-exhibitor:5,▸ HATS Forum,co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,146
parent:279:co-exhibitor:6,"▸ Hitachi Information & Telecommunication Engineering,Ltd.",co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,147
parent:279:co-exhibitor:7,"▸ NEC Platforms, Ltd.",co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,148
parent:279:co-exhibitor:8,"▸ Oki Electric Industry Co., Ltd.",co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,149
parent:279:co-exhibitor:9,▸ Telecommunication Technology Committee,co_exhibitor,279,General Exhibits,|,7H301,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,150
parent:96,CINCA Inc.,parent,,Next Generation Park,|,4H320,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,151
parent:177,"City of Sapporo and City of Ishikari, Hokkaido",parent,,General Exhibits,|,8H110,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,152
parent:185,City of Sendai,parent,,General Exhibits,|,7H331,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,153
parent:58,"CMF Design Lab co., ltd",parent,,General Exhibits,|,7H123,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,154
parent:175,"CoLabMix, Inc",parent,,Next Generation Park,|,4H331,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,155
parent:162,COLLEGE OF COMPUTER AND MULTIMEDIA,parent,,Next Generation Park,|,4H313,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,156
parent:110,"College of Science and Technology, Nihon University",parent,,Next Generation Park,|,4H211,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,157
parent:165,common inc.,parent,,Next Generation Park,|,4H333,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,158
parent:267,Consortium for Human-Centric Manufacturing Innobation,parent,,X (Transformation) Park,|,4H530,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,159
parent:267:co-exhibitor:1,▸ Mitsubishi Electric Corporation,co_exhibitor,267,X (Transformation) Park,|,4H530,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,160
parent:267:co-exhibitor:2,▸ NS Solutions Corporation,co_exhibitor,267,X (Transformation) Park,|,4H530,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,161
parent:255,"Cooperative Robotics Laboratory, Tokyo Denki University",parent,,Next Generation Park,|,4H309,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,162
parent:154,CORE CORPORATION,parent,,X (Transformation) Park,|,5H411,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,163
parent:38,Cornes Technologies Limited,parent,,General Exhibits,|,5H130,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,164
parent:131,"COSMO SOUND Co., Ltd.",parent,,General Exhibits,|,8H216,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,165
parent:159,"Craftsman Software, Inc.",parent,,General Exhibits,|,8H016,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,166
parent:80,CREATION DRIVE,parent,,Next Generation Park,|,4H342,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,167
parent:79,Creative Vision Ltd.,parent,,General Exhibits,|,7H332,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,168
parent:51,CURIO SCHOOL,parent,,General Exhibits,|,7H401,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,169
parent:192,"CyberneX Co.,Ltd.",parent,,Next Generation Park,|,4H151,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,170
parent:121,Cygbot,parent,,General Exhibits,|,8H024,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,171
parent:244,"D.O.N CO.,LTD",parent,,X (Transformation) Park,|,5H309,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,172
parent:244:co-exhibitor:1,"▸ TAION CO.,LTD",co_exhibitor,244,X (Transformation) Park,|,5H309,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,173
parent:1181,Daiwa Institute of Research Ltd.,parent,,General Exhibits,|,7H411,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,174
parent:216,Dawnlight LLC.,parent,,Next Generation Park,|,4H149,,https://www.ceatec.com/en/exhibition/exhibitor-list.php,175
